# reference_flux:         14.5910
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2579.80748      2579.79867         25.1238          3.5813         16.9398          0.1548        -29.9013         -0.5851       -0.860129        3.581287
     2579.81443      2579.80561         16.9406          3.5316         17.3677          0.2263        -31.7079         -0.5851        2.940049        3.531554
     2579.82137      2579.81256          9.5322          3.5004         17.8869         99.9000        -30.5337         -0.3954        0.480402        3.500382
     2579.82832      2579.81950         19.8775          3.5358         17.1941          0.1931        -30.4531         -0.5851        7.335557        3.535783
     2579.83526      2579.82644         15.9189          3.3893         17.4352          0.2312        -41.6295         -0.5851       -0.680975        3.389308
     2579.84221      2579.83339         14.2413          3.3911         17.5561          0.2585        -44.2909         -0.6810        1.374171        3.391061
     2579.84915      2579.84033         16.5721          3.3499         17.3916          0.2195        -44.8038         -0.5870       -1.174945        3.349937
     2579.85610      2579.84728         19.5798          3.3073         17.2105          0.1834        -40.1721         -0.5870       -2.688891        3.307260
     2579.86304      2579.85422         13.3169          3.2349         17.6290          0.2637        -38.0979         -0.5851       -3.949359        3.234907
     2579.86998      2579.86117         14.6866          3.1975         17.5227          0.2364        -33.8630         -0.5870        0.040858        3.197476
     2579.87693      2579.86811         12.3579          3.1640         17.7101          0.2780        -37.0282         -0.6810       -2.322765        3.163990
     2579.88387      2579.87506         11.1283          3.1120         17.8239          0.3036        -38.1692         -0.6810        1.872989        3.112020
     2579.89082      2579.88200         24.0686          3.1309         16.9864          0.1412        -42.6086         -0.6810        2.980874        3.130926
     2579.89776      2579.88894         13.2693          3.0619         17.6329          0.2505        -32.8905         -0.6810       -1.137919        3.061852
     2579.90471      2579.89589         11.3405          3.0668         17.8034          0.2936        -33.9800         -0.6810        0.798274        3.066771
     2579.91165      2579.90283         11.6035          3.0375         17.7785          0.2842        -34.6358         -0.6810       -0.395412        3.037476
     2579.91860      2579.90978         19.1959          2.9797         17.2320          0.1685        -33.5093         -0.6810       -0.973570        2.979709
     2579.92554      2579.91672         14.6479          2.9946         17.5256          0.2220        -31.0633         -0.6810       -1.547453        2.994638
     2579.93249      2579.92367         13.4409          2.9407         17.6189          0.2375        -31.1097         -0.6810       -3.005304        2.940705
     2579.93943      2579.93061         17.7688          2.9701         17.3159          0.1815        -33.5935         -0.8601        2.318349        2.970132
     2579.94638      2579.93756         16.3605          2.9071         17.4055          0.1929        -30.0358         -0.8601        2.913531        2.907089
     2579.95332      2579.94450         17.8807          2.9251         17.3090          0.1776        -32.4179         -0.9736        0.637564        2.925092
     2579.96026      2579.95144         11.9081          2.8934         17.7504          0.2638        -31.7632         -0.9736       -2.148969        2.893410
     2579.96721      2579.95839         18.7304          2.8442         17.2586          0.1649        -32.6531         -0.9736       -0.585115        2.844202
     2579.97415      2579.96533         15.1959          2.8565         17.4857          0.2041        -30.7636         -0.9736       -2.993071        2.856481
     2579.98110      2579.97228         18.0251          2.8215         17.3003          0.1700        -29.0091         -0.9736       -0.369782        2.821489
     2579.98804      2579.97922          9.7171          2.8243         17.9712          0.3156        -26.7627         -0.9736       -3.620686        2.824295
     2579.99499      2579.98617         18.8595          2.8958         17.2512          0.1667        -39.6755         -0.9736        3.238122        2.895804
     2580.00193      2579.99311         12.7189          2.8956         17.6789          0.2472        -37.7162         -0.9736       -1.222657        2.895633
     2580.00888      2580.00006          8.0772          2.8682         18.1032         99.9000        -38.0735         -0.9736       -0.587030        2.868231
     2580.01582      2580.00700         19.4747          2.7621         17.2163          0.1540        -30.7716         -1.1379       -2.587063        2.762102
     2580.02276      2580.01394         16.6754          2.8443         17.3848          0.1852        -41.3106         -0.9736        0.048037        2.844339
     2580.02971      2580.02089         14.2363          2.8190         17.5565          0.2150        -37.1659         -0.9736       -1.597347        2.819027
     2580.03665      2580.02783         24.8490          2.6751         16.9517          0.1169        -26.0548         -0.9736       -1.731802        2.675116
     2580.04360      2580.03478         11.6501          2.7889         17.7742          0.2599        -31.4973         -0.9736       -2.005795        2.788885
     2580.05054      2580.04172         15.6243          2.7626         17.4555          0.1920        -28.2238         -0.5886       -1.332133        2.762576
     2580.05749      2580.04867         19.2814          2.7033         17.2272          0.1522        -26.2407         -0.5886        2.741520        2.703318
     2580.06443      2580.05561          9.8047          2.7012         17.9614          0.2991        -25.3017         -0.5886       -5.676096        2.701207
     2580.07138      2580.06255         17.3102          2.6640         17.3442          0.1671        -32.1870         -0.5870       -0.588646        2.663994
     2580.07832      2580.06950         15.1705          2.6341         17.4875          0.1885        -30.3407         -0.5870       -3.284302        2.634125
     2580.08527      2580.07644         14.8323          2.6454         17.5120          0.1936        -31.7568         -0.5870       -1.308569        2.645353
     2580.09221      2580.08339         20.6611          2.6036         17.1521          0.1368        -25.3453         -0.5851       -2.401012        2.603580
     2580.09915      2580.09033         10.2900          2.5750         17.9090          0.2717        -25.7306         -0.5851       -1.726223        2.575003
     2580.10610      2580.09728         11.2070          2.5617         17.8163          0.2482        -27.4197         -0.4378       -4.065029        2.561673
     2580.11304      2580.10422         15.1903          2.5250         17.4861          0.1805        -20.9245         -0.4378       -2.332071        2.524959
     2580.11999      2580.11117         24.1966          2.4750         16.9806          0.1111        -23.5023         -0.4378        1.830640        2.474978
     2580.12693      2580.11811         18.1977          2.4415         17.2900          0.1457        -24.4636         -0.4378        1.486303        2.441487
     2580.13388      2580.12505         17.6166          2.4341         17.3252          0.1500        -21.8303         -0.4378        1.603913        2.434131
     2580.14082      2580.13200         16.5911          2.3895         17.3903          0.1564        -22.0962         -0.3867        0.233024        2.389452
     2580.14777      2580.13894         17.3666          2.3745         17.3407          0.1485        -19.5609         -0.3867        3.697866        2.374515
