# reference_flux:        180.7796
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2579.80746      2579.79867        179.0184          3.1766         14.8078          0.0193          8.3566         -0.1669        0.781370        3.176615
     2579.81441      2579.80561        180.9961          3.1324         14.7958          0.0188          7.6269          0.4585        4.560934        3.132397
     2579.82135      2579.81256        167.3118          3.1044         14.8812          0.0201          4.6173          0.4585       -4.884915        3.104410
     2579.82830      2579.81950        180.9023          3.0749         14.7964          0.0185          7.1076          0.4585       -1.209285        3.074860
     2579.83524      2579.82644        167.7319          3.0277         14.8785          0.0196          8.5102          0.4585       -3.232328        3.027652
     2579.84218      2579.83339        188.7501          3.0004         14.7503          0.0173          9.6270          0.4585        1.263895        3.000391
     2579.84913      2579.84033        179.1825          2.9696         14.8068          0.0180          9.6945          0.4585        0.752217        2.969616
     2579.85607      2579.84728        185.6682          2.9272         14.7682          0.0171         12.7621          0.4585        0.458458        2.927218
     2579.86302      2579.85422        184.9752          2.8926         14.7722          0.0170          9.9391          0.4585        3.748525        2.892621
     2579.86996      2579.86117        178.6110          2.8710         14.8102          0.0175          4.9257          0.4585        1.196251        2.870979
     2579.87691      2579.86811        173.5603          2.8378         14.8414          0.0178          5.8601          0.4585       -5.367791        2.837773
     2579.88385      2579.87506        191.6904          2.8097         14.7335          0.0159          6.1319          0.4861        7.231875        2.809664
     2579.89080      2579.88200        183.2806          2.7783         14.7822          0.0165         -1.8338          0.4861        1.914368        2.778325
     2579.89774      2579.88894        181.4463          2.7590         14.7931          0.0165          1.2030          0.4861       -2.044630        2.759043
     2579.90469      2579.89589        177.2945          2.7334         14.8183          0.0167          4.3999          0.4861        1.380876        2.733379
     2579.91163      2579.90283        171.9625          2.7010         14.8514          0.0171          2.4406          0.4585       -1.965044        2.701025
     2579.91858      2579.90978        172.4008          2.6976         14.8487          0.0170          1.3301          0.4585       -4.292942        2.697603
     2579.92552      2579.91672        178.7984          2.6851         14.8091          0.0163          1.8964          0.4585        3.648560        2.685075
     2579.93247      2579.92367        184.0841          2.6681         14.7775          0.0157          9.8037          0.4073       -0.166939        2.668111
     2579.93941      2579.93061        183.8236          2.6621         14.7790          0.0157          5.0661          0.2727        1.112815        2.662098
     2579.94636      2579.93756        175.7068          2.6510         14.8280          0.0164          0.1110          0.2727       -2.763049        2.650966
     2579.95330      2579.94450        180.6563          2.6463         14.7979          0.0159          8.1827          0.2727       -0.264571        2.646269
     2579.96024      2579.95144        173.3861          2.6321         14.8425          0.0165          6.0262          0.2727       -1.088793        2.632109
