# reference_flux:         -6.0909
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2579.80588      2579.79868         -4.4803          2.7906         18.1330         99.9000         -4.8041         -2.7240       -5.207802        2.790592
     2579.81283      2579.80563         -7.3687          2.7768         18.1384         99.9000         -3.1956         -2.7240       -3.579219        2.776761
     2579.81977      2579.81257         -3.5389          2.7110         18.1644         99.9000         -5.5978         -2.7240       -6.086008        2.710958
     2579.82672      2579.81952         -1.1808          2.6690         18.1813         99.9000         -3.5629         -2.7240       -1.332068        2.668953
     2579.83366      2579.82646         -2.4198          2.6427         18.1921         99.9000         -6.1539         -2.6922       -0.547552        2.642750
     2579.84061      2579.83341         -4.2328          2.6051         18.2076         99.9000         -2.1634         -2.7240       -1.899648        2.605095
     2579.84755      2579.84035         -0.1174          2.5900         18.2139         99.9000         -6.1949         -2.7240       -2.723994        2.590044
     2579.85450      2579.84730         -4.5009          2.6019         18.2090         99.9000         -3.3441         -2.7240       -1.316133        2.601880
     2579.86144      2579.85424          1.5269          2.5442         18.2333         99.9000          0.5239         -2.7240       -2.468156        2.544158
     2579.86839      2579.86118         -3.2208          2.5077         18.2490         99.9000         -0.6722         -2.7120       -2.933300        2.507715
     2579.87533      2579.86813         -4.1343          2.4954         18.2543         99.9000         -3.6496         -2.7120       -4.841197        2.495446
     2579.88228      2579.87507         -1.0373          2.4500         18.2743         99.9000         -4.9427         -2.6922       -3.470998        2.450001
     2579.88922      2579.88202         -2.5576          2.4347         18.2811         99.9000         -5.5045         -2.7120       -2.692247        2.434679
     2579.89616      2579.88896         -2.8582          2.4222         18.2867         99.9000         -4.5291         -2.6922       -3.610409        2.422235
     2579.90311      2579.89591         -0.7156          2.4009         18.2963         99.9000         -2.6761         -2.6405       -2.203900        2.400869
     2579.91005      2579.90285         -6.6560          2.4232         18.2862         99.9000         -4.8196         -2.4729       -3.473737        2.423217
     2579.91700      2579.90980         -4.4716          2.3644         18.3129         99.9000         -4.3533         -2.6405       -0.547711        2.364413
     2579.92394      2579.91674         -6.4159          2.3428         18.3229         99.9000         -3.9076         -2.6922       -5.470903        2.342762
     2579.93089      2579.92368          3.7469          2.3130         18.3368         99.9000         -2.6407         -2.6922        0.547211        2.312980
     2579.93783      2579.93063         -4.3520          2.3009         18.3425         99.9000         -1.6178         -2.6922       -1.601899        2.300879
     2579.94478      2579.93757         -2.3424          2.2971         18.3443         99.9000         -3.0433         -2.6922       -3.957187        2.297091
     2579.95172      2579.94452         -4.7830          2.2584         18.3627         99.9000         -2.4469         -2.6922       -2.907042        2.258379
     2579.95867      2579.95146          4.0566          2.2713         18.3565         99.9000         -1.2437         -2.6922        0.353376        2.271348
     2579.96561      2579.95841          1.0967          2.2321         18.3754         99.9000         -2.8148         -2.6405        1.252628        2.232068
     2579.97256      2579.96535          7.1506          2.1972         18.3041          0.3336         -3.3806         -2.6405        1.401312        2.197166
     2579.97950      2579.97230         -0.8099          2.1920         18.3951         99.9000         -2.2382         -2.6405       -2.472885        2.192006
     2579.98645      2579.97924         -5.8440          2.1619         18.4101         99.9000         -4.4531         -2.6405       -2.741602        2.161889
     2579.99339      2579.98618          4.9547          2.1532         18.4145         99.9000         -5.6075         -2.6405       -0.093342        2.153152
     2580.00033      2579.99313         -5.2663          2.1457         18.4183         99.9000         -1.9128         -2.6405       -4.393160        2.145660
     2580.00728      2580.00007         -5.6831          2.1353         18.4235         99.9000         -0.9598         -2.6405       -3.769662        2.135315
     2580.01422      2580.00702         -3.8442          2.1248         18.4289         99.9000          0.6532         -2.6405       -2.712040        2.124795
     2580.02117      2580.01396         -0.7263          2.0944         18.4446         99.9000         -0.0522         -2.6405       -1.566091        2.094387
     2580.02811      2580.02091         -0.7775          2.0775         18.4533         99.9000          1.5074         -2.6405       -2.348074        2.077502
     2580.03506      2580.02785         -0.3463          2.0675         18.4586         99.9000          0.4888         -2.6405       -0.650218        2.067488
     2580.04200      2580.03480          0.2551          2.0697         18.4574         99.9000          0.9972         -2.4729       -1.651834        2.069734
     2580.04895      2580.04174         -4.8141          2.0614         18.4618         99.9000          0.3333         -2.3845       -3.206262        2.061411
     2580.05589      2580.04868         -1.7540          2.0937         18.4449         99.9000         -3.7512         -2.3481       -2.640488        2.093707
     2580.06284      2580.05563          3.9215          2.0419         18.4721         99.9000         -2.2619         -2.2899        0.486384        2.041919
     2580.06978      2580.06257         -2.9471          2.0380         18.4742         99.9000         -1.8256         -2.2899        0.511236        2.038044
     2580.07672      2580.06952         -3.6647          1.9948         18.4975         99.9000         -1.9283         -2.2899       -4.619758        1.994784
     2580.08367      2580.07646         -8.3167          1.9906         18.4997         99.9000         -2.6696         -2.2899       -4.438993        1.990604
     2580.09061      2580.08341         -5.0749          1.9980         18.4957         99.9000         -1.3846         -2.2899       -3.035516        1.997969
     2580.09756      2580.09035         -1.6832          1.9795         18.5058         99.9000         -1.4801         -2.1243       -1.589306        1.979455
     2580.10450      2580.09730         -2.9526          1.9550         18.5193         99.9000         -4.3362         -2.1243       -0.914107        1.954989
     2580.11145      2580.10424         -8.0276          1.9540         18.5199         99.9000          0.0762         -2.1243       -2.289850        1.954041
     2580.11839      2580.11118         -5.3877          1.9474         18.5235         99.9000         -0.8726         -1.9325       -3.029099        1.947439
     2580.12534      2580.11813         -0.6989          1.9126         18.5431         99.9000          0.4439         -1.9325        0.800475        1.912604
     2580.13228      2580.12507         -1.1617          1.9157         18.5414         99.9000          0.4141         -2.1243       -2.986727        1.915658
     2580.13923      2580.13202         -1.8802          1.8914         18.5552         99.9000          2.0068         -2.2899       -3.551166        1.891397
     2580.14617      2580.13896         -3.4979          1.9171         18.5406         99.9000          0.1487         -2.3481       -3.261793        1.917106
     2580.15312      2580.14591         -4.5735          1.9056         18.5471         99.9000          1.4789         -2.2899       -3.854781        1.905581
     2580.16006      2580.15285          0.1404          1.8413         18.5844         99.9000         -3.0265         -2.1243       -1.659576        1.841343
     2580.16701      2580.15980         -3.1285          1.8293         18.5915         99.9000         -0.8237         -2.1243       -2.124270        1.829344
     2580.17395      2580.16674         -2.6709          1.8606         18.5731         99.9000         -3.5428         -1.9325       -1.595249        1.860604
     2580.18090      2580.17368         -1.4877          1.7990         18.6096         99.9000         -3.7173         -1.8214       -3.308928        1.798966
     2580.18784      2580.18063         -1.2777          1.8061         18.6053         99.9000         -1.1910         -1.8214       -0.813779        1.806111
     2580.19478      2580.18757         -4.5613          1.8934         18.5541         99.9000         -7.5989         -1.8214       -2.384464        1.893370
     2580.20173      2580.19452         -2.4573          1.8192         18.5975         99.9000          2.1240         -1.6596       -0.835084        1.819169
     2580.20867      2580.20146          5.1485          1.8074         18.6046         99.9000         -1.5151         -1.8214        2.534885        1.807357
     2580.21562      2580.20841         -0.6305          1.9090         18.5452         99.9000         -5.7682         -1.8214       -1.365492        1.909023
     2580.22256      2580.21535         -2.2190          1.8927         18.5545         99.9000         -9.6574         -1.8214       -1.266248        1.892701
     2580.22951      2580.22230         -5.2732          1.7871         18.6168         99.9000         -0.7723         -1.8214       -2.501902        1.787076
     2580.23645      2580.22924         -5.7635          1.8924         18.5547         99.9000         -6.8540         -1.8214       -1.932503        1.892388
     2580.24340      2580.23618         -1.3938          1.8815         18.5609         99.9000         -7.6924         -1.8214       -3.205541        1.881490
     2580.25034      2580.24313         -3.1174          1.8056         18.6056         99.9000         -1.7440         -1.8214       -1.637011        1.805647
     2580.25729      2580.25007         -1.3871          1.7873         18.6167         99.9000         -2.3750         -1.7434       -1.018941        1.787288
     2580.26423      2580.25702         -3.0619          1.8399         18.5852         99.9000         -8.7235         -1.6720       -0.923459        1.839886
     2580.27118      2580.26396         -1.8018          1.7425         18.6443         99.9000         -2.9633         -1.6720       -0.925799        1.742515
     2580.27812      2580.27091         -1.6133          1.7070         18.6666         99.9000         -2.5909         -1.6720       -1.461366        1.706956
     2580.28507      2580.27785         -2.7030          1.7099         18.6648         99.9000         -4.3540         -1.6596       -3.087550        1.709894
     2580.29201      2580.28480         -2.8542          1.7079         18.6661         99.9000         -3.0788         -1.6370       -2.549853        1.707877
     2580.29895      2580.29174         -2.2525          1.6911         18.6768         99.9000         -1.2528         -1.6370       -2.408836        1.691132
     2580.30590      2580.29868         -3.7547          1.6861         18.6800         99.9000         -3.6149         -1.6156       -2.502422        1.686137
     2580.31284      2580.30563          0.7288          1.7306         18.6517         99.9000         -9.3800         -1.5952       -1.478399        1.730556
