# reference_flux:         -3.3314
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2579.80516      2579.79867         -8.1278          2.7798         18.1372         99.9000         -8.0307         -2.2885       -1.600654        2.779775
     2579.81211      2579.80562          0.8504          2.6863         18.1743         99.9000         -8.8009         -2.2885        1.760908        2.686340
     2579.81905      2579.81256         -4.7249          2.6271         18.1985         99.9000         -9.5663         -2.2885       -3.608475        2.627124
     2579.82600      2579.81951         -0.3631          2.6020         18.2089         99.9000         -2.6078         -2.2885       -0.793318        2.602020
     2579.83294      2579.82645         -6.5671          2.6206         18.2012         99.9000          6.9687         -2.2328       -4.623479        2.620613
     2579.83989      2579.83340          1.7125          2.6048         18.2078         99.9000          3.8249         -2.2328       -4.474311        2.604785
     2579.84683      2579.84034         -0.5006          2.5718         18.2216         99.9000          3.5547         -2.2885       -1.721934        2.571820
     2579.85378      2579.84728         -1.4293          2.5221         18.2428         99.9000          4.6901         -2.2885       -2.371560        2.522062
     2579.86072      2579.85423          2.1744          2.4959         18.2541         99.9000        -10.7102         -2.2328        0.510933        2.495932
     2579.86766      2579.86117         -1.7439          2.4465         18.2758         99.9000         -0.5963         -2.2328       -0.387446        2.446476
     2579.87461      2579.86812          2.3545          2.4410         18.2783         99.9000          2.1646         -2.2328        0.637590        2.441009
     2579.88155      2579.87506         -8.7978          2.4395         18.2789         99.9000         -9.3304         -2.2328       -3.781280        2.439498
     2579.88850      2579.88201         -0.2597          2.4971         18.2536         99.9000        -10.8388         -2.1669       -3.455594        2.497095
     2579.89544      2579.88895         -8.4671          2.5165         18.2452         99.9000         -0.6871         -2.1386       -5.872064        2.516498
     2579.90239      2579.89590         -8.1320          2.5835         18.2167         99.9000         -7.1962         -2.1669       -4.125472        2.583549
     2579.90933      2579.90284        -11.6897          2.5516         18.2302         99.9000         -8.2358         -2.2328       -1.178730        2.551609
     2579.91628      2579.90978         -5.1789          2.5391         18.2355         99.9000         -8.3092         -2.2885       -2.288454        2.539102
     2579.92322      2579.91673         -5.5103          2.4940         18.2550         99.9000         -7.6733         -2.2328       -3.372410        2.493991
     2579.93016      2579.92367         -2.2327          2.4564         18.2714         99.9000         -6.5693         -2.2885       -2.232802        2.456442
     2579.93711      2579.93062         -4.5320          2.4352         18.2809         99.9000         -5.9214         -2.2885       -1.214122        2.435194
     2579.94405      2579.93756         -2.9292          2.4210         18.2872         99.9000         -9.5668         -2.2328       -2.353800        2.421001
     2579.95100      2579.94451         -1.4609          2.4048         18.2945         99.9000        -10.0374         -2.2328       -2.858114        2.404804
     2579.95794      2579.95145          0.1007          2.3826         18.3046         99.9000         -7.7884         -2.1669       -1.341634        2.382566
     2579.96489      2579.95840         -4.8235          2.3527         18.3183         99.9000         -7.5035         -2.2328       -1.416580        2.352687
     2579.97183      2579.96534          0.6498          2.3103         18.3380         99.9000         -8.5007         -2.2328        0.488024        2.310270
     2579.97878      2579.97228         -8.6657          2.3648         18.3127         99.9000         -1.1861         -2.2885       -5.603952        2.364795
     2579.98572      2579.97923          0.1987          2.2697         18.3573         99.9000         -4.7591         -2.2885        0.545337        2.269704
     2579.99266      2579.98617         -1.6875          2.2802         18.3523         99.9000         -6.8258         -2.2328       -1.191368        2.280170
     2579.99961      2579.99312         -6.0896          2.3372         18.3255         99.9000         -4.0936         -2.2328       -1.951064        2.337190
     2580.00655      2580.00006         -6.3042          2.3677         18.3114         99.9000         -4.6860         -2.2026       -2.382973        2.367738
     2580.01350      2580.00701         -6.6032          2.4275         18.2843         99.9000         -5.9228         -2.2026       -6.472737        2.427522
     2580.02044      2580.01395         -6.1881          2.3158         18.3355         99.9000         -5.0563         -2.2026       -2.166912        2.315781
     2580.02739      2580.02090         -2.7890          2.3058         18.3401         99.9000         -6.3276         -2.1669       -2.138636        2.305794
     2580.03433      2580.02784         -3.3305          2.3915         18.3005         99.9000         -1.8250         -2.1669       -2.873897        2.391535
     2580.04128      2580.03478         -5.2185          2.3829         18.3044         99.9000         -7.7207         -2.1669       -6.117001        2.382947
     2580.04822      2580.04173          1.2156          2.3360         18.3260         99.9000         -6.5412         -2.1669        2.381259        2.335980
     2580.05517      2580.04867         -1.1658          2.2913         18.3470         99.9000         -2.9635         -2.1386       -1.217973        2.291263
     2580.06211      2580.05562         -7.7154          2.2652         18.3594         99.9000         -6.3841         -2.1386      -11.649617        2.265185
     2580.06905      2580.06256         -4.5368          2.2229         18.3799         99.9000         -7.5103         -1.9975       -2.692544        2.222869
     2580.07600      2580.06951         -3.9799          2.2613         18.3613         99.9000         -3.5468         -1.9511       -5.184116        2.261315
     2580.08294      2580.07645         -3.6348          2.1988         18.3917         99.9000         -4.1408         -1.9511       -1.445516        2.198830
     2580.08989      2580.08340         -2.0811          2.1837         18.3992         99.9000          0.3311         -1.5894       -3.985073        2.183693
     2580.09683      2580.09034         -4.8106          2.1815         18.4003         99.9000         -6.9256         -1.4455       -3.026435        2.181459
     2580.10378      2580.09728          2.1874          2.0711         18.4567         99.9000         -6.8223         -1.4166       -0.565207        2.071127
     2580.11072      2580.10423          3.3017          2.1295         18.4265         99.9000         -8.6083         -1.4455       -0.294271        2.129511
     2580.11767      2580.11117          0.8392          2.2298         18.3765         99.9000        -11.5730         -1.4166       -1.109486        2.229835
     2580.12461      2580.11812         -3.2092          2.1777         18.4022         99.9000         -6.7022         -1.3416       -3.132582        2.177692
     2580.13155      2580.12506         -0.1021          2.1316         18.4254         99.9000        -11.6085         -1.4166        0.622424        2.131637
     2580.13850      2580.13201         -6.9037          2.1530         18.4146         99.9000          0.3478         -1.2180       -3.820793        2.152992
     2580.14544      2580.13895          6.0764          2.2360         18.3735         99.9000         -0.0420         -1.2180        0.305797        2.235954
     2580.15239      2580.14590          8.4069          2.1628         18.1284          0.2793         -9.1460         -1.1914        0.757001        2.162805
     2580.15933      2580.15284          2.0045          2.1150         18.4339         99.9000          1.1435         -1.2121       -2.202648        2.114998
     2580.16628      2580.15978         -0.5912          2.0740         18.4552         99.9000         -5.3319         -1.2180       -0.832865        2.074003
     2580.17322      2580.16673         -2.1694          2.0657         18.4595         99.9000          0.0064         -1.2121       -3.447174        2.065737
     2580.18017      2580.17367          1.5580          2.0641         18.4604         99.9000         -1.7551         -1.1449        4.232450        2.064095
     2580.18711      2580.18062         -1.3860          2.0700         18.4573         99.9000         -1.8185         -1.1449       -0.391493        2.070008
     2580.19405      2580.18756         -1.3381          2.0629         18.4610         99.9000         -5.5091         -1.1095       -0.981850        2.062935
     2580.20100      2580.19451         -0.6692          2.0672         18.4587         99.9000         -1.0730         -1.0199       -0.307620        2.067184
     2580.20794      2580.20145         -4.8104          2.0527         18.4664         99.9000         -3.3014         -0.9818       -1.997511        2.052701
     2580.21489      2580.20840          2.8372          2.0615         18.4617         99.9000         -5.5281         -0.9818       -1.589359        2.061496
     2580.22183      2580.21534         -6.3271          2.0789         18.4526         99.9000         -4.9786         -0.9818       -3.683007        2.078892
     2580.22878      2580.22228         -5.3467          2.1139         18.4345         99.9000         -5.4115         -0.9818       -1.019899        2.113851
     2580.23572      2580.22923          4.0783          2.1517         18.4153         99.9000         -7.0247         -0.9377        1.647661        2.151669
     2580.24267      2580.23617          0.1510          2.1718         18.4052         99.9000         -6.1406         -0.9377        0.281113        2.171766
     2580.24961      2580.24312          0.2157          2.1872         18.3975         99.9000         -5.2651         -0.8329        1.132299        2.187236
     2580.25656      2580.25006          0.8733          2.1770         18.4025         99.9000        -11.9613         -0.8329        0.027915        2.177021
     2580.26350      2580.25701         -1.3141          2.1440         18.4191         99.9000        -12.6482         -0.8329       -0.571114        2.144038
     2580.27044      2580.26395         -1.3947          2.1315         18.4255         99.9000        -12.1525         -0.5711       -1.660006        2.131450
     2580.27739      2580.27090          0.7764          2.0995         18.4419         99.9000        -12.5910         -0.8329       -0.387439        2.099466
     2580.28433      2580.27784          2.1854          2.0780         18.4531         99.9000        -10.4066         -0.8329        0.779201        2.077968
     2580.29128      2580.28478         -5.9815          2.0621         18.4614         99.9000        -11.3282         -0.5711       -3.963385        2.062138
     2580.29822      2580.29173          5.2520          2.0419         18.4721         99.9000        -13.4618         -0.5711        1.905258        2.041887
     2580.30517      2580.29867          0.8908          2.0321         18.4773         99.9000        -15.4952         -0.5711       -1.144858        2.032089
     2580.31211      2580.30562         -0.9128          2.0266         18.4803         99.9000        -11.6376         -0.3915       -0.937728        2.026641
     2580.31906      2580.31256         -3.9183          2.0244         18.4814         99.9000        -14.0530         -0.3915       -1.212054        2.024439
     2580.32600      2580.31951         -4.9792          2.0484         18.4687         99.9000        -15.7379         -0.3915       -2.841095        2.048356
     2580.33294      2580.32645          1.8432          2.0891         18.4473         99.9000        -17.0162         -0.3915        1.031362        2.089106
     2580.33989      2580.33339         -4.3109          2.1304         18.4260         99.9000        -16.4881         -0.3874        0.043375        2.130426
     2580.34683      2580.34034         -5.3997          2.0545         18.4654         99.9000        -16.1748         -0.3076       -3.715562        2.054502
     2580.35378      2580.34728         -2.5321          2.0462         18.4698         99.9000        -19.5656         -0.3076       -0.118264        2.046156
     2580.36072      2580.35423          2.2171          2.0400         18.4731         99.9000        -22.3632         -0.3076        2.677469        2.039968
     2580.36767      2580.36117          3.7151          2.1142         18.4343         99.9000        -20.7091         -0.2882        1.156525        2.114209
     2580.37461      2580.36812         -1.6539          2.0536         18.4659         99.9000        -22.5123         -0.1979       -2.228908        2.053564
     2580.38156      2580.37506          2.0888          1.9844         18.5031         99.9000        -18.7189         -0.1369       -0.197908        1.984443
     2580.38850      2580.38201          1.9967          1.9375         18.5291         99.9000        -20.5088         -0.1183       -1.868415        1.937464
     2580.39544      2580.38895          1.3086          1.9279         18.5345         99.9000        -18.1854         -0.1183        0.728869        1.927861
     2580.40239      2580.39589         -1.0611          1.9312         18.5326         99.9000        -17.9010         -0.0850       -1.177339        1.931231
     2580.40933      2580.40284          3.9855          1.9540         18.5199         99.9000        -21.0824         -0.0850        2.646342        1.954022
     2580.41628      2580.40978         -9.3661          1.9731         18.5093         99.9000        -18.6762         -0.0850       -2.964896        1.973124
     2580.42322      2580.41673          0.8557          1.9707         18.5107         99.9000        -19.9994         -0.0850       -1.417185        1.970673
     2580.43017      2580.42367          5.1080          1.9549         18.5194         99.9000        -21.5463         -0.1183       -0.013301        1.954858
     2580.43711      2580.43062          1.9059          1.9421         18.5265         99.9000        -22.1383         -0.1183       -2.230888        1.942077
     2580.44406      2580.43756          2.8632          1.9305         18.5330         99.9000        -24.9384         -0.1183        1.127219        1.930467
     2580.45100      2580.44451         -0.1741          1.9385         18.5285         99.9000        -22.2898         -0.0850       -0.288232        1.938498
     2580.45795      2580.45145         -2.9431          1.9570         18.5182         99.9000        -18.6117         -0.0850       -2.004876        1.956983
     2580.46489      2580.45839          5.7175          1.9873         18.5015         99.9000        -25.4802         -0.0850        0.162109        1.987316
     2580.47183      2580.46534          0.7013          1.9099         18.5447         99.9000        -22.9938         -0.0850       -0.136882        1.909868
     2580.47878      2580.47228          2.1611          1.9116         18.5437         99.9000        -23.9875         -0.0814        0.491747        1.911638
     2580.48572      2580.47923         -0.0841          1.9690         18.5116         99.9000        -20.0051         -0.0454        0.894633        1.968990
     2580.49267      2580.48617          0.5980          1.9188         18.5396         99.9000        -23.4555         -0.0454       -0.481439        1.918752
     2580.49961      2580.49312          2.6145          1.8917         18.5551         99.9000        -22.2749         -0.0133        0.548556        1.891690
     2580.50656      2580.50006          4.9682          1.8683         18.5686         99.9000        -25.8702         -0.0133        1.969782        1.868264
     2580.51350      2580.50701         -0.2346          1.8604         18.5732         99.9000        -23.3957         -0.0133        0.646055        1.860374
     2580.52045      2580.51395         -2.2909          1.8745         18.5650         99.9000        -26.8755         -0.0133       -0.917679        1.874469
     2580.52739      2580.52089          2.3084          1.8910         18.5555         99.9000        -24.8779          0.0857        0.586192        1.890955
     2580.53433      2580.52784          0.6163          1.9193         18.5393         99.9000        -27.9249          0.0857       -0.084953        1.919307
     2580.54128      2580.53478          1.3728          1.9369         18.5295         99.9000        -27.0881          0.0857        1.454976        1.936857
     2580.54822      2580.54173         -0.7184          1.9431         18.5260         99.9000        -33.4607          0.1621        0.674690        1.943082
     2580.55517      2580.54867         -4.8404          1.9661         18.5132         99.9000        -25.4837          0.3043       -0.198802        1.966148
     2580.56211      2580.55562          1.0484          1.9737         18.5090         99.9000        -30.1697          0.4915        0.995014        1.973700
     2580.56906      2580.56256         -0.4739          1.9834         18.5037         99.9000        -29.4759          0.3043        0.491529        1.983406
     2580.57600      2580.56950          0.3551          1.9694         18.5113         99.9000        -27.4873          0.3043       -0.081387        1.969433
     2580.58295      2580.57645          6.9790          1.9577         18.3305          0.3046        -33.2408          0.1621        0.594290        1.957686
