# reference_flux:        134.6781
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2579.80476      2579.79867        111.8907          2.6071         15.3180          0.0253          3.3770         -4.6618       -6.290701        2.607124
     2579.81170      2579.80562        119.8047          2.6832         15.2438          0.0243          4.4798         -4.6618       -2.324028        2.683237
     2579.81865      2579.81256        117.9479          2.5642         15.2608          0.0236          1.9989         -4.6618       -5.346035        2.564208
     2579.82559      2579.81951        125.0628          2.5465         15.1972          0.0221          1.4860         -4.6618       -2.769892        2.546498
     2579.83254      2579.82645        120.3722          2.5632         15.2387          0.0231          7.6687         -4.6618       -0.623996        2.563215
     2579.83948      2579.83340        114.8619          2.5077         15.2896          0.0237          2.4489         -4.2921       -3.105012        2.507652
     2579.84643      2579.84034        119.0349          2.5260         15.2508          0.0230          8.5558         -4.2921       -5.520540        2.526044
     2579.85337      2579.84728        116.3551          2.4595         15.2755          0.0230         -3.7814         -4.2921       -0.556721        2.459523
     2579.86032      2579.85423        114.8817          2.4263         15.2894          0.0229          7.4292         -4.2921       -3.234227        2.426342
     2579.86726      2579.86117        115.5304          2.4147         15.2833          0.0227         -2.4559         -4.1469       -4.734957        2.414701
     2579.87421      2579.86812        125.1991          2.4126         15.1960          0.0209         12.4510         -4.1469       -2.202566        2.412604
     2579.88115      2579.87506        122.5002          2.3855         15.2197          0.0211         10.9288         -4.1469       -4.957819        2.385463
     2579.88810      2579.88201        121.8876          2.3635         15.2251          0.0211         11.7978         -4.2921       -2.980189        2.363456
     2579.89504      2579.88895        123.4763          2.3791         15.2110          0.0209          4.7142         -4.2921       -4.146890        2.379086
     2579.90199      2579.89590        120.1956          2.3693         15.2403          0.0214         -3.0534         -4.6618       -4.661828        2.369327
     2579.90893      2579.90284        115.1379          2.3519         15.2870          0.0222         -2.7630         -4.2921       -5.376474        2.351880
     2579.91587      2579.90978        118.8937          2.3356         15.2521          0.0213          5.9184         -4.6618       -4.929868        2.335561
     2579.92282      2579.91673        118.4144          2.3203         15.2565          0.0213         -5.1941         -4.7350       -5.742422        2.320281
     2579.92976      2579.92367        122.8930          2.2971         15.2162          0.0203          2.4163         -4.7350       -6.050603        2.297129
     2579.93671      2579.93062        116.4894          2.2839         15.2743          0.0213          1.4831         -4.8812       -5.951790        2.283855
     2579.94365      2579.93756        126.8959          2.3001         15.1814          0.0197         -0.6243         -4.8812       -3.738836        2.300062
     2579.95060      2579.94451        118.1999          2.2719         15.2585          0.0209         -6.6251         -4.8812       -5.341842        2.271863
     2579.95754      2579.95145        119.8628          2.2531         15.2433          0.0204          1.4961         -4.8812       -4.292064        2.253124
     2579.96449      2579.95840        124.0885          2.2799         15.2057          0.0199         -0.9954         -4.9299       -3.660469        2.279943
