# reference_flux:        201.2637
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2609.09221      2609.08338        205.1815          4.3418         14.6597          0.0230        -87.3555          9.7225       10.596033        4.341842
     2609.09915      2609.09032        204.0985          4.2876         14.6654          0.0228        -85.6244         10.2727       12.839409        4.287605
     2609.10610      2609.09726        206.0132          4.2085         14.6553          0.0222        -86.6669          9.7225       11.073043        4.208497
     2609.11304      2609.10421        202.4776          4.1532         14.6741          0.0223        -80.9614          9.7225        4.488457        4.153207
     2609.11999      2609.11115        200.7584          4.1212         14.6833          0.0223        -81.1807          9.7225       11.211675        4.121237
     2609.12693      2609.11810        201.6886          4.0751         14.6783          0.0219        -77.6641          9.7225       10.532147        4.075108
     2609.13388      2609.12504        212.9466          3.9950         14.6193          0.0204        -72.7658          9.7225       14.942086        3.995037
     2609.14082      2609.13199        210.5766          3.9196         14.6315          0.0202        -68.5232          9.1841        6.414695        3.919640
     2609.14777      2609.13893        196.2626          3.9030         14.7079          0.0216        -70.9997          9.1841       11.941521        3.903022
     2609.15471      2609.14588        208.9512          3.8165         14.6399          0.0198        -70.1715          9.1841       11.349880        3.816497
     2609.16165      2609.15282        192.7289          3.7527         14.7276          0.0211        -68.5348          9.1841        4.691361        3.752681
     2609.16860      2609.15976        206.2951          3.6744         14.6538          0.0193        -67.5408          9.1841       12.366746        3.674396
     2609.17554      2609.16671        204.0150          3.6228         14.6658          0.0193        -62.1983          9.0787       15.325915        3.622829
     2609.18249      2609.17365        205.8634          3.5926         14.6561          0.0189        -61.6247          8.8152        3.270848        3.592639
     2609.18943      2609.18060        200.4760          3.5504         14.6848          0.0192        -56.3641          8.8152        9.078699        3.550432
     2609.19638      2609.18754        205.6524          3.5195         14.6572          0.0186        -58.0326          8.6260        8.815185        3.519533
     2609.20332      2609.19449        197.9342          3.5048         14.6987          0.0192        -55.9885          8.1081        9.184068        3.504759
     2609.21027      2609.20143        205.4786          3.4466         14.6581          0.0182        -54.6204          8.6260       10.272676        3.446600
     2609.21721      2609.20838        208.8237          3.3927         14.6406          0.0176        -51.4597          8.1081        9.722507        3.392741
     2609.22416      2609.21532        206.1034          3.3750         14.6548          0.0178        -52.3787          8.0075        8.108057        3.375010
     2609.23110      2609.22226        212.1620          3.3213         14.6233          0.0170        -48.3023          7.8037        8.626048        3.321333
     2609.23804      2609.22921        203.5242          3.3243         14.6685          0.0177        -48.8396          7.8037        7.133306        3.324272
     2609.24499      2609.23615        201.9681          3.2861         14.6768          0.0177        -51.3807          7.6975       10.326488        3.286074
     2609.25193      2609.24310        210.4780          3.2602         14.6320          0.0168        -60.3900          7.5749        6.478851        3.260227
     2609.25888      2609.25004        209.8025          3.2017         14.6355          0.0166        -48.7666          7.1738       11.894471        3.201701
     2609.26582      2609.25699        197.6368          3.1800         14.7003          0.0175        -49.1038          7.1333        3.901213        3.180027
     2609.27277      2609.26393        199.6231          3.1715         14.6895          0.0172        -49.8731          6.9552        2.806006        3.171519
     2609.27971      2609.27088        194.7838          3.1364         14.7161          0.0175        -48.2745          6.4789        7.574870        3.136443
     2609.28666      2609.27782        211.3829          3.0931         14.6273          0.0159        -55.7240          6.4789        7.803687        3.093085
     2609.29360      2609.28476        201.5844          3.0572         14.6789          0.0165        -46.1353          6.4147        7.173795        3.057181
     2609.30054      2609.29171        201.6637          3.0207         14.6784          0.0163        -47.4441          6.1656        6.108582        3.020699
     2609.30749      2609.29865        202.8003          2.9929         14.6723          0.0160        -47.5159          6.1086        3.366171        2.992921
     2609.31443      2609.30560        200.6560          2.9692         14.6839          0.0161        -55.1972          6.1086        5.363422        2.969170
     2609.32138      2609.31254        205.3258          2.8994         14.6589          0.0153        -44.6546          5.5083        7.697483        2.899447
     2609.32832      2609.31949        207.5336          2.8774         14.6473          0.0151        -51.1440          5.4423        8.007539        2.877357
     2609.33527      2609.32643        201.0754          2.8684         14.6816          0.0155        -52.0819          5.4423        4.867231        2.868404
     2609.34221      2609.33338        203.5577          2.8136         14.6683          0.0150        -42.9270          5.3634        5.311330        2.813624
     2609.34916      2609.34032        198.6968          2.7893         14.6945          0.0152        -52.4090          5.3113        1.954114        2.789324
     2609.35610      2609.34726        198.5276          2.7541         14.6954          0.0151        -43.2048          5.3113        4.793677        2.754102
     2609.36305      2609.35421        198.0785          2.7137         14.6979          0.0149        -44.2654          5.0868        1.318815        2.713686
     2609.36999      2609.36115        210.9588          2.6779         14.6295          0.0138        -50.6424          4.8672        9.445014        2.677928
     2609.37693      2609.36810        206.2401          2.6210         14.6541          0.0138        -49.5050          4.8108        5.442281        2.621012
     2609.38388      2609.37504        206.6482          2.5952         14.6519          0.0136        -46.0114          4.7937        0.854682        2.595245
     2609.39082      2609.38199        200.9231          2.5338         14.6824          0.0137        -41.5820          4.7937        6.165616        2.533777
     2609.39777      2609.38893        208.1678          2.4938         14.6440          0.0130        -43.3460          4.3560        0.998326        2.493758
     2609.40471      2609.39588        203.1966          2.4588         14.6702          0.0131        -45.8288          4.3405        4.220901        2.458758
     2609.41166      2609.40282        198.0589          2.4232         14.6980          0.0133        -45.9176          4.2209        3.591344        2.423187
     2609.41860      2609.40976        206.9467          2.4100         14.6504          0.0126        -46.9119          4.1737        4.173656        2.410044
     2609.42555      2609.41671        206.4933          2.3674         14.6527          0.0124        -46.5884          4.1346        6.955167        2.367360
     2609.43249      2609.42365        203.8141          2.3518         14.6669          0.0125        -48.1387          3.9295        4.810757        2.351789
     2609.43944      2609.43060        201.8893          2.3094         14.6772          0.0124        -43.3869          3.9295        1.860272        2.309394
     2609.44638      2609.43754        202.5706          2.2888         14.6736          0.0123        -44.4937          3.9295        3.929532        2.288752
     2609.45332      2609.44449        198.6223          2.2743         14.6949          0.0124        -42.0479          3.8592        0.115694        2.274325
