# reference_flux:         -4.2326
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2609.09186      2609.08338          4.9195          3.6740         17.8343         99.9000         77.5966          7.3225       12.946501        3.674002
     2609.09880      2609.09032         -2.8883          3.6322         17.8468         99.9000         68.5596          7.3225        7.337191        3.632184
     2609.10574      2609.09726         -3.7163          3.5880         17.8601         99.9000         64.9754          7.3225        1.087662        3.587966
     2609.11269      2609.10421         -0.4502          3.5428         17.8738         99.9000         64.8589          7.3225        4.906476        3.542826
     2609.11963      2609.11115          1.0506          3.4987         17.8874         99.9000         60.9103          7.3225        7.512847        3.498735
     2609.12658      2609.11810         -4.6013          3.4573         17.9003         99.9000         58.7377          7.1092        1.478401        3.457347
     2609.13352      2609.12504          0.1233          3.4168         17.9132         99.9000         67.5436          7.3225       11.660040        3.416788
     2609.14047      2609.13199          2.0724          3.3877         17.9224         99.9000         56.9955          7.3225        0.198049        3.387736
     2609.14741      2609.13893          5.9377          3.3434         17.9367         99.9000         54.9291          7.3305        9.734536        3.343396
     2609.15436      2609.14588         -3.7870          3.3045         17.9494         99.9000         63.4302          7.3225        7.109231        3.304548
     2609.16130      2609.15282          6.3136          3.2686         17.9613         99.9000         38.1424          7.3225        7.425048        3.268558
     2609.16825      2609.15976         11.9515          3.2332         17.7464          0.2937         37.4161          7.3305       10.201070        3.233151
     2609.17519      2609.16671          0.5203          3.1944         17.9862         99.9000         38.1232          7.3225        7.598392        3.194360
     2609.18213      2609.17365          0.3827          3.1639         17.9966         99.9000         28.8650          7.2669        1.084706        3.163890
     2609.18908      2609.18060         11.5420          3.1357         17.7843          0.2950         30.3512          7.1092       11.975283        3.135669
     2609.19602      2609.18754          4.6922          3.1055         18.0169         99.9000         29.7417          7.1092        8.326386        3.105492
     2609.20297      2609.19449         -3.2045          3.0769         18.0269         99.9000         38.9969          6.5512        3.628511        3.076932
     2609.20991      2609.20143         -2.6499          3.0509         18.0361         99.9000         36.8021          6.5512        5.721763        3.050938
     2609.21686      2609.20838         -4.3138          3.0260         18.0450         99.9000         27.3700          6.5512        2.983725        3.025995
     2609.22380      2609.21532          4.3131          3.0030         18.0533         99.9000         28.7050          6.5512       12.278765        3.003035
     2609.23075      2609.22226          7.6887          2.9844         18.0601         99.9000         29.7567          6.3633        8.802845        2.984354
