# reference_flux:         34.2867
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2609.09193      2609.08338         14.8812          3.8484         17.5084          0.2808       -205.5500         -3.5937      -15.972479        3.848352
     2609.09887      2609.09032         29.9420          3.8002         16.7493          0.1378       -205.1254         -3.5937        1.157787        3.800206
     2609.10582      2609.09726         23.7958          3.7535         16.9988          0.1713       -182.0852         -3.5937        1.229230        3.753467
     2609.11276      2609.10421         19.2893          3.7166         17.2267          0.2092       -194.2047         -3.5937       -5.130128        3.716618
     2609.11971      2609.11115         13.0567          3.6711         17.6504          0.3053       -173.5326         -3.5937      -16.812013        3.671105
     2609.12665      2609.11810         28.7717          3.6334         16.7926          0.1371       -200.5037         -3.5937        0.534705        3.633419
     2609.13360      2609.12504         20.8323          3.6091         17.1432          0.1881       -192.8791         -3.5937       -6.730832        3.609061
     2609.14054      2609.13199         22.6480          3.5624         17.0524          0.1708       -186.9409         -3.5937       -6.176997        3.562358
     2609.14749      2609.13893          9.5590          3.5239         17.8796         99.9000       -176.0504         -3.5937      -15.629102        3.523949
     2609.15443      2609.14588         23.5353          3.4874         17.0107          0.1609       -176.4157         -2.3494       -4.584535        3.487403
     2609.16137      2609.15282         41.5647          3.4589         16.3932          0.0904       -186.6567         -2.3494        3.027508        3.458939
     2609.16832      2609.15976         20.9295          3.4194         17.1381          0.1774       -170.5828         -3.5937       -0.101802        3.419387
     2609.17526      2609.16671         27.2614          3.3864         16.8511          0.1349       -174.5206         -3.5937        1.698166        3.386383
     2609.18221      2609.17365         29.8976          3.3525         16.7509          0.1217       -162.8761         -3.9908        0.639751        3.352460
     2609.18915      2609.18060         23.0567          3.3215         17.0330          0.1564       -164.1202         -3.9908      -14.487376        3.321519
     2609.19610      2609.18754         23.1601          3.2987         17.0281          0.1546       -159.3792         -3.9908       -7.555434        3.298682
     2609.20304      2609.19449         20.5953          3.2660         17.1556          0.1722       -155.1263         -3.9908       -3.593688        3.265963
     2609.20999      2609.20143         21.7559          3.2410         17.0961          0.1617       -155.8070         -3.9908       -7.787061        3.241004
     2609.21693      2609.20838         25.1342          3.2272         16.9393          0.1394       -146.2423         -3.5937       -1.749430        3.227246
     2609.22388      2609.21532         23.2942          3.2014         17.0219          0.1492       -146.5434         -3.9908        5.261088        3.201440
     2609.23082      2609.22226         38.4011          3.1788         16.4791          0.0899       -155.2293         -3.7296        3.333370        3.178792
     2609.23776      2609.22921         12.6794          3.1579         17.6823          0.2704       -133.4052         -3.5937      -11.086435        3.157895
     2609.24471      2609.23615         25.9416          3.1426         16.9050          0.1315       -141.2948         -3.5937       -0.192941        3.142596
     2609.25165      2609.24310         23.7667          3.1202         17.0001          0.1425       -132.2353         -3.5937        5.374614        3.120167
     2609.25860      2609.25004         23.2410          3.1038         17.0244          0.1450       -142.2962         -3.4369        0.319359        3.103767
     2609.26554      2609.25699          5.6902          3.0855         18.0239         99.9000       -131.3766         -2.3494      -14.001848        3.085539
     2609.27249      2609.26393         25.4076          3.0583         16.9276          0.1307       -147.2506         -3.4369       -1.172060        3.058261
     2609.27943      2609.27088         27.6372          3.0412         16.8363          0.1195       -132.7528         -3.4369       -2.163504        3.041208
     2609.28638      2609.27782         30.9217          3.0186         16.7143          0.1060       -140.4135         -3.4369       -1.727188        3.018559
     2609.29332      2609.28476         31.3760          2.9975         16.6985          0.1037       -137.3648         -2.3494        0.910825        2.997489
     2609.30027      2609.29171         28.1122          2.9771         16.8178          0.1150       -136.7157         -3.4369       -9.268950        2.977094
     2609.30721      2609.29865         15.8725          2.9590         17.4384          0.2024       -123.9993         -3.4369       -3.990805        2.958951
     2609.31415      2609.30560         19.0435          2.9383         17.2406          0.1675       -119.7749         -3.4369       -2.349406        2.938349
     2609.32110      2609.31254         19.9605          2.9116         17.1896          0.1584       -122.5405         -2.3494       -9.071443        2.911592
     2609.32804      2609.31949         17.9649          2.8897         17.3039          0.1746       -120.0875         -2.1635       -5.216749        2.889655
     2609.33499      2609.32643         16.3250          2.8349         17.4079          0.1885       -154.5292         -2.3494        3.050732        2.834914
     2609.34193      2609.33338          9.0069          2.8133         18.0536          0.3391       -145.5980         -2.3494      -14.949729        2.813307
     2609.34888      2609.34032         26.7089          2.8200         16.8734          0.1146       -122.8125         -2.3494        0.341247        2.820016
     2609.35582      2609.34726         23.0066          2.7900         17.0354          0.1317       -117.3714         -2.5066      -11.055211        2.790036
     2609.36277      2609.35421         24.1263          2.7408         16.9838          0.1233       -151.8894         -2.3494       -6.060886        2.740754
     2609.36971      2609.36115         19.0560          2.7080         17.2399          0.1543       -151.6838         -2.1635       -7.987212        2.707987
     2609.37666      2609.36810         16.1784          2.6925         17.4177          0.1807       -166.8162         -2.1635        2.173154        2.692462
