# reference_flux:        -29.7396
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2609.09246      2609.08338        -21.8098          4.4969         17.6149         99.9000        191.9742         -2.7666       -6.829803        4.496876
     2609.09940      2609.09032        -20.8964          4.4558         17.6249         99.9000        188.2951         -2.6705       -5.500778        4.455753
     2609.10634      2609.09726        -30.1576          4.4150         17.6349         99.9000        192.1132         -2.6705       -6.208499        4.414995
     2609.11329      2609.10421        -17.3342          4.3752         17.6447         99.9000        182.8580         -2.6705        8.043626        4.375235
     2609.12023      2609.11115        -24.9665          4.3315         17.6556         99.9000        188.5062         -2.6705       -1.823198        4.331472
     2609.12718      2609.11810        -29.8166          4.2896         17.6662         99.9000        189.3880         -2.6705       -8.407880        4.289567
     2609.13412      2609.12504        -18.9934          4.2325         17.6807         99.9000        179.8106         -2.6705       -4.588256        4.232475
     2609.14107      2609.13199        -20.6224          4.1899         17.6917         99.9000        180.9140         -2.2604       -1.372752        4.189854
     2609.14801      2609.13893        -14.9606          4.1399         17.7047         99.9000        135.8468         -2.2604       -1.294686        4.139889
     2609.15496      2609.14588        -19.8863          4.1071         17.7134         99.9000        128.9292         -2.2604       -3.011116        4.107058
     2609.16190      2609.15282        -10.1946          4.0618         17.7254         99.9000        116.0848         -2.6705       -4.661564        4.061771
     2609.16884      2609.15976        -23.3004          4.0331         17.7331         99.9000        131.2607         -2.6705        2.506356        4.033100
     2609.17579      2609.16671        -19.3418          3.9976         17.7427         99.9000        122.1256         -2.6705       -2.670495        3.997621
     2609.18273      2609.17365        -12.9979          3.9691         17.7505         99.9000        164.7228         -2.7666       -2.260369        3.969115
     2609.18968      2609.18060        -10.7720          3.9266         17.7622         99.9000        157.0486         -2.6705        1.114878        3.926615
     2609.19662      2609.18754         -5.9885          3.8991         17.7698         99.9000        120.8689         -2.6705        8.123388        3.899125
     2609.20357      2609.19449        -24.7365          3.8763         17.7762         99.9000        120.0511         -2.6705        1.397319        3.876273
     2609.21051      2609.20143        -23.8749          3.7986         17.7981         99.9000        159.1959         -2.6705       -6.770975        3.798604
     2609.21746      2609.20838        -12.5255          3.8377         17.7870         99.9000        155.2446         -2.2604        7.068561        3.837654
     2609.22440      2609.21532        -20.0575          3.8127         17.7941         99.9000        158.2567         -2.1686       -4.626549        3.812656
     2609.23135      2609.22226        -18.9189          3.7939         17.7995         99.9000        153.2442         -2.1686       -1.979624        3.793916
     2609.23829      2609.22921        -15.4259          3.7642         17.8080         99.9000        110.7453         -2.2604       -5.372107        3.764161
