# reference_flux:        412.4927
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2609.09240      2609.08338        402.1429          4.3367         13.9290          0.0117         65.4986          0.2888       -0.546207        4.336680
     2609.09935      2609.09032        407.5807          4.2708         13.9145          0.0114         66.6234          0.2888        0.288842        4.270765
     2609.10629      2609.09726        408.2781          3.7576         13.9126          0.0100         51.1166          0.5517        0.178433        3.757567
     2609.11324      2609.10421        416.6669          4.1956         13.8905          0.0109         66.7726          0.5517        0.690691        4.195551
     2609.12018      2609.11115        403.6373          4.1564         13.9250          0.0112         62.6061          0.5517        1.106647        4.156377
     2609.12713      2609.11810        406.7295          3.6755         13.9167          0.0098         56.5604          0.5517       -3.089136        3.675499
     2609.13407      2609.12504        404.3284          3.6251         13.9232          0.0097         56.1979          0.6907       -1.950963        3.625100
     2609.14102      2609.13199        402.3290          2.8649         13.9285          0.0077         39.5877          0.5517       -5.188715        2.864877
     2609.14796      2609.13893        409.5733          2.8392         13.9092          0.0075         35.5272          0.5517        1.102784        2.839232
     2609.15491      2609.14588        407.5403          2.8311         13.9146          0.0075         44.2109          0.2888       -2.134890        2.831068
     2609.16185      2609.15282        405.8802          3.5249         13.9190          0.0094         49.3737          0.2888        2.014758        3.524879
     2609.16880      2609.15976        400.0779          3.4478         13.9346          0.0094         57.1209          0.5517       -1.143230        3.447756
     2609.17574      2609.16671        406.9111          3.3944         13.9163          0.0091         50.5374          0.5517        6.286847        3.394424
     2609.18268      2609.17365        411.4208          2.6401         13.9043          0.0070         38.5991          0.5517       -0.356171        2.640079
     2609.18963      2609.18060        413.4828          2.5738         13.8989          0.0068         30.9232          0.5517        3.884283        2.573824
     2609.19657      2609.18754        415.0568          2.5545         13.8947          0.0067         27.9894          0.6907        3.212121        2.554468
     2609.20352      2609.19449        410.2025          2.5088         13.9075          0.0066         29.0901          0.5517        3.099110        2.508841
     2609.21046      2609.20143        412.0259          2.5412         13.9027          0.0067         31.7009          0.5517        1.172547        2.541165
     2609.21741      2609.20838        410.5081          2.5135         13.9067          0.0066         30.0825          0.6907       -0.439619        2.513538
     2609.22435      2609.21532        409.1477          2.5313         13.9103          0.0067         33.6082          0.6907        1.311198        2.531305
     2609.23130      2609.22226        414.4855          2.5063         13.8962          0.0066         28.9257          0.6907        0.072895        2.506255
     2609.23824      2609.22921        409.1123          2.5032         13.9104          0.0066         34.1754          1.1028        1.804289        2.503218
     2609.24519      2609.23615        409.4344          2.5022         13.9095          0.0066         32.0602          1.1066       -0.001515        2.502250
     2609.25213      2609.24310        409.9481          2.4642         13.9082          0.0065         37.0652          1.1258        1.308652        2.464171
     2609.25908      2609.25004        410.8331          2.4278         13.9058          0.0064         32.9367          1.1725        0.551697        2.427772
     2609.26602      2609.25699        408.4606          2.3493         13.9121          0.0062         29.1957          1.1725        1.257879        2.349307
     2609.27296      2609.26393        404.8043          2.3494         13.9219          0.0063         35.3040          1.1725        1.125798        2.349445
     2609.27991      2609.27088        407.8855          2.2730         13.9137          0.0061         33.2034          1.1725       -1.465477        2.272986
     2609.28685      2609.27782        413.4803          2.2671         13.8989          0.0060         32.3367          1.2579        2.559351        2.267113
     2609.29380      2609.28476        412.5140          2.2493         13.9014          0.0059         31.9456          1.2579        2.379440        2.249329
     2609.30074      2609.29171        409.7837          2.2555         13.9086          0.0060         35.4382          1.2579       -0.901242        2.255457
     2609.30769      2609.29865        408.0687          2.2367         13.9132          0.0060         32.2293          1.2579        3.164307        2.236730
     2609.31463      2609.30560        407.1171          2.2355         13.9157          0.0060         30.8543          1.3087       -0.898920        2.235523
     2609.32158      2609.31254        402.0427          2.2252         13.9293          0.0060         32.8636          1.3112        1.760018        2.225197
     2609.32852      2609.31949        413.2235          2.2241         13.8995          0.0058         31.2364          1.3112        1.572833        2.224105
     2609.33546      2609.32643        408.9404          2.1833         13.9108          0.0058         33.7964          1.3087        2.205959        2.183279
     2609.34241      2609.33338        405.8806          2.1464         13.9190          0.0057         28.4939          1.3112       -0.829699        2.146399
     2609.34935      2609.34032        410.6433          2.1173         13.9063          0.0056         23.5239          1.3112        3.945325        2.117278
     2609.35630      2609.34726        413.6385          2.0776         13.8984          0.0055         22.8846          1.3112        3.892458        2.077571
     2609.36324      2609.35421        407.5050          2.1575         13.9147          0.0057         25.2605          1.3087       -2.375562        2.157461
     2609.37019      2609.36115        409.7003          2.1294         13.9088          0.0056         24.1674          1.3087        0.052963        2.129405
     2609.37713      2609.36810        415.8538          2.0890         13.8926          0.0055         21.3450          1.2579        2.575997        2.089042
     2609.38408      2609.37504        417.9324          2.3566         13.8872          0.0061         25.8695          1.2579        3.724125        2.356565
     2609.39102      2609.38199        422.4522          2.3687         13.8756          0.0061         27.5617          1.2579        3.006545        2.368706
     2609.39797      2609.38893        414.1052          2.3398         13.8972          0.0061         24.1873          1.1596        2.545313        2.339786
     2609.40491      2609.39588        415.0549          2.3376         13.8947          0.0061         24.6439          1.1596        3.363574        2.337601
     2609.41186      2609.40282        415.3110          2.3505         13.8941          0.0061         20.2092          1.1596        1.697883        2.350549
     2609.41880      2609.40976        417.4799          2.2668         13.8884          0.0059         27.0055          1.1596        2.079259        2.266753
     2609.42574      2609.41671        414.6810          2.2836         13.8957          0.0060         26.2023          1.1596        0.818462        2.283586
     2609.43269      2609.42365        417.5838          2.8910         13.8881          0.0075         41.6185          1.1596        0.275638        2.891005
     2609.43963      2609.43060        400.9016          2.8824         13.9324          0.0078         42.4835          1.1596       -4.732924        2.882424
     2609.44658      2609.43754        418.1483          2.8357         13.8867          0.0074         31.3886          1.1596        1.320279        2.835712
     2609.45352      2609.44449        405.8372          2.8086         13.9191          0.0075         34.8747          1.1596       -2.827074        2.808575
     2609.46047      2609.45143        416.5621          2.8097         13.8908          0.0073         30.6200          1.0031        1.003104        2.809660
     2609.46741      2609.45838        413.7713          2.7845         13.8981          0.0073         36.3082          0.9339        0.933912        2.784464
     2609.47436      2609.46532        411.1171          2.7767         13.9051          0.0073         36.7465          0.9339        1.376021        2.776663
     2609.48130      2609.47226        414.4147          2.7549         13.8964          0.0072         30.4615          0.9333        4.219634        2.754878
     2609.48825      2609.47921        409.8784          2.7663         13.9084          0.0073         32.2948          0.9333        1.159613        2.766319
     2609.49519      2609.48615        408.3519          2.7511         13.9124          0.0073         37.5565          0.8185       -1.297676        2.751089
     2609.50214      2609.49310        413.9677          2.7383         13.8976          0.0072         34.8262          0.8185        1.686651        2.738304
     2609.50908      2609.50004        416.7587          2.7255         13.8903          0.0071         29.7680          0.7922        1.363845        2.725516
     2609.51602      2609.50699        408.8832          2.7083         13.9110          0.0072         29.7505          0.7922       -4.588806        2.708307
     2609.52297      2609.51393        407.0082          2.6775         13.9160          0.0071         28.9548          0.5068       -1.267559        2.677481
     2609.52991      2609.52088        413.5164          2.7989         13.8988          0.0073         34.9249          0.5068        1.543942        2.798889
     2609.53686      2609.52782        403.8146          2.7867         13.9245          0.0075         35.8319          0.5068       -2.181410        2.786669
     2609.54380      2609.53476        412.4361          2.7787         13.9016          0.0073         33.4079          0.5068        0.933341        2.778730
     2609.55075      2609.54171        406.4187          2.7839         13.9176          0.0074         34.0266          0.2887       -4.685418        2.783947
     2609.55769      2609.54865        400.2821          2.7751         13.9341          0.0075         31.0132          0.2887       -4.520087        2.775134
     2609.56464      2609.55560        406.7791          2.7720         13.9166          0.0074         25.0851          0.2756       -5.978882        2.771990
     2609.57158      2609.56254        404.3179          2.7761         13.9232          0.0075         28.6904         -0.3639        1.281428        2.776133
     2609.57853      2609.56949        411.6628          2.7699         13.9036          0.0073         28.8210         -0.6503       -4.343257        2.769910
     2609.58547      2609.57643        411.0511          2.7787         13.9053          0.0073         27.6263         -0.8277        4.811850        2.778738
     2609.59242      2609.58338        404.0491          2.1806         13.9239          0.0059         16.2201         -1.2676       -0.650318        2.180624
     2609.59936      2609.59032        404.3984          2.8035         13.9230          0.0075         26.5161         -1.2977        2.387866        2.803456
     2609.60630      2609.59726        406.6616          2.7824         13.9169          0.0074         20.6208         -1.3401       -1.997702        2.782352
     2609.61325      2609.60421        413.4704          2.7779         13.8989          0.0073         23.9680         -1.3401        0.506787        2.777867
     2609.62019      2609.61115        403.1912          2.7854         13.9262          0.0075         28.0859         -1.3401       -3.410684        2.785422
     2609.62714      2609.61810        399.3288          2.7546         13.9367          0.0075         26.7761         -1.3401       -3.755645        2.754552
     2609.63408      2609.62504        401.2593          2.7902         13.9314          0.0075         24.3473         -1.4818       -5.319711        2.790159
     2609.64103      2609.63199        409.6427          2.8169         13.9090          0.0075         15.4212         -1.5602        0.792249        2.816916
     2609.64797      2609.63893        403.2116          2.7823         13.9262          0.0075         25.9407         -1.5602       -8.260815        2.782304
     2609.65492      2609.64588        409.2894          2.8058         13.9099          0.0074         25.5579         -1.9977       -6.103249        2.805828
     2609.66186      2609.65282        404.6344          2.6349         13.9223          0.0071         23.3264         -1.9977        1.182617        2.634879
     2609.66881      2609.65976        412.2009          2.6362         13.9022          0.0069         17.2496         -2.1797       -1.340098        2.636219
     2609.67575      2609.66671        408.6506          2.3576         13.9116          0.0063         21.0043         -2.1797       -4.635471        2.357597
     2609.68270      2609.67365        409.2685          2.6223         13.9100          0.0070         18.5085         -2.1814       -3.950973        2.622267
     2609.68964      2609.68060        408.9428          2.6061         13.9108          0.0069         21.7602         -2.1797        2.276704        2.606080
     2609.69658      2609.68754        407.5325          2.6134         13.9146          0.0070         16.2899         -2.1797       -0.363910        2.613386
     2609.70353      2609.69449        410.6088          2.3542         13.9064          0.0062         14.2723         -2.1814        0.288731        2.354225
     2609.71047      2609.70143        407.1466          2.6127         13.9156          0.0070         12.5414         -2.1797       -5.609543        2.612681
     2609.71742      2609.70838        414.1020          2.7310         13.8972          0.0072         23.7024         -2.1797        2.115974        2.730953
     2609.72436      2609.71532        406.5486          2.3155         13.9172          0.0062         16.7369         -2.0326       -0.827691        2.315531
     2609.73131      2609.72226        400.0701          2.7170         13.9347          0.0074         21.6705         -1.9977       -5.735147        2.716985
     2609.73825      2609.72921        405.4641          2.6654         13.9201          0.0071         23.0611         -1.9895       -3.381289        2.665366
