# reference_flux:          4.2100
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2609.09220      2609.08338         -5.7651          3.2041         17.9829         99.9000         14.4080         -1.1459       -3.309561        3.204113
     2609.09915      2609.09032         -4.0648          3.1220         18.0111         99.9000         -6.2152         -1.1459       -0.403161        3.122024
     2609.10609      2609.09726          1.2365          3.0255         18.0452         99.9000         -8.8905         -0.7437       -5.465638        3.025543
     2609.11304      2609.10421          1.5232          3.0152         18.0489         99.9000         -1.4706         -0.7437       -2.781837        3.015239
     2609.11998      2609.11115         -4.8872          2.9330         18.0789         99.9000         -2.5048         -0.7437        0.127787        2.933016
     2609.12693      2609.11810          2.0533          2.9027         18.0902         99.9000          0.3304         -0.7437        0.591442        2.902656
     2609.13387      2609.12504         -1.7255          2.8819         18.0980         99.9000          0.7112         -0.7437       -2.901379        2.881904
     2609.14082      2609.13199         -7.5112          2.9141         18.0859         99.9000         -7.3143         -0.7437       -3.850460        2.914063
     2609.14776      2609.13893          5.3111          2.8406         18.1137         99.9000          1.9486         -1.1459       -0.660834        2.840567
     2609.15470      2609.14588         -1.3212          2.8408         18.1136         99.9000         -1.0080         -1.1459       -2.566596        2.840817
     2609.16165      2609.15282         -4.3672          2.8014         18.1288         99.9000         -0.6546         -1.1459       -1.748212        2.801379
     2609.16859      2609.15976         -0.2902          2.7838         18.1356         99.9000          0.4096         -1.1459       -0.740577        2.783794
     2609.17554      2609.16671          2.8789          2.7782         18.1378         99.9000         -0.7805         -0.9181       -1.145898        2.778179
     2609.18248      2609.17365         -2.9634          2.7048         18.1668         99.9000          2.1395         -1.1459       -2.496117        2.704846
     2609.18943      2609.18060         -0.7758          2.6810         18.1765         99.9000          4.5842         -0.9181       -0.078469        2.680987
     2609.19637      2609.18754         -2.8694          2.7073         18.1658         99.9000          0.4672         -0.9181       -0.743715        2.707337
     2609.20332      2609.19449          3.3371          2.6651         18.1829         99.9000          2.6148         -1.1459       -0.142298        2.665102
     2609.21026      2609.20143          3.6771          2.6758         18.1785         99.9000          1.0602         -0.9181       -0.335079        2.675844
     2609.21721      2609.20838          7.0324          2.6555         18.1868         99.9000          0.7540         -0.9181        4.538806        2.655486
     2609.22415      2609.21532         -6.9673          2.6374         18.1943         99.9000          1.0338         -1.1459       -4.428017        2.637395
     2609.23110      2609.22226          6.1885          2.6255         18.1992         99.9000         -0.9140         -1.1459        1.205300        2.625486
     2609.23804      2609.22921         -7.8414          2.6205         18.2012         99.9000         -7.0595         -0.9181       -1.484703        2.620527
     2609.24499      2609.23615         -0.3280          2.6449         18.1912         99.9000          2.3494         -0.9181       -1.311906        2.644941
     2609.25193      2609.24310         -1.5786          2.6115         18.2050         99.9000          4.7014         -0.9181        0.216580        2.611547
     2609.25887      2609.25004         -0.1549          2.5996         18.2099         99.9000          6.1195         -0.8842        0.728010        2.599640
     2609.26582      2609.25699          0.1413          2.5238         18.2421         99.9000          5.0009         -0.8501        1.233879        2.523771
     2609.27276      2609.26393          0.7206          2.5376         18.2361         99.9000          2.4912         -0.8501        0.609645        2.537614
     2609.27971      2609.27088         -2.9492          2.4998         18.2524         99.9000          2.8576         -0.7437       -4.760983        2.499830
     2609.28665      2609.27782         -1.1371          2.4687         18.2660         99.9000          3.4037         -0.7406        0.448958        2.468734
     2609.29360      2609.28476         -5.7567          2.4976         18.2534         99.9000          5.1390         -0.7406       -2.665022        2.497642
     2609.30054      2609.29171          1.1492          2.4646         18.2678         99.9000          5.2112         -0.7406       -0.438435        2.464563
     2609.30749      2609.29865         -4.9265          2.4570         18.2712         99.9000          5.1545         -0.7406       -1.426038        2.457016
     2609.31443      2609.30560          2.5349          2.4436         18.2771         99.9000          0.7769         -0.6608        1.905509        2.443623
     2609.32138      2609.31254         -0.8887          2.4260         18.2850         99.9000          5.8839         -0.7406       -0.918074        2.426007
     2609.32832      2609.31949         -0.6626          2.4195         18.2879         99.9000          3.3331         -0.7406       -3.337751        2.419481
     2609.33526      2609.32643          5.2222          2.4137         18.2905         99.9000          4.6965         -0.5761        3.827237        2.413654
     2609.34221      2609.33338         -0.2475          2.3635         18.3133         99.9000          1.8836         -0.5761       -3.353959        2.363484
     2609.34915      2609.34032          0.4722          2.3460         18.3214         99.9000          4.6061         -0.5145       -0.576099        2.346012
     2609.35610      2609.34726         -1.1784          2.3052         18.3404         99.9000          3.7950         -0.5145       -3.390994        2.305200
     2609.36304      2609.35421          3.0089          2.3216         18.3327         99.9000          0.4458         -0.5145       -2.452512        2.321640
     2609.36999      2609.36115          1.6646          2.2834         18.3507         99.9000          2.9826         -0.4384       -0.850064        2.283436
     2609.37693      2609.36810         -5.6061          2.2201         18.3812         99.9000          2.9533         -0.5145       -3.305416        2.220145
     2609.38388      2609.37504         -8.0976          2.2523         18.3656         99.9000          5.9870         -0.5761       -4.736472        2.252335
     2609.39082      2609.38199          1.7284          2.2242         18.3793         99.9000          2.1351         -0.5761        0.793109        2.224225
     2609.39777      2609.38893          2.3737          2.1890         18.3966         99.9000          2.7432         -0.5145       -0.111431        2.189037
     2609.40471      2609.39588          1.9007          2.1619         18.4101         99.9000          4.1062         -0.5761       -1.389181        2.161927
     2609.41166      2609.40282         -0.3115          2.1504         18.4159         99.9000          4.7979         -0.5145       -0.884205        2.150437
     2609.41860      2609.40976         -0.5359          2.1384         18.4220         99.9000          3.0976         -0.4384       -0.294208        2.138351
     2609.42554      2609.41671          5.6200          2.1083         18.4374         99.9000          1.5217         -0.5145        0.721909        2.108295
     2609.43249      2609.42365          3.3153          2.1045         18.4393         99.9000          6.8320         -0.5145        1.085442        2.104476
     2609.43943      2609.43060          1.8098          2.0919         18.4458         99.9000          3.9631         -0.5761        2.872576        2.091949
     2609.44638      2609.43754          1.1142          2.0847         18.4496         99.9000          5.2933         -0.7210        0.859139        2.084670
     2609.45332      2609.44449         -3.5163          2.0611         18.4619         99.9000          6.1423         -0.7210        0.211898        2.061101
     2609.46027      2609.45143          5.1110          2.0467         18.4695         99.9000          6.2168         -0.7210        2.064761        2.046738
     2609.46721      2609.45838         -1.2942          2.0643         18.4603         99.9000          3.1218         -0.6436       -0.808444        2.064301
     2609.47416      2609.46532          4.6651          2.0187         18.4845         99.9000          3.7829         -0.7210       -0.221975        2.018690
     2609.48110      2609.47226          2.0979          2.0171         18.4854         99.9000         10.2132         -0.6436       -1.693364        2.017066
     2609.48805      2609.47921         -0.6304          1.9975         18.4960         99.9000          3.0649         -0.6436       -1.953936        1.997540
     2609.49499      2609.48615         -1.9916          1.9990         18.4952         99.9000          6.1359         -0.5761       -0.514533        1.998972
     2609.50194      2609.49310          1.4061          2.0138         18.4872         99.9000          3.3175         -0.5761       -0.720968        2.013779
     2609.50888      2609.50004          1.6130          1.9870         18.5017         99.9000          3.6565         -0.5761       -0.102371        1.986966
     2609.51583      2609.50699          0.4477          2.0017         18.4937         99.9000          6.5708         -0.5145       -3.470050        2.001738
     2609.52277      2609.51393          5.6345          1.9918         18.4991         99.9000         -0.2145         -0.5145        0.739311        1.991792
     2609.52971      2609.52088          5.4843          1.9835         18.5036         99.9000          3.4689         -0.2942        1.469395        1.983543
     2609.53666      2609.52782          3.1941          1.9744         18.5086         99.9000          2.0315         -0.2308       -3.198801        1.974407
     2609.54360      2609.53476          1.1235          1.9390         18.5283         99.9000         -0.7835         -0.2220       -0.727160        1.938953
     2609.55055      2609.54171          3.2679          1.9632         18.5148         99.9000          4.1510         -0.1728        0.513564        1.963183
     2609.55749      2609.54865          3.6140          1.9614         18.5158         99.9000          2.9826         -0.1728        1.255109        1.961360
     2609.56444      2609.55560          2.5212          1.9365         18.5296         99.9000          6.8232         -0.2220       -0.847995        1.936539
     2609.57138      2609.56254          6.0643          1.9487         18.4831          0.3489          3.4498         -0.2304       -0.041622        1.948661
     2609.57833      2609.56949          3.9993          1.9384         18.5286         99.9000          5.1265         -0.2220       -0.026262        1.938438
     2609.58527      2609.57643          1.8477          1.9461         18.5243         99.9000          0.2430         -0.1728       -0.808055        1.946118
     2609.59222      2609.58338          5.4944          1.9370         18.5293         99.9000          6.2128         -0.1728        0.963539        1.937045
     2609.59916      2609.59032         -2.7539          1.9605         18.5163         99.9000          3.3371         -0.2220       -1.159213        1.960486
