# reference_flux:        293.3740
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2607.93892      2607.93062        344.7685          3.8889         14.0962          0.0122       1713.4076         46.1398       40.111344        3.888945
     2607.94587      2607.93756        326.1431          3.8782         14.1565          0.0129       1734.9903         46.1398       41.315617        3.878197
     2607.95281      2607.94450        346.4434          4.0216         14.0909          0.0126       1806.8332         46.1398       55.032649        4.021597
     2607.95976      2607.95145        337.8875          4.0861         14.1181          0.0131       1866.8818         46.1398       35.006944        4.086131
     2607.96670      2607.95839        350.2465          4.0755         14.0791          0.0126       1876.3795         46.1398       57.218871        4.075542
     2607.97365      2607.96534        329.5615          4.1404         14.1452          0.0136       1941.4195         46.1398       41.388575        4.140394
     2607.98059      2607.97228        349.4168          4.2047         14.0816          0.0131       1995.4310         46.1398       46.139838        4.204675
     2607.98754      2607.97923        336.8321          4.2661         14.1215          0.0138       2015.8781         44.4092       42.526504        4.266123
     2607.99448      2607.98617        345.5137          4.3317         14.0938          0.0136       2026.0759         44.4092       44.409176        4.331670
     2608.00142      2607.99312        369.3066          4.4010         14.0215          0.0129       2085.4344         42.5265       70.387989        4.400984
     2608.00837      2608.00006        352.5874          4.4680         14.0718          0.0138       2102.3825         42.5265       55.559197        4.467989
     2608.01531      2608.00700        365.9844          4.5341         14.0313          0.0135       2149.9885         41.3886       69.082821        4.534150
     2608.02226      2608.01395        359.4421          4.6035         14.0509          0.0139       2200.7557         41.3886       68.917713        4.603541
     2608.02920      2608.02089        374.1628          4.6725         14.0073          0.0136       2219.7531         41.3156       76.594210        4.672550
     2608.03615      2608.02784        387.9916          4.7389         13.9679          0.0133       2257.9833         41.3156       78.337386        4.738940
     2608.04309      2608.03478        373.3963          4.8107         14.0096          0.0140       2280.0213         40.1113       77.996126        4.810671
     2608.05004      2608.04173        384.7483          4.9102         13.9771          0.0139       2349.0813         40.1113       90.084502        4.910247
     2608.05698      2608.04867        371.0584          4.9787         14.0164          0.0146       2382.5926         35.0069       60.531722        4.978692
     2608.06392      2608.05562        397.8587          5.0548         13.9407          0.0138       2383.0567         35.0069       74.129669        5.054817
     2609.20976      2609.20145        297.2040          3.9642         14.2574          0.0145       -425.8795         16.2659        3.677059        3.964196
     2609.21670      2609.20839        295.3532          3.9421         14.2641          0.0145       -420.1391         11.9857       -0.471174        3.942136
     2609.22365      2609.21534        278.4155          3.9232         14.3283          0.0153       -342.2630          9.7421       -1.409844        3.923219
     2609.23059      2609.22228        300.6459          3.9004         14.2449          0.0141       -429.7478          7.9656       16.265858        3.900387
     2609.23754      2609.22923        295.3733          3.8836         14.2641          0.0143       -421.2617          5.9088        7.965605        3.883615
     2609.24448      2609.23617        296.5325          3.8607         14.2598          0.0141       -437.4410          4.4872        0.819443        3.860667
     2609.25143      2609.24312        291.5224          3.8374         14.2783          0.0143       -431.8053          3.6771        2.013308        3.837409
     2609.25837      2609.25006        289.9401          3.8138         14.2842          0.0143       -400.4043          2.0133       -3.524426        3.813843
