# reference_flux:         10.6594
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2607.93715      2607.93061         13.6825          2.4917         17.5996          0.1977       -260.6304          2.3176        2.023260        2.491739
     2607.94410      2607.93755          9.5666          2.5275         17.9881          0.2869       -288.4123          2.3547        3.132356        2.527501
     2607.95104      2607.94449         11.1732          2.5417         17.8196          0.2470       -287.7735          2.3547        2.354701        2.541716
     2607.95799      2607.95144         16.5371          2.5845         17.3938          0.1697       -275.6768          2.3547       -1.310697        2.584465
     2607.96493      2607.95838          5.9278          2.6108         18.2053         99.9000       -218.1983          2.3176       -2.347962        2.610819
     2607.97188      2607.96533         14.8086          2.6297         17.5137          0.1928       -300.5299          2.3547        7.882290        2.629703
     2607.97882      2607.97227         14.8896          2.6592         17.5078          0.1939       -248.8664          2.3547        8.417997        2.659211
     2607.98577      2607.97922          5.3735          2.6994         18.1690         99.9000       -294.1553          2.3547        2.571918        2.699446
     2607.99271      2607.98616          5.9267          2.7164         18.1622         99.9000       -274.3297          2.3547       -0.104033        2.716432
     2607.99965      2607.99310         11.6575          2.7592         17.7735          0.2570       -266.6964          2.3547        2.956679        2.759174
     2608.00660      2608.00005         15.0189          2.8226         17.4984          0.2041       -275.3786          2.3547        1.246497        2.822641
     2608.01354      2608.00699         20.1419          2.8345         17.1797          0.1528       -353.4787          2.3547        5.533532        2.834491
     2608.02049      2608.01394          5.1643          2.8627         18.1053         99.9000       -353.3839          2.3547        1.175912        2.862717
     2608.02743      2608.02088         12.1351          2.9227         17.7299          0.2615       -252.0534          2.3547       -1.572125        2.922692
     2608.03438      2608.02783         11.7324          2.9197         17.7665          0.2702       -328.1484          2.5719        0.864690        2.919747
     2608.04132      2608.03477         15.3562          2.9672         17.4743          0.2098       -280.9683          2.5719        3.436569        2.967201
     2608.04826      2608.04172         11.9605          2.9953         17.7456          0.2719       -244.8121          2.5719        3.269431        2.995334
     2608.05521      2608.04866          8.7044          3.0310         18.0432         99.9000       -270.8106          2.9567        2.317585        3.030979
     2608.06215      2608.05560          3.4164          3.0681         18.0300         99.9000       -244.9037          2.9567       -4.936636        3.068120
     2608.06910      2608.06255         11.2777          3.0962         17.8094          0.2981       -276.2026          2.5719      -13.083169        3.096152
     2608.07604      2608.06949         15.5644          3.1234         17.4597          0.2179       -283.1234          2.5719        5.515958        3.123370
     2608.08299      2608.07644         17.9794          3.1524         17.3031          0.1904       -291.4299          2.9567        5.873652        3.152372
     2608.08993      2608.08338         15.3447          3.1838         17.4751          0.2253       -291.4537          3.0608        3.115107        3.183845
     2608.09688      2608.09033         -2.2632          3.2107         17.9807         99.9000       -360.1135          3.0608       -8.288259        3.210665
     2608.10382      2608.09727         15.0950          3.2363         17.4929          0.2328       -226.8865          3.1151       11.343923        3.236291
     2608.11076      2608.10422         21.3024          3.2819         17.1189          0.1673       -285.5791          3.1151       11.817572        3.281935
     2608.11771      2608.11116         13.8134          3.3103         17.5893          0.2602       -286.0833          3.1151        5.041735        3.310285
     2608.12465      2608.11810          8.6316          3.3415         17.9373         99.9000       -287.4271          3.1151        1.522722        3.341512
     2608.13160      2608.12505         15.0399          3.3642         17.4969          0.2429       -293.8250          3.2694        6.372100        3.364186
     2608.13854      2608.13199         11.5073          3.4033         17.7876          0.3211       -285.5720          3.2694        1.130481        3.403336
     2608.14549      2608.13894         12.1586          3.4227         17.7278          0.3056       -293.1309          3.2694        3.060846        3.422700
     2608.15243      2608.14588         15.8525          3.4386         17.4398          0.2355       -295.1811          3.1151        4.828525        3.438573
     2608.15937      2608.15283          7.6546          3.4520         17.9020         99.9000       -299.4264          3.1151       -4.066412        3.451955
     2608.16632      2608.15977         11.0263          3.4567         17.8339          0.3404       -248.8702          3.1151        1.775650        3.456672
     2608.17326      2608.16672          8.1005          3.4685         17.8969         99.9000       -242.1758          3.2694       -1.868434        3.468451
     2608.18021      2608.17366         20.7894          3.4700         17.1454          0.1812       -239.9380          3.2694        4.979967        3.469994
     2608.18715      2608.18060         21.4907          3.4682         17.1094          0.1752       -236.8012          3.1151        4.775109        3.468157
     2608.19410      2608.18755         15.4894          3.4569         17.4649          0.2423       -230.9238          3.1151       12.807597        3.456851
     2608.20104      2608.19449         13.6168          3.4457         17.6048          0.2747       -177.8804          3.1151        4.406832        3.445679
     2608.20799      2608.20144         11.3035          3.4413         17.8070          0.3305       -183.5102          3.2694        5.064169        3.441307
     2608.21493      2608.20838          8.2379          3.4412         17.9054         99.9000       -188.0099          3.1151        4.604716        3.441179
     2608.22187      2608.21533         13.0306          3.4203         17.6526          0.2850       -207.2167          3.0608        3.277571        3.420275
     2608.22882      2608.22227         -0.4541          3.4110         17.9150         99.9000       -194.0660          3.1151       -9.106773        3.410958
     2608.23576      2608.22921          5.8471          3.4089         17.9157         99.9000       -201.3410          3.1151        0.123178        3.408882
     2608.24271      2608.23616         21.1196          3.4076         17.1283          0.1752       -191.3144          3.2776        5.729635        3.407637
     2608.24965      2608.24310         14.2454          3.3985         17.5558          0.2590       -169.5675          3.1151        3.826249        3.398533
     2608.25660      2608.25005         12.3172          3.4051         17.7137          0.3002       -184.6519          3.1151        4.291412        3.405123
     2608.26354      2608.25699         12.1096          3.3847         17.7322          0.3035       -174.5034          3.2776        4.224737        3.384668
     2608.27048      2608.26394          7.6375          3.3913         17.9213         99.9000       -159.8358          3.4803       -1.380727        3.391314
     2608.27743      2608.27088         14.8052          3.3762         17.5140          0.2476       -163.0901          3.4803        3.927704        3.376190
     2608.28437      2608.27783         20.5875          3.3664         17.1560          0.1775       -154.5992          3.4803       -0.972511        3.366352
     2608.29132      2608.28477         21.4597          3.3479         17.1109          0.1694       -163.7939          3.4803        8.205835        3.347915
     2608.29826      2608.29171          3.5811          3.3250         17.9427         99.9000       -152.1941          3.4803       -0.907726        3.325013
     2608.30521      2608.29866         12.2628          3.3325         17.7185          0.2951       -122.4488          3.2776        9.030858        3.332475
     2608.31215      2608.30560         12.4526          3.3151         17.7019          0.2890       -121.3519          3.2776        2.738117        3.315070
     2608.31910      2608.31255         10.6168          3.2740         17.8750          0.3348       -144.8666          3.2776       -1.341544        3.274015
     2608.32604      2608.31949         14.3205          3.2791         17.5501          0.2486       -109.1404          3.0135       -2.803125        3.279142
     2608.33298      2608.32644         10.4920          3.2444         17.8879          0.3357       -136.3408          3.2776        4.371541        3.244357
     2608.33993      2608.33338          5.7468          3.2338         17.9729         99.9000       -138.1995          3.2776       -0.739702        3.233791
     2608.34687      2608.34033         20.2158          3.2200         17.1758          0.1729       -139.3813          3.2776        1.867526        3.219957
     2608.35382      2608.34727         12.1620          3.2009         17.7275          0.2858       -131.5559          3.2776        0.662113        3.200879
     2608.36076      2608.35421         14.7291          3.1865         17.5196          0.2349       -129.5441          3.0135        2.761515        3.186503
     2608.36771      2608.36116         19.5023          3.1939         17.2148          0.1778        -85.5769          2.7615        4.473816        3.193911
     2608.37465      2608.36810         11.2772          3.1691         17.8095          0.3051        -98.4519          2.7615        3.013470        3.169098
     2608.38159      2608.37505          9.6799          3.2393         17.9711         99.9000       -106.5722          2.7381       -2.102009        3.239284
     2608.38854      2608.38199         16.4114          3.1288         17.4021          0.2070       -116.6925          2.7256        3.498040        3.128839
     2608.39548      2608.38894         -0.5769          3.1222         18.0110         99.9000       -108.1162          2.0546       -0.897929        3.122249
     2608.40243      2608.39588         13.4372          3.1816         17.6192          0.2571        -85.9071          2.1315        4.618598        3.181595
     2608.40937      2608.40283          4.5924          3.0982         18.0194         99.9000        -99.6621          2.7256        1.065686        3.098244
     2608.41632      2608.40977          2.3820          3.1469         18.0025         99.9000        -80.7587          2.7256        4.340630        3.146878
     2608.42326      2608.41671         13.2435          3.1323         17.6350          0.2568        -99.8646          2.1315        6.135370        3.132285
     2608.43021      2608.42366         10.8345          3.1764         17.8530          0.3183        -85.8202          2.1315        3.480323        3.176426
     2608.43715      2608.43060          9.5452          3.1677         17.9905          0.3603        -81.9526          2.0546        3.971865        3.167663
     2608.44409      2608.43755         10.6073          3.1757         17.8760          0.3251        -94.4763          2.1315        3.590003        3.175730
     2608.45104      2608.44449         14.1795          3.1779         17.5608          0.2433        -74.2410          2.0546        8.210701        3.177910
     2608.45798      2608.45144         11.8734          3.1394         17.7536          0.2871        -75.1588          2.1315        0.459654        3.139382
     2608.46493      2608.45838         -0.9867          3.1480         18.0021         99.9000        -68.0429          2.1315        2.054557        3.148041
     2608.47187      2608.46533         11.8959          3.1655         17.7515          0.2889        -70.0455          2.7256        0.362827        3.165484
     2608.47882      2608.47227          8.0060          3.1842         17.9897         99.9000        -67.9743          2.7256       -2.417970        3.184193
     2608.48576      2608.47921         18.8022          3.1935         17.2545          0.1844        -68.1432          2.7256       -0.261712        3.193509
     2608.49270      2608.48616         17.8828          3.2010         17.3089          0.1943        -64.5626          2.7615        6.132694        3.201008
     2608.49965      2608.49310          9.9742          3.2150         17.9428          0.3500        -65.2010          3.0135       -1.191318        3.215045
     2608.50659      2608.50005         11.4821          3.2164         17.7899          0.3041        -64.2133          2.7615        0.092801        3.216433
     2608.51354      2608.50699         13.7303          3.2278         17.5958          0.2552        -64.5008          2.7615        4.518503        3.227833
     2608.52048      2608.51394         13.9754          3.2384         17.5766          0.2516        -75.6470          3.0135        2.725646        3.238351
     2608.52743      2608.52088         10.7699          3.2485         17.8595          0.3275        -59.0687          3.4803        1.965402        3.248534
     2608.53437      2608.52783         15.2810          3.2666         17.4796          0.2321        -70.9450          3.4980        6.834653        3.266570
     2608.54132      2608.53477         13.9552          3.2736         17.5782          0.2547        -74.1247          3.4803        0.949370        3.273576
     2608.54826      2608.54171         12.7252          3.2397         17.6783          0.2764        -67.8558          3.4980        1.207391        3.239739
     2608.55520      2608.54866         12.2234          3.2474         17.7220          0.2885        -63.8138          3.5900       -1.150317        3.247444
     2608.56215      2608.55560         11.9061          3.2772         17.7506          0.2988        -65.0568          3.5900        2.131541        3.277157
     2608.56909      2608.56255         13.1447          3.2791         17.6431          0.2709        -56.2515          3.5900        4.075872        3.279127
     2608.57604      2608.56949         12.8113          3.2675         17.6710          0.2769        -59.2063          3.5900        4.374272        3.267520
     2608.58298      2608.57644          7.2024          3.2649         17.9625         99.9000        -56.3948          3.5900        1.421811        3.264894
     2608.58993      2608.58338         15.0645          3.2542         17.4951          0.2345        -44.8444          3.4803        3.739239        3.254241
     2608.59687      2608.59033          9.4933          3.2520         17.9668         99.9000        -48.5751          3.4803       -0.608736        3.252016
     2608.60382      2608.59727         13.0125          3.2515         17.6541          0.2713        -53.9487          3.5900        5.297384        3.251527
     2608.61076      2608.60421          4.5974          3.2577         17.9649         99.9000        -45.8941          3.3303        1.280451        3.257711
     2608.61770      2608.61116         15.5289          3.2686         17.4621          0.2285        -43.8433          3.3303        7.687717        3.268550
     2608.62465      2608.61810         18.0617          3.2756         17.2981          0.1969        -38.4906          3.3303        5.229529        3.275597
     2608.63159      2608.62505         13.8109          3.2715         17.5894          0.2572        -50.5507          3.3303        3.815560        3.271516
     2608.63854      2608.63199         18.6097          3.2797         17.2657          0.1913        -40.0172          3.4760       10.694579        3.279721
     2608.64548      2608.63894         22.4300          3.2887         17.0629          0.1592        -39.9120          3.6083        8.364450        3.288664
     2608.65243      2608.64588         14.4141          3.2876         17.5430          0.2476        -41.7533          3.6083        3.608329        3.287615
     2608.65937      2608.65283         19.6523          3.3008         17.2065          0.1824        -43.4834          3.6722        5.787206        3.300833
     2608.66631      2608.65977         15.7741          3.3078         17.4451          0.2277        -38.4549          3.6083        1.007183        3.307805
     2608.67326      2608.66671          7.7162          3.3184         17.9449         99.9000        -42.5431          3.6083        0.764901        3.318431
     2608.68020      2608.67366         14.9622          3.3217         17.5025          0.2410        -40.7451          3.6083        8.397055        3.321711
     2608.68715      2608.68060          7.5978          3.3307         17.9408         99.9000        -29.3282          3.6083        6.627599        3.330731
     2608.69409      2608.68755         11.7654          3.3289         17.7635          0.3072        -36.3907          3.6722        7.435510        3.328861
     2608.70104      2608.69449          3.1743          3.3229         17.9434         99.9000        -36.0465          3.6722       -1.090127        3.322863
     2608.70798      2608.70144          6.5938          3.3116         17.9471         99.9000        -36.1473          3.6722        3.672194        3.311638
     2608.71493      2608.70838         23.4758          3.3113         17.0134          0.1531        -39.9952          3.6722       14.035132        3.311337
     2608.72187      2608.71533          3.5847          3.2928         17.9533         99.9000        -41.7572          3.7392       -6.164963        3.292770
     2608.72881      2608.72227          7.9805          3.2782         17.9581         99.9000        -28.5979          3.8156        3.330329        3.278155
     2608.73576      2608.72921         12.6005          3.2610         17.6890          0.2810        -35.9984          3.9067        4.723652        3.260951
     2608.74270      2608.73616          5.0253          3.2335         17.9730         99.9000        -31.2445          3.9067        1.040446        3.233544
     2608.74965      2608.74310         10.0828          3.2052         17.9311          0.3451        -31.9009          3.8156        3.076010        3.205170
     2608.75659      2608.75005         22.0384          3.1892         17.0821          0.1571        -30.5158          3.8156        6.153661        3.189221
     2608.76354      2608.75699          9.8916          3.1834         17.9518          0.3494        -29.0776          3.9067        4.652254        3.183411
     2608.77048      2608.76394          5.7009          3.1591         17.9983         99.9000        -32.8015          3.9067       -4.570394        3.159113
     2608.77742      2608.77088         16.8495          3.1537         17.3735          0.2032        -32.3362          3.8156        5.953008        3.153662
     2608.78437      2608.77783          7.9576          3.1465         18.0026         99.9000        -33.1355          3.8156        3.476001        3.146472
     2608.79131      2608.78477          5.2105          3.1318         18.0077         99.9000        -25.9380          3.6722       -0.161002        3.131807
     2608.79826      2608.79171         10.3432          3.1190         17.9034          0.3274        -27.3611          3.6083        7.185224        3.118981
