# reference_flux:          3.4352
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2607.93573      2607.93061          2.8223          3.9750         17.7489         99.9000        205.3353          4.2904        7.797385        3.974970
     2607.94268      2607.93755          2.5329          4.0016         17.7416         99.9000        224.8844          4.2904        3.225492        4.001576
     2607.94962      2607.94449         -0.1760          4.0848         17.7193         99.9000        254.8531          4.2904        7.473459        4.084844
     2607.95656      2607.95144        -12.7396          4.1566         17.7004         99.9000        274.4407          4.2904       -1.745302        4.156550
     2607.96351      2607.95838          3.6193          4.2240         17.6829         99.9000        310.6324          4.2904        4.290439        4.224024
     2607.97045      2607.96533         -6.4958          4.2852         17.6673         99.9000        342.0800          4.2904       -8.299655        4.285222
     2607.97740      2607.97227         13.1438          4.3272         17.6432          0.3574        369.1212          6.8146       16.722503        4.327191
     2607.98434      2607.97922         26.2223          4.4112         16.8933          0.1826        392.3154          6.8146       20.166758        4.411215
     2607.99129      2607.98616        -10.6517          4.4316         17.6308         99.9000        421.1562          4.2904      -17.351394        4.431640
     2607.99823      2607.99310         -9.2003          4.5060         17.6127         99.9000        444.3029          4.2904       -6.749742        4.506047
     2608.00518      2608.00005         -9.9181          4.5239         17.6084         99.9000        449.7440          6.8146       -8.759112        4.523919
     2608.01212      2608.00699         -8.4223          4.6059         17.5889         99.9000        486.2670          7.4735      -10.191793        4.605892
     2608.01907      2608.01394         -3.0503          4.6512         17.5783         99.9000        497.0768          7.4735        2.212756        4.651215
     2608.02601      2608.02088         12.1862          4.6870         17.5700         99.9000        517.2261          7.4735        3.254835        4.687017
     2608.03295      2608.02783          5.3959          4.7185         17.5627         99.9000        561.8300          7.4735       -2.754197        4.718467
     2608.03990      2608.03477         15.6622          4.7571         17.4529          0.3298        551.4171          7.4735        6.814559        4.757145
     2608.04684      2608.04172         24.7728          4.8173         16.9551          0.2111        586.0987          7.4735       27.388805        4.817260
     2608.05379      2608.04866         33.4337          4.8797         16.6295          0.1585        610.3634          7.4735       21.562573        4.879659
     2608.06073      2608.05560          5.0813          4.9156         17.5183         99.9000        639.5567          7.4040        3.481709        4.915567
     2608.06768      2608.06255         17.7360          4.9437         17.3179          0.3026        648.8733          7.4735       17.119857        4.943743
     2608.07462      2608.06949         26.1214          4.9924         16.8975          0.2075        670.5991          7.4735       23.584566        4.992404
     2608.08157      2608.07644         21.6735          5.0115         17.1002          0.2511        676.3320          7.4735       26.853339        5.011494
     2608.08851      2608.08338          8.2297          5.0587         17.4871         99.9000        700.1169          7.4735       20.139460        5.058658
     2608.09546      2608.09033          5.1988          5.1219         17.4736         99.9000        733.9601          7.7974       13.172445        5.121880
     2608.10240      2608.09727         20.4935          5.1876         17.1610          0.2748        749.4017          7.7974       32.462150        5.187561
     2608.10934      2608.10422         24.0431          5.2423         16.9875          0.2367        754.3952          8.7060       28.352677        5.242350
     2608.11629      2608.11116         16.1317          5.2695         17.4208          0.3547        783.6090          8.7060       13.165039        5.269492
     2608.12323      2608.11810         20.0730          5.2912         17.1835          0.2862        776.6688          8.7060        8.706040        5.291233
     2608.13018      2608.12505         15.5266          5.3378         17.4288         99.9000        815.6845          8.8078       25.010592        5.337847
