# reference_flux:         15.2551
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2607.93548      2607.93061         -6.9658          4.3954         17.6397         99.9000      -1047.7156        -22.6860      -21.753364        4.395396
     2607.94242      2607.93755         -6.3024          4.5199         17.6094         99.9000      -1121.2320        -22.6860      -25.148943        4.519854
     2607.94937      2607.94449        -18.7239          4.6595         17.5764         99.9000      -1179.4518        -22.6860      -37.248683        4.659453
     2607.95631      2607.95144         -0.6474          4.7075         17.5652         99.9000      -1104.4518        -22.2838       -7.447201        4.707528
     2607.96325      2607.95838         11.1012          4.7723         17.5504         99.9000      -1067.7703        -22.2838       -9.026774        4.772257
     2607.97020      2607.96533         -0.1959          4.8836         17.5254         99.9000      -1136.3384        -22.2838      -19.942439        4.883572
     2607.97714      2607.97227        -15.8801          4.9737         17.5055         99.9000      -1139.5259        -22.2838      -23.037850        4.973710
     2607.98409      2607.97922        -10.8599          4.9632         17.5078         99.9000      -1102.5046        -22.2838      -18.857476        4.963228
     2607.99103      2607.98616         -6.6064          5.0040         17.4989         99.9000      -1000.2580        -21.9812      -20.598253        5.003951
     2607.99798      2607.99310        -13.6724          5.0652         17.4857         99.9000      -1024.7490        -21.7534      -20.966754        5.065240
     2608.00492      2608.00005         -0.2504          5.0176         17.4960         99.9000       -976.3609        -21.7534      -10.777683        5.017560
     2608.01187      2608.00699          5.5073          4.9263         17.5159         99.9000       -912.3122        -21.0996      -14.669809        4.926285
     2608.01881      2608.01394        -15.0308          4.8061         17.5427         99.9000       -823.2943        -20.9668      -28.867345        4.806148
     2608.02576      2608.02088         -0.8866          4.7361         17.5586         99.9000       -782.8374        -20.9668      -22.283792        4.736107
     2608.03270      2608.02783         -6.1241          4.3873         17.6417         99.9000       -655.4783        -20.9668      -28.593192        4.387257
     2608.03964      2608.03477          4.0748          4.4436         17.6279         99.9000       -664.5619        -20.9668      -22.685966        4.443613
     2608.04659      2608.04172         -2.0044          4.3313         17.6556         99.9000       -694.9211        -20.9668      -24.379824        4.331330
     2608.05353      2608.04866          0.6121          4.2287         17.6817         99.9000       -540.0002        -20.9668      -21.099634        4.228735
     2608.06048      2608.05560          4.4523          4.3047         17.6623         99.9000       -602.4850        -20.5983      -16.848473        4.304732
     2608.06742      2608.06255         -1.8650          4.3032         17.6627         99.9000       -592.0278        -20.5983      -24.456321        4.303161
     2608.07437      2608.06949          3.3393          4.4028         17.6379         99.9000       -597.3399        -20.5983      -32.917025        4.402782
     2608.08131      2608.07644          7.2267          6.3417         17.2417         99.9000      -1257.2258        -20.5983      -60.677470        6.341660
     2608.08826      2608.08338         31.9336          6.4121         16.6794          0.2180      -1272.8260        -19.9424      -33.039770        6.412120
     2608.09520      2608.09033         14.8924          6.4768         17.2188         99.9000      -1268.9115        -18.8575      -43.923077        6.476843
     2608.10214      2608.09727         43.5560          6.6383         16.3424          0.1655      -1301.9170        -16.8485      -31.068403        6.638319
     2608.10909      2608.10422         23.1922          6.7576         17.0266          0.3164      -1313.9204        -14.6698      -27.628972        6.757571
     2608.11603      2608.11116         13.2931          6.8189         17.1629         99.9000      -1298.9865        -13.2691      -21.981182        6.818928
     2608.12298      2608.11810         18.1752          6.9013         17.1499         99.9000      -1303.5508        -10.7777       -2.180029        6.901309
     2608.12992      2608.12505         22.9268          7.0860         17.0391          0.3356      -1338.7314        -10.7777      -32.291298        7.085992
     2608.13687      2608.13199         39.0416          7.1814         16.4612          0.1997      -1346.8247        -10.7777      -13.269107        7.181446
     2608.14381      2608.13894         50.0489          7.3901         16.1915          0.1603      -1391.7954         -2.1800       15.420394        7.390118
     2608.15076      2608.14588         29.6105          7.2878         16.7614          0.2672      -1312.7966         -2.0610        6.131972        7.287790
     2608.15770      2608.15283         56.9561          7.3285         16.0511          0.1397      -1319.2144          2.7711        8.797305        7.328488
     2608.16465      2608.15977         46.6631          7.3999         16.2676          0.1722      -1449.6291          6.1320       -2.061044        7.399920
     2608.17159      2608.16672         57.2882          7.3987         16.0448          0.1402      -1427.9316          8.7973        2.771056        7.398686
     2608.17853      2608.17366         44.6095          7.3312         16.3164          0.1784      -1353.3607         15.4204       19.605828        7.331204
     2608.18548      2608.18060         45.7194          7.2901         16.2897          0.1731      -1321.4690         18.6222       18.622189        7.290096
     2608.19242      2608.18755         58.5959          7.1325         16.0203          0.1322      -1230.1006         19.4523       37.975881        7.132516
     2608.19937      2608.19449         52.2039          7.1316         16.1457          0.1483      -1206.2284         19.6058       29.724337        7.131582
     2608.20631      2608.20144         52.8928          7.2960         16.1315          0.1498      -1218.1039         26.7670       42.121924        7.296004
     2608.21326      2608.20838         51.2675          7.2314         16.1654          0.1531      -1177.2518         29.0710       36.708782        7.231390
     2608.22020      2608.21533         65.9201          7.1808         15.8925          0.1183      -1128.6260         29.7243       51.664045        7.180761
     2608.22715      2608.22227         67.1082          7.0746         15.8731          0.1145      -1017.4864         30.7946       60.368662        7.074633
     2608.23409      2608.22921         48.1151          7.2637         16.2343          0.1639      -1046.9306         32.5569       46.257832        7.263718
     2608.24104      2608.23616         59.7968          6.9058         15.9983          0.1254       -890.1489         34.5019       46.484952        6.905813
     2608.24798      2608.24310         70.2639          6.8037         15.8232          0.1051       -841.5699         36.1715       46.176465        6.803737
     2608.25492      2608.25005         54.3787          6.8499         16.1014          0.1368       -836.2303         36.7088       39.329627        6.849923
     2608.26187      2608.25699         45.7530          6.6564         16.2890          0.1580       -766.8908         37.5640       37.563977        6.656404
     2608.26881      2608.26394         55.7780          6.7732         16.0738          0.1318       -886.2191         37.9759       48.464198        6.773225
     2608.27576      2608.27088         69.6623          6.7336         15.8325          0.1049       -869.0648         37.9759       52.241802        6.733616
     2608.28270      2608.27783         45.2680          6.7999         16.3005          0.1631       -851.3860         39.3296       46.487789        6.799862
     2608.28965      2608.28477         49.0482          6.6656         16.2134          0.1476       -733.9712         39.3296       45.748133        6.665629
     2608.29659      2608.29171         72.4561          6.6941         15.7898          0.1003       -808.4854         39.3296       57.472908        6.694081
     2608.30354      2608.29866         78.2680          6.4911         15.7060          0.0900       -740.8496         39.3714       39.371407        6.491141
     2608.31048      2608.30560         56.6844          6.5751         16.0563          0.1259       -790.7829         39.7170       57.656823        6.575123
     2608.31742      2608.31255         48.2016          6.5149         16.2323          0.1467       -826.2658         40.2800       19.452265        6.514947
     2608.32437      2608.31949         50.9179          6.9253         16.1728          0.1477       -798.4704         40.2800       48.779247        6.925339
     2608.33131      2608.32644         69.0421          6.5072         15.8422          0.1023       -541.1196         40.2800       46.844441        6.507189
     2608.33826      2608.33338         65.2824          6.4139         15.9030          0.1067       -491.4683         40.2800       41.767784        6.413939
     2608.34520      2608.34033         55.8580          6.3266         16.0723          0.1230       -561.9706         40.2800       36.171485        6.326586
     2608.35215      2608.34727         47.5402          6.2684         16.2473          0.1432       -528.6366         40.2800       29.071046        6.268388
     2608.35909      2608.35421         31.5952          6.2519         16.6909          0.2148       -517.5002         40.2800       26.766958        6.251947
     2608.36604      2608.36116         45.9558          6.6712         16.2842          0.1576       -571.1599         40.2800       30.794599        6.671161
     2608.37298      2608.36810         57.6830          6.2418         16.0374          0.1175       -474.7275         40.2800       44.892529        6.241783
     2608.37993      2608.37505         56.7618          6.5984         16.0549          0.1262       -525.6728         39.7170       34.501860        6.598371
     2608.38687      2608.38199         44.2827          6.1512         16.3244          0.1508       -442.0590         40.2800       43.509645        6.151198
     2608.39381      2608.38894         45.0098          6.0705         16.3067          0.1464       -438.0200         39.7170       32.556873        6.070539
     2608.40076      2608.39588         52.1497          6.1202         16.1469          0.1274       -442.2236         39.3714       48.044707        6.120198
     2608.40770      2608.40283         67.0115          6.0179         15.8746          0.0975       -409.6711         39.3296       48.236653        6.017928
     2608.41465      2608.40977         44.4104          6.0318         16.3213          0.1475       -400.1253         37.5640       40.660028        6.031770
     2608.42159      2608.41671         68.7220          6.0392         15.8473          0.0954       -411.1606         37.4263       40.280047        6.039187
     2608.42854      2608.42366         54.7624          6.0010         16.0938          0.1190       -368.1544         37.4147       39.716979        6.000996
     2608.43548      2608.43060         50.6622          5.9517         16.1783          0.1275       -357.6572         36.1715       29.222356        5.951661
     2608.44243      2608.43755         73.4205          5.9670         15.7755          0.0882       -345.5467         35.3758       46.455066        5.966956
     2608.44937      2608.44449         50.3697          6.3411         16.1846          0.1367       -364.6251         34.5019       37.426289        6.341052
     2608.45632      2608.45144         49.2087          6.0221         16.2099          0.1329       -325.5653         32.7864       37.414730        6.022051
     2608.46326      2608.45838         67.9609          5.9179         15.8594          0.0945       -314.5499         32.5569       47.199686        5.917899
     2608.47020      2608.46533         59.3214          6.2730         16.0070          0.1148       -345.9751         31.0899       42.840057        6.272957
     2608.47715      2608.47227         56.6740          6.2572         16.0565          0.1199       -326.2221         30.8031       41.113279        6.257153
     2608.48409      2608.47921         55.0891          5.9640         16.0873          0.1175       -312.1320         30.7946       32.786390        5.964031
     2608.49104      2608.48616         47.2494          5.8846         16.2540          0.1352       -296.0497         30.7946       31.089900        5.884635
     2608.49798      2608.49310         47.5481          6.2189         16.2472          0.1420       -319.4248         29.4177       28.699112        6.218931
     2608.50493      2608.50005         34.4370          5.8107         16.5974          0.1832       -282.9461         29.2224       27.818998        5.810712
     2608.51187      2608.50699         38.1880          5.8383         16.4852          0.1660       -284.0612         29.0710       26.928065        5.838251
     2608.51882      2608.51394         44.0794          6.1447         16.3294          0.1514       -313.3065         28.6991       27.758613        6.144689
     2608.52576      2608.52088         54.4385          6.1419         16.1002          0.1225       -316.0655         28.6795       19.327752        6.141892
     2608.53270      2608.52783         49.7302          6.1095         16.1985          0.1334       -303.4148         28.6795       35.375820        6.109459
     2608.53965      2608.53477         46.1944          6.0608         16.2785          0.1424       -309.4269         28.0379       29.417681        6.060751
     2608.54659      2608.54171         50.4395          6.0754         16.1831          0.1308       -315.6753         27.8190       41.320333        6.075409
     2608.55354      2608.54866         39.7962          6.0746         16.4404          0.1657       -320.4873         27.7586       28.679458        6.074596
     2608.56048      2608.55560         44.2572          6.0311         16.3250          0.1480       -308.8283         26.9281       30.803114        6.031066
     2608.56743      2608.56255         20.4956          6.0253         17.1608          0.3192       -331.1251         25.0927       19.739794        6.025310
     2608.57437      2608.56949         35.5213          5.9543         16.5638          0.1820       -316.9985         23.5831       28.037948        5.954262
     2608.58132      2608.57644         32.7558          5.9680         16.6518          0.1978       -327.2005         22.3675       18.684242        5.967963
     2608.58826      2608.58338         33.7921          5.9401         16.6180          0.1909       -320.9794         22.3071       22.307125        5.940136
     2608.59520      2608.59033         31.6202          5.6276         16.6901          0.1932       -306.5204         21.4306        3.124183        5.627559
     2608.60215      2608.59727         36.3292          5.8793         16.5394          0.1757       -323.1794         20.4642       19.753423        5.879281
     2608.60909      2608.60421         43.2208          5.8629         16.3508          0.1473       -328.2779         20.0617       17.265853        5.862907
     2608.61604      2608.61116         13.8595          5.8062         17.3375         99.9000       -326.4502         19.7534        9.812476        5.806189
     2608.62298      2608.61810         37.3567          5.5067         16.5091          0.1600       -311.8670         19.7398       20.464199        5.506747
     2608.62993      2608.62505         47.0429          5.7355         16.2588          0.1324       -338.3496         19.6082       25.092698        5.735467
