# reference_flux:         36.6745
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2607.93642      2607.93061         36.9961          2.4885         16.5196          0.0730          6.2456         -1.8334       -1.306487        2.488511
     2607.94336      2607.93755         29.5735          2.5848         16.7627          0.0949          6.0507         -1.8334       -3.957113        2.584814
     2607.95031      2607.94449         39.4401          2.5948         16.4502          0.0714          9.4072         -1.6909        0.238019        2.594790
     2607.95725      2607.95144         32.5017          2.5625         16.6602          0.0856          7.4641         -1.8334       -3.736974        2.562481
     2607.96419      2607.95838         34.1799          2.6639         16.6056          0.0846          8.3375         -1.8334        0.786957        2.663884
     2607.97114      2607.96533         36.0129          2.6161         16.5489          0.0789          5.4981         -1.8334       -2.367247        2.616139
     2607.97808      2607.97227         34.5076          2.6612         16.5952          0.0837          6.2091         -1.8334       -1.690872        2.661184
     2607.98503      2607.97922         30.4670          2.7117         16.7304          0.0966          6.1893         -2.1179       -6.058285        2.711702
     2607.99197      2607.98616         38.0164          2.8165         16.4901          0.0804          7.2458         -2.1179        2.209435        2.816457
     2607.99892      2607.99310         40.0193          2.7433         16.4343          0.0744          4.1459         -2.1179       -0.582751        2.743345
     2608.00586      2608.00005         32.0453          2.8368         16.6756          0.0961          2.7244         -2.3672       -3.677849        2.836843
     2608.01281      2608.00699         27.2120          2.8170         16.8531          0.1124          3.6500         -2.3672       -1.683980        2.816985
     2608.01975      2608.01394         31.9737          2.8487         16.6780          0.0967          4.5184         -2.3672       -4.476034        2.848682
     2608.02669      2608.02088         26.6745          2.8883         16.8748          0.1176          5.1489         -2.3672       -4.259178        2.888314
     2608.03364      2608.02783         34.3615          2.9173         16.5998          0.0922          7.0747         -2.3672       -2.117882        2.917251
     2608.04058      2608.03477         37.7778          2.9622         16.4969          0.0851          6.0487         -2.3672        1.121250        2.962240
     2608.04753      2608.04172         36.6939          3.0020         16.5285          0.0888          8.2109         -2.7216        1.279510        3.002021
     2608.05447      2608.04866         32.8695          3.0403         16.6480          0.1004          1.7648         -2.7216       -1.833356        3.040263
     2608.06142      2608.05560         25.0497          3.1483         16.9430          0.1365          8.9176         -2.9337       -2.933658        3.148261
     2608.06836      2608.06255         35.8115          3.1927         16.5549          0.0968          9.0178         -2.9337        4.956949        3.192652
     2608.07530      2608.06949         44.1588          3.2197         16.3275          0.0792          7.4940         -3.3554        1.039608        3.219715
     2608.08225      2608.07644         42.8633          4.5373         16.3598          0.1149         -8.8710         -3.3554        0.164807        4.537319
     2608.08919      2608.08338         40.8894          4.5494         16.4110          0.1208          6.6622         -3.3554       -2.721588        4.549423
     2608.09614      2608.09033         40.7425          4.5961         16.4149          0.1225          8.0440         -3.3554       -3.931398        4.596107
     2608.10308      2608.09727         26.7459          4.4943         16.8719          0.1824         11.4403         -3.6778       -7.776209        4.494341
     2608.11003      2608.10422         42.5886          4.5515         16.3668          0.1160          4.1738         -3.6778       -0.918837        4.551516
     2608.11697      2608.11116         40.1650          4.6243         16.4304          0.1250         10.2979         -3.6778       -6.696241        4.624301
     2608.12392      2608.11810         20.3063          4.6394         17.1709          0.2481         22.5381         -3.6778       -4.732092        4.639361
     2608.13086      2608.12505         29.3093          4.8361         16.7725          0.1791         18.6611         -3.3554       -0.678070        4.836101
     2608.13780      2608.13199         31.3486          4.9003         16.6995          0.1697         22.5583         -3.6778       -6.958356        4.900273
     2608.14475      2608.13894         28.0017          4.9710         16.8220          0.1927         15.2437         -3.6778      -11.381708        4.970986
     2608.15169      2608.14588         22.5107          5.0704         17.0590          0.2446         30.5589         -3.7212       -4.210473        5.070396
     2608.15864      2608.15283         34.0096          5.0172         16.6110          0.1602         23.4008         -3.6778       -1.304114        5.017208
     2608.16558      2608.15977         24.6742          5.0775         16.9594          0.2234         39.3250         -3.7212       -5.840095        5.077462
     2608.17253      2608.16672         32.9801          4.9994         16.6444          0.1646         24.8128         -3.7212       -3.355434        4.999359
