# reference_flux:         36.0100
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2637.48099      2637.47225         21.4953          4.8207         17.1091          0.2435        -19.5087        -11.8742      -11.874151        4.820697
     2637.48793      2637.47920         22.9359          4.9150         17.0387          0.2327        -11.9672        -11.8742       -8.581770        4.914981
     2637.49488      2637.48614         36.3395          4.9930         16.5391          0.1492         -9.3541        -11.3396       -0.000000        4.993037
     2637.50182      2637.49309         17.6789          5.0139         17.3214          0.3079         -0.7946        -11.3396       -6.562746        5.013949
     2637.50877      2637.50003         23.3408          5.1344         17.0197          0.2388         -8.6401        -11.3396      -21.822418        5.134369
     2637.51571      2637.50697         32.6114          5.1969         16.6566          0.1730         -3.9122        -11.3396      -12.253021        5.196941
     2637.52266      2637.51392         27.9971          5.3051         16.8222          0.2057         -1.9402        -11.3396      -11.339606        5.305115
     2637.52960      2637.52086         32.9924          5.4367         16.6440          0.1789          5.9423         -8.5818       -6.465568        5.436710
     2637.53655      2637.52781         12.2593          5.4685         17.4025         99.9000         12.3619         -8.5818       -0.624956        5.468528
     2637.54349      2637.53475         34.8194          5.6052         16.5854          0.1748          5.6993         -6.5627        2.737259        5.605238
     2637.55044      2637.54170         18.8485          6.1179         17.2518          0.3524          4.0410         -6.5627      -30.409702        6.117936
     2637.55738      2637.54864         33.0220          5.7719         16.6430          0.1898         -3.3085         -6.5627      -16.278215        5.771897
     2637.56432      2637.55559         20.6341          5.8660         17.1535          0.3087         -1.9909         -6.4656      -35.126230        5.865958
     2637.57127      2637.56253         16.1614          5.9922         17.3032         99.9000         23.0009         -6.4656        3.523487        5.992249
     2637.57821      2637.56947         13.3342          6.0969         17.2844         99.9000         41.3621         -4.8704      -96.356112        6.096939
     2637.58516      2637.57642          7.8456          6.1802         17.2697         99.9000         96.9494         -4.8704      -18.513059        6.180179
     2637.59210      2637.58336         39.9446          6.4409         16.4364          0.1751        124.0734         -5.8494     -159.579667        6.440926
     2637.59905      2637.59031         24.4832          6.6579         16.9678          0.2953        158.8857         -4.8704      -81.106814        6.657869
     2637.60599      2637.59725         17.2871          7.0370         17.1287         99.9000        172.0295         -4.8704     1380.722507        7.037022
     2637.61294      2637.60420         49.4562          7.2548         16.2044          0.1593        112.0557         -4.8499       -0.000000        7.254842
     2637.61988      2637.61114          4.9833          7.8991         17.0032         99.9000        136.7634         -4.8499       -0.000000        7.899144
     2637.62682      2637.61809         14.7935          8.4319         16.9324         99.9000       -123.2897         -4.3727   -23993.011875        8.431915
     2637.63377      2637.62503          9.2967          8.6916         16.8994         99.9000       -277.3747         -4.8499    -3826.077225        8.691594
     2637.64071      2637.63197          5.1269          8.9029         16.8734         99.9000       -327.5713         -4.8499    17434.602173        8.902927
     2637.64766      2637.63892          2.2384          9.0980         16.8498         99.9000       -288.4071         -4.3727    11451.987418        9.098019
     2639.17545      2639.16670         20.2042          4.2771         17.1764          0.2298        -25.2471         -4.2789       -3.241087        4.277134
     2639.18240      2639.17364         28.9774          4.1072         16.7849          0.1539        -24.6173         -4.1802       -4.180195        4.107153
     2639.18934      2639.18059         35.0536          4.0071         16.5782          0.1241        -30.5596         -4.2789       -3.505711        4.007071
     2639.19629      2639.18753         25.5620          3.9095         16.9210          0.1661        -17.1749         -4.1802       -0.090259        3.909533
     2639.20323      2639.19447         28.9385          3.8989         16.7863          0.1463        -28.1008         -3.9675       -0.105990        3.898903
     2639.21018      2639.20142         30.1134          3.7506         16.7431          0.1352        -18.3797         -3.8260        1.947053        3.750581
     2639.21712      2639.20836         12.4012          3.7159         17.7063          0.3253        -23.1040         -3.5363        3.352445        3.715850
     2639.22406      2639.21531         27.7882          3.7165         16.8303          0.1452        -23.1163         -3.5057        6.094908        3.716497
     2639.23101      2639.22225         40.9901          3.6566         16.4083          0.0969        -23.1073         -3.5057        0.583936        3.656561
     2639.23795      2639.22920         32.8654          3.6053         16.6482          0.1191        -35.6442         -3.5057       -0.733558        3.605302
     2639.24490      2639.23614         25.5067          3.6302         16.9234          0.1545        -31.4372         -3.2411       -3.967488        3.630235
     2639.25184      2639.24309         30.2790          3.6463         16.7371          0.1307        -24.8772         -3.1801       -4.870384        3.646347
     2639.25879      2639.25003         37.0879          3.5850         16.5169          0.1050        -18.8460         -1.8385       -4.372704        3.585016
     2639.26573      2639.25697         32.8935          3.5470         16.6472          0.1171        -20.2712         -3.1535       -1.272129        3.546957
     2639.27268      2639.26392         37.9290          3.5113         16.4926          0.1005        -17.4236         -3.1535       -5.849420        3.511275
     2639.27962      2639.27086         32.1095          3.5208         16.6734          0.1190        -27.4172         -3.0284       -4.849866        3.520771
     2639.28657      2639.27781         20.0626          3.4965         17.1840          0.1892        -24.8322         -3.0284       -5.432503        3.496548
     2639.29351      2639.28475         37.4160          3.4597         16.5074          0.1004        -19.3356         -1.8385       -3.536252        3.459723
     2639.30045      2639.29170         30.5556          3.4830         16.7273          0.1238        -24.3359         -3.0284      -11.026601        3.483006
     2639.30740      2639.29864         30.4635          3.4881         16.7305          0.1243        -22.2010         -3.1535       -4.278939        3.488071
     2639.31434      2639.30559         28.0064          3.4295         16.8219          0.1330        -25.0068         -3.1801       -4.937067        3.429475
     2639.32129      2639.31253         33.9329          3.4058         16.6134          0.1090        -28.3255         -3.1801       -5.489607        3.405758
     2639.32823      2639.31947         35.5218          3.3760         16.5638          0.1032        -15.0408         -3.1801       -0.644603        3.376008
     2639.33518      2639.32642         30.5820          3.3508         16.7263          0.1190        -26.9721         -3.1801       -3.825987        3.350849
     2639.34212      2639.33336         31.2995          3.3379         16.7012          0.1158        -27.2928         -3.1801       -3.180106        3.337902
     2639.34907      2639.34031         29.5318          3.2971         16.7643          0.1212        -22.5503         -3.1535       -8.009798        3.297075
     2639.35601      2639.34725         36.0356          3.2892         16.5482          0.0991        -11.5288         -3.1535       -0.634306        3.289180
     2639.36296      2639.35420         24.7585          3.2712         16.9557          0.1435        -11.2690         -3.1535       -0.031554        3.271170
     2639.36990      2639.36114         34.0200          3.2346         16.6107          0.1032        -16.8910         -3.1801        4.064899        3.234575
     2639.37684      2639.36809         32.1797          3.2196         16.6710          0.1086        -11.2548         -3.1801        3.140481        3.219566
     2639.38379      2639.37503         32.6593          3.1685         16.6550          0.1053        -19.6979         -3.1801        0.647604        3.168529
     2639.39073      2639.38197         34.2073          3.1503         16.6047          0.1000        -16.2456         -3.1801       -0.657143        3.150344
     2639.39768      2639.38892         36.1495          3.1183         16.5447          0.0937        -11.7312         -3.1801       -0.770805        3.118349
     2639.40462      2639.39586         29.1174          3.0910         16.7796          0.1153        -24.3834         -3.1801       -0.500340        3.090954
     2639.41157      2639.40281         38.9976          3.1109         16.4624          0.0866        -17.6591         -3.2815        4.347669        3.110869
     2639.41851      2639.40975         36.2302          2.7114         16.5423          0.0813        -22.7208         -3.1801       -1.838541        2.711443
     2639.42546      2639.41670         33.5561          2.6847         16.6256          0.0869        -16.6483         -3.1535       -3.153479        2.684687
     2639.43240      2639.42364         30.6759          3.0366         16.7230          0.1075        -20.7027         -3.0284       -4.146488        3.036589
     2639.43935      2639.43059         32.0517          3.0094         16.6754          0.1019        -16.9620         -3.0284       -3.028361        3.009401
     2639.44629      2639.43753         37.0013          2.6167         16.5195          0.0768        -13.3624         -3.0284       -4.510639        2.616718
     2639.45323      2639.44447         31.8942          2.6099         16.6807          0.0888        -10.6069         -2.8465        0.064088        2.609899
     2639.46018      2639.45142         33.8338          2.5849         16.6166          0.0829        -15.5834         -2.1305       -6.635701        2.584892
     2639.46712      2639.45836         38.8956          2.5668         16.4652          0.0717        -13.5866         -1.8905       -4.475333        2.566808
     2639.47407      2639.46531         31.9969          2.5462         16.6772          0.0864         -7.4149         -1.8905       -7.902183        2.546155
     2639.48101      2639.47225         33.2190          2.5317         16.6365          0.0827        -13.9933         -1.8905       -4.824667        2.531736
     2639.48796      2639.47920         28.9369          2.5296         16.7864          0.0949        -10.6349         -1.8905       -5.196011        2.529644
     2639.49490      2639.48614         37.7736          2.5127         16.4970          0.0722        -11.3135         -1.8385       -1.890480        2.512682
     2639.50185      2639.49309         28.5081          2.5002         16.8026          0.0952         -6.2377         -1.8905       -1.802033        2.500205
     2639.50879      2639.50003         37.3047          2.4874         16.5106          0.0724         -7.5203         -1.8905       -0.121849        2.487365
     2639.51574      2639.50697         32.2940          2.4802         16.6672          0.0834         -8.4325         -1.8905       -5.265098        2.480215
     2639.52268      2639.51392         40.1358          2.4787         16.4312          0.0671         -8.3393         -1.8905       -7.890699        2.478662
     2639.52962      2639.52086         25.1125          2.4663         16.9403          0.1066        -13.0731         -2.1006       -5.818961        2.466290
     2639.53657      2639.52781         26.7229          2.4650         16.8728          0.1002        -11.3788         -2.1305       -2.846454        2.465044
     2639.54351      2639.53475         31.4075          2.4552         16.6974          0.0849        -12.0299         -2.8269       -1.263002        2.455169
     2639.55046      2639.54170         33.7680          2.4440         16.6187          0.0786         -8.7332         -2.8465       -1.222462        2.443959
     2639.55740      2639.54864         29.0022          2.4457         16.7839          0.0916         -8.2550         -3.0284       -0.417513        2.445711
     2639.56435      2639.55559         27.0126          2.4527         16.8611          0.0986         -4.8588         -3.0284        4.250020        2.452668
     2639.57129      2639.56253         35.8599          2.4427         16.5535          0.0740         -9.2549         -3.1535       -3.281536        2.442725
     2639.57824      2639.56947         29.4356          2.4464         16.7678          0.0902         -7.0448         -3.2815       -0.844145        2.446441
     2639.58518      2639.57642         38.3066          2.4423         16.4818          0.0692         -7.5286         -3.3869        1.549517        2.442313
     2639.59212      2639.58336         34.7747          2.4255         16.5868          0.0757         -9.5667         -3.3869        2.598995        2.425454
     2639.59907      2639.59031         33.5872          2.4177         16.6246          0.0782         -6.8486         -3.3869       -2.130549        2.417695
     2639.60601      2639.59725         34.0523          2.4404         16.6096          0.0778        -10.8478         -3.2815       -3.613503        2.440425
     2639.61296      2639.60420         38.5359          2.4314         16.4753          0.0685        -11.3753         -3.2815        4.241355        2.431429
     2639.61990      2639.61114         32.5624          2.4221         16.6582          0.0808        -13.4985         -2.8465        0.105325        2.422069
     2639.62685      2639.61809         38.0316          2.4376         16.4896          0.0696        -10.8612         -2.8465       -0.000000        2.437563
     2639.63379      2639.62503         31.3785          2.4354         16.6984          0.0843        -14.1911         -2.8465       -2.826879        2.435444
     2639.64074      2639.63197         39.1844          2.4294         16.4572          0.0673         -8.5236         -2.8465       -4.714573        2.429432
     2639.64768      2639.63892         36.1379          2.4245         16.5451          0.0728         -9.2981         -2.8465       -3.386944        2.424533
     2639.65462      2639.64586         35.0938          2.4448         16.5769          0.0756        -16.6684         -2.8465       -0.325626        2.444831
     2639.66157      2639.65281         34.9903          2.4513         16.5801          0.0761        -17.1287         -2.8269       -2.100560        2.451300
