# reference_flux:        179.7458
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2637.48095      2637.47225        182.6348          4.9643         14.7860          0.0295         62.0108         -0.0000       11.266191        4.964342
     2637.48789      2637.47920        190.4793          5.0671         14.7404          0.0289         56.0906         -0.0000       23.017074        5.067142
     2637.49483      2637.48614        166.2260          5.1436         14.8883          0.0336         74.1234          0.6063       -0.000000        5.143616
     2637.50178      2637.49309        200.1041          5.1977         14.6869          0.0282         56.2352          0.6063       20.611775        5.197713
     2637.50872      2637.50003        177.3689          5.3050         14.8178          0.0325         73.1429          0.6063       33.227067        5.305033
     2637.51567      2637.50697        177.2915          5.3795         14.8183          0.0329         75.6644          0.6063       24.267156        5.379527
     2637.52261      2637.51392        187.2234          5.4942         14.7591          0.0319         76.5947          0.6063        6.553103        5.494247
     2637.52956      2637.52086        197.2257          5.6058         14.7026          0.0309         79.8708          0.6063       -5.779041        5.605772
     2637.53650      2637.52781        195.7504          5.6630         14.7107          0.0314         67.8819          0.6063        4.904583        5.662951
     2637.54345      2637.53475        193.9158          5.7948         14.7210          0.0324         84.8874          0.6063        6.036832        5.794809
     2637.55039      2637.54170        173.0475          6.1932         14.8446          0.0389        122.2699          0.6063        0.606330        6.193171
     2637.55734      2637.54864        182.2224          5.9948         14.7885          0.0357        115.9445          0.6063        4.432158        5.994777
     2637.56428      2637.55559        189.7829          6.1009         14.7444          0.0349        126.3172          0.6063      -16.856521        6.100924
     2637.57122      2637.56253        178.4512          6.2294         14.8112          0.0379        127.7335          0.6063     -102.922254        6.229399
     2637.57817      2637.56947        194.8589          6.3466         14.7157          0.0354        120.2085          0.6063      -88.124662        6.346575
     2637.58511      2637.57642        181.4736          6.4482         14.7930          0.0386        123.1670          0.6063      -29.645633        6.448152
     2637.59206      2637.58336        180.3119          6.6930         14.7999          0.0403        124.9314          0.6063      -91.477538        6.693045
     2637.59900      2637.59031        175.2518          6.9210         14.8308          0.0429        118.0988          0.6063        7.476492        6.920979
     2637.60595      2637.59725        182.2432          7.3205         14.7884          0.0436        119.5745          0.6063     -429.871980        7.320472
     2637.61289      2637.60420        191.2658          7.7378         14.7359          0.0439        -19.7642         -0.0000       -0.000000        7.737777
     2637.61984      2637.61114        167.4118          8.4292         14.8805          0.0547         21.7713         -0.0000       -0.000000        8.429194
     2637.62678      2637.61809        174.2771          9.2559         14.8369          0.0577         50.7186         -0.0000    -9584.360459        9.255941
     2637.63372      2637.62503        158.4189         10.1128         14.9405          0.0693       -377.1589          0.0718    -7402.410348       10.112848
     2637.64067      2637.63197        127.8712         10.7945         15.1731          0.0917        168.7067         -0.0000    82773.889464       10.794456
     2637.64761      2637.63892        149.3261         11.5705         15.0047          0.0841        210.3544         -0.0000   689764.469392       11.570518
     2639.17541      2639.16670        180.5570          4.4359         14.7985          0.0267        -94.7105         -0.0000        3.059038        4.435943
     2639.18235      2639.17364        178.8480          4.2665         14.8088          0.0259        -93.2491         -0.0000       -2.835100        4.266532
     2639.18930      2639.18059        173.2299          4.1491         14.8434          0.0260        -77.7827         -0.0503       -0.050296        4.149058
     2639.19624      2639.18753        173.1378          4.0449         14.8440          0.0254        -76.4788         -0.3154       -2.148761        4.044868
     2639.20319      2639.19447        183.3332          4.0000         14.7819          0.0237        -70.5011         -0.3154        0.622836        3.999970
     2639.21013      2639.20142        170.5440          3.8680         14.8604          0.0246        -74.5728         -0.3154       -5.916264        3.868023
     2639.21708      2639.20836        171.5124          3.8218         14.8543          0.0242        -70.6578         -0.6044       -2.492180        3.821792
     2639.22402      2639.21531        167.9593          3.7981         14.8770          0.0246        -74.0446         -0.3154       -2.159053        3.798104
     2639.23097      2639.22225        183.1522          3.7477         14.7830          0.0222        -74.6792         -0.3154       -7.933988        3.747694
     2639.23791      2639.22920        171.0362          3.7035         14.8573          0.0235        -81.0655         -0.3154        2.801904        3.703483
     2639.24486      2639.23614        177.4529          3.7103         14.8173          0.0227        -66.4233         -0.6044       -6.985745        3.710331
