# reference_flux:        144.4227
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2637.48141      2637.47225         88.7430          4.6277         15.5697          0.0566       -864.4803        -47.7268      -56.268087        4.627699
     2637.48836      2637.47920        100.7435          4.7069         15.4320          0.0507       -602.7607        -47.7268      -47.726819        4.706881
     2637.49530      2637.48614         85.5621          4.7929         15.6093          0.0608       -607.1953         -8.3019      -48.011828        4.792862
     2637.50225      2637.49309         88.4185          4.8352         15.5736          0.0594       -938.5591         -8.3019      -72.091616        4.835206
     2637.50919      2637.50003        108.3528          4.9321         15.3529          0.0494       -659.3472         -1.1238      -52.853696        4.932129
     2637.51614      2637.50697         69.9890          4.9815         15.8274          0.0773       -981.3297         -0.7740       -0.000000        4.981548
     2637.52308      2637.51392         81.5654          5.0626         15.6612          0.0674      -1032.6474         -0.7740       -0.000000        5.062610
     2637.53003      2637.52086         79.9207          5.1498         15.6834          0.0700      -1068.9042         -0.4799      -52.035598        5.149806
     2637.53697      2637.52781         91.3218          5.2548         15.5386          0.0625       -757.6918         -0.4799       -0.000000        5.254818
     2637.54391      2637.53475         71.7830          5.3353         15.7999          0.0807      -1116.3627         -0.7740       -0.000000        5.335252
     2637.55086      2637.54170         83.0665          5.4647         15.6414          0.0714      -1193.4149         -1.1238       -0.000000        5.464686
     2637.55780      2637.54864        101.0395          5.5139         15.4288          0.0593       -966.2622         -1.1238       -8.301907        5.513888
     2637.56475      2637.55559         60.8421          5.6001         15.9795          0.0999      -1230.2440         -1.1238       15.892543        5.600073
     2637.57169      2637.56253         77.4458          5.7008         15.7175          0.0799       -898.3290         -0.7740      112.211334        5.700772
     2637.57864      2637.56947         57.4541          5.8007         16.0417          0.1096       -911.3572         -0.7740      155.318392        5.800691
     2637.58558      2637.57642         68.1443          5.9191         15.8564          0.0943      -1294.2209         -0.7740      280.436043        5.919053
     2637.59253      2637.58336         76.5882          6.0945         15.7296          0.0864       -954.4466         -0.7740      693.541992        6.094519
     2637.59947      2637.59031         78.0121          6.3770         15.7096          0.0888       -984.7804         -0.7740    -1644.568574        6.377026
     2637.60641      2637.59725         75.2431          6.8059         15.7488          0.0982       -732.4545         -0.7740       -0.000000        6.805945
     2637.61336      2637.60420         63.4801          7.4463         15.9334          0.1274      -1256.8801         -0.7740   -48338.130796        7.446350
     2637.62030      2637.61114         85.7198          8.3005         15.6073          0.1051       -809.1709         -0.4799  -208731.714517        8.300537
     2637.62725      2637.61809         64.4011          9.8546         15.9178          0.1661      -1338.4553         -0.0000   -33852.454459        9.854618
     2637.63419      2637.62503        114.8109         12.0691         15.2900          0.1141      -1081.6925         -0.0000   -41903.576470       12.069055
     2637.64114      2637.63197        258.1011         14.8236         14.4105          0.0624       1348.7275         -0.0000   -23760.950162       14.823621
     2637.64808      2637.63892        227.0450         17.9457         14.5497          0.0858      -1923.2473         -0.0000   -26586.919380       17.945650
     2639.17587      2639.16670        147.3312          4.7657         15.0193          0.0351       -152.3762         -0.0000        5.654066        4.765672
     2639.18281      2639.17364        155.8626          4.4711         14.9581          0.0311       -199.8258         -0.0000       -1.123827        4.471078
     2639.18976      2639.18059        153.4560          4.2690         14.9750          0.0302       -331.6028         -0.0000       -0.774045        4.269041
     2639.19670      2639.18753        138.9517          4.0792         15.0828          0.0319       -245.8735         -0.0000        1.788704        4.079216
     2639.20365      2639.19447        139.7381          4.0114         15.0767          0.0312       -246.5093         -0.0000        3.206892        4.011365
     2639.21059      2639.20142        148.3110          3.9439         15.0121          0.0289       -231.9784         -0.0000       -0.479904        3.943855
     2639.21754      2639.20836        139.6230          3.8886         15.0776          0.0302       -219.3196         -0.0000        1.133533        3.888645
     2639.22448      2639.21531        147.1432          3.8408         15.0206          0.0283       -228.6004         -0.0000       -5.215398        3.840750
     2639.23142      2639.22225        158.4451          3.8047         14.9403          0.0261       -217.4461         -0.0000       -3.510681        3.804743
     2639.23837      2639.22920        151.2640          3.7724         14.9907          0.0271       -215.0702          0.0719        3.467094        3.772405
     2639.24531      2639.23614        145.5704          3.7440         15.0323          0.0279       -216.7420          0.0719        5.628507        3.743990
     2639.25226      2639.24309        151.9837          3.7187         14.9855          0.0266       -206.8688          0.0719        4.941440        3.718725
     2639.25920      2639.25003        152.5551          3.6920         14.9814          0.0263       -221.4258          0.0719        3.941733        3.692027
     2639.26615      2639.25697        148.4801          3.6435         15.0108          0.0266       -237.8597         -0.0000        3.833494        3.643480
     2639.27309      2639.26392        145.0303          3.6314         15.0364          0.0272       -222.2259         -0.0000        0.354077        3.631388
     2639.28004      2639.27086        140.7442          3.6060         15.0689          0.0278       -213.5901         -0.3917       -3.749570        3.605952
     2639.28698      2639.27781        139.9175          3.5819         15.0753          0.0278       -205.2513         -0.4799        4.653886        3.581921
     2639.29393      2639.28475        142.5527          3.5613         15.0551          0.0271       -205.7385         -0.3917        5.956138        3.561267
     2639.30087      2639.29170        148.3113          3.5390         15.0121          0.0259       -211.9314         -0.3917        2.295719        3.538963
     2639.30781      2639.29864        141.7361          3.4872         15.0613          0.0267       -208.0731         -0.3917        5.270367        3.487206
     2639.31476      2639.30559        142.7162          3.4793         15.0538          0.0265       -198.2353          0.0719       -7.089705        3.479252
