# reference_flux:         35.9911
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2637.48136      2637.47225         76.7338          4.1643         15.7275          0.0589        -11.8044         38.0991       38.099130        4.164251
     2637.48831      2637.47920         82.3378          4.2342         15.6510          0.0558        -26.4505         38.0991       40.721497        4.234191
     2637.49525      2637.48614         80.2813          4.3193         15.6785          0.0584         -4.9295         38.0991       39.801997        4.319345
     2637.50220      2637.49309         95.3311          4.3525         15.4919          0.0496        155.2218         33.7513       55.116851        4.352481
     2637.50914      2637.50003         84.7369          4.4473         15.6198          0.0570         -2.3530         33.7513       43.358393        4.447311
     2637.51608      2637.50697        103.6517          4.5421         15.4011          0.0476        -28.2683         33.7513       -0.000000        4.542067
     2637.52303      2637.51392        105.4331          4.6080         15.3826          0.0475        186.4454         33.7513       -0.000000        4.608013
     2637.52997      2637.52086         89.3332          4.6971         15.5625          0.0571        -14.0129         12.1026       33.751302        4.697058
     2637.53692      2637.52781         93.1617          4.7687         15.5169          0.0556        168.9565          4.3153       -0.000000        4.768727
     2637.54386      2637.53475        101.0882          4.8778         15.4282          0.0524        -64.7486          4.3153       -0.000000        4.877833
     2637.55081      2637.54170         98.3952          5.0955         15.4576          0.0562       -486.8702          4.3153       -0.000000        5.095461
     2637.55775      2637.54864         81.0483          5.0197         15.6681          0.0672        184.4878          4.2643       44.066450        5.019652
     2637.56470      2637.55559         83.9637          5.1267         15.6298          0.0663        171.9694          4.3153        2.667410        5.126663
     2637.57164      2637.56253        100.7111          5.2313         15.4323          0.0564       -508.9909          4.2643      154.357081        5.231255
     2637.57858      2637.56947         91.8208          5.3094         15.5326          0.0628        182.7068          4.3153      -25.096659        5.309375
     2637.58553      2637.57642         97.9828          5.4151         15.4621          0.0600       -530.3225          4.3153      326.463519        5.415131
     2637.59247      2637.58336        120.8940          5.5573         15.2340          0.0499       -543.5472          4.3153      307.062861        5.557318
     2637.59942      2637.59031         95.7091          5.8401         15.4876          0.0663         27.8702          4.3153     7501.947500        5.840120
     2637.60636      2637.59725         77.3928          6.2548         15.7182          0.0877       -493.5972          4.3153       -0.000000        6.254761
     2637.61331      2637.60420        102.9517          6.7974         15.4084          0.0717        -34.5354          4.3153  1125447.501147        6.797366
     2637.62025      2637.61114        109.0896          7.6659         15.3455          0.0763        136.2163          4.2643       -0.000000        7.665881
     2637.62720      2637.61809         83.8420          9.8115         15.6313          0.1271        611.3263          2.8124    19734.599125        9.811452
     2637.63414      2637.62503         67.8083         13.6651         15.8618          0.2188       -325.5635          2.8124    20040.271359       13.665139
     2637.64109      2637.63197        380.2605         20.3921         13.9898          0.0582       5400.7648          2.6674  -124822.273275       20.392067
     2637.64803      2637.63892         61.4344         23.3695         15.8256         99.9000      -3593.9770          2.4322  -413075.177274       23.369461
     2639.17582      2639.16670         45.3991          4.7621         16.2974          0.1139       -141.2356          2.2589        2.812386        4.762083
     2639.18277      2639.17364         40.7014          4.6142         16.4160          0.1231       -238.0604          2.2589       12.102645        4.614208
     2639.18971      2639.18059         39.7764          4.4969         16.4409          0.1227       -252.6956          2.2589        4.315299        4.496866
     2639.19666      2639.18753         26.5391          4.3996         16.8803          0.1800       -257.0363          2.2589       -6.861601        4.399640
     2639.20360      2639.19447         39.3237          4.3017         16.4534          0.1188       -246.1274          1.9139        1.517315        4.301700
     2639.21055      2639.20142         45.5189          4.2174         16.2945          0.1006       -155.9695          2.2589       -4.283226        4.217431
     2639.21749      2639.20836         27.8946          4.1501         16.8262          0.1615       -243.2322          2.4322        0.760599        4.150092
     2639.22443      2639.21531         26.0047          4.0992         16.9024          0.1711       -200.7287          2.2589       11.793659        4.099219
     2639.23138      2639.22225         33.8621          4.0344         16.6157          0.1294       -241.3728          2.2589        2.432237        4.034365
     2639.23832      2639.22920         48.5410          3.9875         16.2247          0.0892       -247.6969          2.4322        4.264268        3.987450
     2639.24527      2639.23614         34.9584          4.0945         16.5811          0.1272       -208.8447          2.4322        9.606876        4.094466
     2639.25221      2639.24309         26.6520          4.0740         16.8757          0.1660       -211.3756          2.2589       -6.791728        4.073956
     2639.25916      2639.25003         41.7180          4.0425         16.3892          0.1052       -216.3743          2.2589        6.338944        4.042519
     2639.26610      2639.25697         26.0866          4.0030         16.8990          0.1666       -286.3395          1.9139        0.314707        4.002951
     2639.27305      2639.26392         35.6274          3.9887         16.5605          0.1216       -219.4183          1.9139       -0.845304        3.988749
     2639.27999      2639.27086         45.6805          3.9584         16.2907          0.0941       -226.8134          1.9139        9.843878        3.958436
     2639.28694      2639.27781         36.3676          3.9373         16.5382          0.1175       -260.0351          1.7109       -4.607237        3.937316
     2639.29388      2639.28475         39.6516          3.8959         16.4443          0.1067       -334.1077          1.7109      -10.006459        3.895906
     2639.30082      2639.29170         41.4138          3.8746         16.3971          0.1016       -330.1447          1.9139        1.710937        3.874645
     2639.30777      2639.29864         35.3471          3.8476         16.5691          0.1182       -330.5702          1.9139        2.258937        3.847556
     2639.31471      2639.30559         50.3182          3.8206         16.1857          0.0824       -259.5207          1.9139        3.786348        3.820616
     2639.32166      2639.31253         36.8865          3.7739         16.5228          0.1111       -286.7734          1.7109      -12.340876        3.773883
     2639.32860      2639.31947         30.7083          3.7385         16.7219          0.1322       -263.5054          1.5173       -4.478166        3.738455
     2639.33555      2639.32642         42.8894          3.7117         16.3591          0.0940       -249.7930          1.7109        1.913946        3.711676
     2639.34249      2639.33336         33.3607          3.6671         16.6319          0.1193       -276.1901          1.9139        9.117359        3.667106
     2639.34944      2639.34031         33.0987          3.6351         16.6405          0.1192       -302.8166          1.7109        5.699428        3.635072
     2639.35638      2639.34725         38.8732          3.6051         16.4659          0.1007       -240.5630          1.5173        6.076271        3.605057
     2639.36333      2639.35420         36.5918          3.5660         16.5315          0.1058       -256.6482          1.5173        0.688804        3.566008
     2639.37027      2639.36114         37.3052          3.5196         16.5106          0.1024       -304.3624          1.7109        3.788528        3.519629
     2639.37721      2639.36809         18.1579          3.4807         17.2923          0.2081       -238.7200          1.9139        3.255643        3.480684
     2639.38416      2639.37503         32.6682          3.4522         16.6547          0.1147       -243.3359          1.9139       -1.804485        3.452177
     2639.39110      2639.38197         36.0207          3.4163         16.5486          0.1030       -222.9821          2.2589        1.364623        3.416260
     2639.39805      2639.38892         48.2500          3.3839         16.2313          0.0761       -219.8339          2.2589        7.435915        3.383860
     2639.40499      2639.39586         46.7446          3.3561         16.2657          0.0780       -215.8718          2.2589       -0.845455        3.356107
     2639.41194      2639.40281         43.8311          3.3082         16.3355          0.0819       -240.5949          1.9139       -1.107305        3.308195
     2639.41888      2639.40975         30.3659          3.2031         16.7340          0.1145       -202.2740          1.9139        2.712270        3.203056
     2639.42583      2639.41670         38.3120          3.1915         16.4817          0.0904       -202.3832          1.9139       -2.388096        3.191515
     2639.43277      2639.42364         30.5177          3.1784         16.7286          0.1131       -252.3246          1.9139       -1.813636        3.178387
     2639.43972      2639.43059         35.5761          3.1675         16.5621          0.0967       -198.8760          2.2589        4.069901        3.167514
     2639.44666      2639.43753         38.7665          3.1575         16.4689          0.0884       -218.4054          2.7123       -0.099586        3.157457
     2639.45360      2639.44447         31.5544          3.1485         16.6923          0.1083       -198.7931          2.7123        5.518882        3.148507
     2639.46055      2639.45142         33.4384          3.1207         16.6294          0.1013       -192.9624          2.7123        3.199177        3.120685
     2639.46749      2639.45836         34.6290          3.0941         16.5914          0.0970       -265.7317          2.7123        6.280640        3.094134
     2639.47444      2639.46531         31.8506          3.0890         16.6822          0.1053       -187.6793          2.7123       -4.682186        3.089035
     2639.48138      2639.47225         31.7262          3.0734         16.6865          0.1052       -187.4837          2.7123       -6.963752        3.073402
     2639.48833      2639.47920         42.5768          3.0503         16.3671          0.0778       -187.1845          2.3810       -4.223981        3.050274
     2639.49527      2639.48614         29.2551          3.0315         16.7745          0.1125       -173.1269          2.7123        6.387164        3.031524
     2639.50222      2639.49309         42.3820          3.0271         16.3720          0.0775       -208.6646          2.7123        7.798695        3.027113
     2639.50916      2639.50003         36.1078          3.0149         16.5460          0.0907       -187.2761          2.7123        0.643778        3.014910
     2639.51611      2639.50697         45.0550          3.0098         16.3056          0.0725       -184.8481          2.5095       -2.390550        3.009778
     2639.52305      2639.51392         28.7793          3.0024         16.7923          0.1133       -186.4999          2.5095        9.235918        3.002443
     2639.52999      2639.52086         26.7528          2.9935         16.8716          0.1215       -176.5653          2.5095        9.662158        2.993455
     2639.53694      2639.52781         32.8469          2.9947         16.6488          0.0990       -186.7560          2.7123        7.931458        2.994714
     2639.54388      2639.53475         39.0489          2.9870         16.4610          0.0831       -186.2209          2.7123       -2.718375        2.987021
     2639.55083      2639.54170         42.1275          2.9888         16.3786          0.0770       -182.2561          2.5095       10.277803        2.988847
     2639.55777      2639.54864         34.1742          2.9834         16.6058          0.0948       -170.1434          2.5095        7.281902        2.983358
     2639.56472      2639.55559         27.0522          2.9594         16.8595          0.1188       -180.0597          2.7123        7.050439        2.959369
     2639.57166      2639.56253         46.1373          2.9486         16.2799          0.0694       -198.1562          2.7123       -3.515353        2.948563
     2639.57861      2639.56947         44.7264          2.9668         16.3136          0.0720       -183.2640          2.8528       10.243010        2.966769
     2639.58555      2639.57642         42.4753          2.9708         16.3697          0.0759       -192.7813          2.8528       -6.589482        2.970801
     2639.59249      2639.58336         32.4048          2.9549         16.6635          0.0990       -184.8343          3.0467        6.368166        2.954867
     2639.59944      2639.59031         45.2349          2.9591         16.3013          0.0710       -181.0687          3.1992        3.678322        2.959147
     2639.60638      2639.59725         45.0545          2.9591         16.3057          0.0713       -183.3925          3.1992        3.284103        2.959093
     2639.61333      2639.60420         41.6198          2.9637         16.3918          0.0773       -188.8786          3.1992        7.036727        2.963735
     2639.62027      2639.61114         32.3914          2.9641         16.6639          0.0994       -182.8652          3.2841       -4.150709        2.964068
     2639.62722      2639.61809         45.5251          2.9683         16.2944          0.0708       -193.1025          3.1992       -0.824807        2.968303
     2639.63416      2639.62503         29.4587          2.9716         16.7670          0.1095       -181.4153          3.0467        2.380987        2.971621
     2639.64111      2639.63197         38.1217          2.9707         16.4871          0.0846       -188.3159          2.8528        1.148993        2.970729
     2639.64805      2639.63892         38.5947          2.9785         16.4737          0.0838       -187.8209          3.0467        0.281140        2.978469
     2639.65499      2639.64586         39.0305          2.9791         16.4615          0.0829       -189.1758          3.0467        5.684048        2.979087
     2639.66194      2639.65281         43.2335          2.9766         16.3504          0.0748       -187.8140          3.0467       -0.000000        2.976558
     2639.66888      2639.65975         32.3266          2.9795         16.6661          0.1001       -186.9962          2.8528       -4.140034        2.979540
     2639.67583      2639.66670         35.2108          2.9782         16.5733          0.0918       -205.1520          2.8528        2.509469        2.978172
     2639.68277      2639.67364         36.6243          2.9702         16.5306          0.0881       -205.2765          2.8528        3.665845        2.970246
     2639.68972      2639.68059         35.7373          2.9727         16.5572          0.0903       -187.6330          2.8528        3.046708        2.972680
     2639.69666      2639.68753         33.8431          2.9624         16.6163          0.0950       -195.1242          2.8528        4.972788        2.962392
     2639.70361      2639.69447         43.0833          2.9664         16.3542          0.0748       -191.7086          2.5095        2.852842        2.966448
     2639.71055      2639.70142         30.8044          2.9709         16.7185          0.1047       -186.5500          2.3810       -5.709702        2.970882
     2639.71750      2639.70836         35.6341          2.9592         16.5603          0.0902       -201.9668          2.3810       -6.543841        2.959231
     2639.72444      2639.71531         38.5830          2.9570         16.4740          0.0832       -155.7941          2.2916       11.624721        2.956983
     2639.73138      2639.72225         34.8532          2.9513         16.5844          0.0919       -205.3536          2.2916        4.328126        2.951340
     2639.73833      2639.72920         35.4374          2.9581         16.5663          0.0906       -148.7256          2.2916        4.681891        2.958101
     2639.74527      2639.73614         36.0247          2.9425         16.5485          0.0887       -197.5645          2.3810       -4.150035        2.942525
     2639.75222      2639.74309         28.9455          2.9262         16.7860          0.1098       -173.3392          2.2916        8.520109        2.926208
     2639.75916      2639.75003         25.1980          2.9261         16.9366          0.1261       -194.6172          2.2916        6.234582        2.926132
     2639.76611      2639.75697         46.9526          2.9134         16.2609          0.0674       -181.2224          2.1895       -9.386036        2.913387
     2639.77305      2639.76392         34.2452          2.8958         16.6035          0.0918       -160.9680          1.9187        6.772030        2.895794
     2639.78000      2639.77086         38.4825          2.8842         16.4768          0.0814       -153.1384          1.7536        8.360297        2.884209
     2639.78694      2639.77781         32.2173          2.8737         16.6698          0.0968       -186.3150          1.7536       -9.796079        2.873725
     2639.79388      2639.78475         43.3458          2.8660         16.3476          0.0718       -174.2537          1.7536        1.753575        2.866037
     2639.80083      2639.79170         42.8966          2.8474         16.3589          0.0721       -188.1835          1.7536       -5.289674        2.847418
     2639.80777      2639.79864         25.2787          2.8291         16.9331          0.1215       -143.0656          1.7536        3.632828        2.829113
     2639.81472      2639.80559         40.8978          2.8091         16.4107          0.0746       -142.3181          1.9187       -4.397821        2.809100
     2639.82166      2639.81253         43.3099          2.7981         16.3485          0.0701       -182.8154          1.9388        2.189519        2.798130
     2639.82861      2639.81947         24.3518          2.7330         16.9737          0.1219       -133.6985          1.9388        1.475703        2.733012
     2639.83555      2639.82642         38.3780          2.7807         16.4798          0.0787       -184.3017          1.9643        6.256624        2.780702
     2639.84250      2639.83336         30.9608          2.7531         16.7130          0.0965       -149.5567          2.1895       -0.000000        2.753051
     2639.84944      2639.84031         37.1617          2.7488         16.5148          0.0803       -174.0371          1.9643       -2.272976        2.748799
     2639.85639      2639.84725         30.2672          2.6796         16.7376          0.0961       -130.7377          1.9643        6.237247        2.679632
     2639.86333      2639.85420         38.3727          2.7270         16.4799          0.0772       -175.7072          1.9643       -5.656436        2.727036
     2639.87027      2639.86114         34.4871          2.7104         16.5959          0.0853       -136.1286          1.9388        0.880292        2.710355
     2639.87722      2639.86809         42.7661          2.6952         16.3623          0.0684       -134.3221          1.9187       -1.966766        2.695174
     2639.88416      2639.87503         32.1021          2.6874         16.6737          0.0909       -126.5111          1.9187        2.291615        2.687353
     2639.89111      2639.88197         39.5177          2.6270         16.4480          0.0722       -111.3008          1.9388        5.804133        2.626980
     2639.89805      2639.88892         33.9083          2.6271         16.6142          0.0841       -110.8888          1.9187        6.492891        2.627059
     2639.90500      2639.89586         35.7899          2.6123         16.5556          0.0792       -120.6279          1.7536        4.367622        2.612254
     2639.91194      2639.90281         34.5181          2.6612         16.5949          0.0837       -128.8484          1.4757        0.220261        2.661155
     2639.91889      2639.90975         37.3692          2.6581         16.5087          0.0772       -124.6730          1.4757        1.918745        2.658145
