# reference_flux:         18.6795
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2637.48140      2637.47225          2.5626          4.3297         17.6560         99.9000      -1372.2425        -22.4781      -35.859119        4.329713
     2637.48834      2637.47920         -3.3514          4.3922         17.6405         99.9000      -1365.4716        -22.4781      -30.556646        4.392174
     2637.49529      2637.48614        -15.0536          4.4684         17.6218         99.9000      -1363.5355        -22.4781      -25.750003        4.468398
     2637.50223      2637.49309        -23.5532          4.5353         17.6057         99.9000      -1388.8374        -21.8034      -40.069259        4.535286
     2637.50918      2637.50003        -15.0131          4.6312         17.5830         99.9000      -1489.5904        -21.8034      -22.478087        4.631203
     2637.51612      2637.50697         -6.0830          4.6945         17.5682         99.9000      -1499.1005        -21.8034       -0.000000        4.694483
     2637.52307      2637.51392          3.3595          4.7740         17.5500         99.9000      -1505.4986        -21.8034       -0.000000        4.774044
     2637.53001      2637.52086         -2.7657          4.8603         17.5305         99.9000      -1538.7726        -21.8034      -21.733935        4.860268
     2637.53695      2637.52781          0.3594          4.9505         17.5106         99.9000      -1555.3987        -21.7339       -0.000000        4.950464
     2637.54390      2637.53475        -20.8810          5.0481         17.4894         99.9000      -1579.8171        -21.7339       -0.000000        5.048112
     2637.55084      2637.54170          2.4447          5.1437         17.4690         99.9000      -1639.2754         -3.0635       -0.000000        5.143741
     2637.55779      2637.54864         -7.2318          5.2985         17.4368         99.9000      -1744.9215         -2.4557      -21.803377        5.298512
     2637.56473      2637.55559         -9.6839          5.3367         17.4290         99.9000      -1705.3584         -2.1896     -226.175522        5.336677
     2637.57168      2637.56253         -6.9090          5.4325         17.4097         99.9000      -1735.8819         -1.9259     -260.514512        5.432458
     2637.57862      2637.56947          0.8675          5.5344         17.3895         99.9000      -1769.4843         -1.9259     -206.292120        5.534390
     2637.58557      2637.57642         -3.9755          5.6536         17.3664         99.9000      -1801.6977         -1.9259     -775.942665        5.653638
     2637.59251      2637.58336        -14.6806          5.8344         17.3322         99.9000      -1837.9574         -1.9259  -168406.602630        5.834425
     2637.59945      2637.59031        -18.5638          6.3480         17.2406         99.9000      -2091.9631         -1.8514   -17989.426428        6.347965
