# reference_flux:         37.6426
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2637.48142      2637.47225         12.6933          4.4545         17.6252         99.9000        -49.2435         -0.0000        1.406756        4.454451
     2637.48837      2637.47920         15.5009          4.5165         17.4641          0.3164       -125.8829         -0.0000      -16.913705        4.516532
     2637.49531      2637.48614         22.5410          4.5846         17.0576          0.2208       -154.3327         -0.0000      -10.058833        4.584594
     2637.50226      2637.49309         25.1331          4.6503         16.9394          0.2009       -156.7061         -0.0000      -13.738884        4.650264
     2637.50920      2637.50003          9.8308          4.7188         17.5626         99.9000       -163.3539         -0.0000      -35.906172        4.718785
     2637.51615      2637.50697         35.6499          4.7936         16.5599          0.1460       -155.7027         -0.0000       -0.000000        4.793591
     2637.52309      2637.51392         20.3409          4.8707         17.1691          0.2600       -246.6776         -0.0000       -0.000000        4.870659
     2637.53004      2637.52086         -3.2095          4.9473         17.5113         99.9000       -251.1129         -0.0000      -13.002977        4.947276
     2637.53698      2637.52781          9.1341          5.0347         17.4923         99.9000       -329.0452         -0.0000       -0.000000        5.034684
     2637.54392      2637.53475         18.8830          5.1212         17.2498          0.2945       -345.4149         -0.0000       -0.000000        5.121222
     2637.55087      2637.54170          4.9535          5.2347         17.4500         99.9000       -362.6727         -0.0000       -0.000000        5.234691
     2637.55781      2637.54864         17.6386          5.2936         17.3238          0.3258       -376.2958         -0.0000       33.906219        5.293601
     2637.56476      2637.55559          4.9803          5.3971         17.4168         99.9000       -411.1577         -0.0000       87.134361        5.397106
     2637.57170      2637.56253         14.0084          5.4805         17.4002         99.9000       -448.7088         -0.0000      538.716966        5.480475
     2637.57865      2637.56947          5.2870          5.5746         17.3817         99.9000       -475.4945         -0.0000     1346.513219        5.574585
     2637.58559      2637.57642         -8.2445          5.6833         17.3607         99.9000       -587.1550         -0.0000     2005.343797        5.683293
     2637.59254      2637.58336         12.8006          5.8597         17.3275         99.9000       -742.8530         -0.0000     3438.848315        5.859696
     2637.59948      2637.59031         10.4673          6.1828         17.2692         99.9000      -1483.4258         -0.0000       -0.000000        6.182800
     2637.60642      2637.59725         30.4772          6.7183         16.7301          0.2393      -2266.7664         -0.0000    33181.746524        6.718343
     2637.61337      2637.60420         -5.0603          7.4091         17.0728         99.9000      -3223.4954         -0.0000  9161162.761324        7.409083
     2637.62031      2637.61114        123.0098          8.3797         15.2152          0.0740      -4523.0268         -0.0000  4634075.529653        8.379750
     2637.62726      2637.61809        276.9858          9.8368         14.3339          0.0386     -11186.1500         -0.0000  4460648.521742        9.836804
     2637.63420      2637.62503        388.3043         11.6370         13.9671          0.0325     -18944.4174         -0.0000    37961.311676       11.636984
     2637.64115      2637.63197        497.4397         13.9251         13.6981          0.0304     -33506.9345          0.4065   -40016.663454       13.925117
     2637.64809      2637.63892       1208.6484         17.5749         12.7343          0.0158     -58014.1413          0.4065  -113192.234068       17.574890
     2639.17587      2639.16670         56.8731          4.6269         16.0527          0.0883       -587.3043         -0.0000        7.389372        4.626939
     2639.18282      2639.17364         30.7936          4.4241         16.7188          0.1560       -511.6964         -0.0000        3.788251        4.424128
     2639.18976      2639.18059         31.4156          4.2631         16.6971          0.1473       -494.5902          0.4065      -11.361172        4.263143
     2639.19671      2639.18753         38.9079          4.1343         16.4649          0.1154       -493.3003          0.4065        5.535765        4.134261
     2639.20365      2639.19447         54.9888          4.0348         16.0893          0.0797       -510.0886          0.8591        2.305324        4.034783
     2639.21060      2639.20142         28.8077          3.9534         16.7912          0.1490       -494.0198          2.3053        4.735436        3.953359
