# reference_flux:        149.2384
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2637.48132      2637.47225        157.1141          4.2680         14.9495          0.0295        -30.6723          7.6034        7.603416        4.267958
     2637.48826      2637.47920        154.1612          4.2838         14.9701          0.0302        -38.4805          7.6034       10.398611        4.283757
     2637.49521      2637.48614        157.3751          4.4866         14.9477          0.0310        -43.0103          7.6034        7.603900        4.486621
     2637.50215      2637.49309        160.9566          4.6144         14.9232          0.0311        -42.9998          7.6034       10.430276        4.614435
     2637.50910      2637.50003        156.1492          4.7596         14.9562          0.0331        -39.8539          7.6034        1.916739        4.759583
     2637.51604      2637.50697        145.2207          4.9026         15.0349          0.0367        -48.7898          3.9277       -0.000000        4.902553
     2637.52299      2637.51392        131.9611          5.0289         15.1389          0.0414        -53.5931          3.9277       -0.000000        5.028927
     2637.52993      2637.52086        159.6475          4.8805         14.9321          0.0332        -59.9362          3.1798       -3.080439        4.880491
     2637.53688      2637.52781        152.6845          4.9433         14.9805          0.0352        -65.2459          1.9167       -0.000000        4.943346
     2637.54382      2637.53475        168.7993          5.1483         14.8716          0.0331        -70.2470          1.9167       -0.000000        5.148267
     2637.55077      2637.54170        147.3628          5.9303         15.0190          0.0437        -94.3210         -0.0000       -0.000000        5.930267
     2637.55771      2637.54864        144.8669          5.3692         15.0376          0.0402        -84.2093         -0.0000        9.951675        5.369236
     2637.56466      2637.55559        168.4822          5.5165         14.8736          0.0355       -102.4978         -0.0000       12.423209        5.516530
     2637.57160      2637.56253        151.2116          5.5661         14.9910          0.0400       -103.0687         -0.0000       87.802794        5.566066
     2637.57854      2637.56947        158.4149          5.6645         14.9405          0.0388       -114.3265         -0.0000       39.221511        5.664505
     2637.58549      2637.57642        149.0348          5.8096         15.0068          0.0423       -117.4052         -0.0000      150.818941        5.809639
     2637.59243      2637.58336        157.3305          5.8931         14.9480          0.0407       -114.5693         -0.0000       50.392957        5.893104
     2637.59938      2637.59031        149.2250          6.2750         15.0054          0.0457       -131.9079         -0.0000       19.645702        6.274950
     2637.60632      2637.59725        160.3730          6.5316         14.9272          0.0442       -123.6929         -0.0000       -0.000000        6.531590
     2637.61327      2637.60420        143.0508          6.9967         15.0513          0.0531       -146.0922         -0.0000   164156.041524        6.996653
     2637.62021      2637.61114        121.3249          7.6596         15.2301          0.0685       -160.3750         -0.0000   -10038.055902        7.659578
     2637.62716      2637.61809        169.4950          8.2491         14.8671          0.0528       -229.0738         -0.0000  -112458.128246        8.249099
     2637.63410      2637.62503        171.1558          5.7284         14.8565          0.0363       -353.0546         -0.0000    13385.756318        5.728439
     2637.64104      2637.63197        289.1968         10.4969         14.2870          0.0394       -750.5615         -0.0000   -64003.059919       10.496902
     2637.64799      2637.63892        236.4468          9.4789         14.5057          0.0435       -930.6426         -0.0000    -9279.174116        9.478906
     2639.17579      2639.16670        133.8196          4.4668         15.1237          0.0362        -92.0197         -0.0000       -1.017082        4.466828
     2639.18274      2639.17364        145.3815          4.4266         15.0337          0.0331        -99.2666         -0.0000      -12.990391        4.426622
     2639.18968      2639.18059        136.0339          4.4311         15.1059          0.0354        -52.8046         -0.0534        3.179797        4.431096
     2639.19663      2639.18753        137.4381          4.4517         15.0947          0.0352        -63.9626         -0.0534        3.927680        4.451681
     2639.20357      2639.19447        152.5467          4.3651         14.9815          0.0311        -60.6029         -0.0534       -4.608676        4.365143
     2639.21052      2639.20142        145.9672          3.9788         15.0294          0.0296        -45.4956         -0.0534       -8.418576        3.978820
     2639.21746      2639.20836        144.1914          4.2469         15.0427          0.0320        -57.7070         -0.2227      -10.350185        4.246914
     2639.22441      2639.21531        129.8728          4.3324         15.1562          0.0362        -56.9738         -0.2227       -8.034054        4.332385
     2639.23135      2639.22225        140.9848          4.4062         15.0671          0.0339        -60.4091         -0.2227       -5.208716        4.406190
     2639.23830      2639.22920        129.7042          4.5199         15.1576          0.0378        -70.3278         -0.2227      -11.504546        4.519857
     2639.24524      2639.23614        155.9528          4.0370         14.9575          0.0281        -49.9272         -0.2227       -3.068303        4.036983
     2639.25219      2639.24309        147.2095          3.8405         15.0202          0.0283        -42.0173         -0.2227       -1.797852        3.840472
     2639.25913      2639.25003        138.8009          3.9233         15.0840          0.0307        -56.6969         -0.2227       -7.730072        3.923338
     2639.26607      2639.25697        136.2518          3.5414         15.1041          0.0282        -36.0157         -0.2227       -0.222665        3.541428
     2639.27302      2639.26392        131.1174          3.7037         15.1458          0.0307        -51.6055         -0.8096        2.154172        3.703743
     2639.27996      2639.27086        141.0516          3.7278         15.0666          0.0287        -53.1847         -0.8277       -0.053427        3.727767
     2639.28691      2639.27781        144.6270          3.6569         15.0394          0.0275        -40.2130         -0.8405       -2.952730        3.656924
     2639.29385      2639.28475        132.6691          3.7391         15.1331          0.0306        -30.1768         -0.8405        0.610203        3.739058
     2639.30080      2639.29170        148.4902          3.7677         15.0108          0.0275        -51.2422         -0.8405       -0.827661        3.767699
     2639.30774      2639.29864        137.3219          3.8774         15.0957          0.0307        -47.0291         -0.9482       -8.093374        3.877426
     2639.31469      2639.30559        132.6302          3.6825         15.1334          0.0301        -44.2845         -0.8405        0.891945        3.682487
     2639.32163      2639.31253        142.5192          3.5819         15.0553          0.0273        -32.4946         -0.8405        4.548320        3.581914
     2639.32858      2639.31947        143.6884          3.5192         15.0464          0.0266        -37.6145         -0.8405       -8.139419        3.519158
     2639.33552      2639.32642        145.2762          3.5587         15.0345          0.0266        -48.1405         -0.8277       -5.940038        3.558676
     2639.34247      2639.33336        140.6253          3.5012         15.0698          0.0270        -45.6625         -0.8096        1.216432        3.501223
     2639.34941      2639.34031        141.8763          3.5300         15.0602          0.0270        -26.5780         -0.8096       -6.001465        3.529961
     2639.35635      2639.34725        138.5641          3.5197         15.0859          0.0276        -49.9307         -0.8096        2.784822        3.519658
     2639.36330      2639.35420        136.1910          3.4872         15.1046          0.0278        -30.6446         -0.8096        1.849779        3.487237
     2639.37024      2639.36114        140.7638          3.4806         15.0688          0.0268        -64.8460         -0.8277        0.481064        3.480569
