# reference_flux:          5.4383
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2637.48131      2637.47225        114.3108          4.9084         15.2948          0.0466        700.1638         70.5190       83.656083        4.908358
     2637.48825      2637.47920        121.7143          4.9312         15.2266          0.0440        684.8541         71.5101       82.166487        4.931165
     2637.49520      2637.48614        143.1703          4.9479         15.0504          0.0375        657.1497         70.5190       82.719310        4.947862
     2637.50214      2637.49309        143.1633          4.9014         15.0504          0.0372        761.2278         70.5190       71.510072        4.901418
     2637.50908      2637.50003        160.9406          5.0255         14.9233          0.0339        780.0402         70.5190       70.518999        5.025476
     2637.51603      2637.50697        142.0877          5.2016         15.0586          0.0397        797.0053         70.5190       -0.000000        5.201599
     2637.52297      2637.51392        166.1375          5.4193         14.8888          0.0354        810.9990         70.5190       -0.000000        5.419285
     2637.52992      2637.52086        182.7212          5.6751         14.7855          0.0337        891.4158         70.5190      118.499146        5.675099
     2637.53686      2637.52781        177.5830          5.6995         14.8165          0.0348        827.8789         26.0449       -0.000000        5.699460
     2637.54381      2637.53475        156.2583          5.7282         14.9554          0.0398        811.3431         21.4817       -0.000000        5.728188
     2637.55075      2637.54170        200.1652          6.1548         14.6865          0.0334        826.4568         16.3268       -0.000000        6.154848
     2637.55770      2637.54864        111.1509          5.9117         15.3252          0.0577        713.9957         16.1829      107.274828        5.911729
     2637.56464      2637.55559        151.3299          6.0327         14.9902          0.0433        713.4434         16.3268     -860.981081        6.032668
     2637.57159      2637.56253        103.6559          5.9848         15.4010          0.0627        782.4687         16.3268      998.566682        5.984834
     2637.57853      2637.56947         63.2472          6.1036         15.9374          0.1048         -9.1685         16.3268     3691.006100        6.103606
     2637.58547      2637.57642        118.5908          6.1944         15.2549          0.0567        958.7522         19.7311    20097.876326        6.194365
     2637.59242      2637.58336         69.8641          6.5348         15.8294          0.1016       -211.3735         21.4817    30040.383303        6.534778
     2637.59936      2637.59031         63.3715          7.0146         15.9353          0.1202       -361.0329         19.7311   -92375.708739        7.014616
     2637.60631      2637.59725         87.4416          7.6522         15.5857          0.0950       -813.2648         21.4817       -0.000000        7.652179
     2637.61325      2637.60420         82.9419          8.1783         15.6431          0.1071       -855.7729         21.4817 -1137918.673374        8.178327
     2637.62020      2637.61114         82.3909          8.9759         15.6503          0.1183       -464.3177         19.7311 -11486482.015472        8.975877
     2637.62714      2637.61809         -8.6579          9.0892         16.8509         99.9000      -1134.3883         19.7311    26663.835505        9.089184
     2637.63409      2637.62503         -2.5686          2.8782         18.0994         99.9000       -168.7132         19.4655    39726.266203        2.878235
     2637.64103      2637.63197        102.3905          2.4395         15.4144          0.0259       -115.9210         16.3268   -11540.060110        2.439510
     2637.64797      2637.63892        439.9772          2.3210         13.8314          0.0057        190.6454         16.2549      370.754692        2.320984
     2639.17576      2639.16670        106.6127          5.9986         15.3705          0.0611       -126.3269         16.2549       26.044930        5.998628
     2639.18270      2639.17364         43.8531          5.9117         16.3350          0.1464       -375.1110         16.2549       21.481692        5.911704
     2639.18965      2639.18059         28.5260          5.7776         16.8019          0.2199       -704.1840         16.1829       16.326845        5.777571
     2639.19659      2639.18753         29.3499          5.6968         16.7710          0.2107       -741.0997         16.1829       11.459136        5.696828
     2639.20354      2639.19447         51.8856          5.5905         16.1524          0.1170       -842.2266         14.4918       13.061566        5.590501
     2639.21048      2639.20142         33.7833          5.3706         16.6182          0.1726       -845.3721         14.4918       12.113941        5.370619
     2639.21743      2639.20836         36.1851          5.2542         16.5437          0.1577       -894.1846         16.1829        9.189971        5.254207
     2639.22437      2639.21531         34.9338          5.1795         16.5819          0.1610       -889.2818         14.4918        9.558458        5.179517
     2639.23131      2639.22225         28.0574          5.1700         16.8199          0.2001       -908.0345         14.4918       12.326624        5.169980
     2639.23826      2639.22920         27.4318          5.2538         16.8444          0.2079       -904.0795         14.4918       16.182865        5.253844
     2639.24520      2639.23614         22.2980          5.2661         17.0693          0.2564       -933.6601         14.4918       23.635882        5.266089
     2639.25215      2639.24309         21.9864          5.2830         17.0846          0.2609       -910.0979         14.4918       25.460988        5.283001
     2639.25909      2639.25003         36.4484          5.2412         16.5358          0.1561       -906.1139         14.4918       14.491755        5.241185
     2639.26604      2639.25697         29.0701          5.2246         16.7814          0.1951       -914.4481         14.4918       19.731148        5.224576
     2639.27298      2639.26392         16.8622          5.1978         17.3727          0.3347       -859.2620         13.5398       23.552699        5.197812
     2639.27993      2639.27086         15.0276          5.2325         17.4504         99.9000       -903.5395         13.3762        2.855530        5.232455
     2639.28687      2639.27781         33.1055          5.2599         16.6403          0.1725       -930.1925         13.0616       25.918641        5.259879
     2639.29381      2639.28475         23.1156          5.2472         17.0302          0.2465       -938.5307         13.0616       19.465477        5.247180
     2639.30076      2639.29170         25.6897          5.2082         16.9156          0.2201       -866.7482         13.0616        8.910959        5.208203
     2639.30770      2639.29864         26.7495          5.1302         16.8717          0.2082       -847.7814         13.3762       31.439198        5.130233
     2639.31465      2639.30559         18.3740          5.0740         17.2795          0.2998       -848.0968         13.3762       16.254934        5.074018
     2639.32159      2639.31253         13.1063          5.0042         17.4989         99.9000       -867.7736         13.3762       12.648500        5.004223
     2639.32854      2639.31947         41.7528          5.0204         16.3883          0.1306       -837.3891         13.0616        3.346612        5.020434
     2639.33548      2639.32642          5.8422          4.9664         17.5071         99.9000       -825.5276         13.3762       19.694941        4.966368
     2639.34243      2639.33336         29.6880          4.8872         16.7585          0.1787       -823.7102         13.3762       21.645431        4.887219
     2639.34937      2639.34031          8.2520          4.6994         17.5671         99.9000       -762.4136         13.3762        5.681267        4.699414
     2639.35632      2639.34725          8.4142          4.5563         17.6007         99.9000       -660.3703         13.3762       17.305141        4.556275
     2639.36326      2639.35420         35.1141          4.4377         16.5763          0.1372       -714.3806         13.0616        5.616503        4.437736
     2639.37020      2639.36114         11.1297          4.3987         17.6389         99.9000       -684.8368         13.3762       13.539810        4.398732
     2639.37715      2639.36809          9.5803          4.4092         17.6363         99.9000       -708.4419         13.5398       16.629333        4.409171
     2639.38409      2639.37503         12.9845          4.4708         17.6212         99.9000       -668.1276         14.2333        8.635728        4.470824
