# reference_flux:         39.9274
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2637.47770      2637.47226         55.4343          2.7825         16.0806          0.0545         45.2457         13.9244       16.954474        2.782451
     2637.48464      2637.47920         52.1632          2.7481         16.1466          0.0572         42.2741         13.9244       15.395702        2.748091
     2637.49158      2637.48615         57.6336          2.7969         16.0383          0.0527         51.9367         14.0377       14.161855        2.796903
     2637.49853      2637.49309         52.7672          2.7336         16.1341          0.0562         49.1961         14.0377       14.911414        2.733584
     2637.50547      2637.50004         50.7338          2.7311         16.1768          0.0584         38.6984         14.0377        9.292467        2.731067
     2637.51242      2637.50698         49.4465          2.7516         16.2047          0.0604         43.2640         14.0377       16.783515        2.751601
     2637.51936      2637.51393         51.4315          2.7844         16.1619          0.0588         49.3467         14.0377        8.117840        2.784399
     2637.52631      2637.52087         49.3177          2.9470         16.2075          0.0649         46.3244         14.0377       14.037712        2.946995
     2637.53325      2637.52781         58.2364          2.9411         16.0270          0.0548         48.0341         14.0377       11.561675        2.941137
     2637.54019      2637.53476         59.0058          2.8963         16.0128          0.0533         35.1389         14.0377       12.510244        2.896315
     2637.54714      2637.54170         62.5326          3.0468         15.9497          0.0529         66.7480         14.0377       24.393790        3.046769
     2637.55408      2637.54865         56.4348          2.8425         16.0611          0.0547         44.3411         14.0377        8.721616        2.842514
     2637.56103      2637.55559         51.5560          2.8883         16.1593          0.0608         47.5317         14.1619        5.735798        2.888281
     2637.56797      2637.56254         54.0750          2.9005         16.1075          0.0582         50.1016         14.1619        9.224619        2.900505
     2637.57492      2637.56948         46.6192          2.9958         16.2686          0.0698         51.0380         14.1619       10.698285        2.995813
     2637.58186      2637.57643         59.5456          3.0090         16.0029          0.0549         50.3705         14.1619       13.595306        3.009025
     2637.58881      2637.58337         47.6237          2.9779         16.2454          0.0679         48.6899         14.1619       16.039650        2.977875
     2637.59575      2637.59031         52.1342          3.0032         16.1472          0.0625         50.3258         14.1619       18.713100        3.003164
     2637.60269      2637.59726         52.4754          2.9721         16.1401          0.0615         58.4617         14.4311       17.396118        2.972062
     2637.60964      2637.60420         53.3761          3.0332         16.1216          0.0617         42.3401         14.1619        9.484917        3.033207
     2637.61658      2637.61115         60.1902          3.0057         15.9912          0.0542         34.3061         14.1619        8.855916        3.005712
     2637.62353      2637.61809         52.8847          3.1126         16.1317          0.0639         38.2375         14.1619       18.877810        3.112585
     2637.63047      2637.62504         47.3111          3.1148         16.2526          0.0715         25.0996         14.4311       13.924435        3.114804
     2637.63742      2637.63198         49.3090          3.1061         16.2077          0.0684         43.8904         14.4311       17.859154        3.106077
     2637.64436      2637.63893         50.3131          3.1284         16.1858          0.0675         39.5112         14.1619       19.809743        3.128399
     2637.65130      2637.64587         54.2731          3.1925         16.1035          0.0639         43.4023         14.1619       22.231925        3.192494
     2637.65825      2637.65281         57.5673          3.1343         16.0396          0.0591         25.7965         14.1619       21.034820        3.134270
     2637.66519      2637.65976         58.9365          3.1325         16.0140          0.0577         42.3124         14.0377       11.808178        3.132508
     2637.67214      2637.66670         56.7049          3.1817         16.0559          0.0609         44.1084         14.0377       14.431098        3.181724
     2637.67908      2637.67365         52.2931          3.1984         16.1439          0.0664         37.0086         14.0377       18.082371        3.198413
     2637.68603      2637.68059         61.3153          3.1908         15.9711          0.0565         33.1150         14.0086       11.354381        3.190754
     2637.69297      2637.68754         61.9506          3.1998         15.9599          0.0561         38.1291         14.0377       20.679953        3.199776
     2637.69992      2637.69448         58.0707          3.2053         16.0301          0.0599         41.8705         14.4311       12.562077        3.205306
     2637.70686      2637.70143         64.7331          3.2486         15.9122          0.0545         37.9732         14.4311       14.517616        3.248561
     2637.71380      2637.70837         60.0337          3.0202         15.9940          0.0546         27.8467         14.4311       12.306325        3.020213
     2637.72075      2637.71531         57.1000          3.0094         16.0484          0.0572         25.2806         14.4311       16.942051        3.009397
     2637.72769      2637.72226         62.5582          3.3075         15.9493          0.0574         43.8097         14.4444       17.822268        3.307535
     2637.73464      2637.72920         52.5330          3.0960         16.1389          0.0640         26.5054         14.4444        6.933609        3.095969
     2637.74158      2637.73615         54.1857          3.1411         16.1053          0.0629         27.0575         14.4444       13.119841        3.141096
     2637.74853      2637.74309         60.5028          3.3511         15.9856          0.0601         36.5190         14.4444       22.384738        3.351139
     2637.75547      2637.75004         49.5319          3.0717         16.2028          0.0673         24.7132         14.4444       11.053955        3.071707
     2637.76241      2637.75698         62.5465          2.9622         15.9495          0.0514         23.5816         14.4444       20.237084        2.962187
     2637.76936      2637.76393         52.6632          3.1373         16.1362          0.0647         28.9939         14.4311       12.405795        3.137275
     2637.77630      2637.77087         62.0897          3.1964         15.9575          0.0559         41.7869         14.4311       10.525296        3.196446
     2637.78325      2637.77781         58.2618          3.2488         16.0265          0.0605         43.3691         14.4444       18.216459        3.248781
     2637.79019      2637.78476         56.4920          3.2536         16.0600          0.0625         36.5370         14.4444       22.568392        3.253563
     2637.79714      2637.79170         55.8665          3.0086         16.0721          0.0585         37.2355         14.4444       19.471455        3.008629
     2637.80408      2637.79865         48.8919          3.0465         16.2169          0.0677         32.4421         14.5176        9.986738        3.046492
     2637.81103      2637.80559         56.9582          3.0370         16.0511          0.0579         34.3525         14.4444       16.153088        3.036976
     2637.81797      2637.81254         55.9864          3.0699         16.0698          0.0595         35.5794         14.4311       18.941409        3.069927
     2637.82491      2637.81948         52.0473          3.0742         16.1490          0.0641         38.5481         14.4311        9.263736        3.074226
     2637.83186      2637.82643         61.5767          3.3101         15.9665          0.0584         50.5753         14.4311       14.444442        3.310065
     2637.83880      2637.83337         54.2638          3.3382         16.1037          0.0668         39.5325         14.4444       12.051836        3.338225
     2637.84575      2637.84031         50.8529          3.2406         16.1742          0.0692         64.8177         14.4444       14.008561        3.240581
     2637.85269      2637.84726         53.8177          3.1372         16.1127          0.0633         36.5071         14.4444       19.366014        3.137179
     2637.85964      2637.85420         59.6258          3.1572         16.0014          0.0575         36.9702         14.5176       24.725826        3.157230
     2637.86658      2637.86115         58.0930          3.1830         16.0297          0.0595         48.6757         14.4444       -0.000000        3.182976
     2637.87352      2637.86809         54.7832          3.1972         16.0934          0.0634         45.1049         14.5176       12.858141        3.197195
