# reference_flux:         15.3737
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2665.27973      2665.27085         10.8253          1.5720         17.8539          0.1577          0.4380         -1.1199       -2.478122        1.571952
     2665.28667      2665.27779         12.2905          1.4672         17.7161          0.1296          0.2949         -1.1199        0.203215        1.467250
     2665.29362      2665.28474         15.7456          1.5183         17.4471          0.1047          1.7416         -1.1199       -1.298153        1.518256
     2665.30056      2665.29168         11.4110          1.5711         17.7967          0.1495         -2.3459         -0.9641       -1.119872        1.571089
     2665.30751      2665.29863         13.6562          1.5310         17.6017          0.1217         -0.4911         -0.8101        1.806955        1.530996
     2665.31445      2665.30557         17.4494          1.5059         17.3355          0.0937         -2.4679         -0.9641        0.101778        1.505901
     2665.32140      2665.31252         10.7895          1.5325         17.8575          0.1542         -1.5347         -0.8101       -4.144093        1.532497
     2665.32834      2665.31946         11.8655          1.5012         17.7543          0.1374         -1.2897         -0.9641       -3.515856        1.501154
     2665.33529      2665.32641         10.8441          1.5052         17.8520          0.1507          0.7576         -0.9641       -1.970146        1.505193
     2665.34223      2665.33335         12.6574          1.4836         17.6841          0.1273         -1.4624         -0.9641       -2.327229        1.483625
     2665.34917      2665.34029         13.9501          1.5003         17.5786          0.1168          0.2724         -0.8101       -1.788765        1.500257
     2665.35612      2665.34724         12.2587          1.4902         17.7189          0.1320          0.8245         -0.8896        1.099197        1.490202
     2665.36306      2665.35418         14.0591          1.5117         17.5701          0.1167          0.6280         -0.8896       -0.415478        1.511694
     2665.37001      2665.36113         17.8198          1.5275         17.3127          0.0931         -2.1737         -0.9641       -0.810134        1.527493
     2665.37695      2665.36807         18.7097          1.5143         17.2598          0.0879          0.8669         -0.8896       -2.042318        1.514328
     2665.38390      2665.37502         17.1475          1.5446         17.3545          0.0978         -1.0259         -0.8896        0.391516        1.544647
     2665.39084      2665.38196         17.4522          1.5443         17.3354          0.0961          2.0749         -0.8605        3.034683        1.544268
     2665.39779      2665.38891         15.9455          1.5588         17.4334          0.1061         -0.6061         -0.8605       -0.566826        1.558753
     2665.40473      2665.39585         12.4584          1.5285         17.7013          0.1332         -0.5353         -0.8101       -1.722125        1.528527
     2665.41167      2665.40279         17.4404          1.5522         17.3361          0.0966          0.2791         -0.8605        1.080569        1.552178
     2665.41862      2665.40974         13.2769          1.5570         17.6323          0.1273         -0.0182         -0.8605       -2.355555        1.556982
     2665.42556      2665.41668         15.6942          1.5637         17.4507          0.1082          0.3810         -0.8101       -1.136508        1.563697
     2665.43251      2665.42363         14.2821          1.2719         17.5530          0.0967         -2.0723         -0.8101        0.225785        1.271891
     2665.43945      2665.43057         13.6201          1.5588         17.6046          0.1243          2.9552         -0.8605       -0.462362        1.558795
     2665.44640      2665.43752         14.4373          1.5618         17.5413          0.1175          2.0259         -0.8605       -0.529994        1.561773
