# reference_flux:         31.6897
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2665.27999      2665.27085         30.6360          1.4325         16.7244          0.0508         -3.1457          0.0235       -0.467366        1.432466
     2665.28693      2665.27779         37.3649          1.4358         16.5088          0.0417         -1.0709          0.0235        0.609017        1.435814
     2665.29387      2665.28474         30.4608          1.4587         16.7306          0.0520          0.5420          0.0235       -1.893214        1.458715
     2665.30082      2665.29168         29.1102          1.4591         16.7799          0.0544          0.0888          0.0235       -3.391296        1.459059
     2665.30776      2665.29863         33.4685          1.4296         16.6284          0.0464         -1.0671         -0.1904       -0.786266        1.429582
     2665.31471      2665.30557         35.6231          1.4654         16.5607          0.0447          2.7641         -0.1904       -0.984283        1.465411
     2665.32165      2665.31252         30.0142          1.4268         16.7467          0.0516          0.5359         -0.1904       -1.676377        1.426777
     2665.32860      2665.31946         36.0857          1.4571         16.5467          0.0438         -1.0607         -0.1904        2.627144        1.457130
     2665.33554      2665.32641         32.3862          1.4221         16.6641          0.0477          0.6105         -0.1904        0.096832        1.422096
     2665.34249      2665.33335         33.0665          1.4290         16.6415          0.0469         -1.6287         -0.1904       -0.359935        1.429023
     2665.34943      2665.34029         33.3499          1.4457         16.6323          0.0471          0.2155         -0.1904       -0.190378        1.445677
     2665.35637      2665.34724         32.5932          1.4601         16.6572          0.0486          0.5785         -0.1904        0.794261        1.460066
     2665.36332      2665.35418         31.3626          1.4256         16.6990          0.0494          1.0614         -0.1904       -3.340668        1.425567
     2665.37026      2665.36113         37.1544          1.4265         16.5150          0.0417         -0.9990         -0.1904        3.160960        1.426493
     2665.37721      2665.36807         32.1745          1.4610         16.6712          0.0493          0.0850         -0.3078        0.145377        1.461040
     2665.38415      2665.37502         34.2630          1.4336         16.6029          0.0454         -0.3204         -0.1904        0.469210        1.433643
     2665.39110      2665.38196         35.6192          1.4429         16.5608          0.0440          0.0027         -0.3078        2.181731        1.442936
     2665.39804      2665.38891         31.4405          1.4249         16.6963          0.0492         -0.4529         -0.3078       -2.042359        1.424854
     2665.40499      2665.39585         37.8477          1.4233         16.4949          0.0408         -2.6836         -0.1904        2.501210        1.423339
     2665.41193      2665.40279         34.3680          1.4211         16.5996          0.0449         -2.4133         -0.1735        1.670371        1.421094
     2665.41887      2665.40974         32.8195          1.4279         16.6497          0.0472         -1.5849         -0.0070        0.023455        1.427911
     2665.42582      2665.41668         35.1613          1.4331         16.5748          0.0443         -0.2367          0.0235        2.283211        1.433082
     2665.43276      2665.42363         28.1876          1.4314         16.8149          0.0551          1.0785          0.0968       -2.814591        1.431388
     2665.43971      2665.43057         32.6485          1.4324         16.6553          0.0476          0.5746          0.0968        0.366232        1.432351
     2665.44665      2665.43752         31.3043          1.4369         16.7010          0.0498         -2.6988          0.0968       -1.022968        1.436938
     2665.45360      2665.44446         34.7750          1.4329         16.5868          0.0447         -0.7185          0.1075        0.823357        1.432919
     2665.46054      2665.45141         31.1650          1.4381         16.7058          0.0501         -1.2091          0.0968       -2.257305        1.438092
     2665.46749      2665.45835         33.1909          1.4481         16.6375          0.0474         -1.6246          0.0968       -1.817833        1.448123
     2665.47443      2665.46529         36.2879          1.4410         16.5406          0.0431          0.5014          0.1075       -0.307807        1.441010
     2665.48137      2665.47224         37.3714          1.4390         16.5087          0.0418          1.2434          0.1454        2.196709        1.439031
     2665.48832      2665.47918         35.6035          1.4381         16.5613          0.0439         -0.5812          0.1454        4.125598        1.438076
     2665.49526      2665.48613         35.5759          1.4415         16.5621          0.0440          0.7908          0.2438        0.335759        1.441527
     2665.50221      2665.49307         32.5938          1.4369         16.6572          0.0479         -1.0436          0.1454        0.632460        1.436904
     2665.50915      2665.50002         35.0118          1.4397         16.5795          0.0446         -1.4019          0.2438        2.407906        1.439721
     2665.51610      2665.50696         30.2953          1.4578         16.7366          0.0522         -0.1313          0.2438       -0.757973        1.457786
     2665.52304      2665.51391         30.2657          1.4415         16.7376          0.0517         -0.0454          0.3115       -0.652701        1.441510
     2665.52998      2665.52085         33.7898          1.4798         16.6180          0.0475          1.0687          0.3115       -0.007034        1.479769
     2665.53693      2665.52779         34.3313          1.4586         16.6008          0.0461          2.6534          0.3358       -0.351711        1.458614
     2665.54387      2665.53474         30.7320          1.4639         16.7210          0.0517          0.6901          0.3115        0.107473        1.463870
     2665.55082      2665.54168         34.4288          1.4862         16.5977          0.0469         -1.0046          0.3115       -3.307551        1.486206
     2665.55776      2665.54863         36.0627          1.5006         16.5474          0.0452         -0.0001          0.3115        1.835892        1.500618
     2665.56471      2665.55557         36.7506          1.5701         16.5268          0.0464          0.9633          0.3115       -0.173512        1.570074
     2665.57165      2665.56252         35.8953          1.5466         16.5524          0.0468          0.1829          0.3358        0.556598        1.546620
     2665.57860      2665.56946         36.4672          1.5494         16.5352          0.0461         -0.4421          0.3115        0.311507        1.549435
     2665.58554      2665.57641         33.3404          1.6079         16.6326          0.0524          6.3889          0.3115        1.596102        1.607895
     2665.59248      2665.58335         36.1396          1.6327         16.5450          0.0491          8.4889          0.3358        0.406803        1.632741
     2665.59943      2665.59029         34.2085          1.6619         16.6047          0.0527         10.3002          0.3115        0.243820        1.661905
     2665.60637      2665.59724         33.8371          1.6620         16.6165          0.0533          5.2679          0.3115       -1.260731        1.661983
     2665.61332      2665.60418         39.2148          1.6819         16.4564          0.0466          6.8846          0.3115        2.833308        1.681857
     2665.62026      2665.61113         34.1745          1.7136         16.6057          0.0544         11.0434          0.3115        0.088162        1.713614
