# reference_flux:          4.2473
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2665.28004      2665.27085          3.5438          1.4823         18.8199         99.9000         -0.7028         -0.4103        1.568730        1.482272
     2665.28698      2665.27779         -1.0344          1.4871         18.8163         99.9000          0.1188         -0.3466       -2.956301        1.487143
     2665.29393      2665.28474          1.7582          1.4872         18.8163         99.9000         -0.6205         -0.3466        0.684071        1.487203
     2665.30087      2665.29168          3.6262          1.4891         18.8149         99.9000          0.3558         -0.1048        0.147397        1.489096
     2665.30782      2665.29863          0.5282          1.4880         18.8157         99.9000          0.1591         -0.1048       -0.573248        1.488048
     2665.31476      2665.30557          1.5750          1.4876         18.8160         99.9000         -0.1787         -0.1048        1.591540        1.487598
     2665.32170      2665.31252          2.2154          1.4886         18.8152         99.9000          0.8381         -0.1048       -0.346556        1.488631
     2665.32865      2665.31946         -2.6967          1.4882         18.8156         99.9000          1.4712          0.0418       -2.086657        1.488150
     2665.33559      2665.32641          0.0700          1.4883         18.8155         99.9000          2.0167          0.0418        1.371376        1.488295
     2665.34254      2665.33335          0.8350          1.4818         18.8202         99.9000         -1.4113          0.0418        0.041772        1.481781
     2665.34948      2665.34029          1.6472          1.4878         18.8158         99.9000         -0.0997          0.0418       -2.147041        1.487790
     2665.35643      2665.34724          0.0807          1.4870         18.8165         99.9000         -1.1754          0.0418       -0.429409        1.486958
     2665.36337      2665.35418          5.3101          1.4896         18.6272          0.3046         -1.2709          0.0418        1.552598        1.489595
     2665.37032      2665.36113          2.4367          1.4761         18.8244         99.9000          0.5891          0.0418        0.680831        1.476071
     2665.37726      2665.36807         -0.1360          1.4838         18.8188         99.9000          0.3611          0.0834       -0.623504        1.483805
     2665.38420      2665.37502          1.8145          1.4859         18.8172         99.9000          1.2426          0.0834       -1.306198        1.485906
     2665.39115      2665.38196          4.0944          1.4896         18.8145         99.9000         -0.9301          0.0834        1.616895        1.489582
     2665.39809      2665.38891         -0.8936          1.4606         18.8359         99.9000         -0.2027          0.1474       -1.355473        1.460554
     2665.40504      2665.39585          3.4221          1.4727         18.8269         99.9000         -2.1087          0.1474        1.456518        1.472669
     2665.41198      2665.40279          3.3191          1.4836         18.8189         99.9000          1.4686          0.0834       -0.104824        1.483626
     2665.41893      2665.40974          0.3799          1.4557         18.8395         99.9000          0.5607          0.1474       -0.410269        1.455747
     2665.42587      2665.41668          3.6962          1.4758         18.8246         99.9000         -0.7450          0.1474       -0.947723        1.475793
     2665.43282      2665.42363         -1.3142          1.4726         18.8270         99.9000         -2.0868          0.1474       -0.917658        1.472550
     2665.43976      2665.43057         -0.9480          1.4672         18.8310         99.9000          2.4874          0.1691       -3.780009        1.467161
     2665.44670      2665.43752          1.1404          1.4729         18.8268         99.9000          1.0687          0.1691        0.573634        1.472883
     2665.45365      2665.44446          6.1907          1.4747         18.4607          0.2586         -0.4284          0.1691        1.182718        1.474686
     2665.46059      2665.45141          4.0691          1.4750         18.8252         99.9000         -1.7163          0.2403        1.172089        1.475006
     2665.46754      2665.45835          7.5736          1.4797         18.2417          0.2121         -0.6868          0.2403        3.765696        1.479714
     2665.47448      2665.46529         -0.0588          1.4769         18.8238         99.9000          1.2123          0.3003       -2.122825        1.476921
     2665.48143      2665.47224          3.3020          1.4727         18.8269         99.9000         -1.4399          0.3151        0.169113        1.472687
     2665.48837      2665.47918          1.7244          1.4671         18.8311         99.9000         -1.7867          0.3151        0.300310        1.467062
     2665.49532      2665.48613          0.3441          1.4613         18.8354         99.9000          0.3781          0.4219        2.274232        1.461289
     2665.50226      2665.49307          2.1465          1.4813         18.8206         99.9000         -2.2259          0.5736       -2.001883        1.481304
     2665.50920      2665.50002         -1.7171          1.4647         18.8329         99.9000         -0.3286          0.5736        0.083375        1.464652
     2665.51615      2665.50696          1.6761          1.4792         18.8221         99.9000         -1.7925          0.6808        0.421932        1.479215
     2665.52309      2665.51391          3.8373          1.4647         18.8328         99.9000         -1.9461          0.7062        2.750179        1.464689
     2665.53004      2665.52085          3.6843          1.4914         18.8132         99.9000         -1.3704          0.9461       -0.102503        1.491394
     2665.53698      2665.52779          2.8798          1.4752         18.8251         99.9000         -0.3572          0.9461        0.706169        1.475182
     2665.54393      2665.53474          2.4143          1.4926         18.8124         99.9000          1.0841          1.1721       -1.190769        1.492571
     2665.55087      2665.54168          5.8879          1.5135         18.5151          0.2791          3.4211          1.1827        3.896870        1.513513
     2665.55782      2665.54863          0.6993          1.5169         18.7948         99.9000          6.6801          1.4565        0.946095        1.516880
     2665.56476      2665.55557          2.1749          1.5604         18.7641         99.9000          7.1453          1.4565       -0.667018        1.560416
     2665.57171      2665.56252          0.6866          1.5815         18.7495         99.9000          9.6235          1.5786       -1.206361        1.581485
     2665.57865      2665.56946          1.0153          1.6176         18.7250         99.9000          6.2114          1.5854        2.414249        1.617642
     2665.58559      2665.57641          3.8290          1.6486         18.7044         99.9000         17.4182          2.1691        2.861710        1.648643
     2665.59254      2665.58335          7.5550          1.6668         18.2444          0.2395         15.9219          2.2742        5.179420        1.666757
     2665.59948      2665.59029          1.3555          1.6861         18.6800         99.9000         24.5553          2.3746        3.678186        1.686074
     2665.60643      2665.59724          0.8826          1.7177         18.6598         99.9000        -14.6081          2.3746        1.578584        1.717676
     2665.61337      2665.60418          0.4760          1.7438         18.6434         99.9000         -3.5595          2.3807        0.315090        1.743830
     2665.62032      2665.61113          4.6189          1.7725         18.6257         99.9000         -6.0502          2.3807        0.240329        1.772474
     2665.62726      2665.61807          8.3792          1.7962         18.1320          0.2327         -1.1862          2.4142        3.620877        1.796187
     2665.63421      2665.62502          2.1860          1.8182         18.5981         99.9000         11.0414          2.5159        1.585413        1.818192
     2665.64115      2665.63196          3.5388          1.8856         18.5586         99.9000         27.1880          2.5159        2.515948        1.885631
     2665.64809      2665.63891          6.4963          1.9071         18.4083          0.3187         29.3216          2.7502        7.148002        1.907067
     2665.65504      2665.64585          1.3324          1.8733         18.5657         99.9000          4.7471          2.8617        3.893758        1.873266
     2665.66198      2665.65279          4.5432          1.9454         18.5247         99.9000         42.1033          3.2572        4.413951        1.945410
     2665.66893      2665.65974          9.3021          1.9652         18.0185          0.2294         35.9227          3.6046        5.860278        1.965180
     2665.67587      2665.66668          2.7224          1.9859         18.5023         99.9000         40.3963          3.6209        3.604645        1.985903
     2665.68282      2665.67363          2.4862          2.0070         18.4908         99.9000         43.5620          3.6782        2.374566        2.007015
     2665.68976      2665.68057          4.6566          2.0213         18.4831         99.9000         49.1098          3.8938        4.765581        2.021251
     2665.69671      2665.68752          8.5413          1.9812         18.1112          0.2518         70.5179          3.8969        7.127082        1.981210
     2665.70365      2665.69446          2.4088          2.0594         18.4628         99.9000         37.2550          3.9445        2.380652        2.059422
     2665.71059      2665.70141          7.7898          2.0729         18.2112          0.2889         48.1813          4.1212        3.944548        2.072915
     2665.71754      2665.70835         -1.5041          2.0287         18.4792         99.9000         30.0527          4.1212        6.967098        2.028653
     2665.72448      2665.71529          6.1246          2.0405         18.4723          0.3617         55.9566          4.2331        2.169051        2.040465
     2665.73143      2665.72224          7.9344          2.0615         18.1912          0.2821         59.0812          4.4140        9.689326        2.061541
     2665.73837      2665.72918          2.9711          2.1421         18.4201         99.9000        134.5229          4.4933        4.826861        2.142074
     2665.74532      2665.73613          3.7779          2.0949         18.4443         99.9000         95.8519          4.7656        4.493301        2.094890
     2665.75226      2665.74307          5.3725          2.1140         18.4344         99.9000        114.5081          4.8269        4.233060        2.113992
     2665.75920      2665.75002         -1.0567          2.1954         18.3934         99.9000        247.5766          4.9940        3.257220        2.195406
     2665.76615      2665.75696          2.3980          2.2314         18.3758         99.9000        210.6439          4.9940        1.670564        2.231383
     2665.77309      2665.76391          1.5404          2.2479         18.3677         99.9000        236.1466          5.1091        7.476540        2.247947
     2665.78004      2665.77085         -6.1170          2.2875         18.3488         99.9000        183.2004          5.4432        1.761522        2.287454
     2665.78698      2665.77779          1.3196          2.2976         18.3440         99.9000        248.3761          5.4432        9.316304        2.297563
     2665.79393      2665.78474          4.8622          2.3532         18.3181         99.9000        258.2112          5.8603        7.264721        2.353171
     2665.80087      2665.79168          3.8827          2.3595         18.3151         99.9000        292.8266          6.0829       12.763890        2.359506
     2665.80782      2665.79863         -4.9952          2.3673         18.3116         99.9000        315.9933          6.4358       10.123342        2.367300
     2665.81476      2665.80557          4.7315          2.4070         18.2935         99.9000        324.7291          6.4358        7.182408        2.407038
     2665.82170      2665.81252         -3.1920          2.4285         18.2838         99.9000        343.1635          6.4358        5.443164        2.428524
     2665.82865      2665.81946          3.3676          2.4723         18.2645         99.9000        142.9927          6.9671        6.082851        2.472268
     2665.83559      2665.82641          0.2705          2.5387         18.2357         99.9000        124.6987          6.9671        8.458013        2.538729
     2665.84254      2665.83335         -0.2518          2.4894         18.2570         99.9000        369.9109          7.1271        8.857300        2.489353
     2665.84948      2665.84029         -3.9266          2.5877         18.2149         99.9000        317.1518          7.1271        5.109080        2.587727
     2665.85643      2665.84724          4.9755          2.5503         18.2307         99.9000        135.4492          7.1271       10.499032        2.550342
     2665.86337      2665.85418          2.5456          2.5707         18.2221         99.9000        135.6637          7.1271        4.121167        2.570736
     2665.87032      2665.86113          0.1234          2.5530         18.2296         99.9000        283.7370          7.1824        8.251853        2.552970
     2665.87726      2665.86807         -1.5282          2.5794         18.2184         99.9000        432.3151          7.1824        2.662635        2.579406
     2665.88420      2665.87502          2.3654          2.5927         18.2128         99.9000        290.9016          7.2647       13.582017        2.592731
     2665.89115      2665.88196          0.4706          2.6463         18.1906         99.9000        151.8567          7.4092       10.438951        2.646332
     2665.89809      2665.88891         -3.4226          2.6683         18.1816         99.9000        158.9274          7.4765        9.422208        2.668320
     2665.90504      2665.89585          8.1230          2.6915         18.1657          0.3598        156.8332          7.4765       10.013408        2.691518
