# reference_flux:         36.6743
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2665.27985      2665.27085         37.3578          1.4791         16.5090          0.0430         -3.3013         -0.6879       -1.849304        1.479081
     2665.28680      2665.27779         34.2501          1.4921         16.6033          0.0473         -2.4516         -0.5050        0.614329        1.492060
     2665.29374      2665.28474         36.7205          1.5049         16.5277          0.0445         -0.9328         -0.5050       -2.675730        1.504898
     2665.30069      2665.29168         40.7334          1.4443         16.4151          0.0385         -0.6120         -0.5050        2.495756        1.444329
     2665.30763      2665.29863         34.9867          1.4334         16.5802          0.0445         -1.2898         -0.5050       -2.663778        1.433350
     2665.31457      2665.30557         35.3227          1.4356         16.5699          0.0441         -0.6100         -0.5050       -0.781500        1.435622
     2665.32152      2665.31252         38.7286          1.4568         16.4699          0.0408         -2.9451         -0.6366       -1.716918        1.456771
     2665.32846      2665.31946         37.1289          1.4435         16.5157          0.0422         -1.2734         -0.6879       -0.378275        1.443483
     2665.33541      2665.32641         38.3239          1.4717         16.4813          0.0417         -2.1795         -0.6366        2.215195        1.471742
     2665.34235      2665.33335         38.2857          1.4560         16.4824          0.0413         -1.7774         -0.6366        1.666525        1.455969
     2665.34930      2665.34029         37.6352          1.4948         16.5010          0.0431         -3.4237         -0.6366       -0.505014        1.494824
     2665.35624      2665.34724         35.1543          1.4392         16.5751          0.0444         -2.7190         -0.6860       -3.800934        1.439151
     2665.36319      2665.35418         45.1611          1.4330         16.3031          0.0345         -3.6133         -0.6879        3.502372        1.432983
     2665.37013      2665.36113         33.9131          1.4144         16.6141          0.0453         -0.7828         -0.6879        0.972536        1.414353
     2665.37707      2665.36807         35.3463          1.4295         16.5691          0.0439         -1.7910         -0.6879        0.850601        1.429486
     2665.38402      2665.37502         39.1514          1.4295         16.4581          0.0396         -1.9138         -0.7004       -0.687900        1.429498
     2665.39096      2665.38196         34.7773          1.4226         16.5868          0.0444         -0.6821         -0.7815       -1.190660        1.422624
     2665.39791      2665.38891         36.8015          1.4676         16.5253          0.0433         -2.5755         -0.7815        2.332376        1.467557
     2665.40485      2665.39585         38.9187          1.4258         16.4646          0.0398         -2.4003         -0.7815        1.263951        1.425803
     2665.41180      2665.40279         36.0881          1.4100         16.5466          0.0424         -0.3465         -0.7004       -0.700441        1.409984
     2665.41874      2665.40974         32.1505          1.4183         16.6720          0.0479         -2.2335         -0.6879       -1.235476        1.418341
     2665.42569      2665.41668         37.7665          1.4374         16.4972          0.0413         -3.9961         -0.6879       -0.905389        1.437370
