# reference_flux:         39.4500
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2665.27887      2665.27087         38.0154          1.2575         16.4901          0.0359         -1.0649         -2.3233       -2.028740        1.257519
     2665.28582      2665.27781         35.8625          1.2542         16.5534          0.0380          0.8961         -2.3233       -1.664897        1.254229
     2665.29276      2665.28476         30.3980          1.2308         16.7329          0.0440          1.4569         -2.3233       -3.797066        1.230761
     2665.29971      2665.29170         33.2734          1.2827         16.6348          0.0419          1.8313         -2.3233       -4.457217        1.282732
     2665.30665      2665.29865         34.3384          1.2543         16.6005          0.0397          1.6432         -2.3233       -2.613177        1.254316
     2665.31360      2665.30559         37.5502          1.2759         16.5035          0.0369          1.7023         -2.2755       -2.912460        1.275892
     2665.32054      2665.31254         36.3650          1.2788         16.5383          0.0382          2.5054         -2.2755        0.544924        1.278780
     2665.32748      2665.31948         35.1688          1.2517         16.5746          0.0386          1.4123         -2.2755       -2.275457        1.251741
     2665.33443      2665.32642         34.8377          1.2876         16.5849          0.0401          1.0282         -2.2755       -2.422035        1.287634
     2665.34137      2665.33337         35.3300          1.2756         16.5696          0.0392          0.8053         -2.2755        0.702695        1.275568
     2665.34832      2665.34031         35.5782          1.2650         16.5620          0.0386          1.0598         -2.2755       -3.098455        1.265024
     2665.35526      2665.34726         33.1053          1.2796         16.6403          0.0420          1.2053         -2.2755       -4.075878        1.279616
     2665.36221      2665.35420         39.2360          1.2800         16.4558          0.0354         -1.9024         -2.2755        1.183643        1.279983
     2665.36915      2665.36115         36.3088          1.2596         16.5400          0.0377          0.9270         -2.1286       -0.858707        1.259570
     2665.37610      2665.36809         31.5621          1.2538         16.6921          0.0431          2.3790         -2.0287       -2.002576        1.253840
     2665.38304      2665.37504         34.9353          1.2853         16.5818          0.0399          1.0526         -2.0287       -2.323251        1.285332
     2665.38999      2665.38198         37.5982          1.2575         16.5021          0.0363          0.9906         -2.0287       -0.342582        1.257454
     2665.39693      2665.38892         32.7647          1.2560         16.6515          0.0416          0.0708         -2.0026       -3.786935        1.256041
     2665.40387      2665.39587         36.5695          1.2801         16.5322          0.0380         -0.4126         -2.0287       -1.536035        1.280141
     2665.41082      2665.40281         36.2371          1.2409         16.5421          0.0372         -0.6454         -2.0026       -2.864598        1.240912
     2665.41776      2665.40976         31.8213          1.2492         16.6832          0.0426          2.7646         -1.9588       -1.342043        1.249167
     2665.42471      2665.41670         34.4645          1.2688         16.5966          0.0400          1.7807         -1.9588       -2.461219        1.268758
     2665.43165      2665.42365         35.1021          1.2597         16.5767          0.0390          0.9132         -1.8313       -3.193905        1.259707
     2665.43860      2665.43059         36.9451          1.2390         16.5211          0.0364          2.5320         -1.9588       -1.831267        1.239038
     2665.44554      2665.43754         36.3173          1.2330         16.5397          0.0369          1.2007         -1.8313       -3.420716        1.232950
     2665.45249      2665.44448         35.2064          1.2713         16.5734          0.0392          1.5050         -1.8169       -1.031275        1.271254
     2665.45943      2665.45142         38.9539          1.2576         16.4636          0.0351          1.8550         -1.8169       -2.406039        1.257608
     2665.46637      2665.45837         40.7924          1.2333         16.4136          0.0328          0.4070         -1.7967        0.307525        1.233278
     2665.47332      2665.46531         37.6456          1.2521         16.5007          0.0361          0.6276         -1.7967       -0.677106        1.252092
