# reference_flux:         37.9000
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2665.27751      2665.27086         40.0204          1.1548         16.4343          0.0313         -3.1440         -0.8624       -2.069101        1.154823
     2665.28446      2665.27780         35.8281          1.1551         16.5544          0.0350         -0.8758         -0.4558       -0.455752        1.155114
     2665.29140      2665.28475         39.8552          1.1570         16.4388          0.0315          2.6923         -0.4558       -0.151055        1.157012
     2665.29834      2665.29169         37.5983          1.1577         16.5021          0.0334          3.4179         -0.4558        0.052399        1.157694
     2665.30529      2665.29864         39.6162          1.1597         16.4453          0.0318         -0.1666         -0.4558       -0.003069        1.159718
     2665.31223      2665.30558         41.8411          1.1595         16.3860          0.0301         -0.0787         -0.4558        0.576853        1.159511
     2665.31918      2665.31252         40.4178          1.1593         16.4236          0.0311         -1.4489         -0.4445       -1.085763        1.159331
     2665.32612      2665.31947         38.5052          1.1577         16.4762          0.0326         -1.0500         -0.4558        0.440238        1.157678
     2665.33307      2665.32641         37.8550          1.1573         16.4947          0.0332          0.7021         -0.4558       -1.308633        1.157304
     2665.34001      2665.33336         39.0971          1.1524         16.4596          0.0320         -1.8550         -0.4558        0.518345        1.152400
     2665.34696      2665.34030         41.9401          1.1564         16.3834          0.0299          0.3609         -0.4445        0.314558        1.156423
     2665.35390      2665.34725         34.5759          1.1519         16.5931          0.0362         -1.3253         -0.2342       -1.598507        1.151866
     2665.36084      2665.35419         37.8252          1.1597         16.4955          0.0333         -0.5207         -0.4210        2.291929        1.159700
     2665.36779      2665.36114         37.3010          1.1574         16.5107          0.0337         -0.4269         -0.4210       -1.205676        1.157430
     2665.37473      2665.36808         36.4563          1.1581         16.5356          0.0345         -1.2490         -0.4210       -2.183058        1.158113
     2665.38168      2665.37502         35.5738          1.1574         16.5622          0.0353          1.2442         -0.4445       -1.893819        1.157363
     2665.38862      2665.38197         40.5789          1.1604         16.4192          0.0310          1.9716         -0.4210       -1.953661        1.160435
     2665.39557      2665.38891         39.8476          1.1555         16.4390          0.0315         -1.1682         -0.4445        1.484153        1.155518
     2665.40251      2665.39586         36.6282          1.1576         16.5305          0.0343         -0.5312         -0.4210       -2.225794        1.157608
     2665.40946      2665.40280         36.0309          1.1570         16.5483          0.0349         -0.1172         -0.4210       -2.680230        1.156954
     2665.41640      2665.40975         37.4608          1.1555         16.5061          0.0335         -1.9717         -0.4210        0.738522        1.155525
     2665.42334      2665.41669         35.8561          1.1537         16.5536          0.0349          0.5203         -0.4210       -0.862399        1.153668
     2665.43029      2665.42364         38.6039          1.1534         16.4734          0.0324          1.1512         -0.4210       -0.145535        1.153427
     2665.43723      2665.43058         37.8423          1.1556         16.4951          0.0332          0.1751         -0.2342       -1.078453        1.155620
     2665.44418      2665.43752         35.4537          1.1586         16.5658          0.0355          1.3065         -0.1511        0.214466        1.158555
     2665.45112      2665.44447         36.5522          1.1547         16.5327          0.0343          1.2199         -0.1511       -0.444458        1.154710
     2665.45807      2665.45141         35.9408          1.1554         16.5510          0.0349          0.5039         -0.1503        0.033886        1.155403
     2665.46501      2665.45836         38.2367          1.1567         16.4838          0.0328         -2.1932         -0.1503       -2.027598        1.156737
     2665.47196      2665.46530         37.7519          1.1502         16.4977          0.0331         -0.6760         -0.2342       -0.234161        1.150201
     2665.47890      2665.47225         41.3190          1.1575         16.3996          0.0304         -0.3055         -0.2342        1.605653        1.157521
     2665.48584      2665.47919         37.5660          1.1576         16.5030          0.0335         -0.1155         -0.2342       -1.050836        1.157592
     2665.49279      2665.48614         35.7238          1.1547         16.5576          0.0351          2.4991         -0.2303       -1.188504        1.154710
     2665.49973      2665.49308         35.4918          1.1538         16.5647          0.0353         -0.1097         -0.2303       -2.564573        1.153786
     2665.50668      2665.50002         38.7711          1.1568         16.4687          0.0324          1.0347         -0.1503       -0.118481        1.156771
     2665.51362      2665.50697         38.1160          1.1584         16.4872          0.0330          1.0868         -0.1503        0.460205        1.158445
     2665.52057      2665.51391         39.4352          1.1559         16.4503          0.0318         -0.6625         -0.1503       -0.420961        1.155878
     2665.52751      2665.52086         36.6820          1.1516         16.5289          0.0341          0.4968         -0.1455       -2.092830        1.151580
     2665.53445      2665.52780         37.2402          1.1620         16.5125          0.0339         -1.9269         -0.1455        0.714670        1.161975
     2665.54140      2665.53475         40.4938          1.1691         16.4215          0.0313         -1.8850         -0.1185       -0.643199        1.169148
     2665.54834      2665.54169         41.3393          1.1801         16.3991          0.0310          0.9466         -0.0739        1.236595        1.180085
     2665.55529      2665.54863         36.1896          1.1863         16.5435          0.0356         -1.7591         -0.0025       -0.685626        1.186288
     2665.56223      2665.55558         36.0360          1.2024         16.5482          0.0362         -1.5598          0.0339        0.381751        1.202438
     2665.56918      2665.56252         39.1142          1.2246         16.4592          0.0340         -0.4376          0.0339       -0.150334        1.224640
     2665.57612      2665.56947         38.5531          1.2520         16.4749          0.0353          1.5043          0.2145        3.157972        1.252004
     2665.58307      2665.57641         42.0454          1.2772         16.3807          0.0330         -0.4329          0.2223        2.887885        1.277187
     2665.59001      2665.58336         40.6697          1.3079         16.4168          0.0349         -2.2803          0.2223        0.888078        1.307887
     2665.59695      2665.59030         40.6143          1.3416         16.4183          0.0359          0.2447          0.3818        1.526066        1.341648
     2665.60390      2665.59725         41.9258          1.3660         16.3838          0.0354          0.7399          0.4602        2.801828        1.365983
     2665.61084      2665.60419         39.9913          1.3927         16.4351          0.0378          8.2140          0.7147       -1.094497        1.392738
     2665.61779      2665.61113         39.5521          1.4125         16.4471          0.0388          6.0256          0.8594        4.237981        1.412523
     2665.62473      2665.61808         33.7314          1.4333         16.6199          0.0461          6.2237          0.8881       -1.511321        1.433345
     2665.63168      2665.62502         36.7088          1.4567         16.5281          0.0431         15.9983          0.8888       -0.777921        1.456674
