# reference_flux:         78.7628
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2665.27667      2665.27086         80.8860          1.2092         15.6703          0.0162          0.8663          0.8536       -0.782408        1.209240
     2665.28362      2665.27780         78.7931          1.2195         15.6988          0.0168          0.1585          0.8536        0.698725        1.219471
     2665.29056      2665.28475         81.5194          1.2017         15.6618          0.0160         -0.4248          0.8536        0.362442        1.201729
     2665.29751      2665.29169         76.0015          1.2101         15.7379          0.0173          0.0050          0.6987        1.963928        1.210121
     2665.30445      2665.29864         79.9296          1.1882         15.6832          0.0161          0.5625          0.6987        0.214759        1.188214
     2665.31140      2665.30558         77.6776          1.1801         15.7143          0.0165         -0.1317          0.8536       -0.695870        1.180060
     2665.31834      2665.31252         84.4926          1.1668         15.6230          0.0150          0.0218          0.6987        2.333507        1.166827
     2665.32528      2665.31947         78.2031          1.2038         15.7069          0.0167         -1.8913          0.6987       -0.412565        1.203835
     2665.33223      2665.32641         76.5994          1.1845         15.7294          0.0168          0.5835          0.6987        1.005408        1.184547
     2665.33917      2665.33336         81.0238          1.2017         15.6685          0.0161         -0.1205          0.6987        1.737671        1.201726
     2665.34612      2665.34030         74.7938          1.1665         15.7553          0.0169          0.0992          0.6987       -2.281293        1.166528
     2665.35306      2665.34725         80.6018          1.1787         15.6741          0.0159          2.0971          0.4126        1.535217        1.178686
     2665.36001      2665.35419         79.6766          1.1461         15.6867          0.0156          2.0834          0.3624        2.234178        1.146080
     2665.36695      2665.36114         80.6008          1.1743         15.6742          0.0158          1.0166          0.3624        1.284274        1.174316
     2665.37390      2665.36808         79.0201          1.1751         15.6957          0.0161         -0.2976          0.3624       -0.066391        1.175117
     2665.38084      2665.37502         79.4378          1.1747         15.6899          0.0161         -4.3615          0.3624        1.419956        1.174714
     2665.38778      2665.38197         77.3966          1.1671         15.7182          0.0164         -1.0106          0.3624        1.259853        1.167138
     2665.39473      2665.38891         78.9189          1.1333         15.6970          0.0156          0.1533          0.3624       -1.824931        1.133350
     2665.40167      2665.39586         80.9270          1.1834         15.6698          0.0159          0.1691          0.3624        1.199357        1.183384
     2665.40862      2665.40280         79.3514          1.1304         15.6911          0.0155          0.7214          0.3624       -0.331906        1.130407
     2665.41556      2665.40975         77.3399          1.1841         15.7190          0.0166         -1.6138          0.3624        0.412560        1.184057
     2665.42251      2665.41669         80.6519          1.1056         15.6735          0.0149         -0.5164          0.3578        1.813571        1.105555
     2665.42945      2665.42364         76.3090          1.1175         15.7336          0.0159          0.1641          0.3578        1.715313        1.117503
     2665.43640      2665.43058         82.1292          1.1091         15.6538          0.0147         -1.9735          0.3578        0.853596        1.109058
     2665.44334      2665.43752         76.4160          1.1088         15.7320          0.0158         -0.2685          0.3624       -0.763969        1.108765
     2665.45029      2665.44447         81.3332          1.1216         15.6643          0.0150         -0.3722          0.4126        2.543945        1.121643
     2665.45723      2665.45141         76.5024          1.1261         15.7308          0.0160          1.9553          0.3624        0.198933        1.126139
     2665.46417      2665.45836         76.6831          1.1797         15.7283          0.0167          0.5576          0.4126       -2.268527        1.179713
     2665.47112      2665.46530         81.7017          1.1141         15.6594          0.0148         -1.3666          0.4126        2.805854        1.114071
     2665.47806      2665.47225         79.1844          1.1142         15.6934          0.0153         -1.6295          0.4469       -3.742418        1.114250
     2665.48501      2665.47919         78.4832          1.0811         15.7031          0.0150          0.5739          0.6455       -1.788012        1.081089
     2665.49195      2665.48614         78.3531          1.1867         15.7049          0.0164          2.1657          0.6455        2.631746        1.186726
     2665.49890      2665.49308         80.1115          1.1731         15.6808          0.0159         -3.3627          0.7444       -0.294063        1.173148
     2665.50584      2665.50002         77.7576          1.1827         15.7131          0.0165          0.8784          0.6455       -0.930094        1.182696
     2665.51279      2665.50697         77.6202          1.1871         15.7151          0.0166          0.8599          0.4469        0.114821        1.187133
     2665.51973      2665.51391         79.2590          1.0835         15.6924          0.0148         -1.0642          0.4469        0.357777        1.083533
     2665.52667      2665.52086         78.9916          1.1903         15.6960          0.0164          1.1729          0.4126       -1.431311        1.190288
