# reference_flux:         96.1910
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2665.27713      2665.27086         95.1485          1.2025         15.4940          0.0137          0.3355         -0.2795       -0.986804        1.202542
     2665.28407      2665.27780         97.6432          1.2000         15.4659          0.0133         -1.1346         -0.2795        2.928755        1.199967
     2665.29102      2665.28475         92.7564          1.2047         15.5216          0.0141          0.8851         -0.2795       -0.455603        1.204687
     2665.29796      2665.29169         93.1167          1.2078         15.5174          0.0141         -0.5450         -0.2795       -0.279533        1.207800
     2665.30491      2665.29864         96.1089          1.2083         15.4831          0.0136          0.9770         -0.2795       -0.350028        1.208260
     2665.31185      2665.30558         91.2005          1.2157         15.5400          0.0145         -1.2179         -0.2795       -1.115680        1.215699
     2665.31879      2665.31252         93.9973          1.2115         15.5072          0.0140          1.8018         -0.2795        0.027894        1.211463
     2665.32574      2665.31947         94.7378          1.2044         15.4987          0.0138          0.2008         -0.2795       -0.461748        1.204378
     2665.33268      2665.32641         93.8288          1.2083         15.5092          0.0140         -0.0895         -0.2795        0.046133        1.208344
     2665.33963      2665.33336         98.0927          1.2110         15.4609          0.0134         -1.6148         -0.2795        1.382258        1.210973
     2665.34657      2665.34030         91.9006          1.1953         15.5317          0.0141          2.2739         -0.2694       -2.405058        1.195299
     2665.35352      2665.34725         95.0927          1.2128         15.4946          0.0138         -1.7729         -0.2694       -0.269358        1.212766
     2665.36046      2665.35419         97.9570          1.1974         15.4624          0.0133          1.0943         -0.2694        1.836731        1.197365
     2665.36741      2665.36114         95.6595          1.2024         15.4882          0.0136         -0.8805         -0.2694        0.483947        1.202365
     2665.37435      2665.36808         91.8716          1.2000         15.5320          0.0142          0.7726         -0.1488       -0.760372        1.200044
     2665.38129      2665.37502         90.3312          1.1956         15.5504          0.0144          0.1644         -0.1567       -0.416109        1.195636
     2665.38824      2665.38197         94.2324          1.1999         15.5045          0.0138         -2.6276         -0.1567        0.637791        1.199941
     2665.39518      2665.38891         94.1180          1.1922         15.5058          0.0138          0.3273         -0.1488        0.381386        1.192201
     2665.40213      2665.39586         97.4326          1.1958         15.4682          0.0133         -1.8249         -0.1488        0.906893        1.195819
     2665.40907      2665.40280         95.9725          1.1943         15.4846          0.0135         -1.4601         -0.1488        1.036715        1.194252
     2665.41602      2665.40975         94.0570          1.1845         15.5065          0.0137         -2.9125         -0.1488       -1.381023        1.184451
     2665.42296      2665.41669         93.8226          1.1873         15.5092          0.0137         -0.9376         -0.1488       -1.896763        1.187264
     2665.42991      2665.42364         97.8119          1.1882         15.4640          0.0132          2.0848         -0.1488        3.628931        1.188172
     2665.43685      2665.43058         92.4429          1.1863         15.5253          0.0139         -2.1182         -0.1567       -1.145921        1.186260
     2665.44380      2665.43752         95.8368          1.1882         15.4862          0.0135         -1.4798         -0.1488       -1.853849        1.188174
     2665.45074      2665.44447         96.4119          1.1863         15.4797          0.0134         -0.7244         -0.1488       -0.359200        1.186347
