# reference_flux:        -24.3560
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2665.27591      2665.27086         -2.9417          1.0755         19.1682         99.9000          1.4489          0.2465       -1.919225        1.075520
     2665.28286      2665.27780          0.6980          1.0732         19.1705         99.9000         -0.4649          0.2465       -0.587846        1.073234
     2665.28980      2665.28475          2.9876          1.0794         19.1643         99.9000          0.7207          0.2465        0.403720        1.079384
     2665.29675      2665.29169         -0.8944          1.1037         19.1401         99.9000         -0.3748          0.2465       -0.945775        1.103668
     2665.30369      2665.29864          1.5041          1.0955         19.1482         99.9000          1.7957          0.2465        0.261550        1.095453
     2665.31064      2665.30558          1.6050          1.0902         19.1534         99.9000         -0.2061          0.2465        0.246508        1.090224
     2665.31758      2665.31252          4.9515          1.0594         18.7032          0.2323         -0.4002          0.2465        1.700626        1.059387
     2665.32453      2665.31947         -1.8202          1.0855         19.1581         99.9000          1.9351          0.2465       -1.415638        1.085500
     2665.33147      2665.32641          2.5896          1.0704         19.1733         99.9000          2.8294          0.2465        3.009312        1.070385
     2665.33841      2665.33336          5.4094          1.0873         18.6071          0.2182         -0.2565          0.2465        2.206915        1.087261
     2665.34536      2665.34030          1.5313          1.0762         19.1674         99.9000         -0.4184          0.2465        0.250867        1.076237
     2665.35230      2665.34725         -0.3755          1.0737         19.1700         99.9000         -0.2587          0.2465       -1.312711        1.073706
     2665.35925      2665.35419          5.6361          1.0890         18.5626          0.2098         -0.2998          0.2465        1.661335        1.089022
     2665.36619      2665.36114          0.4694          1.0939         19.1497         99.9000          2.0527          0.2465        0.100235        1.093912
     2665.37314      2665.36808          2.3058          1.0858         19.1579         99.9000          2.3118          0.2465       -0.606913        1.085757
     2665.38008      2665.37502          2.1024          1.0772         19.1664         99.9000          1.0103          0.1200        0.499402        1.077210
     2665.38703      2665.38197          3.1609          1.0601         19.1838         99.9000          0.6132          0.1002        2.165593        1.060098
     2665.39397      2665.38891          0.8060          1.0899         19.1537         99.9000          1.5611          0.1200       -1.068361        1.089926
     2665.40092      2665.39586          0.4906          1.0846         19.1591         99.9000          1.2594          0.1200        1.723561        1.084556
     2665.40786      2665.40280         -2.9891          1.0788         19.1649         99.9000          1.2488          0.1200       -2.881677        1.078771
     2665.41480      2665.40975          1.9502          1.0799         19.1638         99.9000          0.3486          0.1200       -0.060503        1.079884
     2665.42175      2665.41669         -1.8006          1.0773         19.1664         99.9000         -0.3721          0.2465        0.544855        1.077267
     2665.42869      2665.42364         -1.6477          1.0767         19.1670         99.9000          0.3299          0.1200       -2.993376        1.076708
     2665.43564      2665.43058          0.8935          1.0775         19.1661         99.9000          0.6975          0.2465        1.002852        1.077539
     2665.44258      2665.43752          2.2084          1.0855         19.1581         99.9000         -0.0349          0.2509       -1.289156        1.085525
     2665.44953      2665.44447         -0.1798          1.0811         19.1625         99.9000          0.5799          0.2509        0.279224        1.081104
     2665.45647      2665.45141          2.4872          1.0810         19.1626         99.9000          4.3014          0.2616       -0.847433        1.081033
     2665.46342      2665.45836         -4.9525          1.0857         19.1579         99.9000          0.3580          0.2616       -4.650543        1.085736
     2665.47036      2665.46530         -0.4225          1.0922         19.1515         99.9000         -0.1422          0.2616        0.478441        1.092169
     2665.47730      2665.47225          0.2370          1.0869         19.1567         99.9000         -0.1379          0.2509        0.097775        1.086941
     2665.48425      2665.47919         -0.6748          1.0876         19.1561         99.9000          3.1497          0.2509       -0.524011        1.087559
     2665.49119      2665.48614          1.7180          1.0914         19.1522         99.9000          0.7783          0.1200        1.547318        1.091387
     2665.49814      2665.49308         -0.2124          1.0955         19.1481         99.9000          3.6574          0.2509        1.472916        1.095535
     2665.50508      2665.50002          2.5005          1.1013         19.1424         99.9000          0.0520          0.1200        0.558376        1.101284
     2665.51203      2665.50697          2.7215          1.1050         19.1388         99.9000          2.6102          0.1002       -0.379927        1.105040
     2665.51897      2665.51391          2.5591          1.0987         19.1450         99.9000          0.9974          0.0978        1.338315        1.098741
     2665.52592      2665.52086         -2.6250          1.0976         19.1461         99.9000          0.9435          0.0978       -2.289396        1.097603
     2665.53286      2665.52780         -3.3351          1.1037         19.1401         99.9000          0.7047          0.0517       -1.081183        1.103654
     2665.53980      2665.53475         -0.4234          1.1037         19.1400         99.9000         -1.4883          0.0517        0.119993        1.103731
     2665.54675      2665.54169          0.5050          1.1125         19.1315         99.9000         -0.1900          0.0517       -0.789843        1.112451
     2665.55369      2665.54863          4.2097          1.1904         18.8794          0.3070         -1.8296          0.0517        0.910362        1.190357
     2665.56064      2665.55558          7.1968          1.2015         18.2971          0.1813          0.3889          0.0019        2.333028        1.201454
     2665.56758      2665.56252          4.0297          1.2540         18.9268          0.3379          2.2645          0.0019        3.625078        1.253977
     2665.57453      2665.56947          2.5901          1.2365         19.0167         99.9000          2.3354         -0.0605        2.293922        1.236515
     2665.58147      2665.57641          2.2871          1.2842         18.9756         99.9000          3.7653         -0.0605        0.784058        1.284163
     2665.58842      2665.58336          7.4459          1.3426         18.2602          0.1958          2.8125          0.0019       -0.813970        1.342570
     2665.59536      2665.59030          0.7300          1.3559         18.9166         99.9000          7.1928         -0.3447        1.496544        1.355936
     2665.60231      2665.59725          0.1861          1.4075         18.8760         99.9000          7.9525         -0.1885        1.472687        1.407535
     2665.60925      2665.60419         -0.0420          1.4500         18.8438         99.9000          8.8178         -0.3447        0.051745        1.450026
     2665.61619      2665.61113          1.4292          1.4965         18.8095         99.9000          9.6676         -0.3447        0.395594        1.496490
     2665.62314      2665.61808          1.5250          1.5053         18.8032         99.9000         15.6051         -0.3799        1.421460        1.505255
     2665.63008      2665.62502         -2.1871          1.5555         18.7675         99.9000         15.4634         -0.3447       -3.019894        1.555491
     2665.63703      2665.63197          2.2585          1.6131         18.7280         99.9000         14.6823         -0.3447       -0.473818        1.613103
     2665.64397      2665.63891          1.6214          1.6354         18.7131         99.9000         22.7323         -0.3799       -1.331682        1.635407
     2665.65092      2665.64586          2.2549          1.6804         18.6837         99.9000         19.2252         -0.4541        0.001930        1.680371
     2665.65786      2665.65280          0.7527          1.6951         18.6742         99.9000         23.0023         -0.4541        2.277534        1.695125
     2665.66481      2665.65975          1.3421          1.7261         18.6545         99.9000         25.9829         -0.4612       -0.505448        1.726096
     2665.67175      2665.66669          2.2004          1.7557         18.6361         99.9000         33.2206         -0.4738       -1.847072        1.755691
     2665.67869      2665.67363          0.6692          1.7848         18.6182         99.9000         35.3822         -0.5054       -1.717074        1.784761
     2665.68564      2665.68058          4.1896          1.8188         18.5977         99.9000         43.6503         -0.5756       -0.454063        1.818779
     2665.69258      2665.68752          1.9939          1.8625         18.5720         99.9000         44.4670         -0.7493       -2.546142        1.862450
     2665.69953      2665.69447          3.4958          1.9368         18.5295         99.9000         47.4708         -0.7493        1.203222        1.936765
     2665.70647      2665.70141         -2.7011          1.9536         18.5201         99.9000         49.6495         -0.7493       -6.037256        1.953570
     2665.71342      2665.70836          2.4898          2.0154         18.4863         99.9000         60.7502         -0.7898        3.407763        2.015401
     2665.72036      2665.71530          1.7814          2.0182         18.4848         99.9000         63.4614         -0.8140       -0.575611        2.018159
     2665.72731      2665.72225          0.9404          2.0507         18.4674         99.9000         67.1076         -0.9441       -3.773510        2.050702
     2665.73425      2665.72919          4.0607          1.6950         18.6743         99.9000         48.5973         -1.0911       -0.461231        1.694981
     2665.74119      2665.73613          2.5765          1.7394         18.6462         99.9000         57.1652         -1.2855       -0.344743        1.739402
     2665.74814      2665.74308          0.5338          1.7850         18.6181         99.9000         57.3459         -1.3317        1.429539        1.784998
     2665.75508      2665.75002          0.2165          1.8230         18.5952         99.9000         63.0500         -1.4700       -1.698052        1.823020
     2665.76203      2665.75697         -3.4979          1.8123         18.6016         99.9000         61.1849         -1.4786       -0.188478        1.812265
     2665.76897      2665.76391          3.5809          1.8478         18.5805         99.9000         63.3481         -1.4827       -0.749262        1.847836
     2665.77592      2665.77086          2.2352          1.8884         18.5569         99.9000         65.5080         -1.4827       -1.478624        1.888433
     2665.78286      2665.77780          3.4561          1.9228         18.5373         99.9000         69.0996         -1.4827       -1.906295        1.922844
     2665.78981      2665.78474          3.7706          1.9375         18.5291         99.9000         70.8388         -1.4827        1.219207        1.937471
     2665.79675      2665.79169          1.3572          1.9761         18.5077         99.9000         77.5886         -1.6006       -1.470047        1.976059
     2665.80369      2665.79863         -1.0010          1.9818         18.5045         99.9000         76.3233         -1.6006       -1.482732        1.981838
     2665.81064      2665.80558          1.4642          2.0180         18.4849         99.9000         74.7121         -1.6006       -1.285545        2.018011
     2665.81758      2665.81252         -1.4706          2.0324         18.4772         99.9000         70.2728         -1.6981       -1.091059        2.032390
     2665.82453      2665.81947         -7.0645          2.0785         18.4528         99.9000         67.3909         -1.7171       -4.780692        2.078539
     2665.83147      2665.82641         -0.0225          2.0953         18.4441         99.9000         67.8344         -1.7171       -3.347968        2.095288
     2665.83842      2665.83336         -3.6277          2.1444         18.4189         99.9000         69.3558         -1.7171       -2.105378        2.144442
     2665.84536      2665.84030          2.6154          2.1686         18.4068         99.9000         63.3397         -1.6981       -4.804273        2.168565
     2665.85231      2665.84724         -4.0514          2.1840         18.3991         99.9000         66.1008         -1.6006       -3.899278        2.183958
     2665.85925      2665.85419         -3.6487          2.2089         18.3868         99.9000         70.6878         -1.6006       -2.909445        2.208856
     2665.86619      2665.86113         -3.5045          2.2161         18.3832         99.9000         69.4142         -1.5780       -4.799771        2.216094
     2665.87314      2665.86808          6.2701          2.2536         18.3650         99.9000         73.3589         -1.6006       -0.944050        2.253596
     2665.88008      2665.87502          2.9695          2.2715         18.3564         99.9000         72.5309         -1.5780       -1.600580        2.271508
     2665.88703      2665.88197         -5.1520          2.3120         18.3372         99.9000         75.5470         -1.5780       -5.432872        2.312004
     2665.89397      2665.88891          1.3841          2.3599         18.3150         99.9000         76.9077         -1.5780       -3.887663        2.359860
     2665.90092      2665.89586         -1.1993          2.3820         18.3048         99.9000         83.2993         -1.4827       -5.809476        2.381993
     2665.90786      2665.90280         -0.3353          2.3967         18.2982         99.9000         85.0444         -1.4827       -3.188355        2.396718
     2665.91481      2665.90974         -2.4312          2.4442         18.2769         99.9000         86.1617         -1.4827       -1.961879        2.444156
     2665.92175      2665.91669          2.6115          2.4758         18.2629         99.9000         96.3060         -1.5780       -2.336749        2.475797
     2665.92869      2665.92363         -5.3685          2.5244         18.2418         99.9000        103.0385         -1.4827       -5.067558        2.524405
     2665.93564      2665.93058         -0.0241          2.5191         18.2441         99.9000        100.1225         -1.5780       -0.555810        2.519107
     2665.94258      2665.93752          4.3808          2.5444         18.2333         99.9000         89.8521         -1.6006        1.569998        2.544356
     2665.94953      2665.94447         -1.1834          2.5666         18.2238         99.9000         94.5103         -1.6006       -1.180609        2.566550
     2665.95647      2665.95141         -4.0610          2.6082         18.2064         99.9000        100.1315         -1.5780       -2.076772        2.608154
     2665.96342      2665.95836         -3.6205          2.6212         18.2009         99.9000        102.3305         -1.5780       -1.746288        2.621216
     2665.97036      2665.96530         -0.5334          2.6618         18.1843         99.9000        105.1623         -1.6006       -0.402591        2.661767
     2665.97731      2665.97224          4.0097          2.7141         18.1631         99.9000        104.4894         -1.6006       -2.555165        2.714148
     2665.98425      2665.97919         -0.5592          2.7160         18.1624         99.9000        101.3063         -1.7463       -2.475922        2.715982
     2665.99120      2665.98613         -0.4639          2.7519         18.1481         99.9000        108.6733         -1.9619        3.048721        2.751891
     2665.99814      2665.99308          6.4773          2.7767         18.1384         99.9000        112.4387         -1.9619        8.079715        2.776699
     2666.00508      2666.00002          3.1242          2.8020         18.1285         99.9000        117.0747         -1.7463        1.580332        2.801971
     2666.01203      2666.00697         -1.5238          3.3245         17.9429         99.9000        115.6579         -1.6006        4.307255        3.324530
     2666.01897      2666.01391          7.9398          2.8569         18.1074         99.9000        116.5837         -1.5780        5.751150        2.856935
     2666.02592      2666.02086         -0.8266          2.8403         18.1138         99.9000        108.2443         -1.5780       -1.577963        2.840318
     2666.03286      2666.02780         -6.3152          2.9238         18.0823         99.9000        117.4977         -1.5780       -5.572936        2.923799
     2666.03981      2666.03474          0.3416          2.9274         18.0810         99.9000        111.8549         -1.5780       -0.285945        2.927395
     2666.04675      2666.04169          5.1285          2.9122         18.0866         99.9000        111.3484         -1.5780        0.560216        2.912188
     2666.05370      2666.04863          2.0838          2.9362         18.0777         99.9000         96.5477         -1.5780        1.856125        2.936186
     2666.06064      2666.05558          3.7141          2.9526         18.0717         99.9000         94.2087         -1.5780        6.641213        2.952582
     2666.06758      2666.06252          3.4334          2.9682         18.0660         99.9000         95.6095         -1.5780        1.801670        2.968219
     2666.07453      2666.06947          2.3777          2.9804         18.0615         99.9000         94.9300         -1.5780        0.235850        2.980423
     2666.08147      2666.07641          2.1168          2.9830         18.0606         99.9000         84.7789         -1.5780       -1.994076        2.982979
     2666.08842      2666.08336          7.9472          3.0702         18.0293         99.9000         91.8732         -1.5780        5.192414        3.070159
     2666.09536      2666.09030         -3.2341          3.0236         18.0459         99.9000         80.2345         -1.5780       -5.878214        3.023569
     2666.10231      2666.09724         -4.7995          3.0341         18.0421         99.9000         77.1711         -1.5780       -4.893124        3.034103
     2666.10925      2666.10419          9.1722          3.0769         18.0269         99.9000         76.0473         -1.7463        6.463295        3.076857
     2666.11620      2666.11113          0.2555          2.8123         18.1246         99.9000         41.2782         -1.9941        2.928318        2.812267
     2666.12314      2666.11808          0.3972          2.8326         18.1167         99.9000         36.8315         -2.0425       -0.433008        2.832634
     2666.13008      2666.12502         -2.5403          2.8624         18.1054         99.9000         35.7996         -2.0425       -7.798985        2.862384
     2666.13703      2666.13197          2.9413          2.8711         18.1021         99.9000         17.8309         -2.4759       -0.510174        2.871099
     2666.14397      2666.13891         -1.0181          2.8647         18.1045         99.9000         17.3627         -2.5552       -4.413081        2.864684
     2666.15092      2666.14586         -1.2253          2.8092         18.1257         99.9000         15.7570         -3.3158       -5.195951        2.809191
     2666.15786      2666.15280          3.1978          2.8535         18.1087         99.9000         12.9212         -4.3771       -4.716278        2.853546
     2666.16481      2666.15974         -0.1221          2.8513         18.1096         99.9000        -11.6905         -4.4131       -0.670060        2.851270
     2666.17175      2666.16669          3.0471          2.8418         18.1132         99.9000        -21.6224         -4.7163       -1.478297        2.841756
     2666.17870      2666.17363          5.2895          2.8604         18.1061         99.9000        -26.5773         -4.8931        1.101420        2.860401
     2666.18564      2666.18058         -5.8570          2.8662         18.1039         99.9000        -15.5762         -5.1960       -2.042496        2.866205
     2666.19259      2666.18752         -0.0426          2.8487         18.1106         99.9000        -20.8477         -5.5729       -6.685585        2.848694
     2666.19953      2666.19447         -0.3837          2.7724         18.1401         99.9000        -20.4244         -5.8782       -4.377056        2.772384
     2666.20647      2666.20141          2.2986          2.8876         18.0959         99.9000        -14.0231         -6.1327       -1.038506        2.887558
     2666.21342      2666.20836         -5.0644          2.7612         18.1445         99.9000        -10.9040         -6.6856       -7.352320        2.761173
     2666.22036      2666.21530         -4.9425          2.7791         18.1374         99.9000        -11.5380         -6.7232       -8.180121        2.779068
     2666.22731      2666.22224         -0.8777          2.7498         18.1489         99.9000        -14.3289         -7.0351       -3.315846        2.749826
     2666.23425      2666.22919          2.1093          2.7568         18.1462         99.9000        -16.1710         -7.3523       -7.035113        2.756844
     2666.24120      2666.23613         -4.0916          2.7069         18.1660         99.9000        -15.7497         -7.4873      -11.179935        2.706931
     2666.24814      2666.24308         -3.8301          2.7094         18.1650         99.9000        -13.8423         -7.7990       -9.646318        2.709408
     2666.25509      2666.25002          3.9832          2.7137         18.1633         99.9000        -13.1986         -8.1801       -6.723205        2.713651
     2666.26203      2666.25697         -2.5457          2.7432         18.1516         99.9000        -14.9214         -8.2368       -9.043345        2.743166
     2666.26897      2666.26391         -2.9813          2.7544         18.1471         99.9000        -14.5528         -8.3810       -9.899781        2.754363
     2666.27592      2666.27086         -7.7921          2.7041         18.1671         99.9000          2.3714         -8.4402       -7.487279        2.704106
     2666.28286      2666.27780         -4.3098          2.7687         18.1415         99.9000         -3.4725         -8.5569      -11.094774        2.768679
     2666.28981      2666.28474          2.2611          2.7520         18.1481         99.9000         -6.0884         -9.0433       -6.132728        2.751984
