# reference_flux:         19.5295
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2665.27577      2665.27086         17.1003          1.0481         17.3575          0.0665          1.2099          0.0407       -0.641514        1.048074
     2665.28271      2665.27780         19.4222          1.0524         17.2193          0.0588          0.2208          0.0407        0.235332        1.052426
     2665.28965      2665.28475         20.0779          1.0483         17.1832          0.0567         -0.7073          0.0407        0.890425        1.048304
     2665.29660      2665.29169         17.9155          1.0405         17.3069          0.0631          0.2345          0.0407       -0.450977        1.040499
     2665.30354      2665.29864         22.4449          1.0525         17.0622          0.0509         -0.5602          0.2353        0.788687        1.052456
     2665.31049      2665.30558         22.4228          1.0484         17.0633          0.0508          0.2551          0.2353        3.213951        1.048354
     2665.31743      2665.31252         18.2069          1.0491         17.2894          0.0626          0.5133          0.2353       -0.277118        1.049129
     2665.32438      2665.31947         18.9940          1.0491         17.2435          0.0600         -1.2849          0.4578        0.906878        1.049118
     2665.33132      2665.32641         21.9775          1.0517         17.0851          0.0520          0.2079          0.4578        1.164350        1.051718
     2665.33826      2665.33336         22.5056          1.0441         17.0593          0.0504         -1.1970          0.4578        1.191253        1.044092
     2665.34521      2665.34030         17.2074          1.0427         17.3507          0.0658         -0.1829          0.4578       -1.999046        1.042699
     2665.35215      2665.34725         19.8332          1.0484         17.1965          0.0574          0.9440          0.2353        0.457804        1.048367
     2665.35910      2665.35419         19.7619          1.0453         17.2004          0.0574          1.1413          0.2353       -0.423119        1.045318
     2665.36604      2665.36114         22.3072          1.0496         17.0689          0.0511         -1.4881          0.2353        1.042012        1.049617
     2665.37299      2665.36808         21.7889          1.0440         17.0944          0.0520         -0.8545          0.2353        0.670637        1.044004
     2665.37993      2665.37502         20.9659          1.0542         17.1362          0.0546          0.4018          0.2353        1.698729        1.054235
     2665.38688      2665.38197         18.3873          1.0495         17.2787          0.0620         -0.9069          0.2308        0.040655        1.049470
     2665.39382      2665.38891         15.4810          1.0431         17.4655          0.0732         -0.5228          0.2010       -0.389385        1.043056
     2665.40076      2665.39586         19.4324          1.0405         17.2187          0.0581         -0.9783          0.2010       -0.559860        1.040463
     2665.40771      2665.40280         17.6877          1.0443         17.3208          0.0641         -0.5417          0.2010       -2.019616        1.044341
     2665.41465      2665.40975         18.3851          1.0440         17.2788          0.0617          0.6720          0.1563       -1.911833        1.044008
     2665.42160      2665.41669         18.0715          1.0572         17.2975          0.0635          0.7088          0.2010       -2.581997        1.057204
     2665.42854      2665.42364         19.8162          1.0403         17.1975          0.0570         -2.4695          0.1563       -1.548900        1.040321
     2665.43549      2665.43058         22.2208          1.0470         17.0731          0.0512         -1.6872          0.1563        2.853172        1.047026
     2665.44243      2665.43752         22.2813          1.0360         17.0701          0.0505         -0.3445          0.1563        3.040115        1.035997
     2665.44937      2665.44447         19.2667          1.0390         17.2280          0.0585          0.6689          0.2010       -1.790927        1.038976
     2665.45632      2665.45141         17.4941          1.0451         17.3328          0.0649         -1.5849          0.2010       -1.701726        1.045131
     2665.46326      2665.45836         21.7098          1.0457         17.0984          0.0523         -1.4053          0.1563        1.802869        1.045705
     2665.47021      2665.46530         18.5968          1.0380         17.2664          0.0606          1.7646          0.2010        1.480444        1.037951
     2665.47715      2665.47225         20.7672          1.0430         17.1466          0.0545         -0.1955          0.2010       -0.736313        1.042970
     2665.48410      2665.47919         19.1237          1.0468         17.2361          0.0594         -1.1068          0.2010        1.637458        1.046840
     2665.49104      2665.48614         22.0333          1.0488         17.0823          0.0517          0.2605          0.2308        0.906745        1.048812
     2665.49798      2665.49308         21.8974          1.0365         17.0890          0.0514         -0.2179          0.2308        0.908992        1.036521
     2665.50493      2665.50002         18.3173          1.0432         17.2828          0.0618          0.4422          0.2308        0.230765        1.043203
     2665.51187      2665.50697         19.4871          1.0439         17.2156          0.0582          0.3014          0.2010        0.144623        1.043915
     2665.51882      2665.51391         19.7318          1.0427         17.2021          0.0574         -0.4498          0.2308        0.156254        1.042723
     2665.52576      2665.52086         22.6454          1.0468         17.0525          0.0502         -1.1023          0.2010        1.576632        1.046771
     2665.53271      2665.52780         22.4086          1.0398         17.0640          0.0504          0.5439          0.2308        0.097415        1.039828
     2665.53965      2665.53475         17.9092          1.0537         17.3073          0.0639          0.8746          0.2308       -0.181736        1.053668
     2665.54659      2665.54169         20.2211          1.0610         17.1755          0.0570         -0.4023          0.2010        0.201006        1.060963
     2665.55354      2665.54863         20.0224          1.0664         17.1862          0.0578          0.5594          0.2010        0.067416        1.066364
     2665.56048      2665.55558         18.9362          1.0871         17.2468          0.0623          0.7866          0.2010       -0.020744        1.087130
     2665.56743      2665.56252         20.9174          1.1040         17.1387          0.0573          0.3091          0.2010        2.504490        1.104042
     2665.57437      2665.56947         19.0329          1.1274         17.2412          0.0643          0.5004          0.2308       -0.413348        1.127376
     2665.58132      2665.57641         26.3072          1.1613         16.8898          0.0479          0.3805          0.2308        2.672099        1.161255
