# reference_flux:         88.4135
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2665.27519      2665.27086         92.1302          1.1657         15.5290          0.0137          0.4705         -0.6096       -1.055091        1.165699
     2665.28213      2665.27781         95.1079          1.1516         15.4945          0.0131         -0.1845         -0.6096        1.170626        1.151632
     2665.28907      2665.28475         93.9775          1.1651         15.5074          0.0135         -4.5561         -0.6096        0.636814        1.165074
     2665.29602      2665.29170         85.6207          1.1547         15.6086          0.0146         -3.2210         -0.6096       -2.228858        1.154735
     2665.30296      2665.29864         94.5655          1.1638         15.5007          0.0134         -3.4707         -0.6096        3.072378        1.163802
     2665.30991      2665.30559         89.1887          1.1575         15.5642          0.0141          2.0004         -0.4205       -1.724336        1.157480
     2665.31685      2665.31253         95.8327          1.1804         15.4862          0.0134         -0.7179         -0.4205        2.965121        1.180370
     2665.32380      2665.31947         91.8686          1.1807         15.5321          0.0140         -1.0717         -0.1530        1.459192        1.180682
     2665.33074      2665.32642         83.6646          1.1761         15.6336          0.0153          0.3348         -0.1530       -3.874163        1.176077
     2665.33769      2665.33336         88.1735          1.1738         15.5767          0.0145         -0.8847         -0.1121        0.248959        1.173833
     2665.34463      2665.34031         93.8162          1.1653         15.5093          0.0135         -0.0774         -0.1121        2.241090        1.165309
     2665.35157      2665.34725         88.2637          1.1697         15.5755          0.0144          3.3255         -0.1121       -2.103374        1.169721
     2665.35852      2665.35420         91.4611          1.1760         15.5369          0.0140         -4.0507         -0.1121       -0.982925        1.176004
     2665.36546      2665.36114         90.1783          1.1593         15.5522          0.0140         -1.7516         -0.1121       -2.235974        1.159331
     2665.37241      2665.36809         91.5911          1.1613         15.5354          0.0138         -0.0185         -0.1121       -0.648805        1.161302
     2665.37935      2665.37503         92.7719          1.1616         15.5215          0.0136         -2.2601         -0.1121       -0.800721        1.161606
     2665.38630      2665.38197         94.4827          1.1732         15.5016          0.0135         -2.8221         -0.1121        2.119535        1.173189
     2665.39324      2665.38892         86.6582          1.1701         15.5955          0.0147         -2.2510         -0.1530       -3.821603        1.170059
     2665.40019      2665.39586         90.0399          1.1738         15.5539          0.0142         -3.7926         -0.1530        1.221648        1.173801
     2665.40713      2665.40281         90.5163          1.1877         15.5482          0.0142         -5.1514         -0.1121       -1.582831        1.187693
     2665.41407      2665.40975         87.3388          1.1722         15.5870          0.0146         -1.1584         -0.1121       -0.609574        1.172232
     2665.42102      2665.41670         90.5060          1.1797         15.5483          0.0142          0.5343         -0.1121        0.075131        1.179722
     2665.42796      2665.42364         95.4012          1.1856         15.4911          0.0135         -0.2759         -0.1530        3.585329        1.185609
     2665.43491      2665.43059         88.4147          1.1842         15.5737          0.0145         -0.5864         -0.1530       -0.112060        1.184157
     2665.44185      2665.43753         91.5678          1.1684         15.5356          0.0139          0.3121         -0.1530        0.908358        1.168385
     2665.44880      2665.44447         88.4652          1.1859         15.5731          0.0146         -2.0390         -0.1121        1.887981        1.185876
     2665.45574      2665.45142         89.9118          1.1852         15.5555          0.0143         -1.3368         -0.1530       -0.420532        1.185182
     2665.46269      2665.45836         88.4173          1.1674         15.5737          0.0143         -0.7398         -0.2430       -1.776820        1.167407
     2665.46963      2665.46531         90.7033          1.1762         15.5459          0.0141         -3.0373         -0.1530       -0.152960        1.176203
     2665.47657      2665.47225         90.5872          1.1770         15.5473          0.0141          0.2432         -0.1530        0.840119        1.177023
     2665.48352      2665.47920         93.0470          1.1784         15.5182          0.0138         -1.3252         -0.1121        4.245180        1.178437
     2665.49046      2665.48614         89.5717          1.1642         15.5596          0.0141         -1.4974         -0.1121        1.647150        1.164211
     2665.49741      2665.49309         92.7448          1.1804         15.5218          0.0138         -3.0196         -0.1121        0.228254        1.180365
     2665.50435      2665.50003         90.5895          1.1624         15.5473          0.0139         -2.5889         -0.1119       -0.786249        1.162422
     2665.51130      2665.50697         86.8797          1.1705         15.5927          0.0146          0.3161         -0.1119       -0.793057        1.170486
     2665.51824      2665.51392         87.8746          1.1551         15.5803          0.0143         -1.8393         -0.1119       -0.242985        1.155074
     2665.52518      2665.52086         91.5777          1.1657         15.5355          0.0138         -1.9369         -0.1119       -0.817154        1.165737
     2665.53213      2665.52781         90.7975          1.1896         15.5448          0.0142         -1.5453          0.0751       -0.111911        1.189570
