# reference_flux:         -1.7898
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2665.27528      2665.27086          0.2164          1.1495         19.0959         99.9000          2.1497          1.8761       -0.882219        1.149512
     2665.28222      2665.27781         -0.5558          1.1506         19.0949         99.9000          4.7645          1.8761       -0.264628        1.150593
     2665.28917      2665.28475          3.3619          1.1513         19.0942         99.9000          1.7428          1.8761        1.987660        1.151306
     2665.29611      2665.29170          4.8914          1.1520         18.7164          0.2557          4.0510          1.8761        1.876143        1.152005
     2665.30306      2665.29864          5.4164          1.1523         18.6057          0.2310          3.3903          1.8761        2.139760        1.152291
     2665.31000      2665.30559          4.1585          1.1508         18.8927          0.3005          1.2451          1.8761        2.211767        1.150830
     2665.31695      2665.31253          2.3122          1.1514         19.0941         99.9000          2.3858          1.7323       -0.385610        1.151426
     2665.32389      2665.31947          0.9448          1.1507         19.0948         99.9000          1.7286          1.7323        0.900263        1.150662
     2665.33084      2665.32642          0.2014          1.1505         19.0950         99.9000          0.6776          1.7323        0.893153        1.150471
     2665.33778      2665.33336          2.1021          1.1509         19.0946         99.9000          1.3866          1.7323        1.640707        1.150908
     2665.34472      2665.34031          2.7096          1.1517         19.0938         99.9000          4.1807          1.8761        2.840237        1.151729
     2665.35167      2665.34725          2.6438          1.1530         19.0926         99.9000          6.9349          1.7323        3.667123        1.153042
     2665.35861      2665.35420          6.4612          1.1524         18.4142          0.1936          0.5604          1.6407        4.488738        1.152395
     2665.36556      2665.36114          2.9692          1.1514         19.0941         99.9000          2.1593          1.6407        3.647119        1.151400
     2665.37250      2665.36809         -1.2075          1.1500         19.0954         99.9000          1.2049          1.6407       -0.862521        1.150007
     2665.37945      2665.37503          1.1216          1.1507         19.0948         99.9000          3.0847          1.6407        1.732342        1.150685
     2665.38639      2665.38197          1.1931          1.1497         19.0958         99.9000          0.8115          1.6407        2.536753        1.149666
     2665.39334      2665.38892         -1.0678          1.1507         19.0948         99.9000          2.2230          1.7323       -0.629594        1.150688
     2665.40028      2665.39586         -2.2707          1.1492         19.0962         99.9000          3.0599          1.7348        1.957037        1.149233
     2665.40723      2665.40281          2.1589          1.1513         19.0942         99.9000          3.5538          1.7348        0.999426        1.151326
     2665.41417      2665.40975          3.5474          1.1518         19.0652          0.3525          3.5925          1.7323        2.723517        1.151807
     2665.42111      2665.41670          1.8002          1.1515         19.0941         99.9000          3.6743          1.6407        2.856043        1.151461
     2665.42806      2665.42364         -1.0471          1.1504         19.0951         99.9000          4.1986          1.5357        0.214184        1.150354
     2665.43500      2665.43059          2.5861          1.1515         19.0940         99.9000          1.6618          1.6407        2.305110        1.151502
     2665.44195      2665.43753         -0.2598          1.1503         19.0952         99.9000          3.1953          1.7323       -0.327192        1.150310
     2665.44889      2665.44447          2.3333          1.1509         19.0946         99.9000          1.2855          1.7323        0.843135        1.150917
     2665.45584      2665.45142          6.9735          1.1532         18.3314          0.1795          1.1112          1.7348        4.840694        1.153181
     2665.46278      2665.45836          2.0692          1.1511         19.0944         99.9000          2.0547          1.7348        2.482721        1.151139
     2665.46973      2665.46531         -0.1191          1.1506         19.0948         99.9000          0.9088          1.7323        0.005281        1.150646
     2665.47667      2665.47225          1.5761          1.1499         19.0956         99.9000          0.1298          1.7323        1.438263        1.149878
     2665.48361      2665.47920         -0.2120          1.1508         19.0947         99.9000          3.9846          1.6407        1.293115        1.150809
     2665.49056      2665.48614          1.6281          1.1504         19.0951         99.9000          2.5607          1.7323        2.269423        1.150353
     2665.49750      2665.49309          4.5503          1.1516         18.7949          0.2748          2.5398          1.7348        1.385853        1.151650
     2665.50445      2665.50003          2.0618          1.1507         19.0948         99.9000          4.1032          1.9301        3.134401        1.150739
     2665.51139      2665.50697         -2.0672          1.1488         19.0966         99.9000          0.8848          1.9570       -1.165592        1.148756
