# reference_flux:         88.2964
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2665.27353      2665.27086         89.7707          1.3789         15.5572          0.0167         -0.5875          0.6896        0.917217        1.378855
     2665.28048      2665.27781         89.9521          1.3773         15.5550          0.0166         -1.1706          0.8284        0.644679        1.377313
     2665.28742      2665.28475         87.6827          1.3836         15.5827          0.0171         -0.5884          0.8284        0.609235        1.383552
     2665.29436      2665.29170         87.9460          1.3856         15.5795          0.0171          0.4646          0.8862        1.396637        1.385621
     2665.30131      2665.29864         88.4830          1.3725         15.5729          0.0168         -1.8480          0.8284        0.828386        1.372491
     2665.30825      2665.30559         91.0263          1.3830         15.5421          0.0165         -2.0449          0.8862        1.741678        1.383011
     2665.31520      2665.31253         90.0113          1.3865         15.5543          0.0167         -0.1419          0.8862        1.125966        1.386453
     2665.32214      2665.31947         86.1414          1.3776         15.6020          0.0174         -0.6435          0.8284        0.689593        1.377608
     2665.32909      2665.32642         92.6084          1.3768         15.5234          0.0161         -3.0165          0.8862        2.939588        1.376759
     2665.33603      2665.33336         88.2991          1.3873         15.5751          0.0171          1.3828          0.9172       -0.770633        1.387334
     2665.34297      2665.34031         91.3823          1.3862         15.5378          0.0165         -1.2466          0.8862        1.996322        1.386234
     2665.34992      2665.34725         89.9958          1.3781         15.5544          0.0166         -0.8938          0.8284        2.293490        1.378128
     2665.35686      2665.35420         86.6937          1.3878         15.5950          0.0174         -0.8155          0.8862       -0.145838        1.387768
     2665.36381      2665.36114         88.0528          1.3832         15.5781          0.0171         -1.5347          0.8862        1.224899        1.383200
     2665.37075      2665.36809         93.9080          1.3868         15.5082          0.0160         -2.3708          0.8284        1.058009        1.386774
     2665.37770      2665.37503         91.8618          1.3828         15.5322          0.0163         -0.9515          0.8284        0.335170        1.382835
     2665.38464      2665.38197         86.3938          1.3781         15.5988          0.0173          0.0022          0.8284       -1.081986        1.378116
     2665.39158      2665.38892         91.4940          1.3840         15.5365          0.0164         -0.3182          0.8284        3.072240        1.383969
     2665.39853      2665.39586         92.9347          1.3877         15.5196          0.0162          0.4505          0.8284        0.148610        1.387745
     2665.40547      2665.40281         88.1983          1.3839         15.5764          0.0170         -0.7583          0.8284        0.572956        1.383899
     2665.41242      2665.40975         92.7252          1.3888         15.5220          0.0163         -2.6186          0.8284        2.051321        1.388813
     2665.41936      2665.41670         86.0518          1.3847         15.6031          0.0175         -1.5374          0.6896       -0.628763        1.384707
     2665.42631      2665.42364         88.2891          1.3790         15.5752          0.0170         -0.9747          0.8284       -1.340981        1.378996
     2665.43325      2665.43059         87.6312          1.3831         15.5834          0.0171          0.6218          0.8284       -1.017242        1.383148
     2665.44019      2665.43753         93.3512          1.3783         15.5147          0.0160         -1.0365          0.6896        1.129894        1.378312
     2665.44714      2665.44447         90.8283          1.3701         15.5444          0.0164         -1.9122          0.6896        2.529313        1.370106
     2665.45408      2665.45142         92.1111          1.3734         15.5292          0.0162         -2.1826          0.6896        0.886207        1.373387
     2665.46103      2665.45836         85.3046          1.3874         15.6126          0.0177          1.5690          0.8284        0.194043        1.387402
     2665.46797      2665.46531         90.5028          1.3657         15.5483          0.0164         -1.6876          0.8007        1.334928        1.365737
     2665.47492      2665.47225         87.6533          1.3753         15.5831          0.0170         -0.9843          0.8007        0.094852        1.375312
     2665.48186      2665.47920         88.6533          1.3816         15.5708          0.0169          0.5684          0.8007       -0.343349        1.381564
     2665.48880      2665.48614         91.9426          1.3975         15.5312          0.0165         -0.5353          0.6896        2.994307        1.397473
     2665.49575      2665.49309         87.6643          1.3700         15.5829          0.0170          0.8645          0.5730        2.375677        1.370042
     2665.50269      2665.50003         91.9028          1.3920         15.5317          0.0164         -0.0993          0.5342        0.272391        1.392032
     2665.50964      2665.50697         85.1297          1.3860         15.6148          0.0177          1.1107          0.5342       -1.098081        1.386035
     2665.51658      2665.51392         88.1253          1.3858         15.5772          0.0171          0.8677          0.3352        2.019949        1.385846
     2665.52353      2665.52086         88.3568          1.3901         15.5744          0.0171         -0.4136          0.2935        1.545650        1.390121
     2665.53047      2665.52781         85.9457          1.4042         15.6044          0.0177          0.4908          0.2935       -1.008353        1.404191
     2665.53741      2665.53475         89.1746          1.4078         15.5644          0.0171         -3.0895          0.2724       -0.453511        1.407812
     2665.54436      2665.54170         86.5271          1.4218         15.5971          0.0178         -3.7776          0.1940       -1.018307        1.421804
     2665.55130      2665.54864         91.1645          1.4478         15.5404          0.0172         -2.0046          0.1552        1.760090        1.447842
     2665.55825      2665.55559         89.5561          1.4872         15.5598          0.0180         -2.4611          0.1552        2.285814        1.487168
     2665.56519      2665.56253         89.3348          1.5157         15.5624          0.0184         -7.0205          0.1486        0.293489        1.515740
     2665.57214      2665.56947         91.8556          1.5963         15.5322          0.0189         -9.0735          0.0949        2.790440        1.596325
     2665.57908      2665.57642         88.8980          1.6114         15.5678          0.0197        -10.6602          0.0949        0.155200        1.611426
     2665.58602      2665.58336         92.1410          1.6864         15.5289          0.0199        -13.3918         -0.0457        1.531516        1.686408
     2665.59297      2665.59031         93.5591          1.7352         15.5123          0.0201        -13.4593         -0.0457        0.534182        1.735215
     2665.59991      2665.59725         94.5518          1.7744         15.5008          0.0204        -11.5847         -0.0457       -1.207769        1.774376
     2665.60686      2665.60420         93.4079          1.8087         15.5140          0.0210        -13.2914         -0.0457        2.819584        1.808750
     2665.61380      2665.61114         86.6998          1.8287         15.5950          0.0229        -13.7317         -0.0457       -0.086227        1.828748
     2665.62075      2665.61809         86.4878          1.8771         15.5976          0.0236         -9.9130         -0.0478        1.673469        1.877138
     2665.62769      2665.62503         89.9064          1.8891         15.5555          0.0228        -12.4856         -0.0862        0.800672        1.889098
     2665.63464      2665.63197         88.6770          1.9114         15.5705          0.0234        -20.1902         -0.3433        3.452900        1.911409
     2665.64158      2665.63892         90.5324          1.9401         15.5480          0.0233        -15.1678         -0.4535        1.430704        1.940092
     2665.64852      2665.64586         89.6436          1.9599         15.5587          0.0237        -12.1607         -0.4619       -1.099292        1.959928
     2665.65547      2665.65281         87.8115          1.9312         15.5811          0.0239        -18.9658         -0.4656       -1.726030        1.931165
     2665.66241      2665.65975         88.2085          1.9581         15.5762          0.0241        -17.3678         -0.4656       -0.047757        1.958055
     2665.66936      2665.66670         85.5609          2.0254         15.6093          0.0257        -22.8176         -1.0084       -1.552584        2.025356
     2665.67630      2665.67364         86.6200          1.9923         15.5960          0.0250        -19.1526         -1.0183       -2.314796        1.992316
     2665.68325      2665.68059         87.4619          2.0109         15.5855          0.0250        -18.0288         -1.0183       -5.957584        2.010896
     2665.69019      2665.68753         91.2239          2.0151         15.5397          0.0240        -14.6739         -1.0993       -2.137172        2.015065
     2665.69713      2665.69447         91.5822          2.0265         15.5355          0.0240        -15.7657         -1.1534       -2.308571        2.026511
     2665.70408      2665.70142         92.1291          2.0336         15.5290          0.0240        -20.3593         -1.2078       -0.461920        2.033578
     2665.71102      2665.70836         85.0181          2.0542         15.6162          0.0262        -18.9739         -1.5526       -0.045679        2.054218
     2665.71797      2665.71531         87.9477          2.0842         15.5794          0.0257        -11.6752         -1.5860       -5.773514        2.084193
     2665.72491      2665.72225         86.5776          2.1008         15.5965          0.0263        -13.9917         -1.6266       -1.153398        2.100758
     2665.73186      2665.72920         84.2637          2.1002         15.6259          0.0271        -10.1222         -1.7260       -4.715854        2.100225
     2665.73880      2665.73614         96.7228          2.1189         15.4762          0.0238         -7.6089         -1.7576        1.190824        2.118871
     2665.74574      2665.74309         87.2192          2.1366         15.5885          0.0266         -6.1419         -2.0888       -2.088754        2.136602
     2665.75269      2665.75003         90.4020          2.1695         15.5496          0.0261         -7.6571         -2.1372       -1.626608        2.169483
     2665.75963      2665.75697         88.8127          2.1860         15.5688          0.0267         -7.8710         -2.2201       -0.465585        2.186039
     2665.76658      2665.76392         88.8709          2.2046         15.5681          0.0269         -5.8609         -2.3086       -3.474945        2.204649
     2665.77352      2665.77086         89.1881          2.2149         15.5642          0.0270         -8.4654         -2.3148        1.188695        2.214900
     2665.78047      2665.77781         86.8438          2.2384         15.5932          0.0280        -10.5896         -2.4560       -3.827894        2.238448
     2665.78741      2665.78475         85.2612          2.1957         15.6131          0.0280        -18.2563         -2.4956       -2.220125        2.195737
     2665.79435      2665.79170         85.8301          2.2653         15.6059          0.0287        -13.3150         -2.6429       -4.894933        2.265325
     2665.80130      2665.79864         89.5501          2.2868         15.5598          0.0277        -10.5672         -2.6742       -1.585999        2.286776
     2665.80824      2665.80559         87.0240          2.3050         15.5909          0.0288         -7.7093         -2.9424       -7.059088        2.305020
     2665.81519      2665.81253         87.9052          2.3115         15.5800          0.0285        -17.6993         -2.9424       -4.679317        2.311496
     2665.82213      2665.81947         93.4478          2.3324         15.5136          0.0271        -21.6110         -2.9424       -0.465227        2.332414
     2665.82908      2665.82642         83.0850          2.3546         15.6412          0.0308        -14.8258         -3.3510       -3.351034        2.354578
     2665.83602      2665.83336         86.9885          2.3084         15.5913          0.0288        -13.3969         -3.3510       -2.674206        2.308447
     2665.84296      2665.84031         84.2085          2.3179         15.6266          0.0299        -15.0812         -3.3510       -3.861798        2.317909
     2665.84991      2665.84725         79.8874          2.3214         15.6838          0.0315        -25.3310         -3.4749      -11.300710        2.321361
     2665.85685      2665.85420         85.4533          2.3329         15.6107          0.0296        -21.9207         -3.4749       -2.495589        2.332859
     2665.86380      2665.86114         77.8673          2.3614         15.7116          0.0329        -18.3587         -3.4749       -7.825333        2.361391
     2665.87074      2665.86809         89.0809          2.3687         15.5655          0.0289        -30.8374         -3.5920       -2.642864        2.368663
     2665.87768      2665.87503         92.1495          2.3879         15.5288          0.0281        -29.4896         -3.6705       -2.942351        2.387926
     2665.88463      2665.88197         91.4605          2.3982         15.5369          0.0285        -21.0470         -3.8279       -2.456023        2.398227
