# reference_flux:         75.1480
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2692.95186      2692.94447         62.1293          1.6612         15.9568          0.0290        -20.4433       -246.4072      -23.590340        1.661202
     2692.95880      2692.95141         18.5494          1.6834         17.2692          0.0985        -22.4527       -245.9972      -22.787201        1.683376
     2692.96574      2692.95836         25.7901          1.6926         16.9114          0.0713        -26.8932       -245.9972      -29.404778        1.692628
     2692.97269      2692.96530         63.8412          1.7069         15.9272          0.0290        -27.1542       -245.9972      -24.033418        1.706901
     2692.97963      2692.97224         59.8666          1.7140         15.9970          0.0311        -22.7408       -245.9972      -34.377338        1.714028
     2692.98658      2692.97919         67.9130          1.7545         15.8601          0.0280        -43.9313       -245.9972      -26.036814        1.754462
     2692.99352      2692.98613         51.9615          1.7399         16.1508          0.0364        -24.5639       -245.9972      -55.426177        1.739937
     2699.22963      2699.22224       -197.5893          2.6953         18.1707         99.9000       -189.7015       -245.9972     -257.340435        2.695277
     2699.23657      2699.22919       -113.2199          2.5483         18.2316         99.9000       -218.8451       -245.9972     -226.291073        2.548312
     2699.24352      2699.23613       -107.1674          2.5403         18.2350         99.9000       -240.8555       -245.9972     -225.362411        2.540326
     2699.25046      2699.24307       -103.9595          2.5364         18.2366         99.9000       -239.6777       -245.9972     -229.418327        2.536433
     2699.25741      2699.25002        -92.5742          2.5347         18.2374         99.9000       -238.1540       -245.9972     -245.997151        2.534729
     2699.26435      2699.25696       -117.4835          2.5302         18.2393         99.9000       -238.5491       -245.9972     -242.208913        2.530233
     2699.27129      2699.26391       -116.4466          2.5330         18.2381         99.9000       -226.4623       -246.4072     -250.946348        2.533040
     2699.27824      2699.27085       -142.2778          2.5221         18.2428         99.9000       -195.8908       -249.1963     -246.407203        2.522065
     2699.28518      2699.27780       -162.2709          2.5136         18.2465         99.9000       -191.6179       -250.9463     -249.196319        2.513584
     2699.29213      2699.28474       -199.9137          2.6391         18.1936         99.9000       -174.3160       -252.6098     -271.616129        2.639094
     2699.29907      2699.29169       -195.9011          2.6181         18.2023         99.9000       -140.3640       -252.6098     -254.926507        2.618053
     2699.30602      2699.29863       -216.5899          2.6108         18.2053         99.9000       -163.5554       -252.8446     -283.271541        2.610785
     2699.31296      2699.30557       -213.7051          2.6047         18.2078         99.9000       -164.2366       -254.9265     -288.559407        2.604652
     2699.31991      2699.31252       -256.2913          2.5988         18.2103         99.9000       -110.6028       -254.9265     -280.727725        2.598763
     2699.32685      2699.31946       -243.2281          2.5850         18.2160         99.9000       -117.4794       -254.9265     -280.718158        2.585002
     2699.33379      2699.32641       -235.9575          2.5699         18.2224         99.9000       -103.6924       -254.9265     -270.912037        2.569897
     2699.34074      2699.33335       -183.6754          2.5456         18.2327         99.9000       -152.5176       -254.9265     -252.609774        2.545623
     2699.34768      2699.34030       -183.0280          2.5272         18.2406         99.9000       -164.7894       -254.9265     -243.024595        2.527208
     2699.35463      2699.34724       -190.1832          2.5120         18.2472         99.9000       -149.5324       -254.9265     -252.844599        2.511962
     2699.36157      2699.35419       -188.7208          2.4968         18.2537         99.9000       -149.5607       -254.9265     -270.762387        2.496793
     2699.36852      2699.36113       -198.1820          2.4958         18.2542         99.9000       -155.1307       -254.9265     -269.158710        2.495785
     2699.37546      2699.36807       -208.2993          2.4881         18.2575         99.9000       -162.6107       -255.7841     -260.650399        2.488149
     2699.38241      2699.37502       -178.6900          2.4789         18.2616         99.9000       -151.1498       -255.7841     -261.774642        2.478861
     2699.38935      2699.38196       -217.3885          2.4627         18.2687         99.9000       -149.6488       -256.6036     -285.652959        2.462654
     2699.39629      2699.38891       -195.3722          2.4520         18.2734         99.9000       -155.8904       -256.6036     -269.472836        2.452004
     2699.40324      2699.39585       -205.9231          2.4407         18.2784         99.9000       -107.7985       -255.7841     -240.616626        2.440664
     2699.41018      2699.40280       -165.5541          2.4345         18.2812         99.9000       -179.9413       -256.6036     -276.278240        2.434455
     2699.41713      2699.40974       -177.7549          2.4461         18.2760         99.9000       -166.3466       -259.9040     -292.304329        2.446087
     2699.42407      2699.41669       -166.2013          2.4457         18.2762         99.9000       -166.9425       -260.6504     -266.383968        2.445713
     2699.43102      2699.42363       -248.3084          2.4532         18.2729         99.9000       -171.9948       -261.0562     -279.319072        2.453203
     2699.43796      2699.43057       -172.3223          2.4427         18.2775         99.9000       -152.5084       -261.7746     -255.784137        2.442745
     2699.44491      2699.43752       -211.2625          2.4543         18.2724         99.9000       -145.8875       -262.8593     -273.860605        2.454295
     2699.45185      2699.44446       -186.0742          2.4384         18.2794         99.9000       -144.9552       -265.1302     -261.056237        2.438403
     2699.45879      2699.45141       -200.6282          2.4388         18.2793         99.9000       -139.4823       -265.3097     -265.130165        2.438758
     2699.46574      2699.45835       -216.9752          2.4467         18.2757         99.9000       -137.0034       -265.3097     -288.864502        2.446723
     2699.47268      2699.46530       -191.3045          2.3423         18.3231         99.9000       -152.2815       -265.3689     -256.603626        2.342326
     2699.47963      2699.47224       -170.9796          2.3382         18.3250         99.9000       -151.0781       -265.3689     -218.783061        2.338242
     2699.48657      2699.47919       -156.4946          2.3465         18.3211         99.9000       -151.0302       -265.3689     -244.541638        2.346527
     2699.49352      2699.48613       -135.1050          2.3019         18.3420         99.9000       -162.8246       -265.3689     -224.186280        2.301944
     2699.50046      2699.49307       -170.4065          2.3419         18.3233         99.9000       -153.5096       -265.3689     -242.997631        2.341886
     2699.50741      2699.50002       -153.2322          2.3325         18.3276         99.9000       -155.9734       -265.3689     -235.195302        2.332532
     2699.51435      2699.50696       -162.0193          2.3290         18.3293         99.9000       -147.9670       -266.1803     -234.060335        2.328979
     2699.52129      2699.51391       -167.2657          2.3293         18.3291         99.9000       -152.1061       -266.3840     -238.645865        2.329272
     2699.52824      2699.52085       -145.4739          2.3262         18.3306         99.9000       -158.1131       -269.1587     -231.853082        2.326190
     2699.53518      2699.52780       -192.2155          2.4545         18.2723         99.9000       -146.5852       -269.1587     -271.218362        2.454531
     2699.54213      2699.53474       -190.8570          2.4519         18.2734         99.9000       -148.2239       -269.4728     -255.706035        2.451933
     2699.54907      2699.54169       -196.7223          2.4464         18.2759         99.9000       -161.5726       -271.2184     -265.368948        2.446429
     2699.55602      2699.54863       -172.5108          2.4288         18.2837         99.9000       -179.8010       -273.8606     -255.496415        2.428757
     2699.56296      2699.55557       -154.8981          2.4206         18.2874         99.9000       -199.2366       -273.8606     -253.675949        2.420582
     2699.56990      2699.56252       -146.1091          2.4027         18.2955         99.9000       -197.8509       -274.7009     -259.903977        2.402692
     2699.57685      2699.56946       -156.6426          2.4064         18.2938         99.9000       -203.2992       -275.0785     -280.344593        2.406352
     2699.58379      2699.57641       -118.7301          2.4115         18.2915         99.9000       -231.2127       -275.0785     -265.309745        2.411451
     2699.59074      2699.58335       -163.6715          2.4209         18.2872         99.9000       -221.2440       -274.7009     -278.152312        2.420930
