# reference_flux:        -10.7838
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2692.95255      2692.94447        -16.4317          1.6665         18.6927         99.9000       -396.3100         -2.4934      -17.326213        1.666534
     2692.95949      2692.95141        -23.6027          1.6610         18.6963         99.9000       -418.1802         -2.4934      -23.217645        1.660960
     2692.96644      2692.95836        -24.5438          1.6628         18.6951         99.9000       -412.0913         -2.9281      -22.826779        1.662839
     2692.97338      2692.96530        -23.1328          1.6739         18.6879         99.9000       -419.8905         -3.2955      -22.441083        1.673894
     2692.98033      2692.97224        -20.3952          1.6736         18.6880         99.9000       -424.0048         -3.2955      -22.652602        1.673634
     2692.98727      2692.97919        -14.1636          1.6660         18.6930         99.9000       -421.5643         -2.9281      -14.616942        1.666013
     2692.99422      2692.98613        -16.5864          1.6564         18.6993         99.9000       -432.5397         -2.9281      -16.857711        1.656445
     2699.23051      2699.22224          3.6310          2.2476         18.3679         99.9000       -119.9557         -2.9281        1.095065        2.247562
     2699.23746      2699.22919          1.1728          2.2691         18.3576         99.9000       -119.9675         -2.9281        0.668346        2.269059
     2699.24440      2699.23613         -2.9972          2.2611         18.3614         99.9000       -117.8738         -2.4934       -0.492657        2.261124
     2699.25135      2699.24307         -4.0269          2.2665         18.3588         99.9000       -130.5431         -2.4934       -5.604038        2.266512
     2699.25829      2699.25002         -1.9240          2.3032         18.3414         99.9000       -125.5939         -2.9281       -1.355148        2.303205
     2699.26524      2699.25696         -0.0263          2.1590         18.4116         99.9000       -119.3393         -3.2955       -2.493404        2.158977
     2699.27218      2699.26391          1.5602          2.2711         18.3566         99.9000       -146.9053         -3.2955        1.277854        2.271106
     2699.27912      2699.27085         -5.5666          2.3660         18.3121         99.9000       -145.6842         -2.9281       -1.961450        2.366044
     2699.28607      2699.27780         -1.5135          2.4225         18.2865         99.9000       -143.4446         -2.9281       -3.591877        2.422532
     2699.29301      2699.28474          5.5713          2.4921         18.2558         99.9000       -153.9941         -2.9281        2.283084        2.492112
     2699.29996      2699.29169          0.6628          2.3755         18.3078         99.9000       -156.5857         -2.9281        0.347564        2.375515
     2699.30690      2699.29863         -2.9789          2.4488         18.2748         99.9000       -149.3874         -2.5771       -7.498092        2.448764
     2699.31385      2699.30557         -3.1051          2.3842         18.3038         99.9000       -147.5918         -2.4934       -3.295539        2.384197
     2699.32079      2699.31252          1.7323          2.3200         18.3335         99.9000       -134.2938         -2.4934        2.278459        2.320024
     2699.32774      2699.31946          0.3336          2.2340         18.3745         99.9000       -130.1455         -2.4934        1.669058        2.233968
     2699.33468      2699.32641          1.6032          2.1432         18.4195         99.9000       -113.9339         -1.9615        1.061725        2.143195
     2699.34163      2699.33335          0.9959          2.0443         18.4708         99.9000        -93.2908         -1.9615        0.440938        2.044291
     2699.34857      2699.34030         -2.9030          2.1765         18.4028         99.9000        -98.9519         -1.8620       -2.928070        2.176466
     2699.35552      2699.34724         -6.0836          2.2027         18.3898         99.9000        -95.8683         -1.4142       -7.255883        2.202715
     2699.36246      2699.35419         -3.0363          2.1628         18.4097         99.9000        -99.6976         -1.3551       -4.186807        2.162774
     2699.36941      2699.36113          3.8627          2.1557         18.4132         99.9000       -102.6310         -1.2582       -1.016270        2.155741
     2699.37635      2699.36807          5.3024          2.1538         18.4142         99.9000        -98.0768         -1.2582       -0.960818        2.153843
     2699.38329      2699.37502         -3.3461          2.0578         18.4637         99.9000        -87.6778         -1.2582       -4.076244        2.057834
     2699.39024      2699.38196          5.7263          2.0681         18.4583         99.9000        -89.6253         -1.0163        3.985067        2.068108
     2699.39718      2699.38891          6.0133          2.1229         18.4299         99.9000        -90.8994         -1.0163        3.135003        2.122860
     2699.40413      2699.39585          4.7321          2.1719         18.4051         99.9000        -92.5208         -1.1862        2.566210        2.171943
     2699.41107      2699.40280          2.3571          2.1763         18.4029         99.9000        -97.4213         -1.1862       -0.300428        2.176266
     2699.41802      2699.40974         -9.8900          2.1921         18.3951         99.9000       -102.2050         -1.2582       -5.116475        2.192061
     2699.42496      2699.41669         -4.5741          2.1288         18.4268         99.9000        -93.5158         -1.1862       -4.657923        2.128821
     2699.43191      2699.42363         -3.3531          2.1073         18.4379         99.9000        -96.2583         -1.1862       -1.414186        2.107314
     2699.43885      2699.43057         -3.5651          2.0541         18.4656         99.9000        -90.1025         -1.0163       -2.577066        2.054131
     2699.44580      2699.43752          4.2367          1.9986         18.4954         99.9000        -89.6104         -1.0163        3.140105        1.998620
     2699.45274      2699.44446          0.3864          1.9631         18.5149         99.9000        -83.1577         -1.0163        1.752416        1.963073
     2699.45968      2699.45141          0.0377          1.9427         18.5262         99.9000        -77.2182         -0.9608        3.114428        1.942669
     2699.46663      2699.45835         -2.7205          1.9053         18.5473         99.9000        -74.1128         -1.0163       -1.861972        1.905307
     2699.47357      2699.46530          2.0161          1.9120         18.5435         99.9000        -75.2702         -1.1862       -1.258245        1.911983
     2699.48052      2699.47224         -2.2308          1.9063         18.5467         99.9000        -68.2215         -1.0163       -2.902255        1.906309
     2699.48746      2699.47919         -3.4480          1.8948         18.5533         99.9000        -74.8146         -0.9608       -4.130448        1.894819
     2699.49441      2699.48613         -0.6441          1.8686         18.5684         99.9000        -70.0013         -0.9608        2.352849        1.868631
     2699.50135      2699.49307         -3.5165          1.8871         18.5577         99.9000        -70.4832         -0.9608       -2.756098        1.887132
     2699.50830      2699.50002          0.6426          1.8827         18.5603         99.9000        -78.3731         -0.9608       -0.634883        1.882684
     2699.51524      2699.50696          2.6120          1.8822         18.5605         99.9000        -75.6404         -0.9608        0.921585        1.882195
     2699.52219      2699.51391         -0.0758          1.8804         18.5616         99.9000        -65.3691         -0.9124       -0.912358        1.880378
     2699.52913      2699.52085          1.8358          1.8864         18.5581         99.9000        -70.8623         -0.6816       -0.536393        1.886444
     2699.53608      2699.52780         -5.7010          1.8760         18.5641         99.9000        -60.3398         -0.6349       -3.570951        1.876024
     2699.54302      2699.53474         -1.0632          1.9037         18.5482         99.9000        -66.8641         -0.5364       -3.740182        1.903733
     2699.54997      2699.54169          5.4417          1.9155         18.5415         99.9000        -74.9302         -0.5364        1.102454        1.915462
     2699.55691      2699.54863          0.1616          1.9347         18.5306         99.9000        -64.0517         -0.3004       -6.705375        1.934746
     2699.56385      2699.55557          7.6690          1.9663         18.2282          0.2784        -61.9329         -0.5364       -1.186192        1.966273
     2699.57080      2699.56252          3.0070          1.9879         18.5012         99.9000        -68.6080         -0.5364        0.526649        1.987864
     2699.57774      2699.56946         -7.5248          2.0085         18.4900         99.9000        -67.3218         -0.6349       -4.474163        2.008474
