# reference_flux:        -86.7471
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2692.95234      2692.94447         -2.9637          1.7624         18.6319         99.9000          4.9949         -1.1070       -1.324220        1.762405
     2692.95929      2692.95141         -0.9441          1.7733         18.6252         99.9000          7.1722         -1.0176       -1.804514        1.773319
     2692.96623      2692.95836          1.8006          1.8013         18.6082         99.9000          4.9213         -1.1070       -3.220111        1.801311
     2692.97318      2692.96530          3.3543          1.8077         18.6044         99.9000          3.2887         -1.1070       -1.017596        1.807654
     2692.98012      2692.97224          2.5330          1.8517         18.5783         99.9000          0.9306         -1.1070        0.772382        1.851682
     2692.98706      2692.97919          2.0261          1.8542         18.5768         99.9000         -2.7582         -1.1070       -0.026814        1.854225
     2692.99401      2692.98613          3.9628          1.8637         18.5713         99.9000          2.1811         -1.1070       -1.525326        1.863681
     2699.23022      2699.22224          2.4489          1.9427         18.5262         99.9000          2.6034         -1.3242        0.860226        1.942664
     2699.23716      2699.22919          1.5589          1.9387         18.5284         99.9000          0.0897         -1.1070       -0.873931        1.938726
     2699.24411      2699.23613          5.1082          1.9548         18.5194         99.9000          2.4332         -1.1070        0.769789        1.954836
     2699.25105      2699.24307          0.0971          1.8350         18.5881         99.9000         -2.9764         -1.1070       -2.361866        1.835013
     2699.25799      2699.25002         -0.5756          1.8286         18.5919         99.9000         -1.3400         -1.1070       -2.043583        1.828554
     2699.26494      2699.25696          7.2279          1.8278         18.2925          0.2746         -3.1439         -1.1070        2.390731        1.827814
     2699.27188      2699.26391         -1.6087          1.9294         18.5336         99.9000          4.7790         -1.0176       -3.906301        1.929406
     2699.27883      2699.27085         -0.3175          1.9407         18.5273         99.9000          2.4820         -1.0176       -1.107025        1.940672
     2699.28577      2699.27780         -0.0055          1.9238         18.5368         99.9000          1.4585         -1.0176        0.361099        1.923767
     2699.29272      2699.28474         -6.3426          1.9322         18.5320         99.9000         -0.2166         -1.0176       -2.221458        1.932235
     2699.29966      2699.29169          5.4783          1.9150         18.5418         99.9000          3.3928         -1.0176        0.765325        1.914953
     2699.30661      2699.29863         -3.1602          1.8132         18.6011         99.9000         -5.1582         -1.0176       -0.979919        1.813151
     2699.31355      2699.30557         -1.1287          1.9227         18.5374         99.9000          2.2673         -1.0176       -3.394125        1.922669
     2699.32050      2699.31252          2.3352          1.9154         18.5416         99.9000          0.1966         -1.1070       -0.907920        1.915379
     2699.32744      2699.31946         -0.9042          1.9247         18.5363         99.9000          1.7337         -1.2072       -5.157947        1.924729
     2699.33438      2699.32641          1.0341          1.8841         18.5594         99.9000          0.8570         -1.2072        0.318578        1.884083
     2699.34133      2699.33335         -2.1750          1.8766         18.5638         99.9000          1.3727         -1.2072       -2.524608        1.876625
     2699.34827      2699.34030          3.5515          1.8958         18.5527         99.9000          4.0163         -1.2072       -0.590924        1.895811
     2699.35522      2699.34724          0.8884          1.8696         18.5678         99.9000          2.7042         -1.2072       -1.386007        1.869568
     2699.36216      2699.35419          4.3599          1.8667         18.5695         99.9000          0.5326         -1.1070       -1.915587        1.866737
     2699.36911      2699.36113          1.4657          1.8744         18.5650         99.9000          1.8189         -1.0176       -3.817949        1.874399
     2699.37605      2699.36807          7.7998          1.8582         18.2098          0.2587          2.4868         -1.1070        1.264707        1.858221
     2699.38300      2699.37502         -2.3209          1.8577         18.5747         99.9000          3.5850         -1.1070       -2.422299        1.857737
     2699.38994      2699.38196         -1.8311          1.7456         18.6424         99.9000         -1.1106         -1.2072       -2.326577        1.745556
     2699.39688      2699.38891          8.2683          1.8447         18.1465          0.2422          4.7207         -1.1070        2.019961        1.844661
     2699.40383      2699.39585          0.5812          1.8650         18.5705         99.9000          1.6082         -1.1070        0.741523        1.864999
     2699.41077      2699.40280          7.4160          1.8370         18.2646          0.2689          1.4139         -1.2072        2.570981        1.837021
     2699.41772      2699.40974         -3.6671          1.8541         18.5769         99.9000          5.1360         -1.2072       -2.682602        1.854071
     2699.42466      2699.41669          1.7640          1.8311         18.5904         99.9000         -0.5247         -1.1070       -0.959867        1.831119
     2699.43161      2699.42363          0.2813          1.8448         18.5823         99.9000          7.2554         -1.1070        2.157894        1.844843
     2699.43855      2699.43057         -4.7512          1.7255         18.6549         99.9000         -1.4420         -1.2072       -7.123921        1.725472
     2699.44550      2699.43752          1.7232          1.7280         18.6534         99.9000          1.2730         -1.1070        0.416905        1.727978
     2699.45244      2699.44446          4.2103          1.8281         18.5922         99.9000          4.2400         -0.9799       -0.921831        1.828081
     2699.45939      2699.45141          4.7836          1.8060         18.6054         99.9000          4.8776         -1.2072        0.604807        1.806011
     2699.46633      2699.45835          7.6827          1.8111         18.2262          0.2560          3.8441         -1.2072        4.832321        1.811112
     2699.47327      2699.46530          4.5139          1.8075         18.6045         99.9000          3.6276         -1.2072       -2.059601        1.807457
     2699.48022      2699.47224          1.6955          1.7132         18.6627         99.9000         -1.1801         -1.2072       -1.207226        1.713172
     2699.48716      2699.47919          1.0648          1.8199         18.5971         99.9000          3.8350         -1.2072       -2.397394        1.819884
     2699.49411      2699.48613         -3.5797          1.8046         18.6062         99.9000          2.9130         -1.2072       -2.395235        1.804616
     2699.50105      2699.49307          2.5437          1.8537         18.5771         99.9000          2.2305         -0.9599       -1.887628        1.853675
     2699.50800      2699.50002         -2.0133          1.7348         18.6491         99.9000          0.5383         -1.2072       -4.153418        1.734751
     2699.51494      2699.50696         -2.9909          1.8387         18.5859         99.9000          4.1329         -0.9599       -3.812442        1.838739
     2699.52189      2699.51391         -1.1980          1.8094         18.6034         99.9000          5.5178         -1.2072       -0.442976        1.809416
     2699.52883      2699.52085          6.3651          1.8280         18.4305          0.3118          2.0459         -1.2072        1.763042        1.828017
     2699.53578      2699.52780         -2.7463          1.8143         18.6004         99.9000          3.5093         -0.9599       -1.235656        1.814346
     2699.54272      2699.53474         -1.1186          1.8520         18.5781         99.9000          3.1138         -0.9543        0.936114        1.852007
     2699.54967      2699.54169          1.8563          1.8167         18.5990         99.9000          0.3739         -0.9543       -2.875944        1.816735
     2699.55661      2699.54863          1.7339          1.8285         18.5920         99.9000          2.5061         -0.9543        1.382608        1.828486
     2699.56355      2699.55557          8.8898          1.8325         18.0678          0.2238          2.8768         -0.9543        1.573164        1.832474
     2699.57050      2699.56252         -6.3850          1.8209         18.5965         99.9000          1.9722         -0.9599       -2.881568        1.820873
     2699.57744      2699.56946          4.3271          1.7395         18.6461         99.9000         -1.6062         -1.0549       -0.612852        1.739517
     2699.58439      2699.57641          7.1394          1.8334         18.3058          0.2788         -0.0392         -1.0549        3.581766        1.833427
     2699.59133      2699.58335         -3.0814          1.8332         18.5891         99.9000          3.7131         -0.9599       -4.505550        1.833241
     2699.59828      2699.59030         -4.0927          1.8469         18.5811         99.9000          5.7714         -0.9543       -2.599300        1.846890
     2699.60522      2699.59724          3.3049          1.8423         18.5838         99.9000          2.0707         -0.9543       -0.313056        1.842289
     2699.61217      2699.60419          3.1337          1.8469         18.5811         99.9000          1.2215         -0.9218       -0.249553        1.846944
     2699.61911      2699.61113          1.1319          1.8728         18.5660         99.9000          0.2490         -0.9543       -2.551416        1.872806
     2699.62606      2699.61807         -2.9795          1.8630         18.5717         99.9000          3.3097         -1.0549       -1.967306        1.862968
     2699.63300      2699.62502          4.3650          1.8637         18.5713         99.9000          3.2523         -1.2055        1.464346        1.863681
     2699.63994      2699.63196         -1.6870          1.8566         18.5754         99.9000          3.3697         -1.2055       -0.954258        1.856621
     2699.64689      2699.63891         -0.8382          1.8509         18.5787         99.9000          2.9350         -1.0549       -1.852901        1.850919
     2699.65383      2699.64585          2.8754          1.8451         18.5821         99.9000          0.4457         -1.0392        1.488006        1.845137
     2699.66078      2699.65280          2.2267          1.8487         18.5800         99.9000          4.1331         -1.0392        0.569181        1.848745
     2699.66772      2699.65974         -1.2752          1.8676         18.5690         99.9000         -0.0246         -1.0392       -2.889243        1.867580
     2699.67467      2699.66669         -0.4154          1.8636         18.5713         99.9000          0.9487         -1.0392        1.582481        1.863609
     2699.68161      2699.67363         -2.1458          1.8529         18.5775         99.9000          3.8113         -1.0392       -2.448060        1.852941
     2699.68856      2699.68057          7.0217          1.8625         18.3239          0.2880          0.3407         -0.9543       -2.272403        1.862459
     2699.69550      2699.68752          6.1312          1.7709         18.4711          0.3136         -2.5343         -0.9543       -0.813802        1.770899
     2699.70245      2699.69446          2.9711          1.8751         18.5647         99.9000         -0.1058         -0.9543        1.812402        1.875065
     2699.70939      2699.70141          3.3581          1.8628         18.5718         99.9000          4.5969         -0.9543        5.158182        1.862756
     2699.71633      2699.70835         -1.9700          1.8405         18.5848         99.9000          2.1796         -1.0392       -1.750010        1.840541
     2699.72328      2699.71530          1.6858          1.8690         18.5682         99.9000          1.2927         -1.0392       -2.945785        1.869011
     2699.73022      2699.72224         -0.2395          1.8704         18.5674         99.9000          3.4560         -1.0392       -1.054945        1.870362
     2699.73717      2699.72919          2.5157          1.8643         18.5709         99.9000         -1.0546         -1.0549       -1.205503        1.864290
     2699.74411      2699.73613          7.7106          1.8794         18.2223          0.2646         -0.3393         -1.0549        1.657077        1.879439
     2699.75106      2699.74307         -0.4161          1.8623         18.5721         99.9000          2.0348         -1.0549        0.297427        1.862293
     2699.75800      2699.75002          2.6376          1.8549         18.5764         99.9000          2.3918         -1.2055        1.649410        1.854905
     2699.76495      2699.75696          0.7458          1.7894         18.6154         99.9000         -0.9356         -1.0549       -0.619904        1.789419
     2699.77189      2699.76391          0.3809          1.8828         18.5602         99.9000          2.6679         -1.0392        0.093564        1.882850
     2699.77884      2699.77085          1.4753          1.8602         18.5733         99.9000          2.0960         -1.0549       -3.832910        1.860153
     2699.78578      2699.77780          1.9961          1.8449         18.5823         99.9000          3.9078         -1.0549       -2.929214        1.844902
     2699.79272      2699.78474         -0.2777          1.8623         18.5721         99.9000          3.1243         -1.0392       -2.244775        1.862261
     2699.79967      2699.79169         -1.1358          1.8603         18.5733         99.9000          0.9993         -0.9543       -1.039198        1.860261
     2699.80661      2699.79863          1.7638          1.8453         18.5820         99.9000          1.8468         -0.9543       -0.052794        1.845280
