# reference_flux:         18.1315
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2692.95014      2692.94445         15.1180          1.4204         17.4913          0.1020        -11.5395         -1.6103       -1.223731        1.420438
     2692.95709      2692.95140         18.8978          1.4460         17.2490          0.0831         -7.8149         -1.6103       -0.324984        1.446037
     2692.96403      2692.95834         20.8759          1.4357         17.1409          0.0747         -9.8560         -1.6103       -0.396181        1.435700
     2692.97098      2692.96529         19.6608          1.4246         17.2060          0.0787        -10.9145         -1.5581       -0.500517        1.424604
     2692.97792      2692.97223         16.2238          1.3521         17.4146          0.0905         -5.1311         -1.5581       -1.221879        1.352104
     2692.98486      2692.97918         14.5535          1.4531         17.5326          0.1084         -4.5922         -1.5581       -1.629373        1.453145
     2692.99181      2692.98612         13.5117          1.5118         17.6132          0.1215         -4.8364         -1.6103       -1.117346        1.511845
     2692.99875      2692.99307         15.9819          1.4696         17.4309          0.0998         -9.3790         -1.6103       -3.549871        1.469624
     2693.00570      2693.00001         14.5398          1.5220         17.5336          0.1137         -5.1138         -1.6294       -1.558121        1.522001
     2693.01264      2693.00695         16.5690          1.5244         17.3918          0.0999         -5.1396         -1.6103       -0.445236        1.524362
     2693.01959      2693.01390         19.0151          1.5149         17.2423          0.0865         -7.3863         -1.6103        0.240427        1.514932
     2693.02653      2693.02084         14.7462          1.5117         17.5183          0.1113         -2.4888         -1.6103        0.553074        1.511654
     2693.03348      2693.02779         14.3034          1.5978         17.5514          0.1213         -4.2642         -1.5581       -3.170428        1.597844
     2693.04042      2693.03473         15.9035          1.5627         17.4363          0.1067         -9.6586         -1.6103       -2.495105        1.562705
     2693.04737      2693.04168         14.5848          1.5968         17.5302          0.1189         -5.4902         -1.6103       -3.619652        1.596754
     2693.05431      2693.04862         17.4120          1.1531         17.3379          0.0719         -3.0048         -1.6294       -2.405615        1.153139
     2693.06125      2693.05557         16.9255          1.0412         17.3686          0.0668         -3.4401         -1.6294       -0.631602        1.041185
     2693.06820      2693.06251         16.0599          1.1229         17.4256          0.0759         -3.6834         -1.6294       -2.926501        1.122884
     2693.07514      2693.06945         18.9134          1.1529         17.2481          0.0662         -6.4020         -1.6294       -1.115769        1.152939
     2693.08209      2693.07640         18.7757          1.2394         17.2560          0.0717         -6.1318         -1.6294       -1.753846        1.239407
     2693.08903      2693.08334         18.3436          1.2274         17.2813          0.0726         -6.6031         -1.6519       -2.860053        1.227400
     2693.09598      2693.09029         19.0049          1.2092         17.2428          0.0691         -5.4016         -1.7538       -1.610327        1.209199
     2693.10292      2693.09723         14.8913          1.2452         17.5077          0.0908         -5.1114         -1.7538       -1.941064        1.245171
     2693.10987      2693.10418         18.3217          1.2165         17.2826          0.0721         -4.6359         -1.7538       -2.021812        1.216500
     2693.11681      2693.11112         14.1577          1.2614         17.5625          0.0967         -4.9077         -1.7579       -2.510779        1.261436
     2693.12375      2693.11807         17.9492          1.2642         17.3049          0.0765         -4.8606         -1.7883       -2.078481        1.264151
     2693.13070      2693.12501         18.5543          1.2908         17.2689          0.0755         -4.4370         -1.7883       -0.525991        1.290808
     2693.13764      2693.13195         16.2293          1.3233         17.4143          0.0885         -6.6865         -1.7883       -1.993815        1.323305
     2693.14459      2693.13890         15.7028          1.3051         17.4501          0.0902         -5.0166         -1.8481       -2.577109        1.305149
     2693.15153      2693.14584         15.6862          1.3007         17.4512          0.0900         -3.3671         -1.8481       -2.393075        1.300654
     2693.15848      2693.15279         19.2332          1.3268         17.2299          0.0749         -4.5523         -1.8481       -2.086932        1.326794
     2693.16542      2693.15973         15.3658          1.3445         17.4736          0.0950         -5.0459         -1.8481       -1.788335        1.344489
     2693.17237      2693.16668         20.9328          1.3703         17.1379          0.0711         -7.3822         -1.8481        1.074762        1.370331
     2693.17931      2693.17362         15.2849          1.3324         17.4793          0.0946         -5.7673         -1.9334       -1.757947        1.332383
     2693.18625      2693.18057         19.0175          1.3700         17.2421          0.0782         -7.2427         -1.9411       -1.651869        1.369955
     2693.19320      2693.18751         16.0930          1.3745         17.4234          0.0927         -4.5632         -1.9411       -1.455902        1.374477
     2693.20014      2693.19445         15.4969          1.3754         17.4644          0.0964         -4.7425         -1.9411       -2.382291        1.375364
     2693.20709      2693.20140         18.4539          1.4035         17.2748          0.0826         -4.5861         -1.9334       -1.042488        1.403524
     2693.21403      2693.20834         14.2039          1.4107         17.5590          0.1078         -2.9837         -1.8545       -3.425772        1.410726
     2693.22098      2693.21529         15.5174          1.3809         17.4630          0.0966         -4.0548         -1.8545       -1.848132        1.380924
