# reference_flux:        -51.0237
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2692.94980      2692.94445        -10.1481          1.6751         18.6871         99.9000         -0.4089          0.2355       -4.781620        1.675118
     2692.95674      2692.95140         -0.6280          1.6963         18.6734         99.9000          2.8328          0.2355        2.315147        1.696285
     2692.96369      2692.95834         -6.5291          1.7163         18.6607         99.9000          0.6444          0.2355        0.110224        1.716322
     2692.97063      2692.96529         -0.7650          1.3339         18.9344         99.9000          1.8601          0.2355        1.154834        1.333931
     2692.97758      2692.97223          0.9292          1.3511         18.9205         99.9000          1.2612          0.2355        2.980967        1.351128
     2692.98452      2692.97918         -3.8019          1.3319         18.9360         99.9000          1.0543          0.2355       -0.085336        1.331931
     2692.99147      2692.98612         -2.8882          1.3923         18.8879         99.9000         -2.4607          0.1102        0.525320        1.392259
     2692.99841      2692.99307         -1.0652          1.3426         18.9273         99.9000          0.8993          0.2355        1.925355        1.342642
     2693.00535      2693.00001         -0.9621          1.3777         18.8993         99.9000          1.3112          0.2355        2.113008        1.377692
     2693.01230      2693.00695         -2.2495          1.3806         18.8971         99.9000          0.5674          0.1102       -0.480951        1.380562
     2693.01924      2693.01390         -4.9339          1.3913         18.8886         99.9000         -0.2371          0.2355       -2.795984        1.391308
     2693.02619      2693.02084         -3.5445          1.4087         18.8751         99.9000          0.6108          0.1102       -1.586512        1.408709
     2693.03313      2693.02779         -4.5647          1.4002         18.8817         99.9000          2.0008          0.2355       -0.052232        1.400179
     2693.04008      2693.03473         -1.0262          1.4204         18.8662         99.9000          0.2256          0.2355        0.974820        1.420409
     2693.04702      2693.04168         -4.9516          1.4434         18.8487         99.9000         -1.3353          0.2355       -1.363244        1.443439
     2693.05397      2693.04862         -4.6471          1.4696         18.8292         99.9000          0.4617          0.2355        0.235543        1.469617
     2693.06091      2693.05557         -0.1759          1.5082         18.8010         99.9000          0.0011          0.2144        1.061530        1.508230
     2693.06786      2693.06251          2.5203          1.5075         18.8016         99.9000         -2.0059          0.1102       -0.711949        1.507493
     2693.07480      2693.06945          3.1311          1.9058         18.5470         99.9000         -4.1772          0.1102        1.073980        1.905772
     2693.08174      2693.07640         -4.2628          1.9391         18.5282         99.9000         -0.1480          0.1102        0.967115        1.939143
     2693.08869      2693.08334         -2.3239          1.5843         18.7476         99.9000          1.0282          0.1102        0.262234        1.584272
     2693.09563      2693.09029          0.9439          1.5460         18.7742         99.9000         -1.3861          0.1102       -1.329004        1.545966
     2693.10258      2693.09723         -3.1688          1.5865         18.7461         99.9000         -1.0190         -0.0522        1.059038        1.586485
     2693.10952      2693.10418         -3.4844          1.5949         18.7403         99.9000          0.3591         -0.0819       -0.327862        1.594942
     2693.11647      2693.11112         -2.1411          1.6141         18.7274         99.9000          0.5929         -0.0522       -2.556705        1.614125
     2693.12341      2693.11807         -1.7768          1.6340         18.7141         99.9000          0.4508         -0.0522        1.223806        1.633964
