# reference_flux:         19.0130
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2692.94893      2692.94446         18.9164          1.7213         17.2479          0.0988          5.4448         -1.9708        1.175310        1.721255
     2692.95588      2692.95141         20.4787          1.7292         17.1617          0.0917          4.0684         -1.9708        1.900389        1.729183
     2692.96282      2692.95835         17.3155          1.7584         17.3439          0.1103          7.2251         -1.2642        1.410651        1.758373
     2692.96976      2692.96529         15.3017          1.8049         17.4781          0.1281          8.7973         -1.2642       -1.264172        1.804939
     2692.97671      2692.97224         21.4226          1.7986         17.1128          0.0912          3.5503         -1.9708       -3.644146        1.798623
     2692.98365      2692.97918         19.6334          1.8293         17.2075          0.1012          6.6666         -1.9708        0.372317        1.829322
     2692.99060      2692.98613         19.5427          1.8335         17.2125          0.1019          5.9888         -1.9708        1.710856        1.833547
     2692.99754      2692.99307         20.7186          1.8500         17.1491          0.0969          3.1001         -1.9708       -3.253185        1.849974
     2693.00449      2693.00002         17.8120          1.8789         17.3132          0.1145          6.4078         -1.9708       -2.590458        1.878917
     2693.01143      2693.00696         21.4615          1.8759         17.1109          0.0949          6.3021         -1.9708       -1.251314        1.875928
     2693.01838      2693.01391         21.4981          1.9009         17.1090          0.0960          6.2226         -2.0411        1.612170        1.900878
     2693.02532      2693.02085         19.9886          1.9078         17.1880          0.1036          6.4204         -1.9708       -1.970797        1.907770
     2693.03226      2693.02779         12.1596          1.9276         17.7277          0.1721          8.9201         -1.9708       -4.054965        1.927559
     2693.03921      2693.03474         15.3713          1.9199         17.4732          0.1356          8.4796         -1.9708       -6.671211        1.919881
     2693.04615      2693.04168         19.5236          1.9595         17.2136          0.1090         10.9312         -2.0411        2.014728        1.959509
     2693.05310      2693.04863         13.5917          1.9831         17.6068          0.1584          8.0008         -2.0411       -4.056699        1.983080
     2693.06004      2693.05557         13.3540          2.0086         17.6260          0.1633         11.8885         -2.0411       -3.085209        2.008632
     2693.06699      2693.06252         15.3823          2.0001         17.4724          0.1412          7.0817         -2.0411       -2.041055        2.000130
     2693.07393      2693.06946         19.3271          1.9672         17.2246          0.1105          6.3864         -2.0411        1.023058        1.967250
     2693.08088      2693.07641         13.9747          2.0105         17.5766          0.1562          5.4922         -2.0411       -2.977801        2.010453
     2693.08782      2693.08335         16.8205          2.0384         17.3754          0.1316          3.4214         -1.9890        0.016860        2.038401
     2693.09476      2693.09029         18.8907          2.0829         17.2494          0.1197         10.4849         -1.9890       -1.239947        2.082950
     2693.10171      2693.09724         21.7238          2.1126         17.0977          0.1056         13.7320         -2.0411       -3.477550        2.112564
     2693.10865      2693.10418         14.5887          2.0981         17.5300          0.1561          9.1459         -2.0411       -6.435506        2.098122
     2693.11560      2693.11113         11.5723          2.1245         17.7815          0.1993         10.8574         -2.1077       -2.285035        2.124506
     2693.12254      2693.11807         21.1019          2.1433         17.1292          0.1103          7.4551         -2.2850       -1.107422        2.143262
     2693.12949      2693.12502         18.0768          2.0994         17.2972          0.1261          9.9441         -2.4125       -0.777127        2.099414
     2693.13643      2693.13196         16.6114          2.1129         17.3890          0.1381         10.5708         -2.4125       -2.412520        2.112886
     2693.14337      2693.13891         18.5522          2.1459         17.2690          0.1256         11.2767         -2.5118       -2.107745        2.145896
     2693.15032      2693.14585         15.0669          2.1433         17.4949          0.1544          9.5493         -2.5118       -2.511832        2.143278
     2693.15726      2693.15279         15.6090          2.1520         17.4566          0.1497          5.6983         -2.5905       -3.624304        2.152021
     2693.16421      2693.15974         17.3414          2.1403         17.3423          0.1340          9.1180         -2.9405       -4.750620        2.140335
     2693.17115      2693.16668         12.5203          2.1824         17.6960          0.1893          9.8461         -2.5905       -5.126727        2.182430
     2693.17810      2693.17363         20.1790          2.1416         17.1778          0.1152          8.9077         -2.9405       -3.470011        2.141551
     2693.18504      2693.18057         18.5897          2.1856         17.2668          0.1277          6.7877         -2.9669       -0.616438        2.185592
     2693.19199      2693.18752         15.5732          2.2139         17.4591          0.1543          7.9407         -2.9669       -3.831409        2.213882
     2693.19893      2693.19446         14.1863          2.1668         17.5603          0.1658          8.4935         -2.9669       -0.722920        2.166815
     2693.20587      2693.20140         15.2830          2.2221         17.4795          0.1579         10.2490         -2.9405       -3.271730        2.222056
     2693.21282      2693.20835         15.0673          2.2031         17.4949          0.1588          8.6894         -2.5118       -1.964494        2.203116
     2693.21976      2693.21529         10.9353          2.2003         17.8429          0.2185          9.2936         -2.9405       -8.238492        2.200311
     2693.22671      2693.22224         18.6921          2.2187         17.2609          0.1289          4.8958         -2.5118       -4.943138        2.218674
     2693.23365      2693.22918         19.1048          2.2226         17.2371          0.1263          7.5762         -2.4125       -1.783535        2.222601
     2693.24060      2693.23613         20.0547          2.2341         17.1845          0.1210          7.2734         -2.4125       -1.988951        2.234124
     2693.24754      2693.24307          6.6003          2.1899         18.3911          0.3602          9.5019         -2.5118       -1.522454        2.189925
     2693.25449      2693.25002         23.2943          2.2383         17.0219          0.1043          9.3696         -2.4125       -1.815274        2.238288
     2693.26143      2693.25696         14.8856          2.2300         17.5081          0.1627         10.3261         -2.5118       -5.145032        2.230003
     2693.26837      2693.26390         25.6979          2.2041         16.9153          0.0931          5.2135         -2.8970       -0.343666        2.204120
     2693.27532      2693.27085         16.5685          2.2155         17.3918          0.1452         10.6838         -2.5118       -2.940458        2.215509
     2693.28226      2693.27779         17.1713          2.2376         17.3530          0.1415          8.2231         -2.5118       -2.966935        2.237636
     2693.28921      2693.28474         14.4220          2.2067         17.5424          0.1661          6.1816         -2.5372       -6.312646        2.206656
