# reference_flux:     -14770.7086
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2692.94875      2692.94446         -4.1871          1.7936         18.6129         99.9000          9.3016          1.2957        0.594755        1.793622
     2692.95569      2692.95141         -2.8906          1.8115         18.6021         99.9000          8.6800          1.2957        1.295694        1.811518
     2692.96264      2692.95835         -2.6869          1.8310         18.5905         99.9000         12.1985          1.2957       -0.108009        1.831017
     2692.96958      2692.96529          0.3395          1.8464         18.5814         99.9000          8.3253          0.7639        1.623118        1.846436
     2692.97653      2692.97224         -2.9521          1.8666         18.5695         99.9000         10.1800          1.2957        2.785837        1.866640
     2692.98347      2692.97918          0.5471          1.8837         18.5596         99.9000          8.1755          0.7639        2.079535        1.883748
     2692.99042      2692.98613         -1.7192          1.9018         18.5493         99.9000          8.7138          0.9526        2.305749        1.901788
     2692.99736      2692.99307          4.5481          1.9210         18.5384         99.9000         18.5217          0.9526        1.798464        1.921005
     2693.00430      2693.00002         -0.3514          1.9394         18.5280         99.9000         20.1051          1.2957        0.763876        1.939423
     2693.01125      2693.00696         -0.2087          1.9536         18.5201         99.9000         15.7024          0.9526        5.694559        1.953604
     2693.01819      2693.01391         -4.7092          1.9714         18.5103         99.9000         24.1590          0.9526       -0.038109        1.971370
     2693.02514      2693.02085         -6.1165          1.9882         18.5010         99.9000         21.9639          0.7639       -0.408857        1.988233
     2693.03208      2693.02779         -5.2847          2.0066         18.4911         99.9000         18.7846          0.7639        4.737119        2.006556
     2693.03903      2693.03474         -4.0464          2.0204         18.4836         99.9000         19.0723          0.7639        3.194072        2.020354
     2693.04597      2693.04168         -6.2699          2.0378         18.4743         99.9000         22.5430          0.7639        0.229012        2.037814
     2693.05292      2693.04863         -2.0551          2.0555         18.4649         99.9000         17.5331          0.6716        2.612390        2.055519
     2693.05986      2693.05557         -7.0140          2.0703         18.4571         99.9000         24.3252          0.5948       -0.526488        2.070287
     2693.06680      2693.06252         -8.3384          2.0868         18.4485         99.9000         21.4061          0.5948        0.226654        2.086791
     2693.07375      2693.06946         -7.1809          2.1048         18.4392         99.9000         21.1888          0.5948       -2.027225        2.104784
     2693.08069      2693.07641         -4.1937          2.1195         18.4316         99.9000         44.5648          0.5387        4.542260        2.119541
     2693.08764      2693.08335          0.3960          2.1334         18.4245         99.9000         26.0866          0.4704        0.538669        2.133415
     2693.09458      2693.09029         -0.9449          2.1495         18.4164         99.9000         25.9851          0.3579        3.922363        2.149465
     2693.10153      2693.09724          0.8093          2.1631         18.4095         99.9000         28.1692          0.4704        1.445178        2.163096
     2693.10847      2693.10418         -7.9944          2.1733         18.4044         99.9000         27.3553          0.3579       -2.714969        2.173336
     2693.11542      2693.11113         -3.1221          2.1878         18.3972         99.9000         25.7605          0.3579       -1.160614        2.187790
     2693.12236      2693.11807         -3.2424          2.1974         18.3924         99.9000         29.6115          0.3579       -0.164653        2.197359
     2693.12930      2693.12502         -8.9832          2.2089         18.3867         99.9000         37.6552          0.3579        0.470391        2.208949
     2693.13625      2693.13196         -0.5551          2.2213         18.3807         99.9000         36.5979          0.3579        5.233168        2.221278
     2693.14319      2693.13891        -12.2613          2.2262         18.3783         99.9000         23.8510          0.3579       -3.352811        2.226173
     2693.15014      2693.14585         -1.8422          2.2385         18.3723         99.9000         31.6536          0.3579        0.952626        2.238543
     2693.15708      2693.15279         -5.0818          2.2488         18.3673         99.9000         33.8949          0.3579       -0.067290        2.248843
     2693.16403      2693.15974         -5.0241          2.2580         18.3629         99.9000         44.5917          0.3579        2.005410        2.257958
     2693.17097      2693.16668         -7.1221          2.2648         18.3596         99.9000         41.2796          0.3579        0.142638        2.264786
     2693.17792      2693.17363         -6.8265          2.2697         18.3573         99.9000         34.7487          0.3579       -3.435897        2.269663
     2693.18486      2693.18057        -12.6968          2.2780         18.3533         99.9000         45.5158          0.2290       -2.153397        2.277952
     2693.19181      2693.18752         -5.5395          2.2816         18.3516         99.9000         34.6319          0.3579       -6.154515        2.281647
     2693.19875      2693.19446          3.5408          2.2863         18.3494         99.9000         36.6818          0.4704        0.671644        2.286287
     2693.20569      2693.20140         -4.3776          2.2910         18.3471         99.9000         39.5493          0.4704       -5.782979        2.291021
     2693.21264      2693.20835          0.4870          2.2950         18.3452         99.9000         39.2019          0.3579       -0.016004        2.295035
     2693.21958      2693.21529          2.8363          2.2979         18.3439         99.9000         37.0087          0.4704        0.040084        2.297852
     2693.22653      2693.22224          5.3782          2.3010         18.3424         99.9000         36.9387          0.4704        5.327872        2.301027
     2693.23347      2693.22918        -12.9956          2.3044         18.3408         99.9000         51.9813          0.4704       -2.772691        2.304390
     2693.24042      2693.23613         -0.4073          2.3067         18.3397         99.9000         45.0404          0.4704        0.357934        2.306689
     2693.24736      2693.24307          3.5896          2.3087         18.3388         99.9000         40.0118          0.5387       -0.459925        2.308718
     2693.25431      2693.25002         -2.5420          2.3095         18.3384         99.9000         43.1511          0.4704       -2.115859        2.309472
     2693.26125      2693.25696         -3.1154          2.3098         18.3383         99.9000         40.6469          0.3968        3.069906        2.309754
     2693.26819      2693.26390          1.0539          2.3106         18.3379         99.9000         46.5038          0.3579       -1.296096        2.310568
     2693.27514      2693.27085          5.9227          2.3135         18.3365         99.9000         48.8238          0.3579        1.677981        2.313498
     2693.28208      2693.27779          0.7252          2.3162         18.3353         99.9000         49.9971          0.3968        2.507956        2.316173
     2693.28903      2693.28474          3.0232          2.3138         18.3364         99.9000         48.6673          0.4704        5.094131        2.313795
     2693.29597      2693.29168          0.5339          2.3162         18.3352         99.9000         49.3751          0.6716       -0.281533        2.316220
     2693.30292      2693.29863          4.2623          2.3193         18.3338         99.9000         49.7794          0.7509        0.805005        2.319338
     2693.30986      2693.30557         -0.9812          2.3255         18.3309         99.9000         51.6494          0.7509        0.913474        2.325495
     2693.31681      2693.31252         -5.3953          2.3261         18.3306         99.9000         76.3415          0.8050        2.802528        2.326108
     2693.32375      2693.31946         -3.3085          2.3273         18.3300         99.9000         49.8042          0.8050        0.750935        2.327345
     2693.33069      2693.32640         -0.9472          2.3338         18.3270         99.9000         51.7204          0.9135        3.051736        2.333833
     2693.33764      2693.33335         -6.8354          2.3365         18.3258         99.9000         77.0145          0.9135        1.705975        2.336496
