# reference_flux:         89.3417
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2692.94747      2692.94446         56.1185          1.8155         16.0672          0.0351         -1.8753          1.4036       -1.810217        1.815532
     2692.95442      2692.95141         52.2475          1.8358         16.1448          0.0381         -3.1312          1.4658       -0.070991        1.835806
     2692.96136      2692.95835         54.4521          1.8532         16.1000          0.0370         -3.1158          1.4658       -1.791273        1.853191
     2692.96831      2692.96529         54.2195          1.8652         16.1046          0.0373          0.6124          1.4658       -0.215729        1.865176
     2692.97525      2692.97224         54.4161          1.8859         16.1007          0.0376         -7.1482          1.4036        1.330002        1.885863
     2692.98220      2692.97918         57.8776          1.9000         16.0337          0.0356          4.6433          1.4036        3.609870        1.899983
     2692.98914      2692.98613         53.1706          1.9185         16.1258          0.0392         -5.5260          1.4658        0.916040        1.918463
     2692.99608      2692.99307         57.4060          1.9363         16.0426          0.0366          4.1120          1.4658        5.572116        1.936292
     2693.00303      2693.00002         59.6708          1.9539         16.0006          0.0356          5.6050          1.4658        1.403601        1.953948
     2693.00997      2693.00696         51.9915          1.9716         16.1502          0.0412          7.9095          1.4658        0.851079        1.971626
     2693.01692      2693.01391         49.6920          1.9814         16.1993          0.0433          6.9933          1.4658        0.624044        1.981429
     2693.02386      2693.02085         53.6155          2.0040         16.1168          0.0406          9.7269          1.4658        1.465769        2.004004
     2693.03081      2693.02779         57.4637          2.0181         16.0415          0.0381          9.7997          1.4658        7.281179        2.018125
     2693.03775      2693.03474         56.1816          2.0376         16.0660          0.0394         10.6016          1.4658        6.477984        2.037593
     2693.04469      2693.04168         53.5752          2.0596         16.1176          0.0417         10.8541          2.0596        2.110624        2.059637
     2693.05164      2693.04863         53.8190          2.0676         16.1127          0.0417          5.9345          2.1106        4.709910        2.067561
     2693.05858      2693.05557         54.2924          2.0841         16.1032          0.0417         11.7760          2.7784       -2.189294        2.084108
     2693.06553      2693.06252         57.1817          2.0974         16.0469          0.0398         12.3072          2.1106        4.491219        2.097405
     2693.07247      2693.06946         50.9869          2.1166         16.1714          0.0451         18.4727          2.7784        0.021487        2.116582
     2693.07942      2693.07641         51.1168          2.1291         16.1686          0.0452         21.2029          2.7784        3.395623        2.129120
     2693.08636      2693.08335         56.8653          2.1687         16.0529          0.0414         13.7368          2.7784        6.172219        2.168699
     2693.09331      2693.09029         53.9106          2.1851         16.1108          0.0440         14.6397          2.9418        2.778425        2.185104
     2693.10025      2693.09724         59.5159          2.2009         16.0034          0.0402         16.0982          3.1334        6.992324        2.200895
     2693.10719      2693.10418         60.4609          2.2147         15.9863          0.0398         15.3807          3.3956       -0.202601        2.214707
     2693.11414      2693.11113         56.4985          2.2297         16.0599          0.0428         19.0284          3.3956        3.611203        2.229670
     2693.12108      2693.11807         56.2808          2.2321         16.0641          0.0431         16.0652          3.3956        7.152760        2.232130
     2693.12803      2693.12502         51.7592          2.2498         16.1550          0.0472         16.8589          3.6099        2.059614        2.249794
     2693.13497      2693.13196         53.3892          2.2619         16.1214          0.0460         18.8045          3.6112       -0.075267        2.261891
     2693.14192      2693.13891         57.2681          2.2670         16.0452          0.0430         23.1507          3.6112        5.318009        2.266968
     2693.14886      2693.14585         56.3249          2.2710         16.0632          0.0438         21.7673          4.2872        7.050750        2.271039
     2693.15580      2693.15279         47.4456          2.2861         16.2495          0.0523         25.8519          4.4120        2.941819        2.286100
     2693.16275      2693.15974         61.7045          2.2987         15.9642          0.0404         18.7101          4.4912        7.271197        2.298716
     2693.16969      2693.16668         50.9135          2.2969         16.1729          0.0490         25.1396          4.4912        5.920731        2.296871
     2693.17664      2693.17363         53.3974          2.3115         16.1212          0.0470         27.1367          4.7099       -3.628081        2.311516
     2693.18358      2693.18057         54.5097          2.3091         16.0988          0.0460         24.2667          4.7549        4.411952        2.309103
     2693.19053      2693.18752         55.2442          2.3175         16.0843          0.0455         26.8449          4.7921        4.287180        2.317537
     2693.19747      2693.19446         53.5736          2.3250         16.1176          0.0471         23.5164          4.7921        6.616943        2.325026
     2693.20441      2693.20140         46.8699          2.3178         16.2628          0.0537         14.5021          4.7549       13.089860        2.317755
     2693.21136      2693.20835         61.3978          2.3208         15.9696          0.0410         18.6244          4.7440        5.523114        2.320820
     2693.21830      2693.21529         56.8547          2.2863         16.0531          0.0437         17.3639          4.7549        7.235767        2.286325
     2693.22525      2693.22224         52.0151          2.2917         16.1497          0.0478         14.7293          4.7549        0.827268        2.291697
     2693.23219      2693.22918         58.8259          2.2863         16.0161          0.0422         23.2014          4.7549        7.177742        2.286315
     2693.23914      2693.23613         53.1605          2.2880         16.1260          0.0467         16.5118          4.7921        8.647120        2.288007
     2693.24608      2693.24307         50.1420          2.2875         16.1895          0.0495         23.9009          4.7921        2.264058        2.287517
     2693.25303      2693.25002         48.1890          2.2822         16.2326          0.0514         27.0966          4.7921        3.133361        2.282226
     2693.25997      2693.25696         56.9464          2.2932         16.0513          0.0437         20.5978          4.7921        6.483618        2.293182
     2693.26691      2693.26390         54.5292          2.2918         16.0984          0.0456         18.3022          4.7921        9.437071        2.291758
     2693.27386      2693.27085         61.0758          2.2992         15.9753          0.0409         18.2981          4.7549        1.392840        2.299240
     2693.28080      2693.27779         52.1476          2.2892         16.1469          0.0477         16.7958          4.7549        2.791237        2.289187
