# reference_flux:         39.1880
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2718.63898      2718.63194         37.6844          1.1136         16.4996          0.0321          0.4601          0.1128       -3.182850        1.113553
     2718.64592      2718.63888         41.1332          1.1056         16.4045          0.0292         -0.7332          0.1128        1.290043        1.105580
     2718.65287      2718.64583         41.2313          1.1179         16.4019          0.0294         -0.2873          0.1128        3.097254        1.117929
     2718.65981      2718.65277         37.3753          1.1130         16.5085          0.0323          0.0803          0.1128        0.160886        1.113004
     2718.66676      2718.65972         38.4602          1.1117         16.4775          0.0314          0.4743          0.1128        0.284181        1.111720
     2718.67370      2718.66666         41.2932          1.1123         16.4003          0.0292          1.4724          0.1128        1.453331        1.112335
     2718.68065      2718.67360         38.7463          1.1048         16.4694          0.0310          0.9222          0.1128        0.680388        1.104812
     2718.68759      2718.68055         36.5561          1.1080         16.5326          0.0329          0.4519          0.1128       -0.001543        1.107990
     2718.69453      2718.68749         35.5137          1.1007         16.5640          0.0336          1.7790          0.1128       -1.482659        1.100661
     2718.70148      2718.69444         37.8429          1.0950         16.4950          0.0314         -0.3947          0.1128       -0.624238        1.095011
     2718.70842      2718.70138         37.3373          1.1177         16.5096          0.0325          0.2958          0.1128       -2.268576        1.117705
     2718.71537      2718.70833         36.0081          1.0992         16.5490          0.0331         -0.1531          0.1128       -1.635647        1.099219
     2718.72231      2718.71527         39.1592          1.1137         16.4579          0.0309          1.1835         -0.0015        0.843096        1.113684
     2718.72926      2718.72222         36.2344          1.0887         16.5422          0.0326          1.1013         -0.0015       -0.129008        1.088676
     2718.73620      2718.72916         37.9886          1.0858         16.4909          0.0310         -0.2723          0.1128        0.112755        1.085818
     2718.74314      2718.73610         40.2747          1.1185         16.4274          0.0302          0.1270          0.1128        1.085889        1.118515
     2718.75009      2718.74305         37.1212          1.0924         16.5159          0.0320         -0.5431          0.1128       -2.824236        1.092405
     2718.75703      2718.74999         38.0269          1.1019         16.4898          0.0315         -0.8119          0.1128        0.751409        1.101915
     2718.76398      2718.75694         39.5480          1.1153         16.4472          0.0306          0.4276         -0.0015        0.500188        1.115300
