# reference_flux:        115.0801
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2718.63894      2718.63194        115.3936          1.2661         15.2845          0.0119          0.4452         -0.8035        0.369648        1.266071
     2718.64588      2718.63888        114.2861          1.2527         15.2950          0.0119          0.9356         -0.8035       -1.152769        1.252728
     2718.65283      2718.64583        112.3897          1.2548         15.3132          0.0121          1.6007         -0.8035       -2.244932        1.254763
     2718.65977      2718.65277        110.0108          1.2427         15.3364          0.0123          2.1169         -0.8035       -0.910996        1.242666
     2718.66671      2718.65972        111.6635          1.2406         15.3202          0.0121         -1.2147         -0.8035       -0.803546        1.240561
     2718.67366      2718.66666        111.4488          1.2532         15.3223          0.0122         -0.2829         -0.8035       -2.620650        1.253244
     2718.68060      2718.67360        116.9902          1.2587         15.2696          0.0117          1.6022         -0.8600        3.402272        1.258718
     2718.68755      2718.68055        107.3422          1.2564         15.3631          0.0127          2.8934         -0.8600       -4.739452        1.256355
     2718.69449      2718.68749        118.8340          1.2464         15.2526          0.0114         -2.2769         -0.8600       -0.004018        1.246436
     2718.70144      2718.69444        112.8338          1.2537         15.3089          0.0121         -2.4479         -0.8600       -1.481695        1.253742
     2718.70838      2718.70138        110.5217          1.2354         15.3314          0.0121          1.2782         -0.8600       -3.097645        1.235382
     2718.71533      2718.70833        113.0427          1.2541         15.3069          0.0120          0.4019         -0.8600       -0.860018        1.254084
     2718.72227      2718.71527        118.6300          1.2570         15.2545          0.0115         -0.1862         -0.8600        1.740818        1.257022
     2718.72922      2718.72222        112.7503          1.2509         15.3097          0.0120         -1.2812         -0.8035       -0.998447        1.250875
     2718.73616      2718.72916        111.7509          1.2419         15.3194          0.0121         -1.9409         -0.8035       -0.386911        1.241890
     2718.74310      2718.73610        116.4502          1.2596         15.2746          0.0117          0.1005         -0.8035        2.844397        1.259562
     2718.75005      2718.74305        114.6550          1.2301         15.2915          0.0116         -2.0145         -0.8035       -0.765485        1.230100
     2718.75699      2718.74999        115.5031          1.2331         15.2835          0.0116          1.6898         -0.8035        3.736237        1.233123
     2718.76394      2718.75694        113.5931          1.2498         15.3016          0.0119         -0.1287         -0.8035       -0.672158        1.249750
     2718.77088      2718.76388        116.2829          1.2406         15.2762          0.0116         -0.2091         -0.8035        0.838867        1.240559
     2718.77783      2718.77083        109.7298          1.2454         15.3392          0.0123          0.9361         -0.7655        1.302608        1.245406
     2718.78477      2718.77777        117.4051          1.2584         15.2658          0.0116         -0.6529         -0.6722        2.717495        1.258423
     2718.79172      2718.78472        112.6375          1.2629         15.3108          0.0122          3.7747         -0.6722       -1.825980        1.262936
     2718.79866      2718.79166        110.7017          1.2772         15.3296          0.0125          3.1061         -0.6722       -3.783507        1.277165
     2718.80560      2718.79860        110.7008          1.3122         15.3296          0.0129          3.6110         -0.7655       -1.715251        1.312246
     2718.81255      2718.80555        110.5019          1.3307         15.3316          0.0131          1.9939         -0.7655       -3.485884        1.330695
     2718.81949      2718.81249        112.4066          1.3169         15.3130          0.0127          3.0782         -0.7655       -1.131435        1.316880
     2718.82644      2718.81944        116.2358          1.3690         15.2767          0.0128          5.8820         -0.7655        1.164124        1.369033
     2718.83338      2718.82638        115.3648          1.3621         15.2848          0.0128          3.3498         -0.7655        0.923942        1.362109
     2718.84033      2718.83333        113.3577          1.3654         15.3039          0.0131          3.8672         -0.7655       -1.392953        1.365448
     2718.84727      2718.84027        110.2286          1.3897         15.3343          0.0137          9.3083         -0.7655        0.415825        1.389727
     2718.85422      2718.84722        115.9907          1.4084         15.2789          0.0132          8.6450         -0.8600        1.891527        1.408400
     2718.86116      2718.85416        120.7488          1.4249         15.2353          0.0128          9.0273         -0.8600        3.639467        1.424911
     2718.86810      2718.86110        109.8401          1.4416         15.3381          0.0142         12.5591         -0.8600        0.927903        1.441584
     2718.87505      2718.86805        107.1674          1.4537         15.3648          0.0147         11.3269         -0.7655       -1.345093        1.453684
     2718.88199      2718.87499        117.9251          1.4470         15.2610          0.0133         14.3240         -0.7655        2.953531        1.447044
     2718.88894      2718.88194        116.3882          1.4379         15.2752          0.0134         15.5252         -0.7655        0.498226        1.437940
     2718.89588      2718.88888        113.7281          1.4459         15.3003          0.0138         14.4582         -0.8516       -1.840563        1.445867
     2718.90283      2718.89583        113.9637          1.5109         15.2981          0.0144         17.7185         -0.7655       -2.231031        1.510898
     2718.90977      2718.90277        114.2683          1.5314         15.2952          0.0146         22.3362         -0.7655       -0.505015        1.531362
     2718.91672      2718.90972        113.1027          1.5064         15.3063          0.0145         21.6915         -0.7655        0.870848        1.506440
     2718.92366      2718.91666        112.0163          1.5478         15.3168          0.0150         23.7796         -0.6722       -0.153795        1.547774
     2718.93060      2718.92360        112.2467          1.5495         15.3146          0.0150         23.4604         -0.8516       -1.120661        1.549508
     2718.93755      2718.93055        117.2126          1.5680         15.2676          0.0145         22.1484         -0.8516        0.212267        1.568001
     2718.94449      2718.93749        116.5710          1.5680         15.2735          0.0146         32.2810         -0.8516        1.864050        1.567967
     2718.95144      2718.94444        112.0786          1.5619         15.3162          0.0151         21.8108         -0.8516       -1.570345        1.561902
     2718.95838      2718.95138        110.1855          1.5773         15.3347          0.0155         29.0577         -0.9977       -2.503139        1.577314
     2718.96533      2718.95833        113.0791          1.5578         15.3065          0.0150         20.7652         -0.8665       -1.756092        1.557768
     2718.97227      2718.96527        112.8509          1.6163         15.3087          0.0156         35.5291         -0.8516        0.918812        1.616308
     2718.97922      2718.97222        111.4293          1.5960         15.3225          0.0156         22.9917         -0.5050       -1.632037        1.595963
     2718.98616      2718.97916        114.6323          1.6047         15.2917          0.0152         22.1899         -0.5050       -1.253050        1.604707
     2718.99310      2718.98610        114.9339          1.6084         15.2889          0.0152         30.7845         -0.5050       -2.111645        1.608375
     2719.00005      2718.99305        109.5756          1.6281         15.3407          0.0161         27.8934         -0.5050       -1.882296        1.628099
     2719.00699      2718.99999        116.8233          1.6296         15.2712          0.0151         35.8197         -0.7161       -1.230335        1.629639
     2719.01394      2719.00694        105.2375          1.6543         15.3846          0.0171         33.5228         -0.5050       -5.210934        1.654279
     2719.02088      2719.01388        114.1968          1.5922         15.2959          0.0151         20.8758         -0.5050       -1.797944        1.592218
     2719.02783      2719.02083        117.7306          1.6491         15.2628          0.0152         26.4844         -0.5050       -0.051170        1.649136
     2719.03477      2719.02777        114.8928          1.6202         15.2893          0.0153         21.6179         -0.7161       -0.036972        1.620223
     2719.04172      2719.03472        110.9158          1.6291         15.3275          0.0159         22.0132         -0.8516       -1.575219        1.629061
     2719.04866      2719.04166        113.8413          1.6848         15.2993          0.0161         26.4008         -0.8516       -0.851601        1.684764
     2719.05560      2719.04860        110.4559          1.6410         15.3320          0.0161         23.5230         -0.8516       -1.113680        1.640981
     2719.06255      2719.05555        118.3344          1.6900         15.2572          0.0155         32.1456         -0.8665        2.370045        1.690009
     2719.06949      2719.06249        115.0344          1.6732         15.2879          0.0158         22.1442         -0.8665       -0.230015        1.673203
     2719.07644      2719.06944        112.2527          1.6594         15.3145          0.0161         27.0932         -0.8516       -0.226360        1.659416
     2719.08338      2719.07638        117.3585          1.6630         15.2662          0.0154         18.2432         -0.8516        2.904561        1.662988
     2719.09033      2719.08333        114.7054          1.7419         15.2910          0.0165         29.9654         -0.8665       -1.678281        1.741928
     2719.09727      2719.09027        116.1612          1.7304         15.2773          0.0162         25.4618         -0.8837       -0.425754        1.730398
     2719.10422      2719.09722        116.4499          1.7266         15.2747          0.0161         23.7827         -0.8665        0.290996        1.726557
     2719.11116      2719.10416        117.4802          1.7344         15.2651          0.0160         27.7341         -0.8837        0.445378        1.734422
     2719.11810      2719.11110        118.6622          1.6683         15.2542          0.0153         20.9584         -0.8837       -0.997686        1.668333
     2719.12505      2719.11805        113.1970          1.7398         15.3054          0.0167         27.7343         -0.8665       -0.866534        1.739783
     2719.13199      2719.12499        116.1495          1.6970         15.2775          0.0159         29.3285         -0.8516        0.511848        1.697036
     2719.13894      2719.13194        115.2800          1.7231         15.2856          0.0162         18.3653         -0.7161        0.321347        1.723072
     2719.14588      2719.13888        112.8704          1.6736         15.3085          0.0161         19.6115         -0.7161       -0.883668        1.673583
     2719.15283      2719.14583        109.0543          1.6638         15.3459          0.0166         16.7625         -0.5076       -1.672356        1.663831
     2719.15977      2719.15277        117.5398          1.7296         15.2645          0.0160         31.2054         -0.4658        0.605293        1.729565
