# reference_flux:       -265.9316
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2718.63928      2718.63194         -4.7286          1.2182         19.0329         99.9000          2.2226         -0.4772       -0.718267        1.218239
     2718.64622      2718.63888         -2.0116          1.2228         19.0288         99.9000          1.3335         -0.4772        0.308197        1.222828
     2718.65317      2718.64583         -0.7640          1.2207         19.0307         99.9000          0.1925         -0.4772       -1.571735        1.220691
     2718.66011      2718.65277         -1.3526          1.2131         19.0375         99.9000         -0.5111         -0.4772       -0.477177        1.213078
     2718.66706      2718.65972         -2.8081          1.2132         19.0373         99.9000          0.6426         -0.4772       -0.333018        1.213220
     2718.67400      2718.66666          1.5362          1.2190         19.0322         99.9000          0.5489         -0.4772        0.647336        1.219039
     2718.68095      2718.67360          1.0238          1.2204         19.0310         99.9000         -0.1266         -0.4029        3.140849        1.220371
     2718.68789      2718.68055         -0.4433          1.2201         19.0312         99.9000         -1.8859         -0.4029        1.754211        1.220077
     2718.69484      2718.68749         -1.6823          1.2242         19.0276         99.9000         -0.3434         -0.3330        0.995080        1.224170
     2718.70178      2718.69444         -2.2630          1.2539         19.0016         99.9000         -0.8855         -0.3330       -1.812710        1.253863
     2718.70873      2718.70138         -2.6219          1.2401         19.0136         99.9000          0.8092         -0.3330       -4.357962        1.240105
     2718.71567      2718.70833         -0.4892          1.2313         19.0213         99.9000         -0.9912         -0.3330       -1.683563        1.231282
     2718.72262      2718.71527         -1.7907          1.2035         19.0461         99.9000          0.2675         -0.3330       -1.538667        1.203479
     2718.72956      2718.72222          0.8957          1.2235         19.0282         99.9000          0.1303         -0.1451        2.390817        1.223505
     2718.73650      2718.72916         -2.2085          1.2198         19.0315         99.9000         -1.5912          0.1853       -0.145138        1.219799
     2718.74345      2718.73610          0.5877          1.2225         19.0291         99.9000         -4.0036          0.2947       -0.862674        1.222526
     2718.75039      2718.74305         -1.5813          1.2467         19.0078         99.9000         -2.7259          0.2947       -2.594263        1.246659
     2718.75734      2718.74999         -1.4917          1.2346         19.0184         99.9000         -3.0880          0.2947        0.787324        1.234569
     2718.76428      2718.75694         -6.5624          1.2467         19.0078         99.9000         -3.5099          0.2947       -4.367790        1.246693
     2718.77123      2718.76388         -1.4136          1.2657         18.9914         99.9000         -4.1545          0.2947       -1.258360        1.265704
     2718.77817      2718.77083         -3.4172          1.2876         18.9728         99.9000         -6.4881          0.3082        1.055960        1.287582
     2718.78512      2718.77777         -5.4946          1.3117         18.9526         99.9000         -7.7009          0.3082       -1.886560        1.311701
     2718.79206      2718.78472         -1.8456          1.3367         18.9321         99.9000        -10.0455          0.6473       -0.402913        1.336723
     2718.79901      2718.79166          2.2982          1.3356         18.9330         99.9000        -11.6491          0.7873        1.893951        1.335554
     2718.80595      2718.79860          4.9448          1.3735         18.7046          0.3016        -14.6267          0.9951        1.672575        1.373516
     2718.81289      2718.80555          2.6535          1.4187         18.8674         99.9000        -18.8492          1.0560       -0.713997        1.418741
     2718.81984      2718.81249          0.3731          1.4254         18.8623         99.9000        -17.2139          1.6726        0.185282        1.425429
     2718.82678      2718.81944         -0.5377          1.4817         18.8203         99.9000        -20.8089          1.7542        0.294719        1.481722
     2718.83373      2718.82638          0.3183          1.5362         18.7811         99.9000        -16.8592          1.8940       -2.212414        1.536171
     2718.84067      2718.83333          2.6873          1.5690         18.7581         99.9000        -27.3976          2.3908        4.026362        1.569024
     2718.84762      2718.84027          3.5385          1.5778         18.7521         99.9000        -27.3565          2.5666        2.566580        1.577808
     2718.85456      2718.84722          5.3103          1.6109         18.6272          0.3294        -31.3525          2.5666        5.319566        1.610868
     2718.86151      2718.85416          5.2123          1.6744         18.6474          0.3488        -30.5791          3.3928        5.149541        1.674428
     2718.86845      2718.86110         -0.4637          1.6825         18.6823         99.9000        -32.0106          4.0264       -0.395694        1.682520
     2718.87540      2718.86805          4.6074          1.6962         18.6735         99.9000        -33.1132          4.8786        5.236205        1.696177
     2718.88234      2718.87499          0.8862          1.6936         18.6752         99.9000        -34.0006          5.1369        5.136941        1.693627
     2718.88928      2718.88194         10.4657          1.7317         17.8906          0.1796        -36.7165          5.1495       10.078447        1.731682
     2718.89623      2718.88888         11.0152          1.7411         17.8350          0.1716        -36.2714          5.2362        9.830205        1.741120
     2718.90317      2718.89583          5.4753          1.7885         18.5940          0.3547        -38.2452          5.3196        8.635095        1.788515
     2718.91012      2718.90277          4.2617          1.7441         18.6433         99.9000        -36.3651          6.2656        6.265616        1.744110
     2718.91706      2718.90972          6.7775          1.7872         18.3623          0.2863        -38.8456          7.1867        9.280978        1.787190
     2718.92401      2718.91666          7.5201          1.8149         18.2494          0.2620        -42.7132          7.4130       10.670380        1.814892
     2718.93095      2718.92360         12.1887          1.8316         17.7251          0.1632        -44.0686          7.8504        9.617319        1.831564
     2718.93790      2718.93055          6.1354          1.8213         18.4704          0.3223        -44.6156          7.9177        3.392824        1.821306
     2718.94484      2718.93749          4.4508          1.8392         18.5856         99.9000        -33.8928          8.1033        8.103339        1.839170
     2718.95179      2718.94444          8.1395          1.9365         18.1635          0.2583        -32.9286          8.3332        8.333221        1.936503
     2718.95873      2718.95138          6.1053          1.9166         18.4757          0.3408        -33.5589          8.3548        7.413001        1.916612
     2718.96567      2718.95833         11.3049          1.9173         17.8068          0.1841        -36.7100          8.4794        8.479369        1.917252
     2718.97262      2718.96527          0.3311          1.9688         18.5117         99.9000        -30.9393          8.6351        7.850362        1.968754
     2718.97956      2718.97222          7.9374          1.9750         18.1908          0.2702        -34.9102          8.7966        7.186728        1.975013
     2718.98651      2718.97916          3.7412          2.0265         18.4803         99.9000        -35.0330          8.8174        7.917656        2.026514
     2718.99345      2718.98610          7.8456          2.0353         18.2034          0.2817        -37.6988          9.2810        4.878608        2.035252
     2719.00040      2718.99305          6.5179          2.0107         18.4047          0.3349        -37.9943          9.4637       11.499524        2.010746
     2719.00734      2718.99999          7.6644          2.0338         18.2288          0.2881        -37.9520          9.6173       10.042586        2.033841
     2719.01429      2719.00694         11.0447          2.0680         17.8321          0.2033        -41.6309          9.8302       11.084855        2.067971
     2719.02123      2719.01388         15.1180          2.0494         17.4913          0.1472        -38.1600         10.0426       15.182672        2.049369
     2719.02818      2719.02083          7.9084          2.1085         18.1948          0.2895        -42.2864         10.0784       12.649148        2.108457
     2719.03512      2719.02777          8.9752          2.0688         18.0574          0.2503        -38.3059         10.0784       10.109966        2.068807
     2719.04207      2719.03472         10.2055          2.0782         17.9179          0.2211        -40.9015         10.0784        8.354810        2.078158
     2719.04901      2719.04166          9.0710          2.0774         18.0459          0.2487        -39.3188         10.1100       12.765667        2.077423
     2719.05595      2719.04860         13.0791          2.1188         17.6486          0.1759        -43.3923         10.1347       14.987299        2.118795
     2719.06290      2719.05555         20.0940          2.2016         17.1823          0.1190        -40.8084         10.4679       14.797440        2.201633
     2719.06984      2719.06249         11.3321          2.1227         17.8042          0.2034        -40.9769         10.4679       12.886352        2.122741
     2719.07679      2719.06944          9.4971          2.1692         17.9960          0.2480        -37.2227         10.4679       10.526942        2.169240
     2719.08373      2719.07638          7.7552          2.1465         18.2160          0.3005        -43.2477         10.4679       10.566294        2.146478
     2719.09068      2719.08333          4.1886          2.1757         18.4032         99.9000        -38.2286         10.4679        8.817391        2.175718
     2719.09762      2719.09027          9.4078          2.2447         18.0063          0.2591        -39.7328         10.1826       11.300963        2.244727
     2719.10457      2719.09722          5.7875          2.1608         18.4107         99.9000        -40.6199         10.1826       11.497794        2.160797
     2719.11151      2719.10416         11.4216          2.1501         17.7957          0.2044        -44.1894         10.1826       11.400367        2.150108
     2719.11845      2719.11110          8.6988          2.1521         18.0913          0.2686        -40.6006         10.1826       12.879379        2.152118
     2719.12540      2719.11805         14.7147          2.2996         17.5206          0.1697        -44.5183         10.1826       17.196277        2.299575
     2719.13234      2719.12499         11.8434          2.1965         17.7563          0.2014        -41.4296         10.1826        8.796587        2.196481
     2719.13929      2719.13194          6.9238          2.1381         18.3391          0.3353        -38.5381         10.1826        9.463690        2.138099
     2719.14623      2719.13888         19.7097          2.2354         17.2033          0.1231        -46.2365         10.1826       17.629435        2.235398
     2719.15318      2719.14583         15.7738          2.2253         17.4452          0.1532        -40.3307         10.1826       13.436087        2.225258
     2719.16012      2719.15277         12.2162          2.1677         17.7227          0.1927        -40.3530         10.1826       12.449915        2.167730
     2719.16707      2719.15972          6.6483          2.1617         18.3832          0.3530        -35.8313         10.1826       10.689903        2.161663
     2719.17401      2719.16666         12.2790          2.1890         17.7171          0.1936        -37.2469         10.1347       11.265226        2.189001
     2719.18096      2719.17360         12.3323          2.1497         17.7124          0.1893        -37.4293         10.1347       11.383396        2.149736
     2719.18790      2719.18055          8.3368          2.2049         18.1375          0.2872        -38.3358         10.1100       10.913008        2.204925
     2719.19484      2719.18749          2.1401          2.1514         18.4154         99.9000        -32.6165         10.0661        5.640157        2.151436
     2719.20179      2719.19444         11.3873          2.1814         17.7989          0.2080        -36.5215          9.4637       10.066056        2.181428
     2719.20873      2719.20138         12.3030          2.0949         17.7150          0.1849        -32.1212          8.8174       10.134698        2.094892
     2719.21568      2719.20833          8.1661          2.1794         18.1600          0.2898        -29.0571          8.8174       15.191926        2.179402
     2719.22262      2719.21527         12.1346          2.0988         17.7299          0.1878        -29.8971          8.7966       10.467888        2.098801
     2719.22957      2719.22221          6.2950          1.9285         18.4425          0.3326        -29.4307          7.8703        3.596480        1.928499
     2719.23651      2719.22916          9.2854          1.9401         18.0205          0.2268        -26.9873          7.4259        5.812100        1.940053
     2719.24346      2719.23610          7.3683          2.0406         18.2716          0.3007        -28.6931          7.3787       10.182572        2.040580
     2719.25040      2719.24305          7.3923          1.9062         18.2681          0.2800        -24.6261          7.0094        5.152385        1.906198
     2719.25735      2719.24999          6.0965          1.9129         18.4773          0.3407        -27.4105          6.7647        4.771554        1.912851
     2719.26429      2719.25694          2.4765          1.8911         18.5554         99.9000        -22.9258          6.5993        4.742383        1.891063
     2719.27123      2719.26388          4.3058          1.8777         18.5631         99.9000        -23.7986          6.5646        5.734402        1.877749
     2719.27818      2719.27083         16.4381          1.8827         17.4004          0.1244        -23.5064          5.8121        7.378722        1.882687
     2719.28512      2719.27777          9.5176          1.8752         17.9937          0.2139        -22.5817          5.7785        5.292594        1.875235
     2719.29207      2719.28471          5.6327          1.8897         18.5562         99.9000        -21.7070          5.7344        7.009437        1.889735
     2719.29901      2719.29166          6.2004          1.8708         18.4590          0.3276        -22.9890          5.6402        6.599297        1.870753
     2719.30596      2719.29860          8.3495          1.8913         18.1358          0.2459        -22.1687          5.6402        6.564634        1.891298
     2719.31290      2719.30555          4.3247          1.8259         18.5935         99.9000        -20.6020          5.5441        4.560402        1.825885
     2719.31985      2719.31249          8.6570          1.8387         18.0966          0.2306        -22.7430          5.5441        4.140547        1.838661
     2719.32679      2719.31944          3.9955          1.8307         18.5906         99.9000        -20.5374          5.2926        2.609285        1.830741
     2719.33374      2719.32638          0.9385          1.8188         18.5977         99.9000        -20.3087          5.2926        4.050800        1.818791
     2719.34068      2719.33333          3.3196          1.8148         18.6001         99.9000        -20.2869          5.2926        4.948950        1.814814
     2719.34762      2719.34027          5.3592          1.8101         18.6029         99.9000        -20.9711          5.2926        4.444578        1.810105
     2719.35457      2719.34721          9.2345          1.8427         18.0265          0.2167        -20.6271          5.2420        5.778463        1.842735
     2719.36151      2719.35416          6.5110          1.8253         18.4059          0.3044        -19.3801          5.1958        3.997977        1.825335
     2719.36846      2719.36110          9.0925          1.8466         18.0433          0.2205        -22.1057          5.1958        7.425912        1.846636
     2719.37540      2719.36805          6.1226          1.8290         18.4727          0.3243        -20.3827          5.1958        3.888540        1.829008
     2719.38235      2719.37499          3.9406          1.8058         18.6055         99.9000        -20.6894          5.1889        2.957134        1.805797
     2719.38929      2719.38194          8.5293          1.8405         18.1127          0.2343        -17.2507          5.1889        7.870276        1.840529
     2719.39624      2719.38888          2.9437          1.8293         18.5915         99.9000        -21.0812          5.1889        6.764750        1.829295
     2719.40318      2719.39583          6.3235          1.8012         18.4376          0.3093        -27.2450          5.1889        4.483795        1.801220
     2719.41013      2719.40277          6.5519          1.8173         18.3991          0.3011        -18.4418          5.1875        3.250193        1.817302
     2719.41707      2719.40971          5.1887          1.8366         18.5872         99.9000        -20.3764          5.1524        4.088102        1.836577
     2719.42401      2719.41666          4.8038          1.7893         18.6155         99.9000        -24.8468          5.1875        5.242034        1.789300
     2719.43096      2719.42360         12.0800          1.8458         17.7348          0.1659        -27.1606          5.1889        5.544071        1.845804
     2719.43790      2719.43055          6.5251          1.8010         18.4035          0.2997        -21.0672          5.1958        5.188899        1.801005
     2719.44485      2719.43749          4.5784          1.8127         18.6014         99.9000        -23.8510          5.1958        5.096513        1.812741
     2719.45179      2719.44444          5.4086          1.8320         18.5899         99.9000        -24.5288          5.1889        3.872030        1.832047
     2719.45874      2719.45138          5.5727          1.7947         18.5748          0.3497        -23.5182          5.1875        3.471351        1.794722
     2719.46568      2719.45833          8.5609          1.8306         18.1087          0.2322        -24.2564          5.0965        7.355521        1.830598
     2719.47263      2719.46527          7.1586          1.8291         18.3029          0.2774        -24.8116          4.9489        4.908892        1.829109
     2719.47957      2719.47221          9.7930          1.8389         17.9627          0.2039        -25.7719          4.9089        5.787899        1.838877
     2719.48652      2719.47916          7.4542          1.8236         18.2590          0.2656        -24.2065          4.9489        5.195767        1.823587
     2719.49346      2719.48610          6.8026          1.8296         18.3583          0.2920        -25.3250          4.9489        6.058970        1.829559
     2719.50040      2719.49305         11.7643          1.8618         17.7636          0.1718        -28.1886          4.9489        6.322437        1.861841
     2719.50735      2719.49999          7.6497          1.9248         18.2309          0.2732        -26.6891          5.0965        6.391648        1.924790
     2719.51429      2719.50694         10.0204          1.8825         17.9378          0.2040        -30.5969          5.1875        4.138331        1.882507
     2719.52124      2719.51388          1.1343          1.8631         18.5716         99.9000        -23.4404          5.1875        2.007202        1.863081
     2719.52818      2719.52083          6.1876          1.8745         18.4612          0.3289        -22.8489          5.0965        6.522237        1.874512
     2719.53513      2719.52777          8.7467          1.8677         18.0854          0.2318        -25.0628          5.1875        5.279605        1.867702
     2719.54207      2719.53471          6.8766          1.9010         18.3466          0.3002        -23.5453          5.1875        2.288628        1.901043
     2719.54902      2719.54166         10.8947          1.8850         17.8470          0.1879        -24.6685          5.1875        6.622216        1.885001
     2719.55596      2719.54860          8.8445          1.9321         18.0733          0.2372        -25.9580          5.1889        7.480016        1.932093
     2719.56291      2719.55555          8.6665          1.9007         18.0954          0.2381        -24.2143          5.1875        5.187470        1.900660
     2719.56985      2719.56249          2.4971          1.8900         18.5560         99.9000        -23.9752          5.0965        2.232783        1.890008
     2719.57679      2719.56944          5.8880          1.8969         18.5151          0.3498        -24.6444          5.0965        3.211936        1.896916
     2719.58374      2719.57638          6.2514          1.8788         18.4501          0.3263        -23.4845          5.0965        5.423914        1.878822
     2719.59068      2719.58333          8.5438          1.9031         18.1109          0.2418        -22.5115          5.0965        6.904816        1.903129
     2719.59763      2719.59027          8.2707          1.9087         18.1461          0.2506        -25.1922          5.0653        6.859166        1.908651
     2719.60457      2719.59721          6.6015          1.9459         18.3909          0.3200        -23.1160          4.9089        7.324684        1.945902
     2719.61152      2719.60416          7.1531          1.9406         18.3038          0.2945        -22.3418          4.9089        3.931438        1.940559
     2719.61846      2719.61110          7.6438          1.8920         18.2317          0.2687        -22.1308          4.9089        4.312883        1.891983
     2719.62541      2719.61805          3.7221          1.8837         18.5597         99.9000        -23.9341          4.9748        3.632435        1.883702
     2719.63235      2719.62499          3.3215          1.9127         18.5431         99.9000        -22.7984          5.0653        2.823895        1.912671
     2719.63930      2719.63194          8.2578          1.9080         18.1478          0.2509        -24.6106          4.9748        4.532124        1.908014
     2719.64624      2719.63888         11.7944          1.8980         17.7608          0.1747        -23.5344          5.0653        5.508812        1.897950
     2719.65318      2719.64583          2.9573          1.9438         18.5256         99.9000        -22.7187          5.0653        1.671565        1.943816
     2719.66013      2719.65277          7.5336          1.8819         18.2475          0.2712        -21.8771          4.9748        3.205480        1.881907
     2719.66707      2719.65971         10.3470          1.8779         17.9030          0.1970        -23.0736          4.9748        6.195186        1.877862
     2719.67402      2719.66666         10.2194          1.9340         17.9164          0.2055        -23.2502          4.8118        6.277517        1.934026
     2719.68096      2719.67360          9.8599          1.9131         17.9553          0.2107        -22.2246          4.8118        4.221605        1.913123
     2719.68791      2719.68055          6.8343          1.9252         18.3533          0.3058        -23.0255          4.9748        5.065302        1.925178
     2719.69485      2719.68749          9.9035          1.9079         17.9505          0.2092        -18.7557          5.0653        8.737531        1.907926
     2719.70180      2719.69444          7.4388          1.9067         18.2612          0.2783        -21.8756          4.9748        7.074422        1.906701
     2719.70874      2719.70138          3.4353          1.9001         18.5503         99.9000        -19.9122          4.8118        1.793326        1.900059
     2719.71569      2719.70833         13.4623          1.9141         17.6172          0.1544        -17.8705          4.9748        6.769846        1.914062
     2719.72263      2719.71527          2.6501          1.9240         18.5367         99.9000        -23.0280          4.9748        4.336838        1.924006
     2719.72957      2719.72221          8.0296          1.8989         18.1783          0.2568        -18.3822          4.9748        4.278890        1.898939
     2719.73652      2719.72916          7.6614          1.8639         18.2292          0.2641        -19.2596          4.9748        4.619568        1.863918
