# reference_flux:         13.8728
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2718.63911      2718.63194          8.3068          1.1572         18.1414          0.1512         -0.1577         -1.6720       -1.630261        1.157153
     2718.64606      2718.63888          8.6251          1.1656         18.1006          0.1467         -0.0868         -1.6303       -2.319277        1.165632
     2718.65300      2718.64583         10.7674          1.1701         17.8597          0.1180         -1.3947         -1.6303       -0.040485        1.170081
     2718.65995      2718.65277          8.7026          1.1626         18.0909          0.1451          0.6436         -1.6303       -1.047427        1.162633
     2718.66689      2718.65972          7.5731          1.1562         18.2418          0.1658          0.5462         -1.6303       -2.700117        1.156178
     2718.67383      2718.66666          9.8027          1.1650         17.9616          0.1290         -1.8654         -1.4989       -2.132845        1.165046
     2718.68078      2718.67360         12.2547          1.1675         17.7192          0.1034          0.2956         -1.4296        0.495816        1.167548
     2718.68772      2718.68055          8.3051          1.1636         18.1416          0.1521         -0.5813         -1.4296       -2.550292        1.163620
     2718.69467      2718.68749         12.9250          1.1716         17.6614          0.0984         -0.5833         -1.4296       -0.838508        1.171632
     2718.70161      2718.69444          9.1291          1.2075         18.0389          0.1436          0.1325         -1.4296       -1.429645        1.207485
     2718.70856      2718.70138          9.6873          1.1814         17.9745          0.1324         -1.6677         -1.4296       -0.639387        1.181388
     2718.71550      2718.70833          8.5932          1.1643         18.1046          0.1471         -0.4272         -1.1758       -1.175810        1.164272
     2718.72245      2718.71527          8.6019          1.1419         18.1035          0.1441         -1.1163         -1.1758       -2.541346        1.141947
     2718.72939      2718.72222          9.2655          1.1713         18.0228          0.1373          0.8236         -1.1529       -1.796903        1.171285
     2718.73634      2718.72916          8.4335          1.1676         18.1250          0.1503          0.7858         -1.1758       -2.370837        1.167600
     2718.74328      2718.73610          9.1876          1.1733         18.0320          0.1387          0.1592         -1.1758       -2.055717        1.173299
     2718.75023      2718.74305          7.6966          1.2041         18.2242          0.1699         -1.3605         -1.1758       -1.152891        1.204093
     2718.75717      2718.74999          5.7687          1.2022         18.5373          0.2263          2.0487         -1.1529       -0.705011        1.202165
     2718.76411      2718.75694         10.4744          1.2382         17.8897          0.1283          2.8272         -1.1529       -3.555528        1.238219
     2718.77106      2718.76388          5.7541          1.2779         18.5401          0.2411          5.3572         -1.1529       -1.672037        1.277923
     2718.77800      2718.77083         13.5817          1.3148         17.6076          0.1051          5.0620         -1.0474        1.242824        1.314809
     2718.78495      2718.77777          8.6980          1.3853         18.0915          0.1729          9.8200         -1.1198       -1.821699        1.385317
     2718.79189      2718.78472          9.3898          1.4408         18.0084          0.1666         13.4070         -1.1198       -0.594132        1.440788
     2718.79884      2718.79166         12.0779          1.4444         17.7350          0.1298         13.0032         -1.0474       -2.481101        1.444400
     2718.80578      2718.79860          8.4262          1.5189         18.1259          0.1957         18.1059         -1.0474       -0.989012        1.518855
     2718.81273      2718.80555         10.0415          1.5907         17.9355          0.1720         18.4327         -1.0322       -1.498946        1.590689
     2718.81967      2718.81249          8.4040          1.6074         18.1288          0.2077         18.6942         -1.0322        0.952301        1.607445
     2718.82662      2718.81944         11.5593          1.6907         17.7827          0.1588         17.7402         -1.0474       -0.882279        1.690726
     2718.83356      2718.82638          9.5481          1.7896         17.9902          0.2035         16.9942         -1.0322       -0.637472        1.789567
     2718.84050      2718.83333         12.0375          1.8474         17.7387          0.1666         23.4764         -1.0322        0.359510        1.847423
     2718.84745      2718.84027          5.7870          1.8428         18.5339          0.3457         20.6820         -0.9890       -0.621214        1.842778
     2718.85439      2718.84722         18.1443          1.8913         17.2931          0.1132         17.1065         -1.0322        0.171725        1.891282
     2718.86134      2718.85416          9.0359          1.9944         18.0501          0.2396         21.3288         -0.9890       -1.599771        1.994389
     2718.86828      2718.86110          7.8280          1.9907         18.2059          0.2761         17.5794         -0.9890       -1.032250        1.990664
     2718.87523      2718.86805         16.3216          2.0029         17.4081          0.1332         20.3002         -0.9285        1.674636        2.002880
     2718.88217      2718.87499         12.9848          2.0002         17.6564          0.1672         15.7151         -0.9890       -0.379003        2.000207
     2718.88912      2718.88194         12.3873          2.0654         17.7076          0.1810         19.5780         -0.9285        0.617503        2.065412
     2718.89606      2718.88888          4.5508          2.0573         18.4639         99.9000         17.3056         -0.8823       -2.497074        2.057345
     2718.90301      2718.89583         15.2153          2.1531         17.4843          0.1536         22.4461         -0.8823       -1.447025        2.153113
     2718.90995      2718.90277         13.2218          2.0825         17.6368          0.1710         19.2001         -0.8111       -0.928460        2.082470
     2718.91690      2718.90972         14.8567          2.1580         17.5102          0.1577         22.8381         -0.8111        1.600776        2.158044
     2718.92384      2718.91666         10.7354          2.2016         17.8629          0.2227         21.9335         -0.8111        0.692317        2.201578
     2718.93078      2718.92360          9.2319          2.2282         18.0268          0.2621         21.3126         -0.8823       -1.443537        2.228185
     2718.93773      2718.93055         17.2478          2.2051         17.3482          0.1388         26.7786         -0.8111        1.589618        2.205105
     2718.94467      2718.93749         15.5687          2.2266         17.4594          0.1553         13.9354         -0.8111       -1.119815        2.226552
     2718.95162      2718.94444         13.6178          2.3341         17.6047          0.1861         20.5822         -0.8111        1.780045        2.334109
     2718.95856      2718.95138         14.1408          2.2988         17.5638          0.1765         20.9869         -0.6375        0.082494        2.298793
     2718.96551      2718.95833         12.8646          2.3554         17.6665          0.1988         21.3185         -0.6375       -2.270499        2.355436
     2718.97245      2718.96527         16.0998          2.3918         17.4229          0.1613         19.8134         -0.6224       -0.811067        2.391822
     2718.97940      2718.97222          9.7042          2.4138         17.9726          0.2701         23.4942         -0.6224       -1.921727        2.413815
     2718.98634      2718.97916         14.3025          2.4859         17.5515          0.1887         21.9971         -0.6212       -1.321017        2.485858
     2718.99328      2718.98610         13.1400          2.5270         17.6435          0.2088         20.7034         -0.6212       -0.622384        2.526966
     2719.00023      2718.99305          6.6732          2.4610         18.2694         99.9000         19.5934         -0.6212       -3.152473        2.460965
     2719.00717      2718.99999         12.8188          2.5229         17.6704          0.2137         16.0815         -0.6212        1.462380        2.522913
     2719.01412      2719.00694          7.6760          2.5840         18.2165         99.9000         21.1358         -0.6224       -2.853180        2.583997
     2719.02106      2719.01388          9.3837          2.5387         18.0091          0.2937         12.0041         -0.6224        0.682176        2.538698
     2719.02801      2719.02083         13.6963          2.6542         17.5985          0.2104         15.0034         -0.7460        0.356239        2.654180
     2719.03495      2719.02777         11.6758          2.5614         17.7718          0.2382         13.9081         -0.7460        2.689650        2.561425
     2719.04190      2719.03472         11.1019          2.5820         17.8265          0.2525         14.2191         -0.7460       -3.997204        2.581980
     2719.04884      2719.04166         17.6953          2.5872         17.3204          0.1587         15.6152         -0.7460        1.485961        2.587161
     2719.05579      2719.04860         14.0660          2.6540         17.5696          0.2049         17.7562         -0.8111        0.028131        2.653968
     2719.06273      2719.05555          9.7555          2.7944         17.9669          0.3110         21.0788         -0.8651       -0.916151        2.794438
     2719.06967      2719.06249         12.0057          2.6574         17.7415          0.2403         17.0378         -0.8651        1.179399        2.657366
     2719.07662      2719.06944         13.1584          2.7071         17.6420          0.2234         15.1004         -0.8111       -2.118940        2.707097
     2719.08356      2719.07638         10.6160          2.6704         17.8751          0.2731         11.0863         -0.7460       -1.439672        2.670371
     2719.09051      2719.08333          1.5266          2.7689         18.1414         99.9000         17.2152         -0.8111       -4.910810        2.768899
     2719.09745      2719.09027         10.6323          2.8714         17.8734          0.2932         15.1467         -0.8633        6.125200        2.871353
     2719.10440      2719.09722         11.4686          2.7064         17.7912          0.2562          8.1633         -0.8633       -1.598192        2.706367
