# reference_flux:         29.0560
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2718.63580      2718.63195         28.7128          1.0992         16.7948          0.0416         -1.0217         -0.3391       -0.682672        1.099207
     2718.64275      2718.63890         24.4505          1.0981         16.9693          0.0488          1.7258         -0.3391       -1.107510        1.098085
     2718.64969      2718.64584         27.9551          1.0985         16.8238          0.0427         -0.3894         -0.3391       -0.618064        1.098527
     2718.65664      2718.65279         28.0910          1.0989         16.8186          0.0425         -0.8186         -0.3391       -1.178105        1.098873
     2718.66358      2718.65973         29.9126          1.0994         16.7504          0.0399          1.2344         -0.3391        0.429394        1.099366
     2718.67053      2718.66668         27.0266          1.0976         16.8605          0.0441          1.3420         -0.3391        0.103321        1.097582
     2718.67747      2718.67362         28.8733          1.0987         16.7888          0.0413          2.4373         -0.3391        1.118881        1.098651
     2718.68441      2718.68057         21.8240          1.0955         17.0927          0.0545          1.6638         -0.3391       -2.708823        1.095485
     2718.69136      2718.68751         28.7210          1.0989         16.7945          0.0415         -1.4451         -0.2820        0.423851        1.098912
     2718.69830      2718.69445         26.9865          1.0994         16.8621          0.0442          1.9064          0.0464       -1.684477        1.099403
     2718.70525      2718.70140         29.4855          1.0987         16.7660          0.0405         -0.3026         -0.0183        0.709441        1.098681
     2718.71219      2718.70834         31.7636          1.0987         16.6852          0.0376         -2.0560         -0.0183        3.188912        1.098710
     2718.71914      2718.71529         28.6846          1.0996         16.7959          0.0416          1.0768          0.0464       -1.114492        1.099600
     2718.72608      2718.72223         27.6706          1.0992         16.8350          0.0431         -1.3556         -0.0183       -0.339135        1.099166
     2718.73303      2718.72918         30.0665          1.0991         16.7448          0.0397         -2.6297         -0.2820        0.623044        1.099111
     2718.73997      2718.73612         21.7412          1.0976         17.0968          0.0548          0.0359         -0.2820       -2.015059        1.097633
     2718.74692      2718.74307         27.3636          1.1002         16.8471          0.0437         -0.6493         -0.3391       -0.659146        1.100202
     2718.75386      2718.75001         32.2787          1.1009         16.6677          0.0370         -0.8033         -0.2820        1.768291        1.100880
     2718.76080      2718.75695         25.0592          1.1033         16.9426          0.0478          0.3461         -0.3391       -2.209851        1.103260
     2718.76775      2718.76390         26.3959          1.1043         16.8862          0.0454          0.1558         -0.3391        0.275460        1.104316
     2718.77469      2718.77084         31.8123          1.1100         16.6835          0.0379         -1.7689         -0.4255        0.634172        1.109979
     2718.78164      2718.77779         27.3175          1.1160         16.8489          0.0444         -4.1351         -0.3391       -2.016787        1.116004
     2718.78858      2718.78473         26.7169          1.1204         16.8730          0.0455         -6.4553         -0.3391       -0.282023        1.120410
     2718.79553      2718.79168         32.7856          1.1303         16.6508          0.0374         -7.9536         -0.2820        1.740134        1.130306
     2718.80247      2718.79862         29.7633          1.1379         16.7558          0.0415        -10.0738         -0.2820        0.046434        1.137854
     2718.80942      2718.80557         27.6653          1.1461         16.8352          0.0450        -10.5421         -0.2416       -2.003264        1.146144
     2718.81636      2718.81251         26.0306          1.1558         16.9013          0.0482        -11.6940         -0.2416       -1.845402        1.155832
     2718.82331      2718.81945         29.9464          1.1669         16.7491          0.0423        -11.3071         -0.2416        1.343124        1.166920
     2718.83025      2718.82640         32.6450          1.1786         16.6555          0.0392         -8.6435         -0.2416        2.727743        1.178593
     2718.83719      2718.83334         31.1727          1.1898         16.7056          0.0414        -12.0628         -0.2820        2.665307        1.189751
