# reference_flux:        -94.9326
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2718.63740      2718.63195         -6.1134          1.2929         18.9682         99.9000          1.2661         -0.2963       -2.154065        1.292944
     2718.64435      2718.63890          0.5825          1.2933         18.9680         99.9000         -0.6055         -0.2963        0.291033        1.293274
     2718.65129      2718.64584          0.6558          1.2919         18.9692         99.9000         -1.1774         -0.2963        0.541345        1.291864
     2718.65824      2718.65279         -4.4205          1.2718         18.9861         99.9000         -1.2184         -0.3596       -3.442883        1.271813
     2718.66518      2718.65973         -7.2060          1.2832         18.9765         99.9000         -1.8511         -0.6542       -1.952320        1.283186
     2718.67212      2718.66668         -1.7032          1.2892         18.9714         99.9000         -4.2954         -0.6542       -0.038654        1.289176
     2718.67907      2718.67362         -3.6291          1.2956         18.9661         99.9000          0.8424         -0.3697        0.760364        1.295563
     2718.68601      2718.68057         -5.5658          1.2795         18.9796         99.9000         -1.7230         -0.3697        0.561907        1.279463
     2718.69296      2718.68751         -6.5393          1.2870         18.9732         99.9000         -0.2044         -0.6542       -1.253109        1.287009
     2718.69990      2718.69445         -0.1561          1.2829         18.9767         99.9000         -1.6819         -0.6542        0.760366        1.282861
     2718.70685      2718.70140         -4.9365          1.2712         18.9867         99.9000         -1.5178         -0.4838       -1.006171        1.271213
     2718.71379      2718.70834         -5.9525          1.2797         18.9794         99.9000         -1.4255         -0.4838       -0.654157        1.279699
     2718.72073      2718.71529         -3.9025          1.2921         18.9690         99.9000         -0.7760         -0.6542       -0.242281        1.292081
     2718.72768      2718.72223         -2.8969          1.2898         18.9709         99.9000         -1.5117         -0.6542       -0.913356        1.289833
     2718.73462      2718.72918         -5.2759          1.2960         18.9657         99.9000         -1.9192         -0.6542       -2.094604        1.296000
     2718.74157      2718.73612         -3.5507          1.2819         18.9776         99.9000          2.0024         -0.6542       -0.296295        1.281875
     2718.74851      2718.74307         -1.1993          1.2898         18.9709         99.9000         -3.0534         -0.4838        0.178134        1.289807
     2718.75546      2718.75001         -5.2946          1.2961         18.9656         99.9000         -2.5011         -0.6542       -0.778740        1.296146
     2718.76240      2718.75695         -5.7246          1.2949         18.9666         99.9000         -1.6338         -0.6928       -3.564589        1.294852
     2718.76935      2718.76390         -2.3184          1.3115         18.9528         99.9000          1.2710         -0.7545        0.544343        1.311468
     2718.77629      2718.77084         -1.2602          1.3120         18.9523         99.9000         -3.8383         -0.6928        1.844196        1.312045
     2718.78323      2718.77779         -1.7328          1.3315         18.9363         99.9000         -1.1643         -0.6542        1.398784        1.331513
     2718.79018      2718.78473         -9.4391          1.3268         18.9402         99.9000         -1.1577         -0.6928       -1.920415        1.326795
     2718.79712      2718.79168         -1.3248          1.3549         18.9174         99.9000         -3.8957         -0.6928        0.054829        1.354935
     2718.80407      2718.79862         -8.1184          1.3789         18.8983         99.9000         -4.2794         -0.6928       -0.359585        1.378930
     2718.81101      2718.80557         -7.9067          1.3688         18.9063         99.9000         -3.9429         -0.6928       -1.413703        1.368832
     2718.81796      2718.81251         -6.0732          1.3688         18.9063         99.9000         -9.2441         -0.7545       -2.100697        1.368819
     2718.82490      2718.81945         -0.1920          1.4036         18.8791         99.9000         -3.7867         -0.7787       -2.219943        1.403622
     2718.83184      2718.82640         -4.4578          1.4074         18.8762         99.9000         -5.3147         -0.7787       -0.153410        1.407388
     2718.83879      2718.83334          0.2941          1.4383         18.8525         99.9000         -6.3272         -0.7787       -0.369695        1.438340
     2718.84573      2718.84029         -4.5783          1.4423         18.8496         99.9000         -2.1160         -0.8046       -0.804563        1.442267
     2718.85268      2718.84723         -3.2194          1.4666         18.8314         99.9000         -7.3714         -0.9134       -2.350673        1.466604
     2718.85962      2718.85418         -1.9477          1.4827         18.8195         99.9000         -2.8192         -0.9774       -0.483758        1.482735
     2718.86657      2718.86112          0.4565          1.5001         18.8069         99.9000         -5.1550         -0.9774       -0.222049        1.500069
     2718.87351      2718.86807         -3.8540          1.5239         18.7898         99.9000         -6.3469         -1.0062       -1.077580        1.523926
     2718.88045      2718.87501          0.9103          1.5643         18.7614         99.9000         -5.6308         -1.0776       -0.692844        1.564345
     2718.88740      2718.88195         -0.5464          1.5393         18.7789         99.9000         -6.2093         -1.1969       -1.947147        1.539257
     2718.89434      2718.88890         -5.2390          1.5600         18.7644         99.9000         -2.8939         -1.4137       -3.092986        1.559981
     2718.90129      2718.89584          5.8334          1.5871         18.5252          0.2954         -6.6681         -1.9086        2.620837        1.587052
     2718.90823      2718.90279         -0.5188          1.5898         18.7438         99.9000         -7.5132         -1.9086        1.163527        1.589817
     2718.91518      2718.90973         -2.1084          1.6301         18.7166         99.9000        -10.3886         -1.9086       -3.017299        1.630118
     2718.92212      2718.91668         -0.4030          1.6253         18.7198         99.9000         -6.8421         -1.9086       -0.754536        1.625346
     2718.92906      2718.92362         -4.1333          1.6523         18.7020         99.9000         -6.7343         -1.9204       -5.838031        1.652296
     2718.93601      2718.93057         -0.6769          1.6756         18.6868         99.9000         -7.8659         -1.9086        0.524556        1.675553
     2718.94295      2718.93751         -0.1594          1.6939         18.6750         99.9000        -12.2441         -1.9086       -0.126909        1.693852
     2718.94990      2718.94445         -7.8616          1.7199         18.6584         99.9000         -9.1066         -1.9204       -3.047146        1.719894
     2718.95684      2718.95140          4.0531          1.7242         18.6557         99.9000         -8.3010         -1.9204        2.075863        1.724247
     2718.96379      2718.95834         -0.4094          1.7391         18.6464         99.9000         -7.4682         -1.9471       -1.908550        1.739112
     2718.97073      2718.96529         -6.7260          1.7544         18.6369         99.9000         -6.2009         -2.0081       -4.465347        1.754434
     2718.97767      2718.97223         -8.6189          1.7654         18.6301         99.9000         -5.6673         -2.1007       -3.077836        1.765449
     2718.98462      2718.97918         -5.0176          1.7831         18.6193         99.9000         -5.2451         -2.1007       -0.977436        1.783051
     2718.99156      2718.98612         -6.7618          1.7722         18.6259         99.9000        -11.6740         -2.0081       -2.610222        1.772150
     2718.99851      2718.99307        -15.8975          1.7880         18.6163         99.9000         -9.0895         -2.0081       -5.514620        1.787954
     2719.00545      2719.00001         -8.8198          1.8086         18.6038         99.9000         -9.1607         -2.3507       -4.061695        1.808639
     2719.01240      2719.00695        -10.0742          1.8052         18.6059         99.9000         -8.0190         -2.4549       -2.008082        1.805236
     2719.01934      2719.01390         -7.8388          1.8334         18.5891         99.9000         -6.3893         -2.4549       -4.711575        1.833376
     2719.02628      2719.02084         -8.3349          1.8282         18.5921         99.9000         -5.4579         -2.4549       -1.196933        1.828205
     2719.03323      2719.02779        -11.6010          1.8288         18.5918         99.9000        -11.2415         -2.4549       -3.650500        1.828806
     2719.04017      2719.03473        -10.1707          1.8633         18.5715         99.9000        -11.2468         -2.4549       -4.920505        1.863306
     2719.04712      2719.04168         -4.7314          1.8799         18.5618         99.9000        -11.4107         -2.5273       -3.876676        1.879928
     2719.05406      2719.04862        -11.4867          1.8993         18.5507         99.9000         -5.6397         -2.5273       -3.304963        1.899316
     2719.06101      2719.05557         -3.2935          1.8883         18.5570         99.9000         -8.7560         -2.5273       -3.085335        1.888328
     2719.06795      2719.06251         -4.7148          1.9166         18.5409         99.9000         -2.7873         -2.4549       -3.530596        1.916616
     2719.07489      2719.06945          1.0068          1.9248         18.5362         99.9000        -13.5379         -2.4549        1.263213        1.924849
     2719.08184      2719.07640         -3.3808          1.9339         18.5311         99.9000         -2.1397         -2.4549       -1.483924        1.933860
     2719.08878      2719.08334         -2.7092          1.9519         18.5211         99.9000         -9.0843         -2.1621       -2.753285        1.951872
     2719.09573      2719.09029         -2.4746          1.9413         18.5270         99.9000        -12.8396         -2.1621       -0.461002        1.941277
     2719.10267      2719.09723          0.3207          1.9640         18.5143         99.9000        -10.9454         -2.1621        1.364366        1.964036
     2719.10962      2719.10418         -9.4467          1.9660         18.5132         99.9000        -12.1221         -2.1621       -5.159729        1.966023
     2719.11656      2719.11112         -8.8156          1.9661         18.5132         99.9000         -3.4455         -2.1621        0.152458        1.966149
     2719.12350      2719.11807         -5.3862          1.9670         18.5127         99.9000         -0.6628         -2.0081       -2.454869        1.967014
     2719.13045      2719.12501         -5.3415          1.9633         18.5147         99.9000         -5.8980         -2.1621       -2.527261        1.963320
     2719.13739      2719.13195         -2.1279          1.9903         18.4999         99.9000         -6.4822         -2.2047       -2.682531        1.990266
     2719.14434      2719.13890          1.7475          2.0006         18.4943         99.9000         -5.9025         -2.1621       -0.948275        2.000629
     2719.15128      2719.14584          1.1937          2.0064         18.4911         99.9000         -5.5729         -2.0081        2.226973        2.006424
     2719.15823      2719.15279         -6.4675          1.9980         18.4957         99.9000         -6.4095         -2.1621       -5.537395        1.997966
     2719.16517      2719.15973         -4.2353          2.0037         18.4926         99.9000        -10.1367         -2.1621       -3.765596        2.003667
     2719.17211      2719.16668         -2.6035          2.0268         18.4802         99.9000         -5.6251         -2.1621       -3.577599        2.026802
     2719.17906      2719.17362         -5.8535          2.0097         18.4894         99.9000         -6.7796         -2.0081        2.632842        2.009693
     2719.18600      2719.18057         -2.8768          2.0154         18.4863         99.9000         -1.8224         -2.1621       -1.036741        2.015430
     2719.19295      2719.18751          1.9439          2.0349         18.4759         99.9000         -5.1052         -1.8426       -0.801602        2.034858
     2719.19989      2719.19445         -0.2721          2.0109         18.4887         99.9000         -3.7612         -1.8426       -1.547219        2.010935
     2719.20684      2719.20140         -2.5756          2.0159         18.4860         99.9000         -6.0393         -1.7537       -3.205980        2.015925
     2719.21378      2719.20834          8.6502          2.0023         18.0974          0.2513         -8.3799         -1.5819        0.626514        2.002349
     2719.22073      2719.21529          2.1350          2.0059         18.4914         99.9000         -9.3466         -1.5472       -1.842593        2.005866
     2719.22767      2719.22223         -5.4023          2.0016         18.4938         99.9000         -8.7056         -1.5472       -1.753745        2.001565
     2719.23461      2719.22918         -5.9053          1.9802         18.5054         99.9000         -6.2702         -1.5205       -0.219364        1.980182
     2719.24156      2719.23612          2.3655          1.9892         18.5005         99.9000        -12.3653         -1.5205       -0.076979        1.989233
     2719.24850      2719.24307         -2.6282          1.9910         18.4995         99.9000         -7.8908         -1.5205       -2.162091        1.991004
     2719.25545      2719.25001          1.6301          2.0014         18.4939         99.9000         -9.0326         -1.5472       -0.265093        2.001396
     2719.26239      2719.25695         -2.6502          1.9798         18.5057         99.9000         -6.6719         -1.5472       -2.391903        1.979757
     2719.26934      2719.26390          1.2927          1.9870         18.5017         99.9000         -8.9305         -1.5472       -0.159606        1.986980
     2719.27628      2719.27084          2.9351          1.9594         18.5169         99.9000        -13.9810         -1.5819        0.877817        1.959370
     2719.28322      2719.27779         -3.6389          1.9638         18.5145         99.9000         -5.6236         -1.5819       -1.191070        1.963765
     2719.29017      2719.28473        -11.0980          1.9724         18.5097         99.9000          0.0283         -1.5819       -4.480642        1.972364
