# reference_flux:         15.1257
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2718.63781      2718.63195         13.4356          1.0103         17.6194          0.0816          0.4114         -0.6388       -0.901229        1.010346
     2718.64476      2718.63890         10.9404          1.0115         17.8424          0.1004         -0.6798         -0.6388       -2.557194        1.011505
     2718.65170      2718.64584         11.9824          0.9870         17.7436          0.0894          1.8161         -0.6388       -0.089056        0.986972
     2718.65864      2718.65279         16.2952          0.9897         17.4098          0.0659         -0.1690         -0.6139       -0.118428        0.989686
     2718.66559      2718.65973         12.1380          0.9880         17.7296          0.0884          0.2982         -0.5594       -0.306137        0.988031
     2718.67253      2718.66668         14.6184          1.0071         17.5278          0.0748         -0.2507         -0.5594        0.031571        1.007060
     2718.67948      2718.67362         12.5119          1.0152         17.6967          0.0881          1.2419         -0.5594       -0.775374        1.015196
     2718.68642      2718.68057         15.2088          1.0178         17.4848          0.0727         -0.7508         -0.5594        1.108305        1.017834
     2718.69337      2718.68751         13.9717          1.0118         17.5769          0.0786          0.0666         -0.5594       -1.345295        1.011810
     2718.70031      2718.69445         15.4693          1.0166         17.4663          0.0713         -0.8836         -0.5594        0.038129        1.016571
     2718.70726      2718.70140         13.1379          1.0075         17.6437          0.0833         -2.0808         -0.3061       -0.559412        1.007541
     2718.71420      2718.70834         14.5528          1.0060         17.5326          0.0751          1.1411         -0.3061        0.334061        1.006010
     2718.72115      2718.71529         12.3800          1.0046         17.7082          0.0881         -0.1842         -0.3061       -2.222915        1.004625
     2718.72809      2718.72223         12.3058          1.0006         17.7147          0.0883         -0.3948         -0.3061       -0.155284        1.000620
     2718.73503      2718.72918         11.8628          1.0018         17.7545          0.0917          0.1159         -0.3061       -1.122719        1.001813
     2718.74198      2718.73612         13.8437          1.0020         17.5869          0.0786          0.8321         -0.3061        0.392512        1.001957
     2718.74892      2718.74307         13.7575          1.0017         17.5937          0.0791         -0.7803         -0.3061       -1.430387        1.001657
     2718.75587      2718.75001         15.7808          1.0106         17.4447          0.0695          2.1979         -0.3061        0.401389        1.010630
     2718.76281      2718.75695         13.3452          1.0085         17.6267          0.0821         -1.6377         -0.1553       -0.684603        1.008542
     2718.76976      2718.76390         11.3618          1.0188         17.8014          0.0974          1.0035         -0.1987       -0.638765        1.018757
     2718.77670      2718.77084         11.9991          1.0316         17.7421          0.0933          0.4816         -0.1553       -1.195410        1.031553
     2718.78365      2718.77779         11.9684          1.0421         17.7449          0.0945         -0.3529         -0.1553       -2.092708        1.042131
     2718.79059      2718.78473         14.4927          1.0577         17.5371          0.0792         -0.0191         -0.1987       -0.731841        1.057690
     2718.79753      2718.79168         16.9147          1.0762         17.3693          0.0691         -2.0031         -0.1987        0.765632        1.076212
     2718.80448      2718.79862         15.1952          1.0786         17.4857          0.0771         -0.0202         -0.1553       -1.681511        1.078568
     2718.81142      2718.80557         15.6841          1.1104         17.4514          0.0769         -0.9763         -0.1339       -0.613920        1.110386
     2718.81837      2718.81251         15.9848          1.1184         17.4307          0.0760         -0.5297         -0.1184        0.406295        1.118393
     2718.82531      2718.81945         12.7940          1.1452         17.6725          0.0972          1.3191         -0.1339       -0.133927        1.145160
     2718.83226      2718.82640         10.5078          1.1473         17.8862          0.1185          1.4274         -0.1339        0.422605        1.147269
