# reference_flux:        -72.9029
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2718.63548      2718.63194         -5.8442          1.2734         18.9848         99.9000          1.7117         -1.2851       -4.333961        1.273426
     2718.64242      2718.63889         -0.8108          1.3033         18.9596         99.9000          0.7023         -1.2203       -1.123373        1.303320
     2718.64937      2718.64583         -3.4661          1.2779         18.9810         99.9000         -0.8784         -1.2203       -0.645020        1.277896
     2718.65631      2718.65278          3.1650          1.2941         18.9673         99.9000          0.7505         -1.2851        1.967698        1.294059
     2718.66326      2718.65972         -1.8640          1.2862         18.9740         99.9000         -1.3435         -1.2203        0.511776        1.286152
     2718.67020      2718.66667          0.2134          1.2855         18.9745         99.9000         -0.3708         -1.2203        1.039143        1.285515
     2718.67715      2718.67361         -3.5951          1.2694         18.9882         99.9000          0.4616         -1.2203       -1.220285        1.269402
     2718.68409      2718.68055         -3.2544          1.2803         18.9789         99.9000          1.6127         -1.1234       -3.596144        1.280337
     2718.69103      2718.68750          1.5423          1.2563         18.9994         99.9000          0.5518         -1.1234       -1.368298        1.256340
     2718.69798      2718.69444         -2.0694          1.2525         19.0027         99.9000         -0.1277         -1.1234       -0.762563        1.252550
     2718.70492      2718.70139         -5.9714          1.2621         18.9945         99.9000         -0.8786         -1.1234       -1.285078        1.262090
     2718.71187      2718.70833         -3.5010          1.2815         18.9779         99.9000         -2.9994         -1.0957       -2.337852        1.281545
     2718.71881      2718.71528         -1.4946          1.2672         18.9901         99.9000         -0.8736         -1.0957       -0.701729        1.267176
     2718.72576      2718.72222         -3.4477          1.2854         18.9746         99.9000          0.2606         -1.0361       -2.832705        1.285369
     2718.73270      2718.72917         -3.3818          1.2747         18.9837         99.9000         -1.8988         -1.0361       -1.036055        1.274730
     2718.73965      2718.73611         -4.0614          1.2684         18.9890         99.9000         -2.4149         -1.0957       -2.520122        1.268436
     2718.74659      2718.74305         -5.3961          1.2723         18.9857         99.9000         -0.2721         -1.0361       -3.282780        1.272343
     2718.75354      2718.75000         -1.1270          1.2865         18.9737         99.9000          1.1494         -0.9632       -2.302271        1.286458
     2718.76048      2718.75694          3.4472          1.2672         18.9901         99.9000          1.2518         -0.7626       -0.412248        1.267188
     2718.76743      2718.76389         -2.7839          1.2422         19.0117         99.9000          2.5758         -0.7626       -1.938904        1.242170
     2718.77437      2718.77083         -0.2332          1.2930         18.9682         99.9000          3.6195         -0.9632       -1.791421        1.292968
     2718.78131      2718.77778         -1.5704          1.2689         18.9887         99.9000          6.1010         -0.9632       -1.095709        1.268851
     2718.78826      2718.78472          2.1854          1.2869         18.9733         99.9000          4.0518         -1.0361        1.567080        1.286940
     2718.79520      2718.79167         -1.9293          1.2635         18.9932         99.9000          8.7752         -1.0361       -3.034751        1.263516
     2718.80215      2718.79861         -0.6184          1.3359         18.9328         99.9000          6.8390         -0.9632       -0.088445        1.335858
     2718.80909      2718.80555         -0.9927          1.3066         18.9568         99.9000          3.6200         -0.9488        2.434406        1.306597
     2718.81604      2718.81250         -1.0281          1.3261         18.9407         99.9000          9.4222         -0.9488       -1.319639        1.326115
