# reference_flux:        -63.6860
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2718.63408      2718.63194         -2.3537          1.4623         18.8346         99.9000         -1.0679         -1.0803        0.267029        1.462347
     2718.64103      2718.63889         -3.1349          1.4488         18.8446         99.9000         -0.4930         -0.7122        1.918798        1.448843
     2718.64797      2718.64583         -2.6301          1.4468         18.8462         99.9000         -0.5426         -1.0803       -3.364376        1.446791
     2718.65492      2718.65278          2.7148          1.4612         18.8354         99.9000          0.0373         -0.7122       -1.464322        1.461176
     2718.66186      2718.65972          4.3504          1.4616         18.8352         99.9000         -1.5934         -0.7122       -1.098836        1.461564
     2718.66880      2718.66667         -1.3668          1.4625         18.8345         99.9000          0.2883         -0.6141       -2.357521        1.462475
     2718.67575      2718.67361          3.4992          1.4391         18.8520         99.9000         -0.5442         -0.6141        5.049107        1.439055
     2718.68269      2718.68055         -2.2605          1.4639         18.8335         99.9000         -2.1762         -0.6141        1.111235        1.463856
     2718.68964      2718.68750          0.8597          1.4580         18.8378         99.9000         -1.9233         -0.6141       -1.179150        1.457990
     2718.69658      2718.69444          0.5591          1.4543         18.8406         99.9000         -0.6004         -0.7045       -0.610692        1.454310
     2718.70353      2718.70139          4.6563          1.4535         18.7699          0.3389          0.0669         -0.7045        1.532805        1.453475
     2718.71047      2718.70833          2.0499          1.4402         18.8512         99.9000          1.3332         -0.6141        0.363291        1.440171
     2718.71742      2718.71528          2.5049          1.4417         18.8500         99.9000          1.0084         -0.7045        1.767308        1.441654
     2718.72436      2718.72222         -1.5182          1.4464         18.8465         99.9000          1.6166         -0.7045       -1.633598        1.446374
     2718.73131      2718.72917         -1.6762          1.4553         18.8398         99.9000          1.2676         -0.7122       -4.128284        1.455347
     2718.73825      2718.73611         -1.1290          1.4554         18.8397         99.9000         -1.1043         -0.7122       -0.150571        1.455398
     2718.74519      2718.74305         -4.3627          1.4543         18.8405         99.9000         -3.6320         -0.7045       -5.328212        1.454330
     2718.75214      2718.75000          2.3772          1.4572         18.8384         99.9000         -5.7237         -0.7122        2.967912        1.457246
     2718.75908      2718.75694         -0.0383          1.4591         18.8370         99.9000         -4.1095         -0.7122       -0.614094        1.459103
     2718.76603      2718.76389         -0.7264          1.4640         18.8334         99.9000         -1.8167         -0.7122       -1.080338        1.463990
     2718.77297      2718.77083         -5.1775          1.4473         18.8458         99.9000         -0.0911         -0.7045       -1.533329        1.447263
     2718.77992      2718.77778         -1.7397          1.4524         18.8419         99.9000         -4.7227         -0.6141       -1.515911        1.452442
     2718.78686      2718.78472         -0.2444          1.4813         18.8206         99.9000         -5.4061         -0.6107       -0.712183        1.481275
     2718.79381      2718.79167         -0.2204          1.4763         18.8243         99.9000         -4.7111         -0.6141       -1.098096        1.476289
     2718.80075      2718.79861         -1.2633          1.4844         18.8183         99.9000         -5.7853         -0.6141        0.876769        1.484360
     2718.80770      2718.80555         -4.0764          1.5071         18.8018         99.9000         -6.7908         -0.6141       -2.160118        1.507092
     2718.81464      2718.81250         -7.6121          1.5151         18.7961         99.9000         -8.4971         -0.6141       -0.512972        1.515104
     2718.82158      2718.81944         -2.5085          1.5189         18.7934         99.9000        -11.7109         -0.6107       -1.326523        1.518886
     2718.82853      2718.82639         -1.2539          1.5265         18.7880         99.9000        -14.4615         -0.5130        0.396310        1.526471
     2718.83547      2718.83333          1.3182          1.5449         18.7749         99.9000        -13.1092         -0.1506       -0.076735        1.544899
     2718.84242      2718.84028          0.8027          1.5499         18.7714         99.9000         -9.6120         -0.0767        0.053562        1.549904
     2718.84936      2718.84722         -2.4208          1.5648         18.7611         99.9000         -9.4475         -0.0767       -0.704513        1.564793
     2718.85631      2718.85417         -4.6179          1.5894         18.7441         99.9000         -9.9839         -0.0767       -6.467370        1.589405
     2718.86325      2718.86111         -2.2435          1.5960         18.7396         99.9000        -12.4781          0.0536       -2.095488        1.595988
     2718.87020      2718.86805          2.2242          1.6040         18.7342         99.9000        -13.2499          0.1317        0.639407        1.603983
     2718.87714      2718.87500          1.5761          1.5983         18.7381         99.9000        -15.3328          0.1317       -4.530990        1.598250
     2718.88409      2718.88194          6.2084          1.5987         18.4575          0.2796        -11.5296          0.1317        3.892497        1.598746
     2718.89103      2718.88889          1.9661          1.6052         18.7334         99.9000        -14.2339          0.1317       -1.444346        1.605231
     2718.89797      2718.89583         -3.7361          1.6258         18.7195         99.9000        -13.8659          0.3963        0.935129        1.625848
     2718.90492      2718.90278          1.0271          1.6708         18.6899         99.9000        -23.5771          0.4409        2.635639        1.670754
     2718.91186      2718.90972          0.1075          1.6692         18.6909         99.9000        -18.6876          0.6394       -1.090688        1.669200
     2718.91881      2718.91667         -0.1973          1.6688         18.6912         99.9000        -22.6226          0.7099        1.844856        1.668779
     2718.92575      2718.92361         -0.2306          1.7045         18.6682         99.9000        -11.5168          0.7099       -2.236144        1.704469
     2718.93270      2718.93055          2.4144          1.7143         18.6620         99.9000        -20.5460          0.8768        0.131651        1.714343
     2718.93964      2718.93750          6.9046          1.7112         18.3422          0.2691        -19.7864          0.8768        1.037699        1.711187
     2718.94659      2718.94444          4.6612          1.7255         18.6549         99.9000        -19.2321          0.8768        3.492082        1.725518
     2718.95353      2718.95139          2.2256          1.7380         18.6470         99.9000        -18.9580          0.8768       -2.245482        1.738037
     2718.96047      2718.95833          2.0796          1.7596         18.6337         99.9000        -15.9806          0.9351        4.206996        1.759573
     2718.96742      2718.96528          5.8539          1.7740         18.5214          0.3290        -16.3047          0.9517        1.033326        1.773990
     2718.97436      2718.97222          9.9160          1.7897         17.9492          0.1960        -17.7882          1.0333        7.786192        1.789702
     2718.98131      2718.97917          8.7111          1.8164         18.0898          0.2264        -11.0272          1.0377        3.529137        1.816399
     2718.98825      2718.98611         15.9780          1.8388         17.4312          0.1249        -20.5178          1.4098        3.118314        1.838786
     2718.99520      2718.99305         12.8557          1.8407         17.6673          0.1555        -13.2793          1.8060        3.814697        1.840719
     2719.00214      2719.00000          8.5297          1.8568         18.1127          0.2364         -8.8876          1.8449        1.805971        1.856803
     2719.00909      2719.00694         11.0534          1.8770         17.8313          0.1844        -13.6450          1.9164        8.240758        1.876983
     2719.01603      2719.01389          9.6011          1.8715         17.9842          0.2116        -11.9197          2.1061        4.341703        1.871484
