# reference_flux:         16.2119
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2718.63313      2718.63195         21.1498          1.3533         17.1267          0.0695         -1.8519         -2.0444        3.599662        1.353343
     2718.64007      2718.63889         14.3671          1.3538         17.5466          0.1023         -2.1927         -2.0444       -2.657307        1.353802
     2718.64702      2718.64584         16.3992          1.3544         17.4029          0.0897          0.2577         -2.0444       -2.066659        1.354418
     2718.65396      2718.65278          9.0455          1.3524         18.0489          0.1623          3.3175         -2.0444       -3.600096        1.352399
     2718.66091      2718.65973         13.6238          1.3523         17.6043          0.1078          2.0820         -2.0444       -0.534722        1.352321
     2718.66785      2718.66667         16.2437          1.3527         17.4133          0.0904          0.7613         -1.9199       -1.919903        1.352665
     2718.67480      2718.67362         15.7221          1.3531         17.4487          0.0934          1.8719         -2.0444       -0.052701        1.353148
     2718.68174      2718.68056         14.3760          1.3511         17.5459          0.1020          0.8502         -2.0444       -0.070461        1.351052
     2718.68869      2718.68750         12.4915          1.3517         17.6985          0.1175          1.2983         -2.0667       -0.726001        1.351714
     2718.69563      2718.69445         14.8618          1.3528         17.5098          0.0988         -0.9262         -2.0667       -2.263622        1.352794
     2718.70257      2718.70139          8.7715          1.3524         18.0823          0.1674          3.7717         -2.0667       -2.044425        1.352426
     2718.70952      2718.70834         14.9973          1.3525         17.5000          0.0979          0.4105         -2.0667       -2.120003        1.352468
     2718.71646      2718.71528         13.5566          1.3530         17.6096          0.1084          0.9406         -2.0667       -3.105065        1.353000
     2718.72341      2718.72223         15.7965          1.3541         17.4436          0.0931          0.5141         -2.0667       -1.157840        1.354065
     2718.73035      2718.72917          7.0554          1.3496         18.3187          0.2077          4.3489         -2.0667       -2.232343        1.349571
     2718.73730      2718.73612         12.2050          1.3528         17.7237          0.1203          3.4350         -2.0667       -2.700522        1.352769
     2718.74424      2718.74306         14.9022          1.3529         17.5069          0.0986          1.6192         -2.1200       -1.004394        1.352863
     2718.75118      2718.75000         12.0951          1.3528         17.7335          0.1214          1.3887         -2.2323       -1.730654        1.352790
     2718.75813      2718.75695         14.1110          1.3534         17.5661          0.1041         -0.1692         -2.2636       -0.635507        1.353355
     2718.76507      2718.76389          9.3453          1.3541         18.0135          0.1573          0.2047         -2.2996       -3.069618        1.354054
     2718.77202      2718.77084         12.3828          1.3613         17.7080          0.1194          1.4499         -2.6573       -1.808688        1.361280
     2718.77896      2718.77778         11.8745          1.3682         17.7535          0.1251         -2.1068         -2.6573       -3.300277        1.368154
     2718.78591      2718.78473          8.4251          1.3788         18.1261          0.1777         -0.1534         -2.6573       -5.792940        1.378842
     2718.79285      2718.79167         12.1012          1.3947         17.7329          0.1251         -6.2294         -2.6573       -0.600459        1.394657
     2718.79980      2718.79862          9.5125          1.4147         17.9943          0.1615         -0.6699         -2.7005       -2.299560        1.414661
     2718.80674      2718.80556          7.4314          1.4389         18.2623          0.2102         -6.9453         -2.7589       -2.934555        1.438936
     2718.81368      2718.81250         13.3701          1.4672         17.6247          0.1191         -3.0047         -2.7593       -1.828532        1.467202
     2718.82063      2718.81945         13.9662          1.4958         17.5773          0.1163         -3.8131         -2.7593       -1.425150        1.495759
     2718.82757      2718.82639         10.6434          1.5258         17.8723          0.1556        -12.4547         -2.7593       -1.762744        1.525804
     2718.83452      2718.83334          9.4178          1.5651         18.0051          0.1804         -3.2304         -2.9346       -2.758932        1.565118
     2718.84146      2718.84028          5.4103          1.5991         18.6069          0.3209         -3.4806         -3.0696       -3.246955        1.599061
     2718.84841      2718.84723          6.2668          1.6329         18.4474          0.2829          2.1302         -3.1051       -5.931617        1.632941
     2718.85535      2718.85417          8.7892          1.6681         18.0801          0.2061        -19.3560         -3.1281       -3.974028        1.668068
     2718.86230      2718.86112         12.4502          1.6993         17.7021          0.1482        -18.0222         -3.2470       -6.139425        1.699288
     2718.86924      2718.86806          8.8635          1.7286         18.0710          0.2117        -14.1315         -3.3003       -7.659979        1.728576
     2718.87618      2718.87500          7.3103          1.7587         18.2802          0.2612        -19.6572         -3.3284       -4.504052        1.758702
     2718.88313      2718.88195          6.6328          1.7898         18.3858          0.2930        -18.5283         -3.5620       -7.035495        1.789824
     2718.89007      2718.88889         10.2106          1.8165         17.9174          0.1932        -16.2445         -3.8788       -1.610654        1.816505
     2718.89702      2718.89584          5.1869          1.8348         18.5882         99.9000        -14.6355         -3.8788       -5.623286        1.834833
     2718.90396      2718.90278         14.0542          1.8594         17.5705          0.1436        -10.4665         -3.9118       -3.911824        1.859375
     2718.91091      2718.90973          4.5028          1.8763         18.5639         99.9000        -19.0408         -3.9118       -8.240699        1.876348
     2718.91785      2718.91667          7.6114          1.8946         18.2363          0.2703        -18.5381         -3.9118       -3.328424        1.894627
     2718.92480      2718.92362         -1.0820          1.9241         18.5366         99.9000        -29.4946         -3.9740      -12.345513        1.924111
