# reference_flux:         37.0072
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2744.00022      2743.99304         31.7113          1.1500         16.6870          0.0394          1.3494         -1.3846       -1.569365        1.149952
     2744.00716      2743.99998         36.8155          1.0227         16.5249          0.0302         -0.0761         -1.3846       -0.898603        1.022720
     2744.01411      2744.00693         35.0730          1.0768         16.5776          0.0333         -0.8467         -1.3846       -2.503302        1.076799
     2744.02105      2744.01387         38.8881          1.0086         16.4655          0.0282         -1.7673         -1.3846        0.724329        1.008638
     2744.02800      2744.02081         32.7918          0.9961         16.6506          0.0330         -0.2494         -1.3846       -3.005371        0.996087
     2744.03494      2744.02776         30.5662          0.9816         16.7269          0.0349         -0.7816         -1.3846       -2.983090        0.981568
     2744.04188      2744.03470         36.9464          0.9882         16.5211          0.0290         -0.8866         -1.3846        1.558736        0.988226
     2744.04883      2744.04165         34.6964          0.9820         16.5893          0.0307         -0.0593         -1.3846       -2.656105        0.982001
     2744.05577      2744.04859         34.6705          0.9873         16.5901          0.0309         -1.2940         -1.3846        1.488745        0.987304
     2744.06272      2744.05554         38.6870          1.1440         16.4711          0.0321         -0.4948         -1.3846       -0.609463        1.143990
     2744.06966      2744.06248         34.3981          0.9749         16.5987          0.0308         -0.4187         -1.4127       -0.502965        0.974930
     2744.07661      2744.06943         33.3431          1.1197         16.6325          0.0365          1.7489         -1.3846       -1.549813        1.119663
     2744.08355      2744.07637         36.0753          1.1391         16.5470          0.0343          0.2125         -1.3846        1.783094        1.139132
     2744.09050      2744.08331         35.9875          1.1355         16.5496          0.0343         -2.4616         -1.2360       -1.690658        1.135550
     2744.09744      2744.09026         34.6177          1.1251         16.5918          0.0353         -0.9659         -1.2541       -0.045251        1.125087
     2744.10438      2744.09720         38.5195          1.1382         16.4758          0.0321         -0.2929         -1.3846       -0.497263        1.138161
     2744.11133      2744.10415         33.6010          1.1072         16.6241          0.0358          1.1321         -1.3846       -3.310487        1.107205
     2744.11827      2744.11109         29.0220          1.1292         16.7832          0.0422          2.4513         -1.2541       -4.148292        1.129153
     2744.12522      2744.11804         35.4672          1.1345         16.5654          0.0347         -3.4637         -1.3846       -1.384618        1.134464
     2744.13216      2744.12498         35.1883          1.1415         16.5740          0.0352         -0.7193         -1.3846       -1.670069        1.141520
     2744.13911      2744.13193         34.6055          1.1327         16.5921          0.0355         -2.6153         -1.2541        0.826133        1.132705
     2744.14605      2744.13887         32.1702          1.1380         16.6714          0.0384          0.5174         -1.2541       -2.027895        1.138000
     2744.15299      2744.14581         35.7129          1.1453         16.5579          0.0348         -0.0748         -1.2541       -1.155146        1.145273
     2744.15994      2744.15276         36.6501          1.1407         16.5298          0.0338          0.1291         -1.2541        0.888543        1.140728
     2744.16688      2744.15970         32.2758          1.1517         16.6678          0.0387         -2.5061         -1.2541       -1.412746        1.151696
     2744.17383      2744.16665         33.7035          1.1564         16.6208          0.0373          1.1919         -1.2360       -0.801730        1.156366
     2744.18077      2744.17359         37.9196          1.1592         16.4928          0.0332         -1.9387         -1.2360        1.569908        1.159193
     2744.18772      2744.18054         33.5261          1.1648         16.6265          0.0377          0.3663         -1.2360       -3.996090        1.164790
     2744.19466      2744.18748         34.1040          1.1672         16.6080          0.0372         -1.4629         -1.2360       -0.734161        1.167175
     2744.20161      2744.19443         32.7833          1.1641         16.6509          0.0386         -2.0488         -1.2360       -4.032876        1.164064
     2744.20855      2744.20137         33.8846          1.1711         16.6150          0.0375          0.4910         -1.2360       -2.216444        1.171063
     2744.21549      2744.20831         33.3997          1.1681         16.6306          0.0380         -1.1066         -1.2360       -2.430026        1.168091
     2744.22244      2744.21526         33.2152          1.1650         16.6367          0.0381         -2.9489         -1.2360       -1.236041        1.165045
     2744.22938      2744.22220         35.4305          1.1725         16.5666          0.0359         -3.1603         -1.2360       -1.727763        1.172489
     2744.23633      2744.22915         30.2565          1.1579         16.7380          0.0416          1.0230         -1.2541       -0.516418        1.157947
     2744.24327      2744.23609         33.0653          1.1676         16.6416          0.0383         -1.9102         -1.3846       -0.165727        1.167612
     2744.25022      2744.24304         35.5628          1.1684         16.5625          0.0357         -2.1251         -1.3846       -1.214219        1.168352
     2744.25716      2744.24998         32.1835          1.1889         16.6709          0.0401         -2.2656         -1.4127       -1.254097        1.188895
     2744.26410      2744.25693         33.6109          1.1772         16.6238          0.0380         -4.1275         -1.3846       -1.913469        1.177202
     2744.27105      2744.26387         32.1535          1.0159         16.6719          0.0343         -1.1766         -1.3846       -0.664112        1.015891
     2744.27799      2744.27081         36.0348          0.9833         16.5482          0.0296         -2.2144         -1.3846       -0.745430        0.983326
     2744.28494      2744.27776         35.5535          1.1745         16.5628          0.0359         -0.4997         -1.3846       -2.353891        1.174454
     2744.29188      2744.28470         34.6450          1.0066         16.5909          0.0315         -1.6551         -1.3846       -2.245384        1.006592
     2744.29883      2744.29165         32.7378          0.9994         16.6524          0.0331          0.3776         -1.2541       -1.007744        0.999356
     2744.30577      2744.29859         33.0560          0.9867         16.6419          0.0324         -1.6713         -1.2363       -1.156225        0.986721
     2744.31272      2744.30554         33.2853          1.0206         16.6344          0.0333         -2.2323         -1.2363       -3.125012        1.020573
     2744.31966      2744.31248         38.9305          1.0238         16.4643          0.0286         -2.6671         -1.2360        0.943376        1.023759
     2744.32660      2744.31943         34.0623          1.0282         16.6093          0.0328         -0.5082         -1.2363       -2.397056        1.028159
     2744.33355      2744.32637         35.2163          1.0257         16.5731          0.0316         -2.1418         -1.2541        0.902122        1.025715
