# reference_flux:        132.9448
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2743.99977      2743.99304        129.2296          1.1888         15.1616          0.0100          1.0323          0.2777        0.865659        1.188759
     2744.00671      2743.99998        133.1857          1.1925         15.1289          0.0097          0.1576          0.2777        1.720655        1.192505
     2744.01366      2744.00693        131.4571          1.1989         15.1430          0.0099          1.2819          0.2777        0.793224        1.198924
     2744.02060      2744.01387        127.7822          1.1949         15.1738          0.0102          2.8830          0.2777       -2.311773        1.194900
     2744.02755      2744.02081        131.2028          1.1966         15.1451          0.0099          0.4867          0.5022       -0.758133        1.196605
     2744.03449      2744.02776        131.0121          1.1936         15.1467          0.0099         -0.0168          0.5022        1.446724        1.193570
     2744.04144      2744.03470        130.6287          1.1923         15.1499          0.0099          1.3925          0.5022       -0.078151        1.192260
     2744.04838      2744.04165        129.7108          1.1985         15.1576          0.0100          2.4242          0.2777       -1.322720        1.198455
     2744.05532      2744.04859        133.0558          1.1909         15.1299          0.0097          1.0886          0.4642        0.257096        1.190941
     2744.06227      2744.05554        132.1418          1.1881         15.1374          0.0098          0.7613          0.3771        0.749862        1.188094
     2744.06921      2744.06248        130.3567          1.1908         15.1522          0.0099          1.2092          0.3771        0.277734        1.190764
     2744.07616      2744.06943        131.3638          1.1917         15.1438          0.0098         -0.6209          0.3771       -2.101980        1.191726
     2744.08310      2744.07637        133.9939          1.1823         15.1223          0.0096          0.5191          0.2777        0.703071        1.182300
     2744.09005      2744.08331        136.4027          1.1876         15.1029          0.0095          0.1973          0.2777        0.502158        1.187627
     2744.09699      2744.09026        128.9310          1.1815         15.1641          0.0099          3.5388          0.3771       -1.260455        1.181506
     2744.10394      2744.09720        134.7027          1.1869         15.1166          0.0096          0.5418          0.3771        1.804604        1.186930
     2744.11088      2744.10415        127.4525          1.1930         15.1766          0.0102          1.0780          0.3771        0.100557        1.193038
     2744.11782      2744.11109        132.9446          1.1936         15.1308          0.0097         -1.3971          0.3771        0.507834        1.193566
     2744.12477      2744.11804        136.1419          1.1891         15.1050          0.0095         -1.3429          0.3771        1.173972        1.189139
     2744.13171      2744.12498        127.6070          1.1889         15.1753          0.0101         -0.9451          0.3771       -0.662716        1.188924
     2744.13866      2744.13193        129.2504          1.1862         15.1614          0.0100          0.7860          0.4642       -0.709953        1.186231
     2744.14560      2744.13887        127.1937          1.1867         15.1788          0.0101          1.3003          0.4809        0.846975        1.186674
     2744.15255      2744.14581        133.2903          1.1905         15.1280          0.0097         -1.6086          0.4642       -0.081093        1.190517
     2744.15949      2744.15276        133.3994          1.1891         15.1271          0.0097          0.1660          0.3975        0.783583        1.189136
     2744.16644      2744.15970        132.4841          1.1867         15.1346          0.0097          1.1318          0.3771        0.115663        1.186731
     2744.17338      2744.16665        130.8215          1.1876         15.1483          0.0099          2.3258          0.2777        2.040748        1.187594
     2744.18032      2744.17359        129.2857          1.1916         15.1611          0.0100          0.1504          0.2571        0.853468        1.191610
     2744.18727      2744.18054        130.1064          1.1891         15.1543          0.0099          0.6772          0.1157        0.735004        1.189103
     2744.19421      2744.18748        133.7752          1.1882         15.1241          0.0096         -1.3079          0.1157       -1.010654        1.188197
     2744.20116      2744.19443        135.2446          1.1949         15.1122          0.0096          0.6429          0.1157        1.038584        1.194929
     2744.20810      2744.20137        129.2974          1.1849         15.1610          0.0100          1.3125          0.1006       -2.288493        1.184932
     2744.21505      2744.20831        128.3007          1.1947         15.1694          0.0101          0.5939          0.1157        0.464237        1.194727
     2744.22199      2744.21526        130.7622          1.1961         15.1488          0.0099         -1.2299          0.1157        0.377115        1.196122
     2744.22893      2744.22220        130.2928          1.1880         15.1527          0.0099          1.8134          0.1006        0.058963        1.187964
     2744.23588      2744.22915        132.6748          1.1928         15.1330          0.0098          2.5137          0.1006        0.622573        1.192820
     2744.24282      2744.23609        131.3382          1.1892         15.1440          0.0098         -1.0884          0.1006       -0.082881        1.189231
     2744.24977      2744.24304        131.0859          1.1932         15.1461          0.0099         -0.0530          0.1157       -0.256914        1.193230
     2744.25671      2744.24998        132.0017          1.1930         15.1386          0.0098          0.2511          0.1157        0.863554        1.192970
     2744.26366      2744.25693        132.2102          1.1880         15.1368          0.0098         -0.4166          0.1157        2.359547        1.188041
     2744.27060      2744.26387        130.7553          1.1919         15.1489          0.0099          2.1342          0.2522       -1.199149        1.191857
     2744.27755      2744.27081        128.5618          1.1925         15.1672          0.0101         -3.2239          0.2522       -1.553478        1.192453
     2744.28449      2744.27776        128.4946          1.1920         15.1678          0.0101         -5.3144          0.3771       -0.407773        1.192017
     2744.29143      2744.28470        132.7925          1.1962         15.1321          0.0098         -6.9365          0.2522        1.516266        1.196234
     2744.29838      2744.29165        133.4632          1.2014         15.1266          0.0098         -9.9742          0.2522        2.839920        1.201374
     2744.30532      2744.29859        126.6177          1.2072         15.1838          0.0104        -12.8998          0.2809        0.480891        1.207215
     2744.31227      2744.30554        133.1144          1.2133         15.1294          0.0099         -8.8274          0.2809        0.397487        1.213349
     2744.31921      2744.31248        131.1211          1.2232         15.1458          0.0101        -17.1592          0.2809       -1.005645        1.223196
     2744.32616      2744.31943        132.4530          1.2265         15.1348          0.0101        -22.5497          0.3771       -0.689204        1.226488
     2744.33310      2744.32637        131.4401          1.2382         15.1432          0.0102        -25.7281          0.3771       -0.311348        1.238218
     2744.34004      2744.33331        134.0686          1.2501         15.1217          0.0101        -31.2187          0.3975       -0.163706        1.250109
     2744.34699      2744.34026        127.7898          1.2587         15.1738          0.0107        -43.2049          0.3975       -2.141687        1.258673
     2744.35393      2744.34720        132.3386          1.2704         15.1358          0.0104        -54.4895          0.3771       -2.284141        1.270442
     2744.36088      2744.35415        131.0552          1.2876         15.1464          0.0107        -45.2623          0.3771       -3.128888        1.287599
     2744.36782      2744.36109        134.1727          1.3030         15.1208          0.0105        -55.2250          0.3975       -0.072424        1.302963
     2744.37477      2744.36804        135.6293          1.3104         15.1091          0.0105        -54.1998          0.3975        0.628348        1.310351
     2744.38171      2744.37498        132.9760          1.3190         15.1306          0.0108        -46.7845          0.4642       -1.077860        1.319026
     2744.38866      2744.38193        129.4782          1.3384         15.1595          0.0112        -68.1935          0.4752       -2.786918        1.338422
     2744.39560      2744.38887        133.2242          1.3528         15.1285          0.0110        -76.3450          0.4809        1.039617        1.352818
     2744.40254      2744.39581        130.9306          1.3682         15.1474          0.0113       -111.4762          0.6226        0.252177        1.368158
     2744.40949      2744.40276        134.9262          1.3649         15.1148          0.0110        -70.6278          0.6283        2.757094        1.364935
     2744.41643      2744.40970        132.5383          1.3830         15.1341          0.0113       -138.9313          0.8636        1.581471        1.382953
     2744.42338      2744.41665        134.0313          1.3727         15.1220          0.0111       -105.9789          1.0396        2.827300        1.372661
     2744.43032      2744.42359        134.6277          1.3982         15.1172          0.0113       -159.6432          1.0851        2.227111        1.398224
     2744.43727      2744.43054        134.3570          1.3981         15.1193          0.0113       -101.7630          1.0851        1.085084        1.398149
     2744.44421      2744.43748        131.3216          1.4001         15.1442          0.0116        -89.6036          1.0851        1.561892        1.400134
     2744.45115      2744.44443        133.7126          1.4004         15.1246          0.0114        -92.5525          1.3435       -0.900928        1.400430
     2744.45810      2744.45137        130.7931          1.4184         15.1485          0.0118       -100.7808          1.3945        4.025420        1.418370
     2744.46504      2744.45831        129.5330          1.4367         15.1590          0.0120       -125.8843          1.3945        0.280899        1.436690
     2744.47199      2744.46526        127.4123          1.4494         15.1770          0.0124       -129.1391          1.3945       -0.193237        1.449370
     2744.47893      2744.47220        131.4482          1.4446         15.1431          0.0119        -99.2933          1.4397        1.501289        1.444642
     2744.48588      2744.47915        128.7373          1.4385         15.1657          0.0121       -104.7735          1.5013        1.394478        1.438538
     2744.49282      2744.48609        131.6870          1.4590         15.1411          0.0120       -114.5774          1.5619        1.579494        1.459019
     2744.49977      2744.49304        131.5538          1.4734         15.1422          0.0122       -139.8880          1.5795        3.156024        1.473434
     2744.50671      2744.49998        137.9276          1.4813         15.0909          0.0117       -180.3195          1.5815        2.884584        1.481287
     2744.51365      2744.50693        131.2739          1.4852         15.1446          0.0123       -227.7662          1.9438       -0.060837        1.485175
     2744.52060      2744.51387        130.8105          1.4977         15.1484          0.0124       -259.1228          1.9438        3.532712        1.497698
     2744.52754      2744.52081        132.0824          1.4964         15.1379          0.0123       -277.6119          1.9438        0.475249        1.496380
     2744.53449      2744.52776        127.9171          1.5145         15.1727          0.0129       -242.8314          1.9438        4.015537        1.514479
     2744.54143      2744.53470        133.6592          1.5291         15.1250          0.0124       -200.5194          2.2271        1.343463        1.529068
     2744.54838      2744.54165        130.5675          1.5316         15.1504          0.0127       -268.5015          2.3643        4.125074        1.531607
     2744.55532      2744.54859        128.6032          1.5312         15.1669          0.0129       -271.0516          2.7331        2.869459        1.531181
     2744.56227      2744.55554        124.2231          1.5340         15.2045          0.0134       -222.3331          2.7571        4.042131        1.533954
     2744.56921      2744.56248        131.6717          1.5679         15.1413          0.0129       -161.1013          2.8273        1.439726        1.567926
     2744.57615      2744.56943        126.4326          1.5520         15.1854          0.0133       -282.6518          2.8273        4.267424        1.551950
     2744.58310      2744.57637        129.2152          1.5551         15.1617          0.0131       -112.6793          2.8273        3.065677        1.555130
     2744.59004      2744.58331        131.7482          1.5589         15.1406          0.0128       -116.8904          2.8695        5.550430        1.558893
     2744.59699      2744.59026        131.4213          1.5490         15.1433          0.0128       -113.4999          2.8846        4.642057        1.549035
     2744.60393      2744.59720        130.8527          1.5415         15.1480          0.0128       -233.5147          2.9652        0.454472        1.541451
     2744.61088      2744.60415        127.2129          1.5704         15.1787          0.0134       -531.3842          2.9652        5.020982        1.570412
     2744.61782      2744.61109        132.1563          1.5411         15.1373          0.0127       -227.0918          3.0657        5.780245        1.541137
     2744.62476      2744.61804        136.4570          1.5669         15.1025          0.0125       -327.4987          3.0657        2.733055        1.566883
     2744.63171      2744.62498        128.3716          1.5609         15.1688          0.0132       -330.8913          2.9652        6.163798        1.560876
     2744.63865      2744.63193        126.3952          1.5453         15.1857          0.0133       -317.9551          2.9652        3.898338        1.545280
     2744.64560      2744.63887        134.0524          1.5509         15.1218          0.0126       -413.0746          3.0657        8.604025        1.550940
     2744.65254      2744.64581        129.7317          1.5538         15.1574          0.0130       -200.4168          3.0657        7.700375        1.553836
     2744.65949      2744.65276        129.8926          1.5637         15.1560          0.0131       -200.3185          3.0657        2.364344        1.563725
     2744.66643      2744.65970        133.3170          1.5601         15.1278          0.0127       -318.2009          3.0657        5.231659        1.560055
     2744.67338      2744.66665        130.9100          1.5562         15.1476          0.0129       -340.6607          2.9652        1.943801        1.556163
     2744.68032      2744.67359        126.3715          1.5557         15.1859          0.0134       -242.2249          3.0657        0.222556        1.555651
     2744.68726      2744.68054        132.1541          1.5571         15.1373          0.0128       -221.8382          3.0753       -0.167493        1.557118
     2744.69421      2744.68748        127.7703          1.5655         15.1739          0.0133       -230.8305          3.0657        0.419497        1.565478
     2744.70115      2744.69443        136.4962          1.5583         15.1022          0.0124       -252.3121          3.0657        4.458469        1.558279
     2744.70810      2744.70137        131.5939          1.5637         15.1419          0.0129       -205.9498          2.9652        4.681679        1.563748
     2744.71504      2744.70831        130.0062          1.5645         15.1551          0.0131       -220.9614          3.0657        5.025352        1.564544
