# reference_flux:         63.1168
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2743.99832      2743.99305         60.7660          1.2806         15.9808          0.0229          1.1230         -1.0946       -3.372616        1.280558
     2744.00526      2744.00000         56.8568          1.2823         16.0530          0.0245         -0.7658         -1.0946       -4.934515        1.282310
     2744.01221      2744.00694         65.1694          1.4756         15.9049          0.0246         -0.9270         -1.0946       -3.073702        1.475611
     2744.01915      2744.01389         56.8329          1.4310         16.0535          0.0273         -0.9661         -1.0946       -3.385668        1.431023
     2744.02610      2744.02083         60.7858          1.4421         15.9805          0.0258         -4.0895         -1.0946       -1.814344        1.442141
     2744.03304      2744.02778         58.6113          1.4378         16.0200          0.0266         -1.5355         -1.5498       -4.845232        1.437836
     2744.03998      2744.03472         59.6050          1.2764         16.0018          0.0233         -0.6526         -1.5498       -2.843891        1.276421
     2744.04693      2744.04167         65.0234          1.3985         15.9073          0.0234         -4.5859         -1.5966       -0.192604        1.398495
     2744.05387      2744.04861         58.2140          1.3824         16.0274          0.0258         -1.6925         -1.5966       -1.966144        1.382444
     2744.06082      2744.05555         59.9861          1.3571         15.9949          0.0246          1.6051         -1.7076       -0.831599        1.357052
     2744.06776      2744.06250         58.5009          1.3685         16.0221          0.0254          0.5716         -1.7076       -1.071272        1.368473
     2744.07471      2744.06944         66.6128          1.3732         15.8811          0.0224         -0.3023         -1.7076        1.358363        1.373156
     2744.08165      2744.07639         61.2064          1.2631         15.9730          0.0224         -1.3278         -1.7076       -0.960785        1.263095
     2744.08859      2744.08333         63.0000          1.3095         15.9416          0.0226          0.4317         -1.7076       -2.688079        1.309484
     2744.09554      2744.09028         63.0390          1.3449         15.9410          0.0232         -0.4029         -1.7076       -0.031350        1.344887
     2744.10248      2744.09722         61.8003          1.3253         15.9625          0.0233         -0.0431         -1.8143       -0.184378        1.325298
     2744.10943      2744.10417         60.6013          1.3935         15.9838          0.0250         -0.7068         -1.7076       -1.054444        1.393539
     2744.11637      2744.11111         59.1897          1.3497         16.0094          0.0248         -2.8100         -1.7076       -0.984826        1.349662
     2744.12332      2744.11805         59.9505          1.4059         15.9955          0.0255          0.1543         -1.7076        0.063785        1.405868
     2744.13026      2744.12500         62.7115          1.2807         15.9466          0.0222         -0.8162         -1.5966       -0.154594        1.280750
     2744.13720      2744.13194         59.0859          1.2895         16.0113          0.0237          1.2830         -1.5501       -1.094603        1.289518
     2744.14415      2744.13889         60.3918          1.2961         15.9876          0.0233         -1.6839         -1.5501       -0.585239        1.296140
     2744.15109      2744.14583         62.5937          1.3720         15.9487          0.0238          1.9556         -1.5501       -2.172715        1.371979
     2744.15804      2744.15278         57.4385          1.3770         16.0420          0.0260         -0.2746         -1.5501       -1.549849        1.376974
     2744.16498      2744.15972         58.8143          1.3679         16.0163          0.0253          0.6307         -1.5501       -1.596596        1.367878
     2744.17193      2744.16667         58.6103          1.3789         16.0201          0.0255         -1.3837         -1.5501       -1.707574        1.378855
     2744.17887      2744.17361         54.8385          1.3190         16.0923          0.0261          1.1461         -1.5501       -3.711647        1.318989
     2744.18582      2744.18055         63.0818          1.3327         15.9402          0.0229         -0.1058         -1.5498        0.876568        1.332706
     2744.19276      2744.18750         59.9145          1.2872         15.9962          0.0233          0.1103         -1.4040       -1.848770        1.287162
     2744.19970      2744.19444         62.3665          1.3999         15.9526          0.0244          1.9832         -1.4040        0.382629        1.399923
     2744.20665      2744.20139         55.5996          1.5215         16.0773          0.0297         -1.9906         -1.4040       -8.244263        1.521528
     2744.21359      2744.20833         62.5857          1.4475         15.9488          0.0251          0.6372         -1.4040        0.379038        1.447544
     2744.22054      2744.21528         59.8685          1.4668         15.9970          0.0266          2.2717         -1.4040       -5.426749        1.466830
     2744.22748      2744.22222         64.7803          1.2914         15.9114          0.0216         -0.3551         -1.4040       -0.407945        1.291444
     2744.23443      2744.22917         60.6696          1.2532         15.9826          0.0224          0.7625         -1.4040       -3.033013        1.253229
     2744.24137      2744.23611         59.9924          1.4259         15.9948          0.0258         -2.3936         -1.5498        0.313891        1.425870
     2744.24831      2744.24305         65.6401          1.4999         15.8971          0.0248          1.4752         -1.5498        2.922794        1.499915
     2744.25526      2744.25000         60.3454          1.4744         15.9884          0.0265         -0.3840         -1.5501       -1.404029        1.474363
     2744.26220      2744.25694         60.7461          1.3930         15.9812          0.0249         -2.8106         -1.5498       -3.434887        1.392990
     2744.26915      2744.26389         60.4895          1.4765         15.9858          0.0265         -2.4919         -1.5501       -0.142072        1.476494
     2744.27609      2744.27083         62.3436          1.2790         15.9530          0.0223         -2.1222         -1.5966       -1.550115        1.279008
     2744.28304      2744.27778         59.8000          1.6258         15.9982          0.0295         -1.4484         -1.6987       -2.815860        1.625804
     2744.28998      2744.28472         65.3472          1.1215         15.9019          0.0186          1.2726         -1.7076       -0.901215        1.121483
     2744.29692      2744.29167         64.2969          1.3240         15.9195          0.0224         -0.8462         -1.7076       -0.151042        1.323982
     2744.30387      2744.29861         59.6311          1.2932         16.0013          0.0235         -0.0100         -1.7076       -2.529883        1.293241
     2744.31081      2744.30555         59.1206          1.2784         16.0107          0.0235         -0.4790         -1.8265       -3.169569        1.278395
     2744.31776      2744.31250         60.0001          1.2959         15.9946          0.0234         -2.2803         -1.8488       -2.592376        1.295886
     2744.32470      2744.31944         59.9473          1.5345         15.9956          0.0278         -2.1031         -1.8488       -2.753587        1.534466
     2744.33165      2744.32639         57.4623          1.5706         16.0415          0.0297         -0.3527         -1.8488       -1.826480        1.570558
     2744.33859      2744.33333         57.3233          1.3280         16.0442          0.0252         -1.0216         -1.8488       -2.866567        1.327995
     2744.34553      2744.34028         62.7499          1.6535         15.9460          0.0286         -0.6836         -1.8488        0.860642        1.653466
     2744.35248      2744.34722         59.5150          1.3482         16.0034          0.0246         -2.9344         -1.8488       -0.506237        1.348225
     2744.35942      2744.35417         66.1128          1.4940         15.8893          0.0245         -4.9531         -1.9808       -1.980804        1.494005
     2744.36637      2744.36111         63.1800          1.6832         15.9386          0.0289         -7.3965         -1.9808       -3.296582        1.683203
     2744.37331      2744.36805         62.5223          1.5451         15.9499          0.0268         -6.6906         -1.9808       -1.698714        1.545064
     2744.38026      2744.37500         65.4189          1.7080         15.9007          0.0283         -6.2032         -1.8265       -0.690448        1.707993
     2744.38720      2744.38194         60.5633          1.5184         15.9845          0.0272         -4.3973         -1.8265       -2.178554        1.518391
     2744.39414      2744.38889         67.0841          1.5322         15.8735          0.0248         -4.2431         -1.7487       -0.137512        1.532243
     2744.40109      2744.39583         59.1354          1.6475         16.0104          0.0302         -5.7952         -1.8265       -4.256814        1.647549
     2744.40803      2744.40278         62.2883          1.5936         15.9540          0.0278         -2.7891         -1.7487       -0.866090        1.593617
     2744.41498      2744.40972         60.0556          1.6841         15.9936          0.0304         -7.1954         -1.7487       -4.165270        1.684140
     2744.42192      2744.41667         60.1444          1.6200         15.9920          0.0292         -5.3334         -1.8265        1.646606        1.619996
     2744.42887      2744.42361         59.4575          1.4465         16.0045          0.0264         -3.1335         -1.9808       -2.384172        1.446502
     2744.43581      2744.43055         60.0465          1.6170         15.9938          0.0292         -4.5074         -1.9808       -2.090025        1.616982
