# reference_flux:         -1.9809
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2743.99834      2743.99305         -2.7815          1.3103         18.9538         99.9000          2.1380         -0.1277       -2.048487        1.310250
     2744.00528      2744.00000          0.9895          1.3310         18.9367         99.9000          0.6150         -0.1277        1.167219        1.331015
     2744.01223      2744.00694          0.8612          1.2719         18.9861         99.9000         -1.6039         -0.1277        0.036609        1.271891
     2744.01917      2744.01389          1.9181          1.2649         18.9920         99.9000         -2.4624         -0.1277        1.811797        1.264927
     2744.02612      2744.02083          0.0560          1.3330         18.9351         99.9000         -3.1171         -0.1277       -0.385363        1.333037
     2744.03306      2744.02778          1.9249          1.3039         18.9591         99.9000          0.8451         -0.1277       -0.127673        1.303891
     2744.04001      2744.03472         -1.0193          1.2604         18.9960         99.9000         -1.2711         -0.1277        0.131743        1.260351
     2744.04695      2744.04167         -3.9868          1.3005         18.9619         99.9000         -2.1221         -0.1277       -2.479489        1.300515
     2744.05390      2744.04861          2.3594          1.2803         18.9789         99.9000         -2.5492         -0.1105       -0.918722        1.280281
     2744.06084      2744.05555         -0.1563          1.2856         18.9744         99.9000         -0.3861         -0.1105        0.749361        1.285581
     2744.06779      2744.06250         -0.1617          1.2989         18.9633         99.9000          0.6962         -0.1105       -0.573033        1.298904
     2744.07473      2744.06944          2.6628          1.2577         18.9982         99.9000         -1.2035          0.0366        0.812548        1.257738
     2744.08167      2744.07639         -3.1174          1.2414         19.0124         99.9000         -2.7057          0.0366       -4.627526        1.241442
     2744.08862      2744.08333          2.6063          1.2693         18.9883         99.9000         -2.7005          0.0366       -2.144798        1.269255
     2744.09556      2744.09028          0.1056          1.2493         19.0055         99.9000         -1.2019          0.0366        1.042717        1.249302
     2744.10251      2744.09722          1.9665          1.2791         18.9799         99.9000         -1.0832         -0.1105        1.564818        1.279095
     2744.10945      2744.10417         -0.6436          1.2405         19.0132         99.9000          0.6983          0.0366       -0.132701        1.240456
     2744.11640      2744.11111          1.0033          1.2519         19.0033         99.9000          0.3681          0.0366        0.630012        1.251887
     2744.12334      2744.11805         -2.4933          1.2941         18.9673         99.9000          2.5570          0.0366       -0.952809        1.294055
     2744.13029      2744.12500          2.6095          1.2818         18.9776         99.9000         -2.9734          0.0366       -0.484716        1.281845
     2744.13723      2744.13194         -0.3041          1.2385         19.0150         99.9000         -1.3416          0.0366        0.724579        1.238451
     2744.14418      2744.13889          0.6901          1.2826         18.9770         99.9000         -3.1055          0.0366       -0.544247        1.282554
     2744.15112      2744.14583         -1.1321          1.2582         18.9978         99.9000         -1.1267          0.0366        0.960918        1.258232
     2744.15806      2744.15278          1.4258          1.2427         19.0113         99.9000         -2.6646         -0.1105        0.156595        1.242694
     2744.16501      2744.15972          3.0055          1.2604         18.9959         99.9000         -1.1073          0.0366       -0.506441        1.260377
     2744.17195      2744.16667          1.5466          1.2654         18.9916         99.9000         -0.3882          0.0366       -0.110517        1.265442
