# reference_flux:         26.3198
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2743.99621      2743.99304         24.9953          1.1583         16.9454          0.0503         -0.9862         -0.1133       -3.663905        1.158295
     2744.00316      2743.99999         29.2503          1.1484         16.7747          0.0426          0.8426         -0.1133        0.777253        1.148428
     2744.01010      2744.00693         29.0958          1.1497         16.7804          0.0429         -0.2675         -0.1133        1.199823        1.149707
     2744.01705      2744.01388         28.5661          1.1445         16.8004          0.0435         -1.9448         -0.1133        0.879151        1.144547
     2744.02399      2744.02082         28.2424          1.1544         16.8127          0.0444         -0.6023         -0.3254        1.079444        1.154419
     2744.03093      2744.02776         24.5820          1.1703         16.9635          0.0517         -0.2274         -0.3254       -0.113285        1.170309
     2744.03788      2744.03471         26.2510          1.1666         16.8921          0.0483         -1.1992         -0.3254       -2.130219        1.166629
     2744.04482      2744.04165         22.9981          1.1674         17.0358          0.0551          0.4162         -0.3254       -0.325380        1.167437
     2744.05177      2744.04860         31.0245          1.1719         16.7107          0.0410          1.4117         -0.1133        2.894415        1.171925
     2744.05871      2744.05554         26.8028          1.1704         16.8695          0.0474         -0.5450         -0.1133        0.323639        1.170376
     2744.06566      2744.06249         24.3967          1.1707         16.9717          0.0521         -0.2746         -0.1133       -1.503723        1.170657
     2744.07260      2744.06943         31.3336          1.1609         16.7000          0.0402         -0.3971         -0.1133        0.456931        1.160859
     2744.07955      2744.07638         22.7023          1.1716         17.0498          0.0560          0.3881         -0.1133       -1.638723        1.171567
     2744.08649      2744.08332         26.5086          1.1682         16.8815          0.0478          0.6027         -0.1133        0.431392        1.168240
     2744.09344      2744.09026         30.3572          1.1646         16.7343          0.0417         -3.0138         -0.1133        1.179706        1.164612
     2744.10038      2744.09721         25.2611          1.1729         16.9339          0.0504         -2.1096         -0.1133       -0.416102        1.172893
     2744.10732      2744.10415         23.4551          1.1585         17.0144          0.0536         -0.1064         -0.1303       -2.937295        1.158539
     2744.11427      2744.11110         23.2154          1.1539         17.0256          0.0540          0.2565         -0.1133       -0.063715        1.153944
     2744.12121      2744.11804         27.7687          1.1785         16.8311          0.0461          0.1903         -0.1133       -0.773925        1.178548
