# reference_flux:        252.0738
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2743.99502      2743.99304        251.7711          1.3225         14.4375          0.0057         -1.2742         -0.0610        0.629884        1.322495
     2744.00196      2743.99999        250.1250          1.2901         14.4446          0.0056          0.5477         -0.0610       -0.060984        1.290132
     2744.00891      2744.00693        250.9036          1.2724         14.4412          0.0055          0.2293         -0.0610       -0.465673        1.272391
     2744.01585      2744.01388        251.0368          1.3162         14.4407          0.0057          0.2420         -0.0610       -1.496773        1.316232
     2744.02279      2744.02082        246.3772          1.3045         14.4610          0.0057          2.0234         -0.0610       -0.785661        1.304471
     2744.02974      2744.02776        255.9133          1.3130         14.4198          0.0056         -0.5731         -0.0610        2.760479        1.312968
     2744.03668      2744.03471        251.4933          1.3061         14.4387          0.0056         -2.0085         -0.0610        0.830312        1.306142
     2744.04363      2744.04165        252.1029          1.3065         14.4361          0.0056         -0.1176         -0.0610       -0.101225        1.306467
     2744.05057      2744.04860        246.8280          1.3075         14.4590          0.0058         -1.0699         -0.0610       -1.837414        1.307545
     2744.05752      2744.05554        248.4993          1.3279         14.4517          0.0058          2.7047         -0.0610       -2.572499        1.327897
     2744.06446      2744.06249        251.3150          1.3159         14.4395          0.0057          0.7468         -0.0610        1.961104        1.315873
     2744.07141      2744.06943        250.5289          1.3187         14.4429          0.0057          2.5517         -0.0610        0.473787        1.318688
     2744.07835      2744.07638        251.3560          1.3184         14.4393          0.0057          0.4126         -0.0610        0.992853        1.318439
     2744.08529      2744.08332        243.1649          1.3133         14.4752          0.0059         -0.1651         -0.1012       -1.828059        1.313284
     2744.09224      2744.09026        252.4047          1.3117         14.4348          0.0056         -0.3511         -0.1012        1.751893        1.311666
     2744.09918      2744.09721        253.1190          1.3129         14.4317          0.0056          1.6641         -0.1012       -0.389455        1.312900
     2744.10613      2744.10415        254.2282          1.3125         14.4269          0.0056          0.8302         -0.0907        1.161505        1.312538
     2744.11307      2744.11110        252.6456          1.3121         14.4337          0.0056         -1.1543         -0.0610       -0.008565        1.312060
     2744.12002      2744.11804        247.9179          1.3106         14.4542          0.0057         -0.0969         -0.0907       -2.371351        1.310568
     2744.12696      2744.12499        249.3746          1.3132         14.4479          0.0057         -0.5688         -0.0907        2.870378        1.313200
     2744.13391      2744.13193        252.8941          1.3334         14.4327          0.0057          1.8595         -0.0610        0.186577        1.333371
     2744.14085      2744.13888        249.8698          1.3315         14.4457          0.0058          2.1148         -0.0610       -1.006513        1.331465
     2744.14779      2744.14582        253.3115          1.3355         14.4309          0.0057          1.6422         -0.0610        3.543140        1.335546
     2744.15474      2744.15276        247.9641          1.3281         14.4540          0.0058          3.6406         -0.0086       -1.726254        1.328062
     2744.16168      2744.15971        245.8742          1.3156         14.4632          0.0058          0.6999         -0.0086       -1.952255        1.315577
     2744.16863      2744.16665        251.4569          1.3300         14.4388          0.0057         -0.3724         -0.0086       -0.868279        1.329973
     2744.17557      2744.17360        253.2689          1.3313         14.4310          0.0057         -1.4008          0.0170        1.161699        1.331340
     2744.18252      2744.18054        244.6578          1.3260         14.4686          0.0059          1.4267          0.0170       -0.127666        1.325999
     2744.18946      2744.18749        251.0302          1.3219         14.4407          0.0057          2.0249          0.0170        1.299292        1.321900
     2744.19641      2744.19443        248.4301          1.3201         14.4520          0.0058          0.6295          0.0170        0.913277        1.320111
     2744.20335      2744.20138        248.4707          1.3210         14.4518          0.0058          1.7623         -0.0086       -2.523095        1.321002
     2744.21029      2744.20832        253.4151          1.3182         14.4304          0.0056          1.3090         -0.0907        1.775154        1.318176
     2744.21724      2744.21526        246.4509          1.3289         14.4607          0.0059          0.9167         -0.0907       -1.444536        1.328872
     2744.22418      2744.22221        251.6823          1.3162         14.4379          0.0057          0.5518         -0.0907        1.002166        1.316190
     2744.23113      2744.22915        253.3942          1.3250         14.4305          0.0057          0.8394         -0.0523        4.030440        1.325012
     2744.23807      2744.23610        247.2586          1.3086         14.4571          0.0057         -0.1596         -0.0907       -2.538678        1.308618
     2744.24502      2744.24304        246.8223          1.3007         14.4590          0.0057          0.3343         -0.1277       -2.015469        1.300713
     2744.25196      2744.24999        246.9954          1.3232         14.4583          0.0058          1.5338         -0.3895       -0.090747        1.323166
     2744.25891      2744.25693        248.5415          1.3009         14.4515          0.0057          1.6763         -0.3895       -0.998316        1.300864
     2744.26585      2744.26388        250.2211          1.3192         14.4442          0.0057         -0.4571         -0.3895        0.016965        1.319162
     2744.27279      2744.27082        251.8758          1.3133         14.4370          0.0057         -0.0049         -0.8683        1.734377        1.313314
     2744.27974      2744.27776        249.2108          1.3106         14.4486          0.0057         -0.9881         -0.9185       -0.918535        1.310572
     2744.28668      2744.28471        252.3883          1.3169         14.4348          0.0057         -1.7586         -0.9983        0.958992        1.316902
