# reference_flux:      46298.9489
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2743.99556      2743.99304      46300.5375          1.2425          8.7760          0.0000         -1.5794          0.2952        1.069605        1.242519
     2744.00251      2743.99999      46301.2574          1.2569          8.7760          0.0000         -1.7531          0.2952        0.692455        1.256870
     2744.00945      2744.00693      46298.6270          1.2455          8.7761          0.0000          0.5266          0.2952       -0.303907        1.245509
     2744.01639      2744.01388      46302.2588          1.2482          8.7760          0.0000          1.4018          0.4102        1.398273        1.248212
     2744.02334      2744.02082      46298.3852          1.2323          8.7761          0.0000          0.1672          0.4102       -1.925291        1.232282
     2744.03028      2744.02776      46298.6455          1.2525          8.7761          0.0000          0.1184          0.4102       -0.437365        1.252527
     2744.03723      2744.03471      46303.9079          1.2353          8.7760          0.0000         -0.4639          0.4102        1.950730        1.235251
     2744.04417      2744.04165      46299.6836          1.2401          8.7761          0.0000          0.2542          0.4913       -2.585575        1.240089
     2744.05112      2744.04860      46299.2785          1.2382          8.7761          0.0000          0.0466          0.4913       -0.390798        1.238249
     2744.05806      2744.05554      46300.9219          1.2342          8.7760          0.0000          1.0026          0.4102        0.613031        1.234174
     2744.06500      2744.06249      46298.6550          1.2328          8.7761          0.0000         -0.2130          0.4102       -2.270959        1.232803
     2744.07195      2744.06943      46302.1382          1.2351          8.7760          0.0000          0.6971          0.4102        0.295158        1.235115
     2744.07889      2744.07638      46301.3030          1.2437          8.7760          0.0000         -2.1119          0.4913        0.410220        1.243654
     2744.08584      2744.08332      46300.4694          1.2439          8.7760          0.0000          0.7550          0.6125        3.195367        1.243919
     2744.09278      2744.09026      46300.0159          1.2403          8.7760          0.0000         -1.3310          0.6125        0.169292        1.240308
     2744.09973      2744.09721      46304.5744          1.2400          8.7759          0.0000          0.6400          0.5752        3.283402        1.240003
     2744.10667      2744.10415      46299.3511          1.2425          8.7761          0.0000         -0.2641          0.6125        1.746215        1.242507
     2744.11362      2744.11110      46302.4127          1.2438          8.7760          0.0000          0.1039          0.6125       -0.155320        1.243753
     2744.12056      2744.11804      46296.0512          1.2494          8.7761          0.0000          2.2127          0.6125       -0.112722        1.249421
     2744.12750      2744.12499      46299.6507          1.2731          8.7761          0.0000          0.1016          0.6130        0.612541        1.273077
     2744.13445      2744.13193      46304.4189          1.2469          8.7759          0.0000         -1.1461          0.6865        1.852061        1.246858
     2744.14139      2744.13888      46300.5957          1.2627          8.7760          0.0000         -0.3112          0.6130        0.198306        1.262706
     2744.14834      2744.14582      46300.4265          1.2557          8.7760          0.0000          0.3915          0.6865       -0.069846        1.255657
     2744.15528      2744.15276      46301.4688          1.2466          8.7760          0.0000         -1.3909          0.6130        1.842572        1.246555
     2744.16223      2744.15971      46298.4242          1.2551          8.7761          0.0000         -1.8690          0.6125       -2.791590        1.255061
     2744.16917      2744.16665      46302.4452          1.2480          8.7760          0.0000         -0.5187          0.5752        0.933924        1.247959
     2744.17611      2744.17360      46303.4063          1.2453          8.7760          0.0000         -0.9101          0.4913        1.451314        1.245280
     2744.18306      2744.18054      46300.3661          1.2587          8.7760          0.0000          1.5151          0.4913        1.037276        1.258680
     2744.19000      2744.18749      46302.2440          1.2485          8.7760          0.0000         -0.6455          0.4102        2.928806        1.248505
     2744.19695      2744.19443      46300.8260          1.2437          8.7760          0.0000          1.0782          0.4102        0.686467        1.243738
     2744.20389      2744.20138      46300.0705          1.2392          8.7760          0.0000         -1.6599          0.4102        0.491317        1.239203
     2744.21084      2744.20832      46301.2649          1.2463          8.7760          0.0000         -0.7300          0.4102        1.077530        1.246257
     2744.21778      2744.21526      46298.6941          1.2484          8.7761          0.0000         -0.8214          0.4913       -0.425100        1.248375
     2744.22472      2744.22221      46300.6985          1.2453          8.7760          0.0000         -2.3429          0.5752       -0.212789        1.245342
     2744.23167      2744.22915      46303.1480          1.2490          8.7760          0.0000         -2.7660          0.5752        4.318656        1.249023
     2744.23861      2744.23610      46300.8000          1.2530          8.7760          0.0000          0.0484          0.6125        0.703116        1.253041
     2744.24556      2744.24304      46301.4015          1.2522          8.7760          0.0000          0.2262          0.6865        0.925328        1.252209
     2744.25250      2744.24999      46300.4708          1.2553          8.7760          0.0000          0.1407          0.7031        0.575185        1.255286
     2744.25945      2744.25693      46299.6104          1.2545          8.7761          0.0000          0.3937          0.6865       -1.257366        1.254529
     2744.26639      2744.26388      46298.9084          1.2559          8.7761          0.0000          1.2383          0.6865        1.207878        1.255927
     2744.27333      2744.27082      46299.2846          1.2567          8.7761          0.0000         -1.7993          0.6865        0.025634        1.256674
     2744.28028      2744.27776      46301.5934          1.2523          8.7760          0.0000         -2.1682          0.6125        0.767294        1.252333
     2744.28722      2744.28471      46300.0294          1.2619          8.7760          0.0000          0.8259          0.6125        0.876387        1.261933
     2744.29417      2744.29165      46299.9116          1.2578          8.7760          0.0000         -1.0649          0.6125        0.985394        1.257777
     2744.30111      2744.29860      46297.3248          1.2743          8.7761          0.0000          1.1319          0.5752       -2.040286        1.274336
     2744.30806      2744.30554      46304.3714          1.2748          8.7759          0.0000         -4.3740          0.5752        0.826599        1.274826
     2744.31500      2744.31249      46299.5493          1.2750          8.7761          0.0000         -0.1028          0.6865        0.003084        1.274979
     2744.32194      2744.31943      46300.1069          1.2833          8.7760          0.0000         -1.4189          0.7031       -0.028196        1.283303
     2744.32889      2744.32638      46298.6317          1.2909          8.7761          0.0000         -2.1183          0.7031       -1.062859        1.290867
     2744.33583      2744.33332      46299.4423          1.3010          8.7761          0.0000          1.7242          0.7673        0.353160        1.300986
     2744.34278      2744.34026      46297.1079          1.3127          8.7761          0.0000         -1.9241          0.7031       -1.438432        1.312671
     2744.34972      2744.34721      46297.3523          1.3224          8.7761          0.0000         -1.9814          0.7031       -2.204003        1.322436
     2744.35667      2744.35415      46298.8523          1.3212          8.7761          0.0000         -2.0982          0.7031       -0.747291        1.321246
     2744.36361      2744.36110      46302.3908          1.3361          8.7760          0.0000         -4.7381          0.7031       -0.148533        1.336142
     2744.37055      2744.36804      46301.7521          1.3370          8.7760          0.0000         -2.8316          0.7031        0.928862        1.336962
     2744.37750      2744.37499      46303.3595          1.3598          8.7760          0.0000         -2.9271          0.7673        2.296687        1.359807
     2744.38444      2744.38193      46300.5981          1.3719          8.7760          0.0000         -0.8939          0.7673        2.623318        1.371895
     2744.39139      2744.38888      46304.9808          1.3746          8.7759          0.0000         -5.0899          0.8266        3.493492        1.374626
     2744.39833      2744.39582      46298.6627          1.3807          8.7761          0.0000         -3.0654          0.8410        1.544563        1.380650
     2744.40528      2744.40276      46301.4343          1.3743          8.7760          0.0000         -1.1809          0.8410        1.441200        1.374277
     2744.41222      2744.40971      46304.0963          1.3690          8.7760          0.0000         -1.4592          0.8764        1.414090        1.368965
     2744.41916      2744.41665      46299.1077          1.3916          8.7761          0.0000          0.8570          0.8764       -0.907576        1.391599
     2744.42611      2744.42360      46302.0022          1.3988          8.7760          0.0000         -2.3642          0.9289       -0.186354        1.398820
     2744.43305      2744.43054      46302.9933          1.4024          8.7760          0.0000         -2.0203          0.9854        3.076810        1.402385
     2744.44000      2744.43749      46299.8326          1.4106          8.7761          0.0000         -0.8668          0.9854        0.112149        1.410642
     2744.44694      2744.44443      46303.7986          1.4239          8.7760          0.0000         -2.4221          1.3184       -0.044061        1.423915
     2744.45388      2744.45138      46301.5119          1.4261          8.7760          0.0000         -2.9569          1.3620        0.570963        1.426099
     2744.46083      2744.45832      46304.7539          1.4175          8.7759          0.0000         -1.3137          1.3620        0.268611        1.417532
     2744.46777      2744.46526      46301.4298          1.4254          8.7760          0.0000         -4.2758          1.3995        0.840984        1.425430
     2744.47472      2744.47221      46304.3652          1.4390          8.7759          0.0000         -3.2274          1.4141        1.659610        1.438977
     2744.48166      2744.47915      46298.5383          1.4434          8.7761          0.0000         -0.3366          1.4141        3.091692        1.443435
     2744.48861      2744.48610      46303.6956          1.4637          8.7760          0.0000         -5.0214          1.4412        1.795967        1.463747
     2744.49555      2744.49304      46301.2382          1.4678          8.7760          0.0000         -3.5787          1.4441        2.705777        1.467783
     2744.50249      2744.49999      46301.0441          1.4797          8.7760          0.0000          0.1602          1.4441        0.120072        1.479734
     2744.50944      2744.50693      46302.5060          1.5045          8.7760          0.0000         -3.6149          1.4441        1.318416        1.504484
     2744.51638      2744.51388      46302.3577          1.5040          8.7760          0.0000         -0.9362          1.4441        2.555234        1.503985
