# reference_flux:        629.9917
#          BTJD             TJD       cts_per_s     e_cts_per_s             mag           e_mag             bkg       bkg_model            bkg2          e_bkg2
     2743.99506      2743.99304        628.1294          1.1968         13.4449          0.0021          2.3167         -0.5788       -0.189061        1.196771
     2744.00201      2743.99999        633.4723          1.2108         13.4357          0.0021          1.6466         -0.5788       -2.064608        1.210762
     2744.00895      2744.00693        631.5788          1.1999         13.4389          0.0021         -3.0664         -0.5788        0.345918        1.199905
     2744.01589      2744.01388        631.1938          1.2102         13.4396          0.0021          0.6319         -0.5788       -0.655333        1.210157
     2744.02284      2744.02082        625.8174          1.2026         13.4489          0.0021          0.3221         -0.5788       -0.578768        1.202610
     2744.02978      2744.02776        627.1629          1.1978         13.4465          0.0021          1.8917         -0.5788        0.217448        1.197786
     2744.03673      2744.03471        626.7428          1.2089         13.4473          0.0021          3.4812         -0.5788       -2.329229        1.208937
     2744.04367      2744.04165        630.4706          1.2126         13.4408          0.0021          0.2461         -0.5788        0.736174        1.212601
     2744.05062      2744.04860        631.0057          1.2033         13.4399          0.0021         -1.0360         -0.6553       -0.287822        1.203294
     2744.05756      2744.05554        629.6989          1.2094         13.4422          0.0021          0.7594         -0.5788        0.989229        1.209420
     2744.06450      2744.06249        628.9137          1.2093         13.4435          0.0021          1.6316         -0.6553        2.037269        1.209313
     2744.07145      2744.06943        629.4115          1.2335         13.4427          0.0021          0.9736         -0.5788       -1.840306        1.233508
     2744.07839      2744.07638        628.7740          1.2364         13.4438          0.0021          1.8615         -0.5788       -1.432927        1.236443
     2744.08534      2744.08332        626.2411          1.2382         13.4481          0.0021          0.3374         -0.5788       -2.543040        1.238207
     2744.09228      2744.09026        629.6875          1.2236         13.4422          0.0021         -0.3380         -0.5788       -0.171303        1.223638
     2744.09923      2744.09721        625.7996          1.2139         13.4489          0.0021          2.5546         -0.5788       -2.174429        1.213887
     2744.10617      2744.10415        627.6564          1.2242         13.4457          0.0021          3.5204         -0.5788        0.353286        1.224242
     2744.11312      2744.11110        629.9120          1.2229         13.4418          0.0021          0.3547         -0.5788        0.512067        1.222903
     2744.12006      2744.11804        628.9716          1.2020         13.4434          0.0021          1.5573         -0.5788       -0.732136        1.201981
     2744.12700      2744.12499        630.0653          1.2336         13.4415          0.0021          0.1181         -0.5788        1.098738        1.233557
     2744.13395      2744.13193        626.1124          1.2131         13.4484          0.0021          0.7029         -0.5905       -1.978525        1.213090
     2744.14089      2744.13888        624.1328          1.2224         13.4518          0.0021         -0.2013         -0.5905       -3.368247        1.222419
     2744.14784      2744.14582        631.2449          1.1904         13.4395          0.0020         -3.5149         -0.6553       -1.306964        1.190416
     2744.15478      2744.15276        628.6752          1.2342         13.4439          0.0021          0.7543         -0.5905        0.494172        1.234224
     2744.16172      2744.15971        628.6148          1.2139         13.4440          0.0021          0.2797         -0.5905       -1.522396        1.213918
